town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M029	29	bernardston	2011	110138	942223	M_110138_942223	"KEETS BROOK RD"	285	0
M029	29	bernardston	2011	110187	941675	M_110187_941675	"KEETS BROOK RD"	272	0
M029	29	bernardston	2011	110227	941889	M_110227_941889	"KEETS BROOK RD"	271	0
M029	29	bernardston	2011	110242	941104	M_110242_941104	"KEETS BROOK RD"	0	0
M029	29	bernardston	2011	110265	942717	M_110265_942717	"LEYDEN/GUILFORD LINE"	0	0
M029	29	bernardston	2011	110296	940731	M_110296_940731	"KEETS BROOK RD"	0	0
M029	29	bernardston	2011	110366	940024	M_110366_940024	"COUCH BROOK RD"	361	0
M029	29	bernardston	2011	110497	935455	M_110497_935455	"EDEN TRAIL RD"	316	0
M029	29	bernardston	2011	110544	942225	M_110544_942225	"KEETS BROOK RD"	223	0
M029	29	bernardston	2011	110553	938470	M_110553_938470	"LEYDEN TOWN LINE"	0	0
M029	29	bernardston	2011	110558	935832	M_110558_935832	"EDEN TRAIL RD"	348	0
M029	29	bernardston	2011	110564	938993	M_110564_938993	"HAIGIS RD"	352	0
M029	29	bernardston	2011	110590	938199	M_110590_938199	"LEYDEN TOWN LINE"	0	0
M029	29	bernardston	2011	110597	937778	M_110597_937778	"LEYDEN TOWN LINE"	0	0
M029	29	bernardston	2011	110602	936016	M_110602_936016	"EDEN TRAIL RD"	372	0
M029	29	bernardston	2011	110615	940990	M_110615_940990	"KEETS BROOK RD"	0	0
M029	29	bernardston	2011	110623	936157	M_110623_936157	"EDEN TRAIL RD"	392	0
M029	29	bernardston	2011	110623	939730	M_110623_939730	"COUCH BROOK RD"	312	0
M029	29	bernardston	2011	110639	934988	M_110639_934988	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	110667	940570	M_110667_940570	"KEETS BROOK RD"	265	0
M029	29	bernardston	2011	110669	936250	M_110669_936250	"EDEN TRAIL RD"	527	0
M029	29	bernardston	2011	110680	934743	M_110680_934743	"EDEN TRAIL RD"	218	0
M029	29	bernardston	2011	110700	934999	M_110700_934999	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	110705	936831	M_110705_936831	"WEST MT RD"	459	0
M029	29	bernardston	2011	110712	936606	M_110712_936606	"WEST MT RD"	481	0
M029	29	bernardston	2011	110716	935852	M_110716_935852	"EDEN TRAIL RD"	345	0
M029	29	bernardston	2011	110718	935520	M_110718_935520	"EDEN TRAIL RD"	269	0
M029	29	bernardston	2011	110718	938425	M_110718_938425	"LEYDEN TOWN LINE"	0	0
M029	29	bernardston	2011	110720	935152	M_110720_935152	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	110732	937199	M_110732_937199	"WEST MT RD"	0	0
M029	29	bernardston	2011	110736	937535	M_110736_937535	"WEST MT RD"	0	0
M029	29	bernardston	2011	110739	934890	M_110739_934890	"EDEN TRAIL RD"	213	0
M029	29	bernardston	2011	110769	936488	M_110769_936488	"WEST MT RD"	494	0
M029	29	bernardston	2011	110777	936636	M_110777_936636	"WEST MT RD"	474	0
M029	29	bernardston	2011	110780	939620	M_110780_939620	"COUCH BROOK RD"	276	0
M029	29	bernardston	2011	110796	940029	M_110796_940029	"COUCH BROOK RD"	241	0
M029	29	bernardston	2011	110814	934347	M_110814_934347	"EDEN TRAIL BRANCH RD"	0	0
M029	29	bernardston	2011	110816	938851	M_110816_938851	"COUCH BROOK RD"	0	0
M029	29	bernardston	2011	110824	934993	M_110824_934993	"EDEN TRAIL RD"	185	0
M029	29	bernardston	2011	110832	934702	M_110832_934702	"EDEN TRAIL BRANCH RD"	24	0
M029	29	bernardston	2011	110842	938590	M_110842_938590	"FOX HILL RD"	0	0
M029	29	bernardston	2011	110861	935724	M_110861_935724	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	110863	934487	M_110863_934487	"EDEN TRAIL BRANCH RD"	52	0
M029	29	bernardston	2011	110870	934242	M_110870_934242	"EDEN TRAIL RD"	75	0
M029	29	bernardston	2011	110883	936676	M_110883_936676	"WEST MT RD"	466	0
M029	29	bernardston	2011	110893	939848	M_110893_939848	"COUCH BROOK RD"	287	0
M029	29	bernardston	2011	110902	938389	M_110902_938389	"FOX HILL RD"	0	0
M029	29	bernardston	2011	110905	936972	M_110905_936972	"WEST MT RD"	431	0
M029	29	bernardston	2011	110909	934405	M_110909_934405	"EDEN TRAIL BRANCH RD"	62	0
M029	29	bernardston	2011	110941	941396	M_110941_941396	"KEETS BROOK RD"	190	0
M029	29	bernardston	2011	110948	936218	M_110948_936218	"EDEN TRAIL RD"	520	0
M029	29	bernardston	2011	110955	934339	M_110955_934339	"EDEN TRAIL BRANCH RD"	70	0
M029	29	bernardston	2011	110968	942060	M_110968_942060	"KEETS BROOK BRANCH"	40	0
M029	29	bernardston	2011	110971	939647	M_110971_939647	"COUCH BROOK RD"	260	0
M029	29	bernardston	2011	110979	939417	M_110979_939417	"COUCH BROOK RD"	248	0
M029	29	bernardston	2011	110980	935548	M_110980_935548	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	111015	934197	M_111015_934197	"EDEN TRAIL BRANCH RD"	63	0
M029	29	bernardston	2011	111020	935120	M_111020_935120	"EDEN TRAIL RD"	167	0
M029	29	bernardston	2011	111024	935739	M_111024_935739	"EDEN TRAIL RD"	0	0
M029	29	bernardston	2011	111027	936787	M_111027_936787	"WEST MT RD"	423	0
M029	29	bernardston	2011	111082	939035	M_111082_939035	"COUCH BROOK RD"	208	0
M029	29	bernardston	2011	111087	937832	M_111087_937832	"FOX HILL RD"	407	0
M029	29	bernardston	2011	111089	941822	M_111089_941822	"KEETS BROOK RD"	144	0
M029	29	bernardston	2011	111104	942661	M_111104_942661	"KEETS BROOK BRANCH"	135	0
M029	29	bernardston	2011	111116	942319	M_111116_942319	"KEETS BROOK RD"	39	0
M029	29	bernardston	2011	111140	934038	M_111140_934038	"EDEN TRAIL BRANCH RD"	116	0
M029	29	bernardston	2011	111160	939518	M_111160_939518	"COUCH BROOK RD"	242	0
