LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_73165_878244	MOREAU	20	0	73165	878244
M_73203_878372	"BLANDFORD DRIVE"	14	0	73203	878372
M_73208_878177	MOREAU	18	0	73208	878177
M_73208_878395	"BLANDFORD DRIVE"	12	0	73208	878395
M_73210_878419	"BLANDFORD DRIVE"	10	0	73210	878419
M_73217_878468	"BLANDFORD DRIVE"	6	0	73217	878468
M_73223_878492	"BLANDFORD DRIVE"	4	0	73223	878492
M_73235_878524	"BROOKMAN DRIVE"	21	0	73235	878524
M_73261_878602	"BROOKMAN DRIVE"	36	0	73261	878602
M_73278_878381	"BLANDFORD DRIVE"	11	0	73278	878381
M_73278_878407	"BLANDFORD DRIVE"	9	0	73278	878407
M_73278_878571	"BROOKMAN DRIVE"	34	0	73278	878571
M_73307_878549	"BROOKMAN DRIVE"	32	0	73307	878549
M_73326_878527	"BROOKMAN DRIVE"	30	0	73326	878527
M_73331_878393	"BROOKMAN DRIVE"	17	0	73331	878393
M_73332_878336	"BROOKMAN DRIVE"	15	0	73332	878336
M_73349_878309	"BROOKMAN DRIVE"	11	0	73349	878309
M_73371_878469	"BROOKMAN DRIVE"	26	0	73371	878469
M_73375_878564	"ALBANO DRIVE"	2	0	73375	878564
M_73384_878277	"BROOKMAN DRIVE"	9	0	73384	878277
M_73386_878449	"BROOKMAN DRIVE"	24	0	73386	878449
M_73393_878541	"DIANE DRIVE"	1	0	73393	878541
M_73429_879287	ISLAND	24	0	73429	879287
M_73440_878376	"BROOKMAN DRIVE"	18	0	73440	878376
M_73440_878479	"ALBANO DRIVE"	4	0	73440	878479
M_73458_878352	"BROOKMAN DRIVE"	16	0	73458	878352
M_73484_878534	"ALBANO DRIVE"	1	0	73484	878534
M_73484_878605	"ALBANO DRIVE"	0	0	73484	878605
M_73494_878303	"BROOKMAN DRIVE"	12	0	73494	878303
M_73516_878241	"BROOKMAN DRIVE"	8	0	73516	878241
M_73527_878210	"BROOKMAN DRIVE"	4	0	73527	878210
M_73538_878471	"ALBANO DRIVE"	0	0	73538	878471
M_73555_878299	"ALBANO DRIVE"	0	0	73555	878299
M_73557_879409	ISLAND	14	0	73557	879409
