LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_640159_2998234	"CODMAN HILL RD"	562	0	195121	913864
F_640230_2997794	"CODMAN HILL RD"	0	0	195142	913729
F_640333_2998535	"CODMAN HILL RD"	513	0	195174	913955
F_640353_2998045	"CODMAN HILL RD"	550	0	195180	913806
F_640537_2998823	"CODMAN HILL RD"	493	0	195236	914043
F_640583_2998110	"CODMAN HILL RD"	0	0	195250	913826
F_640600_2997916	"CODMAN HILL RD"	0	0	195255	913767
F_640679_2999200	"CODMAN HILL RD"	0	0	195279	914158
F_640704_2997582	"CODMAN HILL RD"	0	0	195287	913665
F_640786_2998141	"CODMAN HILL RD"	0	0	195312	913835
F_640900_2999474	"CODMAN HILL RD"	369	0	195347	914242
F_640961_2998415	"CODMAN HILL RD"	438	0	195365	913919
F_641073_2999808	"CODMAN HILL RD"	365	0	195399	914343
F_641143_3000465	"CODMAN HILL RD"	0	0	195421	914544
F_641216_3000120	"CODMAN HILL RD"	317	0	195443	914438
F_641293_2997125	"HARVARD TOWN LINE"	0	0	195466	913526
F_641445_2998992	"CODMAN HILL RD"	340	0	195513	914095
F_641469_3000752	"CODMAN HILL RD"	278	0	195520	914631
F_641480_2996960	"HARVARD TOWN LINE"	0	0	195523	913475
F_641755_2999579	"CODMAN HILL RD"	330	0	195607	914274
F_641763_2999883	"CODMAN HILL RD"	316	0	195610	914366
F_641791_3001637	"CODMAN HILL RD"	165	0	195618	914901
F_641839_2996774	"ELDRIDGE RD (HARVARD)"	5	0	195633	913419
F_641872_3000291	"CODMAN HILL RD"	276	0	195643	914491
F_641872_3000291	"CODMAN HILL RD"	284	0	195643	914491
F_641872_3000291	"CODMAN HILL RD"	294	0	195643	914491
F_641872_3000291	"CODMAN HILL RD"	300	0	195643	914491
F_641872_3000291	"CODMAN HILL RD"	310	0	195643	914491
F_641872_3000291	"CODMAN HILL RD"	318	0	195643	914491
F_641931_2997494	"RT 495"	0	0	195661	913638
F_641935_3001901	"CODMAN HILL RD"	0	0	195662	914981
F_642069_3002113	"CODMAN HILL RD"	0	0	195703	915046
F_642100_2996608	"ELDRIDGE RD (HARVARD)"	7	0	195712	913368
F_642151_2998356	"RT 495"	0	0	195728	913901
F_642200_3002505	"CODMAN HILL RD"	0	0	195743	915165
F_642204_3002296	"CODMAN HILL RD"	0	0	195744	915102
F_642272_3002700	"CODMAN HILL RD"	0	0	195765	915225
F_642279_2996425	"ELDRIDGE RD"	0	0	195767	913312
