town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M038	38	boxford	2013	232264	942598	M_232264_942598	"BRADFORD ST"	80	0
M038	38	boxford	2013	232299	942568	M_232299_942568	"BRADFORD ST"	90	0
M038	38	boxford	2013	232319	942524	M_232319_942524	"BRADFORD ST"	102	0
M038	38	boxford	2013	232345	942493	M_232345_942493	"BRADFORD ST"	114	0
M038	38	boxford	2013	232379	942460	M_232379_942460	"BRADFORD ST"	128	0
M038	38	boxford	2013	232406	942419	M_232406_942419	"BRADFORD ST"	140	0
M038	38	boxford	2013	232435	942396	M_232435_942396	"BRADFORD ST"	150	0
M038	38	boxford	2013	232454	942372	M_232454_942372	"BRADFORD ST"	162	0
M038	38	boxford	2013	232483	942320	M_232483_942320	"BRADFORD ST"	174	0
M038	38	boxford	2013	232517	942280	M_232517_942280	"BRADFORD ST"	186	0
M038	38	boxford	2013	232542	942245	M_232542_942245	"BRADFORD ST"	200	0
M038	38	boxford	2013	232568	942212	M_232568_942212	"BRADFORD ST"	210	0
M038	38	boxford	2013	232598	942172	M_232598_942172	"BRADFORD ST"	222	0
M038	38	boxford	2013	232629	942135	M_232629_942135	"BRADFORD ST"	234	0
M038	38	boxford	2013	232666	942112	M_232666_942112	"BRADFORD ST"	246	0
M038	38	boxford	2013	232706	942063	M_232706_942063	"BRADFORD ST"	260	0
M038	38	boxford	2013	232717	942029	M_232717_942029	"BRADFORD ST"	270	0
M038	38	boxford	2013	232747	941987	M_232747_941987	"BRADFORD ST"	284	0
M038	38	boxford	2013	232840	941889	M_232840_941889	"BRADFORD ST"	324	0
M038	38	boxford	2013	232887	941830	M_232887_941830	"BRADFORD ST"	340	0
M038	38	boxford	2013	233379	941439	M_233379_941439	"BRADFORD ST"	LOT3	0
M038	38	boxford	2013	233428	941151	M_233428_941151	"BRADFORD ST"	LOT5	0
M038	38	boxford	2013	233848	940653	M_233848_940653	"LAKE SHORE RD"	179C	0
M038	38	boxford	2013	233915	942860	M_233915_942860	"BARKER RD"	5	0
M038	38	boxford	2013	233995	940714	M_233995_940714	"LAKE SHORE RD"	"LOT 2"	0
M038	38	boxford	2013	234008	941520	M_234008_941520	"HOVEYS POND DR"	29	0
M038	38	boxford	2013	234054	941334	M_234054_941334	"HOVEYS POND DR"	26	0
M038	38	boxford	2013	234087	940739	M_234087_940739	"LAKE SHORE RD"	181	0
M038	38	boxford	2013	234103	940496	M_234103_940496	"WASHINGTON ST"	285	0
M038	38	boxford	2013	234114	941426	M_234114_941426	"HOVEYS POND DR"	28	0
M038	38	boxford	2013	234116	941570	M_234116_941570	"HOVEYS POND DR"	27	0
M038	38	boxford	2013	234117	941288	M_234117_941288	"HOVEYS POND DR"	24	0
M038	38	boxford	2013	234139	942933	M_234139_942933	"MAIN ST"	791	0
M038	38	boxford	2013	234144	942689	M_234144_942689	"MAIN ST"	778	0
M038	38	boxford	2013	234158	941579	M_234158_941579	"NANCY'S WAY"	6	0
M038	38	boxford	2013	234160	941233	M_234160_941233	"HOVEYS POND DR"	18	0
M038	38	boxford	2013	234164	940793	M_234164_940793	"LAKE SHORE RD"	179A	0
M038	38	boxford	2013	234173	941086	M_234173_941086	"HOVEYS POND DR"	12	0
M038	38	boxford	2013	234189	940335	M_234189_940335	"WASHINGTON ST"	276	0
M038	38	boxford	2013	234195	940632	M_234195_940632	"LAKE SHORE RD"	180	0
M038	38	boxford	2013	234202	941351	M_234202_941351	"HOVEYS POND DR"	24	0
M038	38	boxford	2013	234234	940676	M_234234_940676	"LAKE SHORE RD"	174	0
M038	38	boxford	2013	234240	942542	M_234240_942542	"MAIN ST"	764	0
M038	38	boxford	2013	234247	942708	M_234247_942708	"LILY POND RD"	7	0
M038	38	boxford	2013	234255	941460	M_234255_941460	"NANCY'S WAY"	1	0
M038	38	boxford	2013	234262	941157	M_234262_941157	"HOVEYS POND DR"	10	0
M038	38	boxford	2013	234265	940318	M_234265_940318	"WASHINGTON ST"	277	0
M038	38	boxford	2013	234267	940966	M_234267_940966	"LAKE SHORE RD"	161	0
M038	38	boxford	2013	234272	941314	M_234272_941314	"HOVEYS POND DR"	16	0
M038	38	boxford	2013	234276	940103	M_234276_940103	"WASHINGTON ST"	"LOT 3"	0
M038	38	boxford	2013	234293	942646	M_234293_942646	"MAIN ST"	769	0
M038	38	boxford	2013	234295	941638	M_234295_941638	"MAIN ST"	694A	0
M038	38	boxford	2013	234296	940847	M_234296_940847	"LAKE SHORE RD"	170	0
M038	38	boxford	2013	234306	941408	M_234306_941408	"HOVEYS POND DR"	17	0
M038	38	boxford	2013	234312	942481	M_234312_942481	"MAIN ST"	762	0
M038	38	boxford	2013	234313	941078	M_234313_941078	"LAKE SHORE RD"	155	0
M038	38	boxford	2013	234319	940883	M_234319_940883	"LAKE SHORE RD"	170	0
M038	38	boxford	2013	234331	942345	M_234331_942345	"MAIN ST"	752	0
M038	38	boxford	2013	234341	942838	M_234341_942838	"LILY POND RD"	14	0
