LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_312723_833509	"OLD COUNTY ROAD"	0	0	312723	833509
M_312768_833285	"PINE RIDGE ROAD"	0	0	312768	833285
M_312771_833226	"PINE RIDGE ROAD"	111	0	312771	833226
M_312771_833733	"MAIN STREET"	0	0	312771	833733
M_312780_833186	"PINE RIDGE ROAD"	93	0	312780	833186
M_312789_833064	"PINE RIDGE ROAD"	0	0	312789	833064
M_312795_833151	"PINE RIDGE ROAD"	81	0	312795	833151
M_312802_833552	"MAIN STREET"	46	0	312802	833552
M_312807_833116	"PINE RIDGE ROAD"	73	0	312807	833116
M_312807_833435	"AIRLINE ROAD REAR"	0	0	312807	833435
M_312813_833074	"PINE RIDGE ROAD"	0	0	312813	833074
M_312820_832953	"WHIFFLETREE AVENUE"	306	0	312820	832953
M_312822_833010	"PINE RIDGE ROAD"	34	0	312822	833010
M_312843_832869	"WHIFFLETREE AVENUE"	291	0	312843	832869
M_312850_833313	"PINE RIDGE ROAD"	0	0	312850	833313
M_312851_832939	"WHIFFLETREE AVENUE"	288	0	312851	832939
M_312854_833272	"PINE RIDGE ROAD"	118	0	312854	833272
M_312855_833231	"PINE RIDGE ROAD"	102	0	312855	833231
M_312855_833355	"PINE RIDGE ROAD"	150	0	312855	833355
M_312864_833693	"MAIN STREET"	63	0	312864	833693
M_312867_833059	"PINE RIDGE ROAD"	44	0	312867	833059
M_312871_832777	"WILDWOOD ROAD"	36	0	312871	832777
M_312871_833174	"PINE RIDGE ROAD"	0	0	312871	833174
M_312872_832993	"CHICKADEE LANE"	19	0	312872	832993
M_312878_832852	"WILDWOOD ROAD"	0	0	312878	832852
M_312883_833418	"WHIFFLETREE AVENUE"	0	0	312883	833418
M_312887_833107	"PINE RIDGE ROAD"	60	0	312887	833107
M_312892_832876	"WHIFFLETREE AVENUE"	0	0	312892	832876
M_312896_832826	"WILDWOOD ROAD"	43	0	312896	832826
M_312900_832941	"WHIFFLETREE AVENUE"	272	0	312900	832941
M_312919_832781	"WILDWOOD ROAD"	50	0	312919	832781
M_312919_833043	"CHICKADEE LANE"	24	0	312919	833043
M_312923_833722	"MAIN STREET"	77	0	312923	833722
M_312924_832883	"WHIFFLETREE AVENUE"	269	0	312924	832883
M_312927_833314	"WHIFFLETREE AVENUE"	102	0	312927	833314
M_312931_833584	"MAIN STREET"	72	0	312931	833584
M_312937_832741	"AIRLINE ROAD"	0	0	312937	832741
M_312941_832638	"AIRLINE ROAD"	0	0	312941	832638
M_312941_832842	"WILDWOOD ROAD"	63	0	312941	832842
M_312941_833227	"WHIFFLETREE AVENUE"	132	0	312941	833227
M_312948_832592	"AIRLINE ROAD"	0	0	312948	832592
M_312952_833171	"WHIFFLETREE AVENUE"	150	0	312952	833171
M_312953_832550	"AIRLINE ROAD"	0	0	312953	832550
M_312953_832692	"AIRLINE ROAD"	0	0	312953	832692
M_312954_833000	"CHICKADEE LANE"	18	0	312954	833000
M_312955_833480	"WHIFFLETREE AVENUE"	62	0	312955	833480
M_312959_832897	"WHIFFLETREE AVENUE"	255	0	312959	832897
M_312960_833697	"MAIN STREET"	89	0	312960	833697
M_312964_832508	"AIRLINE ROAD"	0	0	312964	832508
M_312966_833117	"WHIFFLETREE AVENUE"	170	0	312966	833117
M_312977_832957	"WHIFFLETREE AVENUE"	250	0	312977	832957
M_312978_832803	"WILDWOOD ROAD"	74	0	312978	832803
M_312983_832854	"WILDWOOD ROAD"	77	0	312983	832854
M_312989_832468	"AIRLINE ROAD"	0	0	312989	832468
M_312991_833072	"WHIFFLETREE AVENUE"	186	0	312991	833072
M_312996_832889	"BUGGY WHIP ROAD"	8	0	312996	832889
M_313000_833019	"WHIFFLETREE AVENUE"	214	0	313000	833019
M_313015_832138	"AIRLINE ROAD"	515	0	313015	832138
M_313015_833418	"WHIFFLETREE AVENUE"	87	0	313015	833418
M_313018_832423	"AIRLINE ROAD"	0	0	313018	832423
M_313018_832769	"WILDWOOD ROAD"	102	0	313018	832769
M_313021_833508	"WHIFFLETREE AVENUE"	38	0	313021	833508
M_313023_832116	"AIRLINE ROAD"	0	0	313023	832116
M_313024_833323	"WHIFFLETREE AVENUE"	101	0	313024	833323
M_313030_832218	"POND VIEW DRIVE"	14	0	313030	832218
M_313030_832852	"BUGGY WHIP ROAD"	24	0	313030	832852
M_313031_832094	"AIRLINE ROAD"	568	0	313031	832094
M_313032_833280	"WHIFFLETREE AVENUE"	121	0	313032	833280
M_313034_832930	"WHIFFLETREE AVENUE"	239	0	313034	832930
M_313038_832364	"AIRLINE ROAD"	0	0	313038	832364
M_313040_833235	"WHIFFLETREE AVENUE"	0	0	313040	833235
M_313044_832057	"AIRLINE ROAD"	493	0	313044	832057
M_313045_832959	"WHIFFLETREE AVENUE"	229	0	313045	832959
M_313046_832723	"WILDWOOD ROAD"	120	0	313046	832723
M_313048_833197	"WHIFFLETREE AVENUE"	151	0	313048	833197
M_313049_832587	"PUNKHORN CORNERS ROAD REAR"	1	0	313049	832587
M_313049_832992	"WHIFFLETREE AVENUE"	219	0	313049	832992
M_313051_832291	"POND VIEW DRIVE"	31	0	313051	832291
M_313051_833032	"WHIFFLETREE AVENUE"	203	0	313051	833032
