town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M052	52	carver	2014	255678	853224	F_838838_2799287	"MONTELLO ST"	0	0
M052	52	carver	2014	255801	853177	F_839239_2799130	"COBBS PD"	0	0
M052	52	carver	2014	255975	853330	F_839812_2799634	"COBBS PD"	0	0
M052	52	carver	2014	256188	852699	F_840510_2797564	"MONTELLO ST"	0	0
M052	52	carver	2014	256214	852535	F_840595_2797025	"PLYMOUTH ST"	245	0
M052	52	carver	2014	256261	853112	F_840750_2798919	"PARK AVE"	3	0
M052	52	carver	2014	256346	852551	F_841029_2797078	"PLYMOUTH ST"	241	0
M052	52	carver	2014	256453	852568	F_841378_2797133	"COMMERCE WAY"	2	0
M052	52	carver	2014	256453	852356	F_841381_2796438	"PLYMOUTH ST"	246	0
M052	52	carver	2014	256466	852766	F_841423_2797784	"MONTELLO ST"	0	0
M052	52	carver	2014	256548	852123	F_841692_2795672	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256567	852616	F_841753_2797291	"COMMERCE WAY"	1	0
M052	52	carver	2014	256569	853514	F_841760_2800237	"PARK AVE"	1	0
M052	52	carver	2014	256588	852790	F_841823_2797861	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256615	852327	F_841912_2796344	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256633	852537	F_841971_2797032	"MARION DR"	1	0
M052	52	carver	2014	256670	852446	F_842093_2796732	"PLYMOUTH ST"	224	0
M052	52	carver	2014	256675	853685	F_842107_2800799	"MONTELLO ST"	26	0
M052	52	carver	2014	256680	852230	F_842123_2796024	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256724	851986	F_842268_2795223	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256726	852677	F_842275_2797492	"MARION DR"	3	0
M052	52	carver	2014	256731	852443	F_842293_2796725	"PLYMOUTH ST"	222	0
M052	52	carver	2014	256732	853173	F_842296_2799118	"MONTELLO ST"	10	0
M052	52	carver	2014	256755	851772	F_842371_2794522	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256782	852442	F_842459_2796720	"PLYMOUTH ST"	220	0
M052	52	carver	2014	256797	852535	F_842507_2797025	"MARION DR"	2	0
M052	52	carver	2014	256833	852443	F_842625_2796722	"PLYMOUTH ST"	218	0
M052	52	carver	2014	256868	852675	F_842741_2797483	"MARION DR"	4	0
M052	52	carver	2014	256884	853364	F_842795_2799746	"MONTELLO ST"	20	0
M052	52	carver	2014	256889	852436	F_842810_2796702	"PLYMOUTH ST"	216	0
M052	52	carver	2014	256892	851359	F_842821_2793168	"FULLER ST"	0	0
M052	52	carver	2014	256892	853806	F_842821_2801196	"MONTELLO ST"	24	0
M052	52	carver	2014	256924	851758	F_842926_2794476	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256930	851236	F_842943_2792764	"FULLER ST"	58	0
M052	52	carver	2014	256933	853100	F_842955_2798879	"MONTELLO ST"	10	0
M052	52	carver	2014	256934	853824	F_842957_2801255	"MONTELLO ST"	0	0
M052	52	carver	2014	256934	852999	F_842958_2798546	"MONTELLO ST"	10	0
M052	52	carver	2014	256942	852232	F_842983_2796030	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256944	852429	F_842991_2796676	"PLYMOUTH ST"	214	0
M052	52	carver	2014	256962	853326	F_843049_2799621	"MONTELLO ST"	0	0
M052	52	carver	2014	256968	853546	F_843070_2800342	"MONTELLO ST"	16	0
M052	52	carver	2014	256972	851241	F_843081_2792780	"FULLER ST"	27	0
M052	52	carver	2014	256972	852823	F_843082_2797971	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256979	851120	F_843105_2792382	"FULLER ST"	42	0
M052	52	carver	2014	256981	852613	F_843113_2797281	"PLYMOUTH ST"	0	0
M052	52	carver	2014	256991	852418	F_843143_2796640	"PLYMOUTH ST"	212	0
M052	52	carver	2014	256991	853391	F_843144_2799833	"MONTELLO ST"	18	0
M052	52	carver	2014	257030	853488	F_843272_2800152	"MONTELLO ST"	12	0
M052	52	carver	2014	257030	852414	F_843273_2796628	"PLYMOUTH ST"	210	0
M052	52	carver	2014	257035	852510	F_843289_2796944	"PLYMOUTH ST"	211	0
M052	52	carver	2014	257047	851229	F_843330_2792742	"FULLER ST"	25	0
M052	52	carver	2014	257069	851145	F_843401_2792464	"FULLER ST"	0	0
M052	52	carver	2014	257074	852413	F_843418_2796625	"PLYMOUTH ST"	208	0
M052	52	carver	2014	257079	851918	F_843433_2795000	"PLYMOUTH ST"	0	0
M052	52	carver	2014	257087	852509	F_843461_2796939	"CORDWOOD CIR"	2	0
M052	52	carver	2014	257090	853407	F_843468_2799887	"MONTELLO ST"	0	0
M052	52	carver	2014	257094	852604	F_843483_2797253	"CORDWOOD CIR"	4	0
M052	52	carver	2014	257096	853746	F_843488_2800999	"NORTH MAIN ST"	160	0
M052	52	carver	2014	257106	853569	F_843522_2800418	"MONTELLO ST"	0	0
M052	52	carver	2014	257110	852732	F_843534_2797672	"PLYMOUTH ST"	0	0
