LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_507883_2874650	"WORCESTER RD"	0	0	154803	876195
F_508209_2873099	"STURBRIDGE RD"	304	0	154902	875722
F_508245_2872887	"STURBRIDGE RD"	306	0	154913	875658
F_508380_2871985	"STURBRIDGE RD"	307	0	154955	875383
F_508465_2873880	"HIGHFIELD RD"	15	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	17	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	18	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	19	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	20	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	22	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	23	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	25	0	154980	875960
F_508465_2873880	"HIGHFIELD RD"	27	0	154980	875960
F_508498_2873291	"HIGHFIELD RD"	13	0	154991	875781
F_508515_2872969	"HIGHFIELD RD"	0	0	154996	875683
F_508547_2874087	"STURBRIDGE RD"	304	0	155005	876023
F_508728_2872682	"STURBRIDGE RD"	299	0	155061	875595
F_508745_2873175	"STURBRIDGE RD"	298	0	155066	875745
F_508755_2873372	"UPHAM HILL RD"	11	0	155069	875806
F_508770_2869981	"HILL RD"	0	0	155073	874772
F_509030_2873666	"UPHAM HILL RD"	0	0	155153	875895
F_509165_2870897	"HILL RD"	0	0	155194	875051
F_509237_2874385	"MASS TURNPIKE"	5E	0	155216	876114
F_509408_2874703	"MASS TURNPIKE"	5E	0	155268	876211
F_509546_2866716	"BERRY CORNER RD"	0	0	155310	873777
F_509573_2872551	"STURBRIDGE RD"	0	0	155318	875555
F_509742_2874713	"MASS TURNPIKE"	5E	0	155370	876214
F_509842_2869374	"HILL RD"	0	0	155400	874587
F_510371_2866924	"BERRY CORNER RD"	0	0	155561	873840
F_510426_2871246	"HILL RD"	0	0	155578	875158
F_510469_2867328	"BERRY CORNER RD"	194	0	155591	873963
F_510482_2866156	"AYERS RD"	0	0	155595	873606
F_510507_2875620	"WORCESTER RD"	0	0	155603	876491
F_510555_2866942	"BERRY CORNER RD"	191	0	155617	873846
F_510616_2871293	"HILL RD"	87	0	155636	875172
F_510634_2867980	"BERRY CORNER RD"	190	0	155642	874162
F_510671_2866917	"AYERS RD"	0	0	155653	873838
F_510674_2865505	"AYERS RD"	0	0	155654	873408
F_510690_2875016	"STURBRIDGE RD"	240	0	155659	876307
F_510755_2870600	"HILL RD"	0	0	155678	874961
F_510851_2873200	"STURBRIDGE RD"	0	0	155708	875753
F_510855_2871327	"HILL RD"	81	0	155709	875182
