LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_596735_2973666	"W BOYLSTON ST"	285	0	181885	906375
F_596778_2974272	"SO MEADOW RD"	"37 R"	0	181898	906560
F_598273_2974352	"SO MEADOW RD"	29	0	182354	906584
F_598487_2975169	"SO MEADOW RD"	31	0	182419	906833
F_598750_2973800	"W BOYLSTON ST"	225	0	182499	906416
F_598791_2975895	"SO MEADOW RD"	35	0	182512	907055
F_599381_2975691	"SO MEADOW RD"	44	0	182692	906992
F_599384_2975552	"SO MEADOW RD"	42	0	182693	906950
F_599444_2974802	"POND VIEW DR"	2	0	182711	906721
F_599455_2976072	"SO MEADOW RD"	48	0	182714	907109
F_599460_2975456	"SO MEADOW RD"	40	0	182716	906921
F_599475_2975356	"SO MEADOW RD"	38	0	182720	906890
F_599494_2975923	"SO MEADOW RD"	46	0	182726	907063
F_599498_2975258	"SO MEADOW RD"	36	0	182727	906860
F_599500_2977025	"SO MEADOW RD"	96	0	182728	907399
F_599513_2977157	"SO MEADOW RD"	100	0	182732	907439
F_599526_2975157	"SO MEADOW RD"	"32 - 34"	0	182736	906830
F_599539_2975062	"SO MEADOW RD"	30	0	182740	906801
F_599553_2974969	"SO MEADOW RD"	28	0	182744	906772
F_599554_2976931	"SO MEADOW RD UNIT 1"	92	0	182744	907370
F_599554_2976931	"SO MEADOW RD UNIT 2"	92	0	182744	907370
F_599586_2977267	"SO MEADOW RD"	104	0	182754	907473
F_599595_2976790	"SO MEADOW RD"	88	0	182757	907327
F_599604_2974805	"POND VIEW DR"	0	0	182760	906722
F_599699_2974929	"POND VIEW DR"	4	0	182789	906760
F_599808_2976779	"SPRAGUE RD"	2	0	182822	907324
F_599830_2976437	"SPRAGUE RD"	1	0	182829	907220
F_599832_2977103	"SPRAGUE RD"	8	0	182829	907423
F_599856_2976567	"SPRAGUE RD"	3	0	182836	907259
F_599934_2976929	"SPRAGUE RD"	14	0	182860	907370
F_599978_2977141	"SPRAGUE RD"	52	0	182874	907434
F_599992_2976613	"SPRAGUE RD"	7	0	182878	907273
F_599997_2976984	"SPRAGUE RD"	18	0	182879	907387
F_600006_2975800	"SO MEADOW RD"	50	0	182882	907026
F_600040_2975310	"POND VIEW DR"	"8 - 30"	0	182893	906876
F_600061_2977245	"SPRAGUE RD"	51	0	182899	907466
F_600079_2976703	"SPRAGUE RD"	13	0	182904	907301
F_600092_2977806	"STONEBRIDGE CIRCLE"	6	0	182908	907637
F_600104_2977611	"STONEBRIDGE CIRCLE"	9	0	182912	907578
F_600169_2977222	"SPRAGUE RD"	47	0	182932	907459
F_600183_2976788	"SPRAGUE RD"	19	0	182936	907327
F_600186_2975571	"SO MEADOW RD"	54	0	182937	906956
F_600190_2975780	"SO MEADOW RD"	52	0	182938	907020
F_600246_2977795	"STONEBRIDGE CIRCLE"	8	0	182955	907634
F_600248_2978043	"STONEBRIDGE CIRCLE"	4	0	182956	907709
F_600289_2977415	"SO MEADOW RD"	"120 R"	0	182968	907518
F_600309_2977194	"SPRAGUE RD"	43	0	182975	907451
F_600314_2976876	"SPRAGUE RD"	25	0	182976	907354
F_600351_2977080	"SPRAGUE RD"	37	0	182987	907416
F_600358_2975510	"POND VIEW DR"	30	0	182989	906937
F_600365_2976990	"SPRAGUE RD"	31	0	182992	907388
F_600374_2978181	"STONEBRIDGE CIRCLE"	2	0	182994	907751
F_600402_2978302	"FITCH RD"	300	0	183003	907788
F_600422_2975394	"POND VIEW DR"	32	0	183009	906902
F_600521_2975346	"POND VIEW DR"	34	0	183039	906887
F_600524_2977880	"STONEBRIDGE CIRCLE"	7	0	183040	907660
F_600584_2977702	"STONEBRIDGE CIRCLE"	5	0	183058	907605
F_600639_2978395	"FITCH RD"	230	0	183075	907817
F_600649_2978060	"STONEBRIDGE CIRCLE"	3	0	183078	907715
F_600675_2975675	"POND VIEW DR"	36	0	183086	906988
F_600696_2975402	"POND VIEW DR"	38	0	183093	906904
F_600758_2978224	"STONEBRIDGE CIRCLE"	1	0	183111	907764
F_600773_2978744	"FITCH RD"	255	0	183116	907923
F_600891_2975636	"POND VIEW DR"	40	0	183152	906976
F_600896_2978776	"FITCH RD"	245	0	183153	907933
F_600985_2974884	"W BOYLSTON ST"	75	0	183181	906746
F_600997_2978731	"FITCH RD"	235	0	183184	907919
F_601013_2978124	"FITCH RD"	220	0	183189	907734
F_601053_2978372	"FITCH RD"	202	0	183201	907810
F_601098_2978186	"FITCH RD"	210	0	183215	907753
F_601106_2975574	"POND VIEW DR"	42	0	183217	906957
F_601132_2978799	"FITCH RD"	225	0	183225	907940
F_601136_2978655	"FITCH RD"	205	0	183227	907896
F_601156_2976264	"ROGERS FIELD WAY"	26	0	183233	907167
F_601191_2974046	"W BOYLSTON ST"	"100 - 200"	0	183243	906491
F_601204_2979250	"RIGBY ST"	83	0	183247	908077
F_601230_2978588	"FITCH RD"	203	0	183255	907875
F_601251_2978298	"FITCH RD"	200	0	183262	907787
F_601295_2978549	"FITCH RD"	201	0	183275	907864
F_601300_2975585	"POND VIEW DR"	44	0	183277	906960
F_601340_2978264	"FITCH RD"	198	0	183289	907777
F_601363_2979357	"RIGBY ST"	81	0	183296	908110
F_601367_2978552	"FITCH RD"	199	0	183297	907864
F_601375_2979064	"LYDIA LN"	14	0	183299	908021
F_601401_2979199	"LYDIA LN"	16	0	183307	908062
F_601437_2978865	"LYDIA LN"	10	0	183318	907960
F_601453_2978242	"FITCH RD"	196	0	183323	907770
F_601485_2978612	"LYDIA LN"	4	0	183333	907883
F_601501_2978986	"LYDIA LN"	12	0	183338	907997
F_601542_2979647	"RIGBY ST"	77	0	183350	908198
F_601558_2978473	"LYDIA LN"	2	0	183355	907840
F_601571_2978845	"LYDIA LN"	8	0	183359	907954
F_601573_2978740	"LYDIA LN"	6	0	183360	907922
F_601574_2979206	"LYDIA LN"	15	0	183360	908064
F_601577_2977891	"FITCH RD"	188	0	183361	907663
F_601577_2978229	"FITCH RD"	194A	0	183361	907766
F_601642_2975944	"ROGERS FIELD WAY"	24	0	183381	907070
F_601661_2979121	"LYDIA LN"	13	0	183387	908038
F_601673_2979736	"RIGBY ST"	75	0	183390	908225
F_601684_2977015	"ROGERS FIELD WAY"	"100 - ISL"	0	183394	907396
F_601684_2978214	"FITCH RD"	194	0	183394	907761
F_601730_2979034	"LYDIA LN"	11	0	183408	908011
F_601741_2975911	"ROGERS FIELD WAY"	22	0	183411	907059
F_601758_2979899	"RIGBY ST"	67	0	183416	908275
F_601790_2978403	"WILKATE PL"	1	0	183426	907819
F_601795_2978650	"WILKATE PL"	4	0	183427	907894
F_601799_2978948	"LYDIA LN"	7	0	183429	907985
F_601842_2979275	"RIGBY LN"	1	0	183442	908085
F_601851_2978852	"LYDIA LN"	5	0	183445	907956
