town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M066	66	colrain	2011	100002	936380	M_100002_936380	"FOUNDRY VILLAGE RD"	83	0
M066	66	colrain	2011	100003	937175	M_100003_937175	"YORK RD"	38	0
M066	66	colrain	2011	100003	937968	M_100003_937968	"YORK RD"	0	0
M066	66	colrain	2011	100005	936485	M_100005_936485	"FOUNDRY VILLAGE RD"	75	0
M066	66	colrain	2011	100006	933532	M_100006_933532	"MAIN RD"	333	0
M066	66	colrain	2011	100008	932890	M_100008_932890	"CALL RD"	121	0
M066	66	colrain	2011	100008	936105	M_100008_936105	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100009	935554	M_100009_935554	"NORTH RIVER ISL"	0	0
M066	66	colrain	2011	100010	938366	M_100010_938366	"YORK RD"	0	0
M066	66	colrain	2011	100013	936506	M_100013_936506	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100017	932993	M_100017_932993	"CALL RD"	0	0
M066	66	colrain	2011	100018	933628	M_100018_933628	"MAIN RD"	329	0
M066	66	colrain	2011	100021	934970	M_100021_934970	"BENNETT & GALIPO DR"	0	0
M066	66	colrain	2011	100024	935493	M_100024_935493	"NORTH RIVER"	0	0
M066	66	colrain	2011	100027	934938	M_100027_934938	"BENNETT & GALIPO DR"	11	0
M066	66	colrain	2011	100034	936547	M_100034_936547	"FOUNDRY VILLAGE RD"	73	0
M066	66	colrain	2011	100037	936302	M_100037_936302	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100037	943318	M_100037_943318	"JACKSONVILLE RD"	0	0
M066	66	colrain	2011	100038	933592	M_100038_933592	"MAIN RD"	331	0
M066	66	colrain	2011	100038	936638	M_100038_936638	"FOUNDRY VILLAGE RD"	67	0
M066	66	colrain	2011	100040	934898	M_100040_934898	"BENNETT & GALIPO DR"	13	0
M066	66	colrain	2011	100043	940442	M_100043_940442	"CAL COOMBS RD"	0	0
M066	66	colrain	2011	100051	935332	M_100051_935332	"ADAMSVILLE RD"	0	0
M066	66	colrain	2011	100052	935137	M_100052_935137	"ADAMSVILLE RD"	34	0
M066	66	colrain	2011	100054	937059	M_100054_937059	"YORK RD"	0	0
M066	66	colrain	2011	100059	943213	M_100059_943213	"JACKSONVILLE RD"	0	0
M066	66	colrain	2011	100060	936688	M_100060_936688	"FOUNDRY VILLAGE RD"	63	0
M066	66	colrain	2011	100067	936716	M_100067_936716	"YORK RD"	6	0
M066	66	colrain	2011	100074	936631	M_100074_936631	"FOUNDRY VILLAGE RD"	65	0
M066	66	colrain	2011	100074	937138	M_100074_937138	"YORK RD"	0	0
M066	66	colrain	2011	100077	935919	M_100077_935919	"LYONSVILLE RD"	0	0
M066	66	colrain	2011	100085	936591	M_100085_936591	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100089	933451	M_100089_933451	"MAIN RD"	0	0
M066	66	colrain	2011	100092	936505	M_100092_936505	"FOUNDRY VILLAGE RD"	70	0
M066	66	colrain	2011	100092	936644	M_100092_936644	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100093	936873	M_100093_936873	"YORK RD"	7	0
M066	66	colrain	2011	100096	935211	M_100096_935211	"ADAMSVILLE RD"	37	0
M066	66	colrain	2011	100106	932828	M_100106_932828	"CALL RD"	0	0
M066	66	colrain	2011	100107	943277	M_100107_943277	"JACKSONVILLE RD"	499	0
M066	66	colrain	2011	100111	934603	M_100111_934603	"ADAMSVILLE RD"	0	0
M066	66	colrain	2011	100117	932483	M_100117_932483	"CALL RD"	164	0
M066	66	colrain	2011	100119	936691	M_100119_936691	"YORK RD"	3	0
M066	66	colrain	2011	100125	940728	M_100125_940728	"FAIRBANKS RD"	0	0
M066	66	colrain	2011	100127	937187	M_100127_937187	"YORK RD"	0	0
M066	66	colrain	2011	100135	936658	M_100135_936658	"YORK RD"	1	0
M066	66	colrain	2011	100136	936581	M_100136_936581	"FOUNDRY VILLAGE RD"	60	0
M066	66	colrain	2011	100142	933719	M_100142_933719	"MAIN RD"	323	0
M066	66	colrain	2011	100144	943112	M_100144_943112	"JACKSONVILLE RD"	0	0
M066	66	colrain	2011	100148	935645	M_100148_935645	"MAIN RD"	0	0
M066	66	colrain	2011	100151	938783	M_100151_938783	"YORK RD"	147	0
M066	66	colrain	2011	100152	939135	M_100152_939135	"YORK RD"	0	0
M066	66	colrain	2011	100155	936473	M_100155_936473	"MAIN RD"	113	0
M066	66	colrain	2011	100158	942435	M_100158_942435	"THOMPSON RD"	31	0
M066	66	colrain	2011	100166	936686	M_100166_936686	"FOUNDRY VILLAGE RD"	57	0
M066	66	colrain	2011	100181	941234	M_100181_941234	"FAIRBANKS RD"	0	0
M066	66	colrain	2011	100183	933086	M_100183_933086	"CALL RD--FOX FLAT"	0	0
M066	66	colrain	2011	100188	939789	M_100188_939789	"CAL COOMBS RD"	110	0
M066	66	colrain	2011	100191	943146	M_100191_943146	"JACKSONVILLE RD"	489	0
M066	66	colrain	2011	100193	935531	M_100193_935531	"MAIN RD"	0	0
M066	66	colrain	2011	100194	936582	M_100194_936582	"FOUNDRY VILLAGE RD"	56	0
M066	66	colrain	2011	100200	934404	M_100200_934404	"MAIN RD"	261	0
M066	66	colrain	2011	100200	936694	M_100200_936694	"FOUNDRY VILLAGE RD"	55	0
M066	66	colrain	2011	100200	942453	M_100200_942453	"THOMPSON RD"	0	0
M066	66	colrain	2011	100207	936353	M_100207_936353	"MAIN RD"	0	0
M066	66	colrain	2011	100211	935271	M_100211_935271	"ADAMSVILLE RD"	0	0
M066	66	colrain	2011	100213	936074	M_100213_936074	"MAIN RD"	0	0
M066	66	colrain	2011	100217	936212	M_100217_936212	"LYONSVILLE RD"	1	0
M066	66	colrain	2011	100218	942013	M_100218_942013	"JACKSONVILLE RD"	0	0
M066	66	colrain	2011	100220	936145	M_100220_936145	"LYONSVILLE RD"	2	0
M066	66	colrain	2011	100222	933788	M_100222_933788	"MAIN RD"	315	0
M066	66	colrain	2011	100223	933497	M_100223_933497	"MAIN RD"	0	0
M066	66	colrain	2011	100229	936113	M_100229_936113	"MAIN RD"	139	0
M066	66	colrain	2011	100234	936592	M_100234_936592	"FOUNDRY VILLAGE RD"	54	0
M066	66	colrain	2011	100246	936183	M_100246_936183	"LYONSVILLE RD"	0	0
M066	66	colrain	2011	100250	934201	M_100250_934201	"MAIN RD"	279	0
M066	66	colrain	2011	100253	933194	M_100253_933194	"CALL RD"	0	0
M066	66	colrain	2011	100253	936700	M_100253_936700	"FOUNDRY VILLAGE RD"	49	0
M066	66	colrain	2011	100260	936228	M_100260_936228	"MAIN RD"	0	0
M066	66	colrain	2011	100266	936590	M_100266_936590	"FOUNDRY VILLAGE RD"	0	0
M066	66	colrain	2011	100275	933840	M_100275_933840	"MAIN RD"	309	0
M066	66	colrain	2011	100278	938462	M_100278_938462	"YORK RD"	0	0
M066	66	colrain	2011	100279	934877	M_100279_934877	"ADAMSVILLE RD"	8	0
M066	66	colrain	2011	100282	933021	M_100282_933021	"CALL RD"	104	0
M066	66	colrain	2011	100287	933232	M_100287_933232	"CALL RD"	89	0
M066	66	colrain	2011	100289	934986	M_100289_934986	"ADAMSVILLE RD"	7B	0
M066	66	colrain	2011	100300	933283	M_100300_933283	"CALL RD"	0	0
M066	66	colrain	2011	100303	934583	M_100303_934583	"MAIN RD"	247	0
M066	66	colrain	2011	100304	933905	M_100304_933905	"MAIN RD"	303	0
M066	66	colrain	2011	100309	934396	M_100309_934396	"MAIN RD"	0	0
M066	66	colrain	2011	100310	934308	M_100310_934308	"MAIN RD"	271	0
M066	66	colrain	2011	100312	932762	M_100312_932762	"CALL RD"	0	0
M066	66	colrain	2011	100317	934048	M_100317_934048	"MAIN RD"	295	0
M066	66	colrain	2011	100317	940923	M_100317_940923	"FAIRBANKS RD"	17	0
M066	66	colrain	2011	100320	936697	M_100320_936697	"FOUNDRY VILLAGE RD"	47	0
M066	66	colrain	2011	100334	935573	M_100334_935573	"MAIN RD"	180	0
M066	66	colrain	2011	100336	936391	M_100336_936391	"MAIN RD"	119	0
M066	66	colrain	2011	100341	937131	M_100341_937131	"FOUNDRY VILLAGE RD"	45	0
M066	66	colrain	2011	100342	935052	M_100342_935052	"ADAMSVILLE RD"	7A	0
M066	66	colrain	2011	100347	934259	M_100347_934259	"MAIN RD"	0	0
M066	66	colrain	2011	100353	936282	M_100353_936282	"MAIN RD"	126	0
