town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M067	67	concord	2011	205830	909558	F_675295_2984108	"POWDER MILL RD"	32B	0
M067	67	concord	2011	205867	909786	F_675416_2984855	"OLD POWDER MILL RD"	54	0
M067	67	concord	2011	205924	909506	F_675601_2983936	"BORDER RD"	32X	0
M067	67	concord	2011	205960	909855	F_675721_2985082	"MAIN ST"	236X	0
M067	67	concord	2011	205978	909697	F_675779_2984563	"OLD POWDER MILL RD"	66	0
M067	67	concord	2011	206001	910072	F_675855_2985793	"MAIN ST"	233X	0
M067	67	concord	2011	206013	910169	F_675893_2986114	"MAIN ST"	236B	0
M067	67	concord	2011	206038	910198	F_675977_2986208	"MAIN ST"	234B	0
M067	67	concord	2011	206052	909532	F_676023_2984022	"OLD POWDER MILL RD"	48	0
M067	67	concord	2011	206062	909444	F_676055_2983734	"BORDER RD"	31Y	0
M067	67	concord	2011	206066	909725	F_676068_2984657	"FOREST RIDGE RD"	3	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-100	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-101	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-102	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-103	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-104	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-105	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-200	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-201	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-202	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-203	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-204	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-205	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-300	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-301	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-302	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-303	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-304	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-305	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	78-78	0
M067	67	concord	2011	206104	910030	F_676192_2985657	"FOREST RIDGE RD"	96	0
M067	67	concord	2011	206116	910303	F_676232_2986554	"MAIN ST"	2320	0
M067	67	concord	2011	206206	910361	F_676528_2986742	"MAIN ST"	2284	0
M067	67	concord	2011	206225	910131	F_676590_2985988	"FOREST RIDGE RD"	35	0
M067	67	concord	2011	206236	909980	F_676627_2985493	"FOREST RIDGE RD"	7A	0
M067	67	concord	2011	206254	909823	F_676684_2984978	"FOREST RIDGE RD"	8	0
M067	67	concord	2011	206304	909362	F_676848_2983464	"BORDER RD"	32Y	0
M067	67	concord	2011	206329	909911	F_676931_2985267	"FOREST RIDGE RD"	9X	0
M067	67	concord	2011	206336	910370	F_676954_2986771	"MAIN ST"	2250	0
M067	67	concord	2011	206383	909340	F_677108_2983392	"BORDER RD"	32B	0
