LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_688842_3073962	"TYNGSBORO RD"	409	0	209959	936945
F_688888_3074027	"WOODBINE PATH"	12	0	209973	936965
F_688932_3074151	"WALNUT ST"	50	0	209987	937003
F_688944_3073854	"TYNGSBORO RD"	403	0	209991	936913
F_688997_3074060	"WALNUT ST"	40	0	210007	936975
F_689011_3073780	"TYNGSBORO RD"	395	0	210011	936890
F_689019_3073920	"WOODBINE PATH"	9	0	210013	936933
F_689049_3074249	"WALNUT ST"	47	0	210023	937033
F_689051_3074427	"MAPLE ST"	20	0	210023	937087
F_689086_3073846	"WISTERIA PATH"	10	0	210034	936910
F_689090_3073691	"TYNGSBORO RD"	385	0	210035	936863
F_689093_3073987	"WALNUT ST"	34	0	210036	936953
F_689116_3074175	"WALNUT ST"	43	0	210043	937010
F_689124_3074314	"MAPLE ST"	17	0	210045	937053
F_689146_3073740	"WISTERIA PATH"	9	0	210052	936878
F_689156_3073616	"TYNGSBORO RD"	377	0	210055	936840
F_689160_3073913	"WALNUT ST"	32	0	210056	936931
F_689179_3074557	"MAPLE ST"	36	0	210062	937127
F_689192_3074240	"WOODBINE PATH"	40	0	210066	937030
F_689214_3073700	"LOCUST ST"	18	0	210073	936866
F_689228_3074623	"MAPLE ST"	42	0	210077	937147
F_689238_3074412	"LINDEN ST"	50	0	210080	937083
F_689239_3074111	"WALNUT ST"	33	0	210080	936991
F_689254_3073191	"TYNGSBORO RD"	330	0	210085	936710
F_689256_3073523	"TYNGSBORO RD"	365	0	210086	936812
F_689266_3074671	"MAPLE ST"	1	0	210089	937162
F_689268_3074305	"WOODBINE PATH"	38	0	210089	937050
F_689273_3073780	"LOCUST ST"	14	0	210091	936890
F_689288_3074021	"WISTERIA PATH"	36	0	210095	936963
F_689291_3073496	"TYNGSBORO RD"	363	0	210096	936803
F_689313_3073432	"TYNGSBORO RD"	361	0	210103	936784
F_689325_3074354	"WOODBINE PATH"	46	0	210107	937065
F_689341_3073585	"LOCUST ST"	23	0	210112	936831
F_689363_3074387	"LINDEN ST"	42	0	210118	937075
F_689367_3073931	"WISTERIA PATH"	31	0	210119	936936
F_689370_3073512	"POPLAR ST"	11	0	210120	936808
F_689374_3071975	"PRIDES CS"	38	0	210122	936340
F_689389_3072069	"WILLOWDALE AV"	69	0	210126	936369
F_689401_3074119	"WISTERIA PATH"	48	0	210130	936993
F_689413_3073464	"POPLAR ST"	15	0	210134	936794
F_689419_3074528	"LINDEN ST"	45	0	210135	937118
