LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_195515_937350	"SHORELINE ST"	33	0	195515	937350
M_195529_937102	"SHORELINE ST"	65	0	195529	937102
M_195529_937166	"SHORELINE ST"	57	0	195529	937166
M_195532_937229	"SHORELINE ST"	49	0	195532	937229
M_195534_937292	"SHORELINE ST"	41	0	195534	937292
M_195542_936832	"SHORELINE ST"	97	0	195542	936832
M_195547_937043	"SHORELINE ST"	73	0	195547	937043
M_195558_937582	"SHORELINE ST"	21	0	195558	937582
M_195570_936932	"SHORELINE ST"	89	0	195570	936932
M_195576_936991	"SHORELINE ST"	81	0	195576	936991
M_195596_936724	"SHORELINE ST"	105	0	195596	936724
M_195601_937629	"SHORELINE ST"	15	0	195601	937629
M_195614_936467	"SHORELINE ST"	25	0	195614	936467
M_195635_936857	"SHORELINE ST"	88	0	195635	936857
M_195646_937703	"SHORELINE ST"	9	0	195646	937703
M_195653_937431	"SHORELINE ST"	24	0	195653	937431
M_195659_936192	"RIVER ST"	445	0	195659	936192
M_195667_936785	"SHORELINE ST"	104	0	195667	936785
M_195677_937363	"SHORELINE ST"	42	0	195677	937363
M_195678_937152	"SHORELINE ST"	56	0	195678	937152
M_195686_936664	"SHORELINE ST"	113	0	195686	936664
M_195686_937221	"SHORELINE ST"	50	0	195686	937221
M_195694_937083	"SHORELINE ST"	72	0	195694	937083
M_195697_937293	"SHORELINE ST"	48	0	195697	937293
M_195703_936931	"SHORELINE ST"	86	0	195703	936931
M_195723_937009	"SHORELINE ST"	82	0	195723	937009
M_195728_936289	"RIVER ST"	439	0	195728	936289
M_195733_937680	"SHORELINE ST"	5	0	195733	937680
M_195735_936787	"SHORELINE ST"	118	0	195735	936787
M_195746_937436	"SHORELINE ST"	12	0	195746	937436
M_195770_936848	"SHORELINE ST"	130	0	195770	936848
M_195791_936675	"SHORELINE ST"	121	0	195791	936675
M_195792_937563	"SHORELINE ST"	1	0	195792	937563
M_195805_937236	"SHORELINE ST"	6	0	195805	937236
M_195816_936140	"RIVER ST"	451	0	195816	936140
M_195825_936886	"SHORELINE ST"	136	0	195825	936886
M_195843_936241	"RIVER ST"	431	0	195843	936241
M_195849_936709	"SHORELINE ST"	129	0	195849	936709
M_195851_937497	"RIVER ST"	215	0	195851	937497
M_195852_936377	"RIVER ST"	415	0	195852	936377
M_195854_936307	"RIVER ST"	425	0	195854	936307
M_195867_936437	"RIVER ST"	405	0	195867	936437
M_195869_937437	"RIVER ST"	219	0	195869	937437
M_195885_936762	"SHORELINE ST"	137	0	195885	936762
M_195886_937602	"SHORELINE ST"	2	0	195886	937602
M_195893_937748	"RIVER ST"	0	0	195893	937748
M_195897_937376	"RIVER ST"	223	0	195897	937376
M_195912_936495	"RIVER ST"	395	0	195912	936495
M_195915_936990	"RIVER ST"	0	0	195915	936990
M_195920_937317	"RIVER ST"	227	0	195920	937317
M_195928_936553	"RIVER ST"	375	0	195928	936553
M_195938_937256	"RIVER ST"	231	0	195938	937256
