town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M083	83	eastbridgewater	2011	242300	867424	F_794945_2845874	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242325	867461	F_795027_2845996	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242398	866868	F_795269_2844049	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242399	866770	F_795271_2843728	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242401	866945	F_795278_2844302	"PETERSON AV"	0	0
M083	83	eastbridgewater	2011	242403	866712	F_795284_2843538	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242412	866662	F_795315_2843373	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242420	866621	F_795340_2843240	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242423	866604	F_795351_2843183	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242427	866585	F_795361_2843122	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242430	866563	F_795371_2843049	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242434	866533	F_795386_2842949	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242435	867197	F_795389_2845128	"EAST ST"	0	0
M083	83	eastbridgewater	2011	242459	867645	F_795468_2846599	"EAST ST"	0	0
M083	83	eastbridgewater	2011	242466	867890	F_795491_2847404	"THATCHER ST"	0	0
M083	83	eastbridgewater	2011	242479	867422	F_795533_2845866	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242494	866218	F_795581_2841916	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242497	866362	F_795593_2842389	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242506	866134	F_795621_2841641	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242510	866182	F_795635_2841798	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242517	866242	F_795658_2841994	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242518	866042	F_795661_2841341	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242522	866302	F_795674_2842191	"TOMS LN"	1	0
M083	83	eastbridgewater	2011	242528	866081	F_795693_2841469	"BELMONT ST"	22	0
M083	83	eastbridgewater	2011	242538	865921	F_795726_2840943	"PLEASANT ST"	0	0
M083	83	eastbridgewater	2011	242538	865983	F_795727_2841145	"PLEASANT ST"	499	0
M083	83	eastbridgewater	2011	242545	866122	F_795751_2841602	"BELMONT ST"	32	0
M083	83	eastbridgewater	2011	242546	865855	F_795754_2840727	"PLEASANT ST"	0	0
M083	83	eastbridgewater	2011	242556	865890	F_795786_2840840	"PLEASANT ST"	484	0
M083	83	eastbridgewater	2011	242571	865954	F_795836_2841052	"PLEASANT ST"	487	0
M083	83	eastbridgewater	2011	242580	866145	F_795865_2841676	"BELMONT ST"	42	0
M083	83	eastbridgewater	2011	242583	865649	F_795876_2840050	"MATFIELD ST"	0	0
M083	83	eastbridgewater	2011	242585	868265	F_795882_2848634	"THATCHER ST"	0	0
M083	83	eastbridgewater	2011	242587	866555	F_795887_2843023	"BELMONT ST"	0	0
M083	83	eastbridgewater	2011	242590	865821	F_795898_2840615	"PLEASANT ST"	450	0
M083	83	eastbridgewater	2011	242591	866000	F_795901_2841201	"BELMONT ST"	25	0
M083	83	eastbridgewater	2011	242598	866190	F_795923_2841826	"BELMONT ST"	48	0
M083	83	eastbridgewater	2011	242602	865932	F_795938_2840977	"PLEASANT ST"	475	0
M083	83	eastbridgewater	2011	242608	866054	F_795958_2841378	"BELMONT ST"	29	0
M083	83	eastbridgewater	2011	242613	866325	F_795973_2842268	"BELMONT ST"	84	0
M083	83	eastbridgewater	2011	242624	867198	F_796010_2845132	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242629	866112	F_796025_2841570	"BELMONT ST"	41	0
M083	83	eastbridgewater	2011	242635	865401	F_796045_2839236	"MATFIELD ST"	0	0
M083	83	eastbridgewater	2011	242640	866213	F_796060_2841900	"BELMONT ST"	70	0
M083	83	eastbridgewater	2011	242645	866015	F_796079_2841251	"BEAVER VILLAGE WAY"	3	0
M083	83	eastbridgewater	2011	242646	865234	F_796082_2838687	"THAYER AV"	0	0
M083	83	eastbridgewater	2011	242647	865355	F_796085_2839086	"MICHELLES WAY"	2	0
M083	83	eastbridgewater	2011	242654	866262	F_796107_2842060	"BELMONT ST"	94	0
M083	83	eastbridgewater	2011	242655	865301	F_796111_2838908	"MICHELLES WAY"	4	0
M083	83	eastbridgewater	2011	242658	865202	F_796120_2838582	"THAYER AV"	0	0
M083	83	eastbridgewater	2011	242662	865600	F_796132_2839889	"PLEASANT ST"	400	0
M083	83	eastbridgewater	2011	242662	867018	F_796132_2844541	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242662	865160	F_796134_2838447	"SHAWNEE AV"	6	0
M083	83	eastbridgewater	2011	242664	865944	F_796139_2841017	"PLEASANT ST"	463	0
M083	83	eastbridgewater	2011	242672	865466	F_796166_2839450	"MATFIELD ST"	0	0
M083	83	eastbridgewater	2011	242680	865176	F_796191_2838498	"SHAWNEE AV"	16	0
M083	83	eastbridgewater	2011	242680	865122	F_796193_2838321	"SHAWNEE AV"	7	0
M083	83	eastbridgewater	2011	242683	866077	F_796202_2841455	"BEAVER VILLAGE WAY"	4	0
M083	83	eastbridgewater	2011	242684	865877	F_796207_2840798	"PLEASANT ST"	451	0
M083	83	eastbridgewater	2011	242685	866126	F_796209_2841615	"BELMONT ST"	47	0
M083	83	eastbridgewater	2011	242687	865250	F_796215_2838741	"MICHELLES WAY"	6	0
M083	83	eastbridgewater	2011	242687	865099	F_796217_2838244	"THAYER AV"	64	0
M083	83	eastbridgewater	2011	242688	867452	F_796219_2845964	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242691	866804	F_796230_2843841	"SUMMER ST"	0	0
M083	83	eastbridgewater	2011	242696	864959	F_796245_2837785	"THAYER AV"	0	0
M083	83	eastbridgewater	2011	242698	865066	F_796251_2838139	"THAYER AV"	66	0
M083	83	eastbridgewater	2011	242702	864937	F_796266_2837715	"THAYER AV"	0	0
M083	83	eastbridgewater	2011	242705	865190	F_796274_2838545	"SHAWNEE AV"	24	0
M083	83	eastbridgewater	2011	242706	865723	F_796277_2840294	"PLEASANT ST"	392	0
M083	83	eastbridgewater	2011	242708	866262	F_796284_2842062	"BELMONT ST"	106	0
M083	83	eastbridgewater	2011	242710	864911	F_796292_2837628	"THAYER AV"	119	0
M083	83	eastbridgewater	2011	242713	865124	F_796300_2838329	"SHAWNEE AV"	17	0
M083	83	eastbridgewater	2011	242714	865324	F_796303_2838985	"MATFIELD ST"	84	0
M083	83	eastbridgewater	2011	242716	864888	F_796312_2837554	"THAYER AV"	131	0
M083	83	eastbridgewater	2011	242719	865015	F_796321_2837969	"THAYER AV"	110	0
M083	83	eastbridgewater	2011	242720	866152	F_796325_2841699	"BELMONT ST"	67	0
M083	83	eastbridgewater	2011	242722	864871	F_796329_2837496	"THAYER AV"	139	0
M083	83	eastbridgewater	2011	242723	868484	F_796334_2849351	"THATCHER ST"	358	0
M083	83	eastbridgewater	2011	242727	864853	F_796347_2837438	"THAYER AV"	147	0
M083	83	eastbridgewater	2011	242729	865207	F_796353_2838600	"SHAWNEE AV"	34	0
M083	83	eastbridgewater	2011	242731	865360	F_796360_2839103	"MATFIELD ST"	76	0
M083	83	eastbridgewater	2011	242732	865084	F_796362_2838195	"LELAND ST"	18	0
M083	83	eastbridgewater	2011	242732	864835	F_796364_2837381	"THAYER AV"	151	0
M083	83	eastbridgewater	2011	242733	864983	F_796367_2837866	"THAYER AV"	112	0
M083	83	eastbridgewater	2011	242734	866183	F_796370_2841802	"BELMONT ST"	87	0
M083	83	eastbridgewater	2011	242736	866011	F_796377_2841238	"BEAVER VILLAGE WAY"	5	0
M083	83	eastbridgewater	2011	242737	864818	F_796380_2837323	"THAYER AV"	157	0
M083	83	eastbridgewater	2011	242741	865934	F_796392_2840984	"PLEASANT ST"	445	0
M083	83	eastbridgewater	2011	242741	868440	F_796394_2849208	"THATCHER ST"	0	0
M083	83	eastbridgewater	2011	242742	865138	F_796395_2838372	"SHAWNEE AV"	27	0
M083	83	eastbridgewater	2011	242742	864800	F_796397_2837266	"THAYER AV"	0	0
M083	83	eastbridgewater	2011	242742	864962	F_796397_2837797	"THAYER AV"	118	0
M083	83	eastbridgewater	2011	242747	864783	F_796414_2837208	"THAYER AV"	167	0
M083	83	eastbridgewater	2011	242748	865813	F_796417_2840589	"PLEASANT ST"	431	0
M083	83	eastbridgewater	2011	242752	864942	F_796429_2837729	"THAYER AV"	120	0
M083	83	eastbridgewater	2011	242753	864765	F_796432_2837150	"THAYER AV"	177	0
M083	83	eastbridgewater	2011	242754	865223	F_796436_2838651	"SHAWNEE AV"	42	0
M083	83	eastbridgewater	2011	242754	865308	F_796436_2838931	"WATERMAN ST"	29	0
M083	83	eastbridgewater	2011	242757	866235	F_796445_2841974	"BELMONT ST"	113	0
M083	83	eastbridgewater	2011	242757	865024	F_796446_2837998	"LELAND ST"	19	0
M083	83	eastbridgewater	2011	242758	865095	F_796447_2838231	"LELAND ST"	26	0
M083	83	eastbridgewater	2011	242762	864739	F_796461_2837063	"THAYER AV"	179	0
M083	83	eastbridgewater	2011	242768	865572	F_796481_2839796	"PLEASANT ST"	0	0
M083	83	eastbridgewater	2011	242769	864902	F_796484_2837599	"THAYER AV"	134	0
M083	83	eastbridgewater	2011	242769	865668	F_796484_2840111	"PLEASANT ST"	378	0
M083	83	eastbridgewater	2011	242772	865150	F_796494_2838413	"SHAWNEE AV"	37	0
M083	83	eastbridgewater	2011	242773	866309	F_796499_2842216	"BELMONT ST"	128	0
M083	83	eastbridgewater	2011	242775	865264	F_796504_2838786	"WATERMAN ST"	49	0
M083	83	eastbridgewater	2011	242778	865895	F_796514_2840858	"PLEASANT ST"	437	0
M083	83	eastbridgewater	2011	242779	865382	F_796516_2839174	"MATFIELD ST"	0	0
M083	83	eastbridgewater	2011	242779	865457	F_796518_2839421	"MATFIELD ST"	0	0
M083	83	eastbridgewater	2011	242780	868546	F_796520_2849554	"THATCHER ST"	0	0
M083	83	eastbridgewater	2011	242781	864461	F_796524_2836154	"W UNION ST"	0	0
M083	83	eastbridgewater	2011	242786	865035	F_796539_2838037	"LELAND ST"	27	0
