LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_373983_2856240	"NORTH MAIN ST"	674	0	113990	870584
F_373989_2856121	"DWIGHT RD"	29	0	113992	870547
F_374000_2856047	"DWIGHT RD"	35	0	113995	870525
F_374005_2855999	"DWIGHT RD"	41	0	113997	870510
F_374010_2855951	"DWIGHT RD"	47	0	113998	870496
F_374015_2855903	"DWIGHT RD"	51	0	114000	870481
F_374021_2855854	"DWIGHT RD"	55	0	114002	870466
F_374026_2855804	"DWIGHT RD"	61	0	114003	870451
F_374036_2855705	"DWIGHT RD"	71	0	114006	870421
F_374041_2855654	"DWIGHT RD"	75	0	114008	870405
F_374046_2855605	"DWIGHT RD"	81	0	114009	870390
F_374052_2855555	"DWIGHT RD"	85	0	114011	870375
F_374057_2855506	"DWIGHT RD"	91	0	114013	870360
F_374062_2855456	"DWIGHT RD"	95	0	114014	870345
F_374067_2855407	"DWIGHT RD"	101	0	114016	870330
F_374069_2856334	"NORTH MAIN ST"	671	0	114016	870612
F_374071_2856161	"NORTH MAIN ST"	664	0	114017	870560
F_374072_2855357	"DWIGHT RD"	105	0	114017	870315
F_374077_2855308	"DWIGHT RD"	109	0	114019	870300
F_374086_2856056	"WOOD AV"	11	0	114022	870528
F_374090_2856008	"WOOD AV"	13	0	114023	870513
F_374091_2855184	"DWIGHT RD"	121	0	114023	870262
F_374094_2855960	"WOOD AV"	17	0	114024	870498
F_374099_2855898	"WOOD AV"	23	0	114026	870479
F_374106_2855824	"WOOD AV"	29	0	114028	870457
F_374111_2856327	"NORTH MAIN ST"	665	0	114029	870610
F_374116_2855712	"WOOD AV"	39	0	114031	870423
F_374121_2855662	"WOOD AV"	43	0	114032	870408
F_374122_2855060	"DWIGHT RD"	135	0	114033	870224
F_374125_2855111	"DWIGHT RD"	131	0	114034	870240
F_374125_2855612	"WOOD AV"	45	0	114034	870392
F_374130_2855555	"WOOD AV"	51	0	114035	870375
F_374137_2855481	"WOOD AV"	55	0	114037	870352
F_374142_2855414	"WOOD AV"	61	0	114039	870332
F_374150_2855327	"WOOD AV"	71	0	114041	870305
F_374160_2855215	"WOOD AV"	77	0	114044	870271
F_374164_2855014	"DWIGHT RD"	141	0	114045	870210
F_374169_2854964	"DWIGHT RD"	147	0	114047	870195
F_374175_2854914	"DWIGHT RD"	153	0	114049	870180
F_374179_2856299	"NORTH MAIN ST"	659	0	114050	870602
F_374180_2854864	"DWIGHT RD"	157	0	114050	870164
F_374185_2854814	"DWIGHT RD"	161	0	114052	870149
F_374190_2854764	"DWIGHT RD"	165	0	114053	870134
F_374192_2855067	"WOOD AV"	89	0	114054	870226
F_374196_2854714	"DWIGHT RD"	171	0	114055	870119
F_374197_2855143	"WOOD AV"	83	0	114055	870249
F_374201_2854665	"DWIGHT RD"	175	0	114057	870104
F_374206_2854402	"DWIGHT RD"	197	0	114058	870023
F_374210_2854519	"DWIGHT RD"	185	0	114059	870059
F_374222_2854274	"DWIGHT RD"	215	0	114063	869984
F_374243_2856257	"NORTH MAIN ST"	655	0	114069	870589
F_374261_2856063	"NORTH MAIN ST"	648	0	114075	870530
F_374275_2855969	"WOOD AV"	18	0	114079	870501
F_374282_2855892	"WOOD AV"	26	0	114081	870478
F_374283_2856216	"NORTH MAIN ST"	653	0	114082	870576
F_374288_2855829	"WOOD AV"	30	0	114083	870458
F_374290_2854441	"ATHENS ST"	33	0	114084	870035
F_374292_2853741	"DWIGHT RD"	267	0	114084	869822
F_374293_2853643	"DWIGHT RD"	277	0	114085	869792
F_374297_2855728	"WOOD AV"	40	0	114086	870428
F_374301_2855679	"WOOD AV"	44	0	114087	870413
F_374306_2855629	"WOOD AV"	48	0	114089	870397
F_374307_2853543	"DWIGHT RD"	291	0	114089	869762
F_374307_2854550	"PINE ST"	14	0	114089	870069
F_374310_2854285	"ATHENS ST"	36	0	114090	869988
F_374312_2855562	"WOOD AV"	52	0	114091	870377
F_374318_2855488	"WOOD AV"	58	0	114092	870354
F_374325_2855406	"WOOD AV"	62	0	114094	870329
F_374328_2853395	"DWIGHT RD"	301	0	114095	869717
F_374332_2855331	"WOOD AV"	70	0	114097	870307
F_374334_2853115	"DWIGHT RD"	329	0	114097	869631
F_374336_2853333	"DWIGHT RD"	307	0	114098	869698
F_374342_2855219	"WOOD AV"	78	0	114100	870272
F_374349_2853245	"CHANNING RD"	2	0	114102	869671
F_374354_2855083	"WOOD AV"	90	0	114103	870231
F_374358_2855146	"WOOD AV"	86	0	114105	870250
F_374359_2855033	"WOOD AV"	96	0	114105	870216
F_374366_2854957	"WOOD AV"	100	0	114107	870193
F_374367_2854555	"PINE ST"	12	0	114107	870070
F_374373_2854881	"WOOD AV"	106	0	114109	870169
F_374374_2852744	"DWIGHT RD"	367	0	114109	869518
F_374376_2852871	"DWIGHT RD"	351	0	114110	869557
F_374377_2853123	"CHANNING RD"	5	0	114110	869634
F_374379_2853631	"ADMIRAL ST"	106	0	114111	869788
F_374380_2853024	"VILLANOVA ST"	41	0	114111	869603
F_374382_2853363	"TUFTS ST"	62	0	114112	869707
F_374382_2854781	"WOOD AV"	114	0	114112	870139
F_374389_2854454	"ATHENS ST"	25	0	114114	870039
F_374394_2856162	"NORTH MAIN ST"	641	0	114116	870560
F_374395_2853533	"TUFTS ST"	61	0	114116	869759
F_374395_2856336	"ROSEMONT ST"	9	0	114116	870613
F_374398_2854833	"WOOD AV"	110	0	114117	870155
F_374398_2855883	"NORTH MAIN ST"	642	0	114117	870475
F_374400_2853759	"ADMIRAL ST"	101	0	114117	869827
F_374408_2852648	"DWIGHT RD"	377	0	114120	869489
F_374415_2852599	"DWIGHT RD"	381	0	114122	869474
F_374416_2854733	"WOOD AV"	118	0	114122	870124
F_374418_2852778	"CORNING ST"	5	0	114123	869528
F_374418_2855670	"THOMPSON ST"	14	0	114123	870410
F_374422_2852523	"DWIGHT RD"	389	0	114124	869451
F_374422_2854683	"WOOD AV"	120	0	114124	870109
F_374425_2855593	"THOMPSON ST"	18	0	114125	870386
F_374426_2854561	"PINE ST"	10	0	114125	870072
F_374432_2855516	"THOMPSON ST"	20	0	114127	870363
F_374439_2855440	"THOMPSON ST"	24	0	114129	870340
F_374444_2856155	"NORTH MAIN ST"	637	0	114131	870558
F_374445_2855360	"THOMPSON ST"	26	0	114131	870315
F_374449_2852883	"VILLANOVA ST"	40	0	114132	869560
F_374457_2855231	"THOMPSON ST"	32	0	114135	870276
F_374459_2853137	"CHANNING RD"	9	0	114135	869638
F_374459_2854304	"ATHENS ST"	26	0	114135	869994
F_374460_2852385	"DWIGHT RD"	405	0	114136	869409
F_374466_2853378	"TUFTS ST"	58	0	114137	869711
F_374471_2855077	"THOMPSON ST"	38	0	114139	870229
F_374473_2852298	"DWIGHT RD"	411	0	114140	869382
F_374473_2855158	"THOMPSON ST"	34	0	114140	870254
F_374477_2853648	"ADMIRAL ST"	96	0	114141	869794
F_374479_2851907	"DWIGHT RD"	449	0	114141	869263
F_374479_2854993	"THOMPSON ST"	42	0	114141	870204
F_374484_2853293	"CHANNING RD"	12	0	114143	869685
F_374485_2851978	"DWIGHT RD"	443	0	114143	869285
F_374485_2852199	"DWIGHT RD"	423	0	114143	869352
F_374486_2852535	"BOULDER ST"	5	0	114144	869454
F_374486_2856378	"GRANBY ST"	36	0	114144	870626
F_374487_2854909	"THOMPSON ST"	44	0	114144	870178
F_374488_2854466	"ATHENS ST"	15	0	114144	870043
F_374493_2853549	"TUFTS ST"	57	0	114146	869763
F_374495_2856124	"NORTH MAIN ST"	635	0	114146	870548
F_374496_2856294	"GRANBY ST"	30	0	114147	870600
F_374499_2853043	"VILLANOVA ST"	33	0	114148	869609
F_374501_2854569	"PINE ST"	6	0	114148	870074
F_374503_2854813	"THOMPSON ST"	50	0	114149	870149
F_374507_2856208	"GRANBY ST"	22	0	114150	870574
F_374512_2851715	"BUNKER CR"	2	0	114151	869204
F_374514_2852640	"CORNING ST"	10	0	114152	869486
F_374515_2852792	"CORNING ST"	7	0	114152	869533
F_374517_2851624	"BUNKER CR"	10	0	114153	869177
F_374528_2853780	"ADMIRAL ST"	91	0	114156	869834
F_374533_2854720	"THOMPSON ST"	52	0	114158	870120
F_374534_2855943	"NORTH MAIN ST"	630	0	114158	870493
F_374541_2856119	"NORTH MAIN ST"	631	0	114160	870547
F_374542_2851363	"PUTTING GREEN CI"	34	0	114161	869097
F_374548_2852899	"VILLANOVA ST"	30	0	114162	869565
F_374549_2851903	"BUNKER CR"	1	0	114163	869262
F_374551_2853660	"ADMIRAL ST"	90	0	114163	869797
F_374554_2852355	"BOULDER ST"	8	0	114164	869400
F_374558_2853153	"CHANNING RD"	15	0	114166	869643
F_374560_2852546	"BOULDER ST"	11	0	114166	869458
F_374565_2851422	"BUNKER CR"	20	0	114168	869115
F_374567_2853409	"TUFTS ST"	54	0	114168	869721
F_374572_2852087	"DWIGHT RD"	433	0	114170	869318
F_374583_2853309	"CHANNING RD"	16	0	114173	869690
F_374588_2855687	"THOMPSON ST"	13	0	114175	870415
F_374592_2853565	"TUFTS ST"	53	0	114176	869768
F_374595_2855606	"THOMPSON ST"	17	0	114177	870390
F_374600_2854577	"PINE ST"	2	0	114178	870077
F_374601_2853668	"ADMIRAL ST"	84	0	114179	869800
F_374602_2855524	"THOMPSON ST"	19	0	114179	870365
F_374607_2854323	"ATHENS ST"	6	0	114180	869999
F_374608_2855458	"THOMPSON ST"	23	0	114181	870345
F_374613_2852809	"CORNING ST"	15	0	114182	869538
F_374614_2855396	"THOMPSON ST"	25	0	114183	870326
F_374623_2853063	"VILLANOVA ST"	23	0	114185	869615
F_374626_2855247	"THOMPSON ST"	31	0	114186	870281
F_374630_2852365	"BOULDER ST"	12	0	114187	869403
F_374633_2851819	"BUNKER CR"	7	0	114188	869236
F_374634_2852558	"BOULDER ST"	15	0	114189	869461
F_374635_2855325	"THOMPSON ST"	29	0	114189	870305
F_374636_2855173	"THOMPSON ST"	35	0	114189	870258
F_374637_2852660	"CORNING ST"	14	0	114190	869493
F_374637_2855843	"NORTH MAIN ST"	618-634	0	114190	870463
F_374639_2855097	"THOMPSON ST"	37	0	114190	870235
F_374641_2851293	"PUTTING GREEN CI"	46	0	114191	869076
F_374641_2856381	"GRANBY ST"	33	0	114191	870627
F_374645_2855022	"THOMPSON ST"	39	0	114192	870212
F_374650_2851445	"BUNKER CR"	27	0	114194	869122
F_374652_2854948	"THOMPSON ST"	43	0	114194	870190
F_374655_2856269	"GRANBY ST"	25	0	114195	870593
F_374657_2853321	"CHANNING RD"	18	0	114196	869694
F_374659_2854873	"THOMPSON ST"	47	0	114196	870167
F_374664_2851687	"BUNKER CR"	15	0	114198	869196
F_374666_2853425	"TUFTS ST"	48	0	114198	869726
F_374666_2854798	"THOMPSON ST"	49	0	114198	870144
F_374672_2852892	"CORNING ST"	21	0	114200	869563
F_374672_2854722	"THOMPSON ST"	51	0	114200	870121
F_374673_2856131	"NORTH MAIN ST"	621	0	114201	870550
F_374684_2852183	"TOWN VIEW CR"	11	0	114204	869347
F_374686_2851558	"BUNKER CR"	25	0	114205	869157
F_374688_2854623	"THOMPSON ST"	55	0	114205	870091
F_374691_2855488	"VAN DYKE RD"	45	0	114206	870354
F_374692_2855631	"VAN DYKE RD"	31	0	114206	870398
F_374699_2853685	"ADMIRAL ST"	76	0	114208	869805
F_374704_2855710	"VAN DYKE RD"	23	0	114210	870422
F_374706_2852376	"BOULDER ST"	16	0	114211	869406
F_374710_2852571	"BOULDER ST"	19	0	114212	869465
F_374715_2853586	"TUFTS ST"	47	0	114213	869775
F_374721_2853180	"CHANNING RD"	21	0	114215	869651
F_374724_2854364	"ATHENS ST"	2	0	114216	870012
F_374733_2851166	"PUTTING GREEN CI"	55	0	114219	869037
F_374740_2856404	"BARNUM ST"	42	0	114221	870634
F_374741_2851934	"TOWN VIEW CR"	12	0	114221	869271
F_374757_2852652	"CORNING ST"	20	0	114226	869490
F_374758_2856046	"NORTH MAIN ST"	617	0	114226	870525
F_374758_2856250	"BARNUM ST"	30	0	114226	870587
F_374760_2854913	"VAN DYKE RD"	91	0	114227	870179
F_374771_2856146	"BARNUM ST"	20	0	114230	870555
F_374784_2855103	"VAN DYKE RD"	86	0	114234	870237
F_374786_2852210	"TOWN VIEW CR"	7	0	114235	869355
F_374795_2852914	"CORNING ST"	27	0	114238	869570
F_374795_2855303	"VAN DYKE RD"	64	0	114238	870298
F_374796_2851711	"FRANCONIA CR"	100	0	114238	869203
F_374799_2855373	"VAN DYKE RD"	56	0	114239	870319
F_374802_2855428	"VAN DYKE RD"	52	0	114240	870336
F_374805_2855468	"VAN DYKE RD"	48	0	114241	870348
F_374807_2854712	"BRAEBURN RD"	123	0	114241	870118
F_374808_2856044	"NORTH MAIN ST"	611	0	114242	870524
F_374809_2854601	"BRAEBURN RD"	133	0	114242	870084
F_374809_2855544	"VAN DYKE RD"	40	0	114242	870372
F_374811_2851544	"FRANCONIA CR"	94	0	114243	869152
F_374811_2854501	"BRAEBURN RD"	143	0	114243	870054
F_374812_2853449	"BRAEBURN RD"	195	0	114243	869733
F_374814_2854397	"BRAEBURN RD"	149	0	114244	870022
F_374815_2854272	"BRAEBURN RD"	153	0	114244	869984
F_374818_2853094	"BRAEBURN RD"	215	0	114245	869625
F_374820_2853706	"BRAEBURN RD"	183	0	114245	869811
F_374820_2855639	"VAN DYKE RD"	26	0	114245	870401
F_374828_2855201	"VAN DYKE RD"	72	0	114248	870267
F_374834_2855846	"NORTH MAIN ST"	612	0	114250	870464
F_374836_2853607	"BRAEBURN RD"	189	0	114250	869781
F_374840_2851423	"FRANCONIA CR"	90	0	114251	869115
F_374844_2852707	"CORNING ST"	26	0	114253	869507
F_374847_2854828	"BRAEBURN RD"	111	0	114254	870153
F_374849_2854908	"BRAEBURN RD"	101	0	114254	870178
F_374858_2851996	"TOWN VIEW CR"	6	0	114257	869290
F_374860_2855058	"BRAEBURN RD"	85	0	114258	870223
F_374863_2852449	"BOULDER ST"	22	0	114258	869428
F_374864_2851319	"FRANCONIA CR"	84	0	114259	869084
F_374872_2855719	"VAN DYKE RD"	14	0	114261	870425
F_374877_2853357	"BRAEBURN RD"	201	0	114263	869705
F_374877_2855349	"BRAEBURN RD"	63	0	114263	870312
F_374884_2851215	"FRANCONIA CR"	80	0	114265	869052
F_374887_2855530	"BRAEBURN RD"	37	0	114266	870367
F_374891_2853208	"BRAEBURN RD"	207	0	114267	869660
F_374891_2856442	"BARNUM ST"	45	0	114267	870645
F_374896_2852216	"TOWN VIEW CR"	3	0	114269	869357
F_374898_2856387	"BARNUM ST"	39	0	114269	870628
F_374903_2851875	"PECOUSIC DR"	2	0	114271	869253
F_374904_2855830	"NORTH MAIN ST"	604	0	114271	870459
F_374910_2856287	"BARNUM ST"	33	0	114273	870598
F_374911_2853008	"BRAEBURN RD"	219	0	114273	869599
F_374916_2856238	"BARNUM ST"	27	0	114275	870583
F_374918_2856022	"NORTH MAIN ST"	607	0	114275	870517
F_374924_2851096	"FRANCONIA CR"	76	0	114277	869016
F_374926_2851771	"FRANCONIA CR"	104	0	114278	869222
F_374928_2856139	"BARNUM ST"	15	0	114278	870553
F_374929_2852910	"BRAEBURN RD"	223	0	114279	869569
F_374945_2852813	"BRAEBURN RD"	229	0	114283	869539
F_374948_2854292	"BRAEBURN RD"	154	0	114284	869990
F_374957_2854432	"BRAEBURN RD"	146	0	114287	870033
F_374961_2852715	"BRAEBURN RD"	233	0	114288	869509
F_374962_2853779	"HOLY CROSS CR"	4	0	114289	869834
F_374963_2854556	"BRAEBURN RD"	134	0	114289	870070
F_374968_2852018	"TOWN VIEW CR"	2	0	114290	869297
F_374970_2854681	"BRAEBURN RD"	124	0	114291	870109
F_374971_2854161	"BRAEBURN RD"	162	0	114291	869950
F_374973_2852615	"BRAEBURN RD"	239	0	114292	869479
F_374975_2856466	"DORSET ST"	54	0	114293	870653
F_374978_2854061	"BRAEBURN RD"	166	0	114294	869920
F_374984_2853971	"BRAEBURN RD"	172	0	114295	869892
F_374985_2853630	"HOLY CROSS CR"	3	0	114296	869788
F_374986_2848000	"MAPLE ST"	331	0	114296	868072
F_374987_2856002	"NORTH MAIN ST"	601	0	114296	870511
F_374988_2852371	"PECOUSIC DR"	20	0	114297	869404
F_374994_2853880	"BRAEBURN RD"	176	0	114298	869864
F_374998_2855240	"BRAEBURN RD"	70	0	114300	870279
F_374999_2856272	"DORSET ST"	38	0	114300	870593
F_375002_2853532	"PRINCETON ST"	4	0	114301	869758
F_375007_2855360	"BRAEBURN RD"	60	0	114302	870315
F_375008_2856198	"DORSET ST"	32	0	114303	870571
F_375009_2851547	"FRANCONIA CR"	93	0	114303	869153
F_375018_2854820	"BRAEBURN RD"	112	0	114306	870151
F_375019_2848293	"MAPLE ST"	319	0	114306	868161
F_375021_2855620	"BRAEBURN RD"	28	0	114307	870395
F_375022_2854899	"BRAEBURN RD"	102	0	114307	870175
F_375022_2856086	"DORSET ST"	20	0	114307	870537
F_375026_2853383	"PRINCETON ST"	3	0	114308	869713
F_375026_2854979	"BRAEBURN RD"	94	0	114308	870199
F_375026_2855710	"BRAEBURN RD"	22	0	114308	870422
F_375030_2855059	"BRAEBURN RD"	86	0	114309	870224
F_375035_2855138	"BRAEBURN RD"	80	0	114311	870248
F_375038_2851009	"FRANCONIA CR"	72	0	114312	868989
F_375039_2847754	"MAPLE ST"	334	0	114312	867997
F_375040_2855820	"NORTH MAIN ST"	600	0	114312	870456
F_375041_2853285	"HOLY CROSS CR"	61	0	114313	869683
F_375050_2851395	"FRANCONIA CR"	85	0	114315	869107
F_375052_2855448	"BRAEBURN RD"	48	0	114316	870342
F_375055_2856000	"NORTH MAIN ST"	595	0	114317	870511
F_375060_2855523	"BRAEBURN RD"	42	0	114319	870365
F_375063_2853795	"HOLY CROSS CR"	8	0	114319	869838
F_375064_2853137	"HOLY CROSS CR"	60	0	114320	869638
F_375076_2847633	"CHESTNUT ST"	513	0	114323	867960
F_375086_2853647	"HOLY CROSS CR"	9	0	114326	869793
F_375089_2851288	"FRANCONIA CR"	79	0	114327	869074
F_375102_2853548	"PRINCETON ST"	8	0	114331	869763
F_375116_2847825	"MAPLE ST"	328	0	114336	868019
F_375117_2855800	"NORTH MAIN ST"	590	0	114336	870450
F_375118_2851574	"FRANCONIA CR"	115	0	114336	869161
F_375126_2853400	"PRINCETON ST"	7	0	114339	869718
F_375138_2851191	"FRANCONIA CR"	65	0	114342	869045
F_375140_2856240	"DORSET ST"	35	0	114343	870584
F_375142_2853301	"HOLY CROSS CR"	55	0	114344	869688
F_375161_2853811	"HOLY CROSS CR"	12	0	114349	869843
F_375163_2853154	"HOLY CROSS CR"	56	0	114350	869643
F_375163_2856393	"DORSET ST"	39	0	114350	870630
F_375164_2846918	"BENTON DR"	30	0	114350	867742
F_375174_2847906	"MAPLE ST"	324	0	114353	868043
F_375175_2851433	"FRANCONIA CR"	123	0	114354	869119
F_375180_2852400	"BRAEBURN RD"	244	0	114355	869413
F_375180_2854282	"GERRARD AV"	107	0	114355	869987
F_375181_2851928	"PECOUSIC DR"	1	0	114355	869269
F_375183_2851008	"FRANCONIA CR"	66	0	114356	868989
F_375185_2853663	"HOLY CROSS CR"	13	0	114357	869798
F_375189_2851816	"FRANCONIA CR"	110	0	114358	869235
F_375189_2854359	"GERRARD AV"	101	0	114358	870010
F_375192_2853059	"BRAEBURN RD"	218	0	114359	869614
F_375195_2854435	"GERRARD AV"	97	0	114360	870034
F_375201_2853565	"PRINCETON ST"	14	0	114361	869768
F_375204_2854498	"GERRARD AV"	93	0	114362	870053
F_375206_2852963	"BRAEBURN RD"	222	0	114363	869585
F_375207_2846092	"HARRIS DR"	13	0	114363	867491
F_375208_2846034	"HARRIS DR"	15	0	114364	867473
F_375216_2845983	"HARRIS DR"	17	0	114366	867457
F_375217_2852286	"PECOUSIC DR"	19	0	114366	869379
F_375219_2852867	"BRAEBURN RD"	228	0	114367	869556
F_375222_2852764	"BRAEBURN RD"	232	0	114368	869524
F_375225_2853417	"PRINCETON ST"	11	0	114369	869723
F_375227_2846143	"HARRIS DR"	11	0	114369	867506
