town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M099	99	foxborough	2012	217490	866170	M_217490_866170	"CATON ROAD"	2	0
M099	99	foxborough	2012	217524	864487	M_217524_864487	"SPRUCE STREET"	109	0
M099	99	foxborough	2012	217524	866196	M_217524_866196	"CATON ROAD"	4	0
M099	99	foxborough	2012	217527	864596	M_217527_864596	"CHARLES SAMUEL WAY"	6	0
M099	99	foxborough	2012	217529	864544	M_217529_864544	"CHARLES SAMUEL WAY"	4	0
M099	99	foxborough	2012	217544	864160	M_217544_864160	"MIRIMICHI ROAD"	15	0
M099	99	foxborough	2012	217547	864708	M_217547_864708	"CHARLES SAMUEL WAY"	7	0
M099	99	foxborough	2012	217553	864394	M_217553_864394	"SPRUCE STREET"	104	0
M099	99	foxborough	2012	217555	866471	M_217555_866471	"WEST STREET"	125	0
M099	99	foxborough	2012	217559	866220	M_217559_866220	"CATON ROAD"	6	0
M099	99	foxborough	2012	217567	866053	M_217567_866053	"WEST STREET"	107	0
M099	99	foxborough	2012	217575	864519	M_217575_864519	"SPRUCE STREET"	105	0
M099	99	foxborough	2012	217581	864147	M_217581_864147	"MIRIMICHI ROAD"	19	0
M099	99	foxborough	2012	217584	863401	M_217584_863401	"CEDAR LANE"	6	0
M099	99	foxborough	2012	217585	864680	M_217585_864680	"CHARLES SAMUEL WAY"	5	0
M099	99	foxborough	2012	217594	866245	M_217594_866245	"CATON ROAD"	8	0
M099	99	foxborough	2012	217598	864424	M_217598_864424	"SPRUCE STREET"	100	0
M099	99	foxborough	2012	217599	869391	M_217599_869391	"WASHINGTON STREET"	157	0
M099	99	foxborough	2012	217609	869424	M_217609_869424	"WASHINGTON STREET"	157	0
M099	99	foxborough	2012	217615	863490	M_217615_863490	"CEDAR LANE"	10	0
M099	99	foxborough	2012	217615	866096	M_217615_866096	"KONET ROAD"	1	0
M099	99	foxborough	2012	217618	866019	M_217618_866019	"WEST STREET"	103	0
M099	99	foxborough	2012	217622	863508	M_217622_863508	"CEDAR LANE"	12	0
M099	99	foxborough	2012	217623	864149	M_217623_864149	"MIRIMICHI ROAD"	21	0
M099	99	foxborough	2012	217624	864652	M_217624_864652	"CHARLES SAMUEL WAY"	3	0
M099	99	foxborough	2012	217629	864548	M_217629_864548	"CHARLES SAMUEL WAY"	2	0
M099	99	foxborough	2012	217630	865843	M_217630_865843	"WEST STREET"	102	0
M099	99	foxborough	2012	217630	866269	M_217630_866269	"CATON ROAD"	10	0
M099	99	foxborough	2012	217635	863522	M_217635_863522	"CEDAR LANE"	14	0
M099	99	foxborough	2012	217638	864469	M_217638_864469	"SPRUCE STREET"	94	0
M099	99	foxborough	2012	217642	865654	M_217642_865654	"DANIELS STREET"	21	0
M099	99	foxborough	2012	217647	863532	M_217647_863532	"CEDAR LANE"	16	0
M099	99	foxborough	2012	217651	869559	M_217651_869559	"WASHINGTON STREET"	131	0
M099	99	foxborough	2012	217658	866072	M_217658_866072	"KONET ROAD"	3	0
M099	99	foxborough	2012	217666	864404	M_217666_864404	"SPRUCE STREET"	90	0
M099	99	foxborough	2012	217667	865755	M_217667_865755	"WEST STREET"	98	0
M099	99	foxborough	2012	217667	866292	M_217667_866292	"CATON ROAD"	12	0
M099	99	foxborough	2012	217670	864605	M_217670_864605	"CHARLES SAMUEL WAY"	1	0
M099	99	foxborough	2012	217670	865986	M_217670_865986	"WEST STREET"	99	0
M099	99	foxborough	2012	217673	864738	M_217673_864738	"STANDISH AVENUE"	3	0
M099	99	foxborough	2012	217674	863545	M_217674_863545	"CEDAR LANE"	20	0
M099	99	foxborough	2012	217677	864677	M_217677_864677	"STANDISH AVENUE"	4	0
M099	99	foxborough	2012	217682	864155	M_217682_864155	"MIRIMICHI ROAD"	25	0
M099	99	foxborough	2012	217691	869172	M_217691_869172	"WASHINGTON STREET"	1000	0
M099	99	foxborough	2012	217692	863016	M_217692_863016	"CEDAR STREET"	80	0
M099	99	foxborough	2012	217696	869332	M_217696_869332	"WASHINGTON STREET"	140	0
M099	99	foxborough	2012	217697	864504	M_217697_864504	"SPRUCE STREET"	92	0
M099	99	foxborough	2012	217701	869670	M_217701_869670	"WASHINGTON STREET"	129	0
M099	99	foxborough	2012	217702	866047	M_217702_866047	"KONET ROAD"	5	0
M099	99	foxborough	2012	217703	866316	M_217703_866316	"CATON ROAD"	14	0
M099	99	foxborough	2012	217706	869961	M_217706_869961	"PIERCE STREET"	44	0
M099	99	foxborough	2012	217721	864615	M_217721_864615	"STANDISH AVENUE"	2	0
M099	99	foxborough	2012	217737	865941	M_217737_865941	"WEST STREET"	93	0
M099	99	foxborough	2012	217738	864165	M_217738_864165	"MIRIMICHI ROAD"	29	0
M099	99	foxborough	2012	217739	866342	M_217739_866342	"CATON ROAD"	16	0
M099	99	foxborough	2012	217746	870047	M_217746_870047	"PIERCE STREET"	45	0
M099	99	foxborough	2012	217747	866275	M_217747_866275	"SHEEHAN WAY"	1	0
M099	99	foxborough	2012	217748	866050	M_217748_866050	"KONET ROAD"	7	0
M099	99	foxborough	2012	217754	865641	M_217754_865641	"DANIELS STREET"	17	0
M099	99	foxborough	2012	217754	865794	M_217754_865794	"WEST STREET"	94	0
M099	99	foxborough	2012	217754	869413	M_217754_869413	"WASHINGTON STREET"	136	0
M099	99	foxborough	2012	217754	869956	M_217754_869956	"PIERCE STREET"	42	0
M099	99	foxborough	2012	217755	864541	M_217755_864541	"SPRUCE STREET"	86	0
M099	99	foxborough	2012	217763	869807	M_217763_869807	"WASHINGTON STREET"	119	0
M099	99	foxborough	2012	217771	870112	M_217771_870112	"TURNER ROAD"	8	0
M099	99	foxborough	2012	217772	866244	M_217772_866244	"SHEEHAN WAY"	3	0
M099	99	foxborough	2012	217774	866366	M_217774_866366	"CATON ROAD"	18	0
M099	99	foxborough	2012	217782	864180	M_217782_864180	"MIRIMICHI ROAD"	33	0
