LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_203686_865012	"WASHINGTON ST"	0	0	203686	865012
M_203688_868180	"PROSPECT ST"	0	0	203688	868180
M_203689_868316	"PROSPECT ST"	0	0	203689	868316
M_203695_865250	"WASHINGTON ST"	0	0	203695	865250
M_203706_868727	"PROSPECT ST"	0	0	203706	868727
M_203726_865283	"WASHINGTON ST"	0	0	203726	865283
M_203727_869110	"PROSPECT ST"	425	0	203727	869110
M_203732_865506	"BELL CIR"	3	0	203732	865506
M_203736_867727	"PROSPECT ST"	0	0	203736	867727
M_203739_865579	"TOWN LINE RD"	6	0	203739	865579
M_203745_865079	"WASHINGTON ST"	1481	0	203745	865079
M_203745_865365	"BELL CIR"	5	0	203745	865365
M_203749_865660	"TOWN LINE RD"	10	0	203749	865660
M_203749_868365	"PROSPECT ST"	370	0	203749	868365
M_203750_865787	"HAMEL CT"	5	0	203750	865787
M_203754_866645	"BALD HILL DR"	0	0	203754	866645
M_203758_867736	"PROSPECT ST"	283	0	203758	867736
M_203762_868546	"PROSPECT ST"	386	0	203762	868546
M_203765_868225	"PROSPECT ST"	348	0	203765	868225
M_203769_868017	"PROSPECT ST"	322	0	203769	868017
M_203770_866008	"CYPRESS LN"	10	0	203770	866008
M_203774_868079	"PROSPECT ST"	326	0	203774	868079
M_203777_865314	"WASHINGTON ST"	0	0	203777	865314
M_203777_865929	"HAMEL CT"	3	0	203777	865929
M_203781_866075	"CYPRESS LN"	14	0	203781	866075
M_203782_865525	"TOWN LINE RD"	4	0	203782	865525
M_203782_866189	"CYPRESS LN"	22	0	203782	866189
M_203783_866131	"CYPRESS LN"	18	0	203783	866131
M_203784_865428	"BELL CIR"	4	0	203784	865428
M_203787_868850	"PROSPECT ST"	404	0	203787	868850
M_203787_868915	"PROSPECT ST"	410	0	203787	868915
M_203788_866833	"OCTOBER DR"	0	0	203788	866833
M_203789_867883	"PROSPECT ST"	286	0	203789	867883
M_203792_867841	"PROSPECT ST"	282	0	203792	867841
M_203799_865707	"TOWN LINE RD"	12	0	203799	865707
M_203799_865807	"HAMEL CT"	4	0	203799	865807
M_203799_866911	"OCTOBER DR"	52	0	203799	866911
