town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M103	103	gardner	2012	155247	928034	M_155247_928034	"OTTER RIVER RD"	415	0
M103	103	gardner	2012	155340	928035	M_155340_928035	"OTTER RIVER RD"	392	0
M103	103	gardner	2012	155377	928199	M_155377_928199	"OTTER RIVER RD"	353	0
M103	103	gardner	2012	155394	928074	M_155394_928074	"OTTER RIVER RD"	378	0
M103	103	gardner	2012	155427	928253	M_155427_928253	"OTTER RIVER RD"	341	0
M103	103	gardner	2012	155430	928098	M_155430_928098	"OTTER RIVER RD"	366	0
M103	103	gardner	2012	155451	928111	M_155451_928111	"OTTER RIVER RD"	358	0
M103	103	gardner	2012	155458	928283	M_155458_928283	"OTTER RIVER RD"	327	0
M103	103	gardner	2012	155526	928144	M_155526_928144	"OTTER RIVER RD"	350	0
M103	103	gardner	2012	155545	926648	M_155545_926648	"BRIDGE ST"	185	0
M103	103	gardner	2012	155547	928241	M_155547_928241	"OTTER RIVER RD"	322	0
M103	103	gardner	2012	155557	928268	M_155557_928268	"OTTER RIVER RD"	310	0
M103	103	gardner	2012	155563	928301	M_155563_928301	"OTTER RIVER RD"	302	0
M103	103	gardner	2012	155570	926671	M_155570_926671	"BRIDGE ST"	179	0
M103	103	gardner	2012	155602	926672	M_155602_926672	"BRIDGE ST"	171	0
M103	103	gardner	2012	155618	926698	M_155618_926698	"BRIDGE ST"	163	0
M103	103	gardner	2012	155646	928291	M_155646_928291	"OTTER RIVER RD"	282	0
M103	103	gardner	2012	155657	926088	M_155657_926088	"BRIDGE ST"	160	0
M103	103	gardner	2012	155667	928438	M_155667_928438	"OTTER RIVER RD"	251	0
M103	103	gardner	2012	155685	926548	M_155685_926548	"BRIDGE ST"	168	0
M103	103	gardner	2012	155696	928398	M_155696_928398	"OTTER RIVER RD"	254	0
M103	103	gardner	2012	155708	928455	M_155708_928455	"OTTER RIVER RD"	245	0
M103	103	gardner	2012	155783	928460	M_155783_928460	"ELI DR"	11	0
M103	103	gardner	2012	155803	928516	M_155803_928516	"ELI DR"	21	0
M103	103	gardner	2012	155804	928434	M_155804_928434	"OTTER RIVER RD"	221	0
M103	103	gardner	2012	155822	928571	M_155822_928571	"ELI DR"	41	0
M103	103	gardner	2012	155851	928617	M_155851_928617	"ELI DR"	57	0
M103	103	gardner	2012	155885	927100	M_155885_927100	"WEST ST"	1085	0
M103	103	gardner	2012	155891	928571	M_155891_928571	"HOLLY DR"	146	0
M103	103	gardner	2012	155898	928424	M_155898_928424	"OTTER RIVER RD"	201	0
M103	103	gardner	2012	155901	927074	M_155901_927074	"WEST ST"	1079	0
M103	103	gardner	2012	155904	928637	M_155904_928637	"HOLLY DR"	158	0
M103	103	gardner	2012	155910	928519	M_155910_928519	"HOLLY DR"	136	0
M103	103	gardner	2012	155925	928410	M_155925_928410	"OTTER RIVER RD"	193	0
M103	103	gardner	2012	155935	928685	M_155935_928685	"HOLLY DR"	178	0
M103	103	gardner	2012	155952	928397	M_155952_928397	"OTTER RIVER RD"	185	0
M103	103	gardner	2012	155955	928486	M_155955_928486	"HOLLY DR"	126	0
M103	103	gardner	2012	155974	927021	M_155974_927021	"WEST ST"	1055	0
M103	103	gardner	2012	155979	928382	M_155979_928382	"OTTER RIVER RD"	177	0
M103	103	gardner	2012	155997	927112	M_155997_927112	"WEST ST"	1071	0
M103	103	gardner	2012	156003	928366	M_156003_928366	"OTTER RIVER RD"	171	0
M103	103	gardner	2012	156005	926983	M_156005_926983	"WEST ST"	1017	0
M103	103	gardner	2012	156006	928643	M_156006_928643	"HOLLY DR"	161	0
M103	103	gardner	2012	156007	928609	M_156007_928609	"HOLLY DR"	149	0
M103	103	gardner	2012	156013	928678	M_156013_928678	"HOLLY DR"	175	0
M103	103	gardner	2012	156014	928451	M_156014_928451	"HOLLY DR"	114	0
M103	103	gardner	2012	156015	928716	M_156015_928716	"HOLLY DR"	185	0
M103	103	gardner	2012	156016	928577	M_156016_928577	"HOLLY DR"	133	0
M103	103	gardner	2012	156026	928339	M_156026_928339	"OTTER RIVER RD"	165	0
M103	103	gardner	2012	156031	928755	M_156031_928755	"HOLLY DR"	195	0
M103	103	gardner	2012	156033	928535	M_156033_928535	"HOLLY DR"	117	0
M103	103	gardner	2012	156034	926960	M_156034_926960	"WEST ST"	983	0
M103	103	gardner	2012	156040	927917	M_156040_927917	"OTTER RIVER RD"	114	0
M103	103	gardner	2012	156057	928203	M_156057_928203	"OTTER RIVER RD"	142	0
M103	103	gardner	2012	156068	926937	M_156068_926937	"WEST ST"	975	0
M103	103	gardner	2012	156068	928099	M_156068_928099	"OTTER RIVER RD"	126	0
M103	103	gardner	2012	156078	928525	M_156078_928525	"HOLLY DR"	103	0
M103	103	gardner	2012	156083	928433	M_156083_928433	"HOLLY DR"	98	0
M103	103	gardner	2012	156107	926926	M_156107_926926	"WEST ST"	969	0
M103	103	gardner	2012	156112	928331	M_156112_928331	"OTTER RIVER RD"	145	0
M103	103	gardner	2012	156114	928766	M_156114_928766	"CLARK ST"	976	0
M103	103	gardner	2012	156123	926984	M_156123_926984	"WEST ST"	961	0
M103	103	gardner	2012	156123	928523	M_156123_928523	"HOLLY DR"	87	0
M103	103	gardner	2012	156148	928427	M_156148_928427	"HOLLY DR"	80	0
M103	103	gardner	2012	156155	928287	M_156155_928287	"OTTER RIVER RD"	133	0
M103	103	gardner	2012	156169	928521	M_156169_928521	"HOLLY DR"	75	0
M103	103	gardner	2012	156177	927996	M_156177_927996	"OTTER RIVER RD"	90	0
M103	103	gardner	2012	156185	928275	M_156185_928275	"OTTER RIVER RD"	121	0
M103	103	gardner	2012	156191	928849	M_156191_928849	"CLARK ST"	980	0
M103	103	gardner	2012	156205	928415	M_156205_928415	"HOLLY DR"	62	0
M103	103	gardner	2012	156207	928728	M_156207_928728	"CLARK ST"	944	0
M103	103	gardner	2012	156216	928519	M_156216_928519	"HOLLY DR"	63	0
M103	103	gardner	2012	156221	927969	M_156221_927969	"OTTER RIVER RD"	76	0
M103	103	gardner	2012	156225	928269	M_156225_928269	"OTTER RIVER RD"	111	0
M103	103	gardner	2012	156246	928632	M_156246_928632	"CLARK ST"	914	0
M103	103	gardner	2012	156253	928403	M_156253_928403	"HOLLY DR"	52	0
M103	103	gardner	2012	156257	928912	M_156257_928912	"CLARK ST"	992	0
M103	103	gardner	2012	156262	928516	M_156262_928516	"HOLLY DR"	55	0
M103	103	gardner	2012	156262	928766	M_156262_928766	"CLARK ST"	940	0
M103	103	gardner	2012	156271	928886	M_156271_928886	"CLARK ST"	984	0
M103	103	gardner	2012	156298	928392	M_156298_928392	"HOLLY DR"	40	0
M103	103	gardner	2012	156303	928827	M_156303_928827	"CLARK ST"	968	0
M103	103	gardner	2012	156309	926913	M_156309_926913	"WEST ST"	939	0
M103	103	gardner	2012	156309	928514	M_156309_928514	"HOLLY DR"	41	0
M103	103	gardner	2012	156313	927898	M_156313_927898	"OTTER RIVER RD"	40	0
M103	103	gardner	2012	156321	928792	M_156321_928792	"CLARK ST"	956	0
M103	103	gardner	2012	156335	928178	M_156335_928178	"OTTER RIVER RD"	83	0
M103	103	gardner	2012	156335	928765	M_156335_928765	"CLARK ST"	948	0
M103	103	gardner	2012	156338	928037	M_156338_928037	"OTTER RIVER RD"	62	0
M103	103	gardner	2012	156342	928380	M_156342_928380	"HOLLY DR"	28	0
M103	103	gardner	2012	156358	926871	M_156358_926871	"WEST ST"	929	0
M103	103	gardner	2012	156362	928483	M_156362_928483	"HOLLY DR"	25	0
M103	103	gardner	2012	156368	928697	M_156368_928697	"CLARK ST"	922	0
M103	103	gardner	2012	156371	928883	M_156371_928883	"CLARK ST"	977	0
M103	103	gardner	2012	156377	928972	M_156377_928972	"CLARK ST"	993	0
M103	103	gardner	2012	156383	928015	M_156383_928015	"OTTER RIVER RD"	48	0
M103	103	gardner	2012	156385	928379	M_156385_928379	"HOLLY DR"	18	0
M103	103	gardner	2012	156387	928838	M_156387_928838	"CLARK ST"	961	0
M103	103	gardner	2012	156392	928586	M_156392_928586	"CLARK ST"	900	0
M103	103	gardner	2012	156393	928620	M_156393_928620	"CLARK ST"	906	0
M103	103	gardner	2012	156410	928539	M_156410_928539	"CLARK ST"	894	0
M103	103	gardner	2012	156421	928476	M_156421_928476	"HOLLY DR"	7	0
M103	103	gardner	2012	156424	926831	M_156424_926831	"WEST ST"	911	0
M103	103	gardner	2012	156426	928208	M_156426_928208	"OTTER RIVER RD"	43	0
M103	103	gardner	2012	156430	928348	M_156430_928348	"CLARK ST"	848	0
M103	103	gardner	2012	156435	928779	M_156435_928779	"CLARK ST"	943	0
M103	103	gardner	2012	156436	928406	M_156436_928406	"HOLLY DR"	6	0
M103	103	gardner	2012	156474	928028	M_156474_928028	"OTTER RIVER RD"	32	0
M103	103	gardner	2012	156486	927989	M_156486_927989	"OTTER RIVER RD"	24	0
M103	103	gardner	2012	156494	928940	M_156494_928940	"HOWARD ST"	88	0
M103	103	gardner	2012	156497	929038	M_156497_929038	"HOWARD ST"	106	0
