town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M106	106	gill	2013	113766	929511	F_373247_3049572	"RIVERVIEW DR"	0	0
M106	106	gill	2013	113820	929877	F_373425_3050773	"FRENCH KING HWY"	0	0
M106	106	gill	2013	113835	929799	F_373475_3050516	"FRENCH KING HWY"	13	0
M106	106	gill	2013	113843	929672	F_373500_3050100	"FRENCH KING HWY"	0	0
M106	106	gill	2013	113864	931449	F_373568_3055928	"WEST GILL RD"	0	0
M106	106	gill	2013	113896	929421	F_373673_3049276	"RIVERVIEW DR"	3	0
M106	106	gill	2013	113912	929273	F_373727_3048791	"RIVERVIEW DR"	0	0
M106	106	gill	2013	113918	929763	F_373746_3050397	"FRENCH KING HWY"	19	0
M106	106	gill	2013	113938	929395	F_373812_3049189	"RIVERVIEW DR"	17	0
M106	106	gill	2013	113939	929493	F_373814_3049512	"OAK ST"	0	0
M106	106	gill	2013	113940	929430	F_373817_3049304	"OAK ST"	2	0
M106	106	gill	2013	113948	929361	F_373845_3049078	"RIVERVIEW DR"	19	0
M106	106	gill	2013	113952	929342	F_373856_3049016	"RIVERVIEW DR"	21	0
M106	106	gill	2013	113955	929294	F_373868_3048859	"RIVERVIEW DR"	25	0
M106	106	gill	2013	113955	929319	F_373869_3048940	"RIVERVIEW DR"	23	0
M106	106	gill	2013	113957	929528	F_373875_3049628	"RIVERVIEW DR"	7	0
M106	106	gill	2013	113959	929175	F_373882_3048468	"RIVERVIEW DR"	37	0
M106	106	gill	2013	113962	931811	F_373889_3057116	"WEST GILL RD"	0	0
M106	106	gill	2013	113966	929259	F_373902_3048743	"RIVERVIEW DR"	29	0
M106	106	gill	2013	113967	929215	F_373906_3048601	"RIVERVIEW DR"	33	0
M106	106	gill	2013	113969	929203	F_373912_3048560	"RIVERVIEW DR"	35	0
M106	106	gill	2013	113974	929579	F_373930_3049794	"RIVERVIEW DR"	5	0
M106	106	gill	2013	113975	929297	F_373933_3048870	"PINE ST"	1	0
