LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_593270_2910947	"CREEPER HILL ROAD"	121	0	180829	887258
F_593285_2911536	"CREEPER HILL ROAD"	118	0	180834	887438
F_593380_2910250	"WORCESTER STREET"	244	0	180863	887046
F_593567_2908210	"WORCESTER STREET"	267	0	180920	886424
F_593583_2909848	"WORCESTER STREET"	230	0	180924	886923
F_593590_2908069	"HILLTOP STREET"	41	0	180927	886381
F_593607_2907969	"HILLTOP STREET"	37	0	180932	886351
F_593620_2907886	"HILLTOP STREET"	35	0	180936	886325
F_593634_2907802	"HILLTOP STREET"	33	0	180940	886300
F_593648_2907720	"HILLTOP STREET"	31	0	180944	886275
F_593668_2907599	"HILLTOP STREET"	29	0	180950	886238
F_593695_2908236	"WORCESTER STREET"	265	0	180959	886432
F_593705_2910933	"CREEPER HILL ROAD"	115	0	180962	887254
F_593711_2907336	"HILLTOP STREET"	23	0	180963	886158
F_593728_2908112	"FAIRLAWN STREET"	32	0	180969	886394
F_593779_2907958	"FAIRLAWN STREET"	29	0	180984	886347
F_593782_2908237	"WORCESTER STREET"	263	0	180985	886432
F_593788_2907870	"HILLTOP STREET"	34	0	180987	886321
F_593796_2907795	"HILLTOP STREET"	32	0	180989	886298
F_593805_2907718	"HILLTOP STREET"	30	0	180992	886274
F_593814_2907641	"HILLTOP STREET"	28	0	180995	886251
F_593816_2907528	"HILLTOP STREET"	20	0	180995	886216
F_593824_2908115	"FAIRLAWN STREET"	30	0	180998	886395
F_593872_2908241	"WORCESTER STREET"	261	0	181013	886434
F_593873_2907335	"HILLTOP STREET"	19	0	181013	886157
F_593905_2907577	"HILLTOP STREET"	18	0	181023	886231
F_593906_2911687	"CREEPER HILL ROAD"	116	0	181023	887484
F_593908_2907905	"FAIRLAWN STREET"	27	0	181024	886331
F_593908_2908120	"FAIRLAWN STREET"	28	0	181024	886397
F_593963_2908244	"WORCESTER STREET"	259	0	181040	886435
F_593973_2907688	"HILLTOP STREET"	16	0	181043	886265
F_593979_2906640	"DEERNOLM STREET"	42	0	181045	885946
F_593993_2908124	"FAIRLAWN STREET"	26	0	181049	886398
F_594000_2907921	"FAIRLAWN STREET"	25	0	181052	886336
F_594001_2907434	"HILLTOP STREET"	17	0	181052	886188
F_594048_2907066	"DEERNOLM STREET"	40	0	181066	886075
F_594067_2907739	"HILLTOP STREET"	14	0	181072	886281
F_594073_2908249	"WORCESTER STREET"	257	0	181074	886436
F_594080_2908127	"FAIRLAWN STREET"	24	0	181076	886399
F_594081_2907494	"HILLTOP STREET"	15	0	181076	886206
F_594090_2907936	"FAIRLAWN STREET"	23	0	181079	886341
F_594162_2907555	"HILLTOP STREET"	13	0	181101	886225
F_594166_2908130	"FAIRLAWN STREET"	22	0	181102	886400
F_594170_2908253	"WORCESTER STREET"	255	0	181103	886437
F_594185_2907953	"FAIRLAWN STREET"	21	0	181108	886346
F_594187_2907797	"HILLTOP STREET"	10	0	181109	886298
F_594217_2910993	"CREEPER HILL ROAD"	109	0	181118	887272
F_594238_2907345	"BAILIN CIRCLE"	5	0	181124	886161
F_594242_2907616	"HILLTOP STREET"	11	0	181125	886243
F_594245_2906871	"DEERNOLM STREET"	38	0	181126	886016
F_594248_2908255	"WORCESTER STREET"	253	0	181127	886438
F_594281_2907490	"BAILIN CIRCLE"	7	0	181137	886205
F_594281_2907962	"FAIRLAWN STREET"	19	0	181137	886349
F_594300_2908130	"FAIRLAWN STREET"	18	0	181143	886400
F_594309_2911457	"CREEPER HILL ROAD"	104	0	181146	887414
F_594310_2907860	"HILLTOP STREET"	8	0	181146	886318
F_594324_2906978	"DEERNOLM STREET"	36	0	181150	886049
F_594326_2907680	"HILLTOP STREET"	9	0	181151	886263
F_594330_2906567	"DEERNOLM STREET"	37	0	181152	885923
F_594337_2908259	"WORCESTER STREET"	251	0	181154	886439
F_594340_2907241	"BAILIN CIRCLE"	3	0	181155	886129
F_594403_2907083	"DEERNOLM STREET"	34	0	181174	886081
F_594409_2907743	"HILLTOP STREET"	7	0	181176	886282
F_594420_2907955	"FAIRLAWN STREET"	17	0	181180	886346
F_594429_2904429	"ANN DRIVE"	1	0	181182	885272
F_594429_2904429	"ANN DRIVE"	11	0	181182	885272
F_594429_2904429	"ANN DRIVE"	13	0	181182	885272
F_594429_2904429	"ANN DRIVE"	15	0	181182	885272
F_594429_2904429	"ANN DRIVE"	3	0	181182	885272
F_594429_2904429	"ANN DRIVE"	5	0	181182	885272
F_594429_2904429	"ANN DRIVE"	7	0	181182	885272
F_594429_2904429	"ANN DRIVE"	9	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	1	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	10	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	11	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	12	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	13	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	14	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	15	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	16	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	17	0	181182	885272
F_594429_2904429	"EDWARD DRIVE"	18	0	181182	885272
