town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	1-76	1
M111	111	granby	2012	114200	893512	M_114200_893512	"- AMHERST RD"	662-662	1
M111	111	granby	2012	113226	892179	M_113226_892179	"BURNETT ST"	48	1
M111	111	granby	2012	113267	892154	M_113267_892154	"BURNETT ST"	52	1
M111	111	granby	2012	113622	891998	M_113622_891998	"BURNETT ST"	74	1
M111	111	granby	2012	113694	891874	M_113694_891874	"BURNETT ST"	78	1
M111	111	granby	2012	113165	891953	M_113165_891953	"BURNETT ST"	58	1
M111	111	granby	2012	114427	892748	M_114427_892748	"ALDRICH ST"	56	1
M111	111	granby	2012	114689	892855	M_114689_892855	"ALDRICH ST"	72	1
M111	111	granby	2012	114553	892907	M_114553_892907	"ALDRICH ST"	64	1
M111	111	granby	2012	114604	892929	M_114604_892929	"ALDRICH ST"	66	1
M111	111	granby	2012	114659	892880	M_114659_892880	"ALDRICH ST"	70	1
M111	111	granby	2012	114737	892820	M_114737_892820	"ALDRICH ST"	74	1
M111	111	granby	2012	114622	892772	M_114622_892772	"ALDRICH ST"	60	1
M111	111	granby	2012	114741	892703	M_114741_892703	"AMHERST ST"	259	1
M111	111	granby	2012	114565	892640	M_114565_892640	"AMHERST ST"	251	1
M111	111	granby	2012	114856	892558	M_114856_892558	"AMHERST ST"	249	1
M111	111	granby	2012	114771	892502	M_114771_892502	"AMHERST ST"	245	1
M111	111	granby	2012	114804	892339	M_114804_892339	"AMHERST ST"	237	1
M111	111	granby	2012	114477	892489	M_114477_892489	"AMHERST ST"	239	1
M111	111	granby	2012	114833	892224	M_114833_892224	"AMHERST ST"	229	1
M111	111	granby	2012	114500	892345	M_114500_892345	"AMHERST ST"	233	1
M111	111	granby	2012	114803	892272	M_114803_892272	"AMHERST ST"	231	1
M111	111	granby	2012	114839	892148	M_114839_892148	"AMHERST ST"	223	1
M111	111	granby	2012	114853	892070	M_114853_892070	"AMHERST ST"	219	1
M111	111	granby	2012	113971	891781	M_113971_891781	"BURNETT ST"	101	1
M111	111	granby	2012	113930	891870	M_113930_891870	"BURNETT ST"	93	1
M111	111	granby	2012	113903	892041	M_113903_892041	"BURNETT ST"	87	1
M111	111	granby	2012	113767	892231	M_113767_892231	"BURNETT ST"	81	1
M111	111	granby	2012	113214	892321	M_113214_892321	"BURNETT ST"	47	1
M111	111	granby	2012	113326	892238	M_113326_892238	"BURNETT ST"	51	1
M111	111	granby	2012	114370	892874	M_114370_892874	"ALDRICH ST"	54	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	1	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	2	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	3	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	4	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	5	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	6	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	7	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	8	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	9	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	10	1
M111	111	granby	2012	114607	893578	M_114607_893578	"GRANBY HTS"	11	1
