town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M114	114	greenfield	2013	105644	925870	M_105644_925870	"OLD ALBANY RD"	28B	0
M114	114	greenfield	2013	105713	926189	M_105713_926189	"OLD ALBANY RD"	0	0
M114	114	greenfield	2013	105721	926082	M_105721_926082	"OLD ALBANY RD"	28A	0
M114	114	greenfield	2013	105800	925931	M_105800_925931	"OLD ALBANY RD"	76	0
M114	114	greenfield	2013	105816	926583	M_105816_926583	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	105842	925872	M_105842_925872	"OLD ALBANY RD"	80	0
M114	114	greenfield	2013	105885	926016	M_105885_926016	"OLD ALBANY RD"	75	0
M114	114	greenfield	2013	105893	926268	M_105893_926268	"OLD ALBANY RD"	19	0
M114	114	greenfield	2013	105906	926111	M_105906_926111	"OLD ALBANY RD"	41	0
M114	114	greenfield	2013	105923	925869	M_105923_925869	"OLD ALBANY RD"	0	0
M114	114	greenfield	2013	105968	925863	M_105968_925863	"OLD ALBANY RD"	98	0
M114	114	greenfield	2013	105985	926553	M_105985_926553	"S SHELBURNE RD"	520	0
M114	114	greenfield	2013	106031	925853	M_106031_925853	"OLD ALBANY RD"	0	0
M114	114	greenfield	2013	106062	926081	M_106062_926081	"OLD ALBANY RD"	99	0
M114	114	greenfield	2013	106097	927129	M_106097_927129	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106102	925842	M_106102_925842	"OLD ALBANY RD"	136	0
M114	114	greenfield	2013	106114	926523	M_106114_926523	"S SHELBURNE RD"	480	0
M114	114	greenfield	2013	106143	926069	M_106143_926069	"OLD ALBANY RD"	125	0
M114	114	greenfield	2013	106159	927878	M_106159_927878	"SHELBURNE RD"	549	0
M114	114	greenfield	2013	106168	925874	M_106168_925874	"OLD ALBANY RD"	0	0
M114	114	greenfield	2013	106173	926406	M_106173_926406	"S SHELBURNE RD"	462	0
M114	114	greenfield	2013	106189	928171	M_106189_928171	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106197	928367	M_106197_928367	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106200	927591	M_106200_927591	"SHELBURNE RD"	538	0
M114	114	greenfield	2013	106229	926663	M_106229_926663	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106230	928565	M_106230_928565	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106246	928834	M_106246_928834	"MOHAWK TL"	716	0
M114	114	greenfield	2013	106295	926042	M_106295_926042	"OLD ALBANY RD (SHELBURNE)"	169	0
M114	114	greenfield	2013	106313	926554	M_106313_926554	"S SHELBURNE RD"	452	0
M114	114	greenfield	2013	106360	928819	M_106360_928819	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106365	926416	M_106365_926416	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106370	927900	M_106370_927900	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106398	926249	M_106398_926249	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106421	927463	M_106421_927463	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106433	925986	M_106433_925986	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106433	928623	M_106433_928623	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106461	927801	M_106461_927801	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106463	928203	M_106463_928203	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106476	928356	M_106476_928356	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106493	928490	M_106493_928490	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106507	929743	M_106507_929743	"OLD GORGE RD"	0	0
M114	114	greenfield	2013	106530	926320	M_106530_926320	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106545	929830	M_106545_929830	"OLD GORGE RD"	0	0
M114	114	greenfield	2013	106555	928052	M_106555_928052	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106578	927704	M_106578_927704	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106580	926009	M_106580_926009	"OLD ALBANY RD (SHELBURNE)"	185A	0
M114	114	greenfield	2013	106595	927083	M_106595_927083	"SHELBURNE RD"	0	0
M114	114	greenfield	2013	106597	929201	M_106597_929201	"COLRAIN RD"	614	0
M114	114	greenfield	2013	106609	930855	M_106609_930855	"COLRAIN RD"	852	0
M114	114	greenfield	2013	106619	930533	M_106619_930533	"COLRAIN RD"	772	0
M114	114	greenfield	2013	106624	926603	M_106624_926603	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106641	930703	M_106641_930703	"COLRAIN RD"	0	0
M114	114	greenfield	2013	106647	930815	M_106647_930815	"COLRAIN RD"	840	0
M114	114	greenfield	2013	106669	927497	M_106669_927497	"OLD MOHAWK TL"	0	0
M114	114	greenfield	2013	106672	926063	M_106672_926063	"S SHELBURNE RD"	0	0
M114	114	greenfield	2013	106680	927901	M_106680_927901	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106682	928266	M_106682_928266	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106688	929995	M_106688_929995	"COLRAIN RD"	638	0
M114	114	greenfield	2013	106689	931193	M_106689_931193	"SMEAD HILL RD"	58	0
M114	114	greenfield	2013	106689	931250	M_106689_931250	"SMEAD HILL RD"	0	0
M114	114	greenfield	2013	106693	931309	M_106693_931309	"SMEAD HILL RD"	76	0
M114	114	greenfield	2013	106700	930852	M_106700_930852	"COLRAIN RD"	833	0
M114	114	greenfield	2013	106700	931380	M_106700_931380	"SMEAD HILL RD"	0	0
M114	114	greenfield	2013	106713	927695	M_106713_927695	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106720	930942	M_106720_930942	"COLRAIN RD"	0	0
M114	114	greenfield	2013	106721	931074	M_106721_931074	"SMEAD HILL RD"	0	0
M114	114	greenfield	2013	106726	927770	M_106726_927770	"MOHAWK TL"	0	0
M114	114	greenfield	2013	106728	930424	M_106728_930424	"COLRAIN RD"	758	0
M114	114	greenfield	2013	106732	928144	M_106732_928144	"MOHAWK TL"	0	0
