town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M119	119	hamilton	2012	250638	932720	M_250638_932720	"HIGHLAND ST"	572	1
M119	119	hamilton	2012	251004	932866	M_251004_932866	"HIGHLAND ST"	635	1
M119	119	hamilton	2012	250964	932750	M_250964_932750	"HIGHLAND ST"	617	1
M119	119	hamilton	2012	250884	932774	M_250884_932774	"HIGHLAND ST"	609	1
M119	119	hamilton	2012	250823	932723	M_250823_932723	"HIGHLAND ST"	595	1
M119	119	hamilton	2012	250806	932912	M_250806_932912	"WINTHROP ST"	46	1
M119	119	hamilton	2012	250833	932504	M_250833_932504	"HIGHLAND ST"	537	1
M119	119	hamilton	2012	250694	932617	M_250694_932617	"HIGHLAND ST"	571	1
M119	119	hamilton	2012	250620	932549	M_250620_932549	"HIGHLAND ST"	551	1
M119	119	hamilton	2012	251550	932575	M_251550_932575	"CUTLER RD"	434	1
M119	119	hamilton	2012	254299	932577	M_254299_932577	"GARDNER ST"	136	1
M119	119	hamilton	2012	254409	932639	M_254409_932639	"GARDNER ST"	140	1
M119	119	hamilton	2012	254417	932764	M_254417_932764	"SMITHWOOD TERRACE"	3	1
M119	119	hamilton	2012	254335	932695	M_254335_932695	"SMITHWOOD TERRACE"	4	1
M119	119	hamilton	2012	254348	932794	M_254348_932794	"SMITHWOOD TERRACE"	5	1
M119	119	hamilton	2012	254377	932668	M_254377_932668	"SMITHWOOD TERRACE"	2	1
M119	119	hamilton	2012	254454	932702	M_254454_932702	"GARDNER ST"	150	1
M119	119	hamilton	2012	254501	932741	M_254501_932741	"GARDNER ST"	160	1
M119	119	hamilton	2012	253923	932706	M_253923_932706	"BAY RD"	1055	1
M119	119	hamilton	2012	254000	932626	M_254000_932626	"SAGAMORE FARM RD"	16	1
M119	119	hamilton	2012	253931	932872	M_253931_932872	"NORTHEDGE RD"	1	1
M119	119	hamilton	2012	253754	932847	M_253754_932847	"BAY RD"	1072	1
M119	119	hamilton	2012	253997	932868	M_253997_932868	"NORTHEDGE RD"	3	1
M119	119	hamilton	2012	254064	932878	M_254064_932878	"NORTHEDGE RD"	5	1
M119	119	hamilton	2012	254085	932947	M_254085_932947	"NORTHEDGE RD"	7	1
M119	119	hamilton	2012	253906	932802	M_253906_932802	"MANOR HILL RD"	2	1
M119	119	hamilton	2012	253919	932756	M_253919_932756	"MANOR HILL RD"	3	1
M119	119	hamilton	2012	254516	933010	M_254516_933010	"PRIDES PARK"	9	1
M119	119	hamilton	2012	254380	933067	M_254380_933067	"PRIDES PARK"	11	1
M119	119	hamilton	2012	254269	933000	M_254269_933000	"PRIDES PARK"	12	1
M119	119	hamilton	2012	254386	932953	M_254386_932953	"PRIDES PARK"	10	1
M119	119	hamilton	2012	253948	933059	M_253948_933059	"BAY RD"	1091	1
M119	119	hamilton	2012	254466	932818	M_254466_932818	"BRIARCLIFF LN"	2	1
M119	119	hamilton	2012	254299	932922	M_254299_932922	"BRIARCLIFF LN"	1	1
M119	119	hamilton	2012	253865	932587	M_253865_932587	"BAY ROAD"	995	1
M119	119	hamilton	2012	253823	932682	M_253823_932682	"BAY RD"	1045	1
M119	119	hamilton	2012	253854	932881	M_253854_932881	"BAY RD"	1073	1
M119	119	hamilton	2012	253823	932806	M_253823_932806	"BAY RD"	1067	1
M119	119	hamilton	2012	253804	932628	M_253804_932628	"BAY RD"	1031	1
