town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M120	120	hampden	2011	119769	870935	M_119769_870935	"SUTTON PL"	46	0
M120	120	hampden	2011	119773	870907	M_119773_870907	"SUTTON PL"	54	0
M120	120	hampden	2011	119780	870864	M_119780_870864	"SUTTON PL"	60	0
M120	120	hampden	2011	119792	870780	M_119792_870780	"SUTTON PL"	74	0
M120	120	hampden	2011	119845	870443	M_119845_870443	"ALLEN CREST DR"	59	0
M120	120	hampden	2011	119853	870551	M_119853_870551	"ALLEN CREST DR"	71	0
M120	120	hampden	2011	119858	870394	M_119858_870394	"ALLEN CREST DR"	51	0
M120	120	hampden	2011	119873	870353	M_119873_870353	"ALLEN CREST DR"	47	0
M120	120	hampden	2011	119886	870313	M_119886_870313	"ALLEN CREST DR"	41	0
M120	120	hampden	2011	119890	870184	M_119890_870184	"ALLEN CREST DR"	21	0
M120	120	hampden	2011	119892	870272	M_119892_870272	"ALLEN CREST DR"	33	0
M120	120	hampden	2011	119893	870229	M_119893_870229	"ALLEN CREST DR"	27	0
M120	120	hampden	2011	119925	870515	M_119925_870515	"ALLEN CREST DR"	66	0
M120	120	hampden	2011	119943	870055	M_119943_870055	"ALLEN ST"	398	0
M120	120	hampden	2011	119945	870412	M_119945_870412	"ALLEN CREST DR"	56	0
M120	120	hampden	2011	119946	869942	M_119946_869942	"ALLEN ST"	393	0
M120	120	hampden	2011	119953	870372	M_119953_870372	"ALLEN CREST DR"	48	0
M120	120	hampden	2011	119954	870464	M_119954_870464	"ALLEN CREST DR"	62	0
M120	120	hampden	2011	119965	870330	M_119965_870330	"ALLEN CREST DR"	44	0
M120	120	hampden	2011	119970	869611	M_119970_869611	"MILLBROOK DR"	48	0
M120	120	hampden	2011	119970	870128	M_119970_870128	"ALLEN CREST DR"	20	0
M120	120	hampden	2011	119971	870178	M_119971_870178	"ALLEN CREST DR"	26	0
M120	120	hampden	2011	119973	870282	M_119973_870282	"ALLEN CREST DR"	38	0
M120	120	hampden	2011	119977	869573	M_119977_869573	"MILLBROOK DR"	56	0
M120	120	hampden	2011	119979	870225	M_119979_870225	"ALLEN CREST DR"	32	0
M120	120	hampden	2011	119984	869533	M_119984_869533	"MILLBROOK DR"	62	0
M120	120	hampden	2011	119987	869922	M_119987_869922	"ALLEN ST"	387	0
M120	120	hampden	2011	119993	870021	M_119993_870021	"ALLEN ST"	388	0
M120	120	hampden	2011	119998	869453	M_119998_869453	"MILLBROOK DR"	82	0
M120	120	hampden	2011	120013	869367	M_120013_869367	"MILLBROOK DR"	96	0
M120	120	hampden	2011	120020	869889	M_120020_869889	"ALLEN ST"	381	0
M120	120	hampden	2011	120022	869314	M_120022_869314	"MILLBROOK DR"	104	0
M120	120	hampden	2011	120027	870192	M_120027_870192	"ALLEN ST"	382	0
M120	120	hampden	2011	120030	869267	M_120030_869267	"MILLBROOK DR"	110	0
M120	120	hampden	2011	120036	869231	M_120036_869231	"MILLBROOK DR"	116	0
M120	120	hampden	2011	120041	869201	M_120041_869201	"MILLBROOK DR"	124	0
M120	120	hampden	2011	120050	869148	M_120050_869148	"MILLBROOK DR"	305	0
M120	120	hampden	2011	120052	869874	M_120052_869874	"ALLEN ST"	377	0
M120	120	hampden	2011	120059	869092	M_120059_869092	"MILLBROOK DR"	301	0
M120	120	hampden	2011	120067	869042	M_120067_869042	"MILLBROOK DR"	295	0
M120	120	hampden	2011	120074	868999	M_120074_868999	"MILLBROOK DR"	287	0
M120	120	hampden	2011	120082	868954	M_120082_868954	"MILLBROOK DR"	279	0
M120	120	hampden	2011	120096	868865	M_120096_868865	"MILLBROOK DR"	265	0
M120	120	hampden	2011	120105	870086	M_120105_870086	"ALLEN ST"	378	0
M120	120	hampden	2011	120106	868805	M_120106_868805	"MILLBROOK DR"	255	0
M120	120	hampden	2011	120113	868762	M_120113_868762	"MILLBROOK DR"	249	0
M120	120	hampden	2011	120121	868715	M_120121_868715	"MILLBROOK DR"	241	0
M120	120	hampden	2011	120128	869569	M_120128_869569	"ALLEN ST"	343	0
