town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M122	122	hanover	2013	249875	878042	M_249875_878042	"WHITON COURT"	14	0
M122	122	hanover	2013	249876	877861	M_249876_877861	"DEERFIELD LANE"	179	0
M122	122	hanover	2013	249878	878111	M_249878_878111	"WHITON COURT"	22	0
M122	122	hanover	2013	249891	877068	M_249891_877068	"ROBERTS ROAD"	34	0
M122	122	hanover	2013	249918	876771	M_249918_876771	"WEBSTER ST"	1229	0
M122	122	hanover	2013	249931	877926	M_249931_877926	"DEERFIELD LANE"	165	0
M122	122	hanover	2013	249944	877777	M_249944_877777	"DEERFIELD LANE"	189	0
M122	122	hanover	2013	249949	877237	M_249949_877237	"PONDEROSA DRIVE"	218	0
M122	122	hanover	2013	249953	876801	M_249953_876801	"WEBSTER ST"	1209	0
M122	122	hanover	2013	249955	877021	M_249955_877021	"ROBERTS ROAD"	26	0
M122	122	hanover	2013	249959	876605	M_249959_876605	"WEBSTER ST"	1229	0
M122	122	hanover	2013	249971	877120	M_249971_877120	"ROBERTS ROAD"	37	0
M122	122	hanover	2013	249973	877175	M_249973_877175	"PONDEROSA DRIVE"	217	0
M122	122	hanover	2013	249975	877965	M_249975_877965	"DEERFIELD LANE"	153	0
M122	122	hanover	2013	249978	876612	M_249978_876612	"WEBSTER ST"	1225	0
M122	122	hanover	2013	249980	876963	M_249980_876963	"DWELLEY AVE"	90	0
M122	122	hanover	2013	249981	876912	M_249981_876912	"DWELLEY AVE"	82	0
M122	122	hanover	2013	249988	878004	M_249988_878004	"DEERFIELD LANE"	141	0
M122	122	hanover	2013	249995	876618	M_249995_876618	"WEBSTER ST"	1219	0
M122	122	hanover	2013	249996	876866	M_249996_876866	"DWELLEY AVE"	68	0
M122	122	hanover	2013	249997	877255	M_249997_877255	"PONDEROSA DRIVE"	232	0
M122	122	hanover	2013	249997	877734	M_249997_877734	"DEERFIELD LANE"	195	0
M122	122	hanover	2013	249997	878140	M_249997_878140	"WHITON COURT"	17	0
M122	122	hanover	2013	250006	877863	M_250006_877863	"DEERFIELD LANE"	182	0
M122	122	hanover	2013	250012	876460	M_250012_876460	"WEBSTER ST"	1226	0
M122	122	hanover	2013	250012	876819	M_250012_876819	"DWELLEY AVE"	56	0
M122	122	hanover	2013	250013	876624	M_250013_876624	"WEBSTER ST"	1215	0
M122	122	hanover	2013	250013	877003	M_250013_877003	"ROBERTS ROAD"	16	0
M122	122	hanover	2013	250013	877570	M_250013_877570	"OLDFIELD DRIVE"	100	0
M122	122	hanover	2013	250018	877194	M_250018_877194	"PONDEROSA DRIVE"	229	0
M122	122	hanover	2013	250021	877129	M_250021_877129	"ROBERTS ROAD"	33	0
M122	122	hanover	2013	250023	878042	M_250023_878042	"DEERFIELD LANE"	123	0
M122	122	hanover	2013	250029	876774	M_250029_876774	"DWELLEY AVE"	44	0
M122	122	hanover	2013	250032	877629	M_250032_877629	"OLDFIELD DRIVE"	95	0
M122	122	hanover	2013	250039	877074	M_250039_877074	"ROBERTS ROAD"	23	0
M122	122	hanover	2013	250039	877678	M_250039_877678	"ADAM LANE"	14	0
M122	122	hanover	2013	250044	876733	M_250044_876733	"DWELLEY AVE"	34	0
M122	122	hanover	2013	250048	877744	M_250048_877744	"ADAM LANE"	11	0
M122	122	hanover	2013	250050	878111	M_250050_878111	"WHITON COURT"	9	0
M122	122	hanover	2013	250051	876561	M_250051_876561	"WEBSTER ST"	1210	0
M122	122	hanover	2013	250051	877856	M_250051_877856	"TYLER LANE"	58	0
M122	122	hanover	2013	250058	876692	M_250058_876692	"DWELLEY AVE"	22	0
M122	122	hanover	2013	250060	877945	M_250060_877945	"DEERFIELD LANE"	152	0
M122	122	hanover	2013	250063	877526	M_250063_877526	"OLDFIELD DRIVE"	96	0
M122	122	hanover	2013	250067	877390	M_250067_877390	"PONDEROSA DRIVE"	103	0
M122	122	hanover	2013	250067	877907	M_250067_877907	"TYLER LANE"	60	0
M122	122	hanover	2013	250068	876641	M_250068_876641	"WEBSTER ST"	1203	0
M122	122	hanover	2013	250068	877036	M_250068_877036	"ROBERTS ROAD"	11	0
M122	122	hanover	2013	250068	877181	M_250068_877181	"PONDEROSA DRIVE"	249	0
M122	122	hanover	2013	250071	876474	M_250071_876474	"CYNTHIA WAY"	10	0
M122	122	hanover	2013	250077	876945	M_250077_876945	"DWELLEY AVE"	99	0
