LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_248605_870409	"HOLLY RIDGE DR"	0	0	248605	870409
M_248626_870428	"HOLLY RIDGE DR"	268	0	248626	870428
M_248634_870344	"WINSLOW DR"	20	0	248634	870344
M_248635_870229	"WINSLOW DR"	0	0	248635	870229
M_248647_870276	"WINSLOW DR"	36	0	248647	870276
M_248658_870203	"WINSLOW DR"	54	0	248658	870203
M_248673_870437	"HOLLY RIDGE DR"	250	0	248673	870437
M_248680_870138	"WINSLOW DR"	70	0	248680	870138
M_248693_870369	"HOLLY RIDGE DR"	247	0	248693	870369
M_248702_870324	"WINSLOW DR"	23	0	248702	870324
M_248711_870279	"WINSLOW DR"	37	0	248711	870279
M_248718_870445	"HOLLY RIDGE DR"	236	0	248718	870445
M_248719_870234	"WINSLOW DR"	55	0	248719	870234
M_248726_870127	"WINSLOW DR"	84	0	248726	870127
M_248727_869762	"FRANKLIN ST (WHITMAN)"	370	0	248727	869762
M_248727_869878	"FRANKLIN ST"	0	0	248727	869878
M_248738_870192	"WINSLOW DR"	73	0	248738	870192
M_248740_869838	"FRANKLIN ST"	0	0	248740	869838
M_248743_870564	"PERRY AV"	0	0	248743	870564
M_248754_870381	"HOLLY RIDGE DR"	225	0	248754	870381
M_248762_870335	"ORCHARD AV"	24	0	248762	870335
M_248763_870454	"HOLLY RIDGE DR"	224	0	248763	870454
M_248771_870290	"ORCHARD AV"	38	0	248771	870290
M_248773_870124	"WINSLOW DR"	98	0	248773	870124
M_248777_869920	"WHITMAN ST"	0	0	248777	869920
M_248780_869619	"FRANKLIN ST"	0	0	248780	869619
M_248780_870246	"ORCHARD AV"	54	0	248780	870246
M_248793_870199	"WINSLOW DR"	109	0	248793	870199
M_248795_869469	"CATHERINE RD"	61	0	248795	869469
M_248808_870463	"HOLLY RIDGE DR"	204	0	248808	870463
M_248815_870121	"WINSLOW DR"	114	0	248815	870121
M_248822_869399	"CATHERINE RD"	40	0	248822	869399
M_248826_870395	"HOLLY RIDGE DR"	193	0	248826	870395
M_248835_870349	"ORCHARD AV"	21	0	248835	870349
M_248843_870304	"ORCHARD AV"	37	0	248843	870304
M_248847_869494	"CATHERINE RD"	73	0	248847	869494
M_248852_870259	"ORCHARD AV"	51	0	248852	870259
M_248857_870473	"HOLLY RIDGE DR"	194	0	248857	870473
M_248864_870200	"ORCHARD AV"	75	0	248864	870200
M_248880_869149	"FRANKLIN ST"	0	0	248880	869149
M_248882_870002	"FRANKLIN ST"	0	0	248882	870002
M_248885_869422	"CATHERINE RD"	82	0	248885	869422
M_248885_870393	"HOLLY RIDGE DR"	169	0	248885	870393
