LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_103548_903960	"THE JOG"	0	0	103548	903960
M_103564_903872	"THE JOG"	6	0	103564	903872
M_103568_903175	"OLD STAGE RD"	0	0	103568	903175
M_103574_903776	"THE JOG"	7	0	103574	903776
M_103579_904085	"OLD STAGE RD"	205	0	103579	904085
M_103585_904208	"OLD STAGE RD"	206	0	103585	904208
M_103592_903976	"THE JOG"	4	0	103592	903976
M_103594_903537	"OLD STAGE RD"	0	0	103594	903537
M_103615_904585	"OLD STAGE RD"	0	0	103615	904585
M_103665_904849	"OLD STAGE RD"	0	0	103665	904849
M_103666_903796	"THE JOG"	9	0	103666	903796
M_103690_904059	"OLD STAGE RD"	0	0	103690	904059
M_103704_903985	"THE JOG"	3	0	103704	903985
M_103708_904984	"OLD STAGE RD"	0	0	103708	904984
M_103709_903900	"THE JOG"	5	0	103709	903900
M_103719_904491	"OLD STAGE RD"	262	0	103719	904491
M_103727_904186	"OLD STAGE RD"	188	0	103727	904186
M_103737_904735	"OLD STAGE RD"	0	0	103737	904735
M_103755_904342	"OLD STAGE RD"	218	0	103755	904342
M_103808_905342	"OLD STAGE RD"	0	0	103808	905342
M_103826_903836	"OLD STAGE RD"	0	0	103826	903836
M_103840_906772	"CHESTNUT MOUNTAIN RD"	0	0	103840	906772
M_103905_906329	"ROCKS RD"	0	0	103905	906329
M_103918_903563	"OLD STAGE RD"	0	0	103918	903563
M_103923_903228	"OLD STAGE RD"	0	0	103923	903228
M_103923_904894	"OLD STAGE RD"	0	0	103923	904894
M_103928_905684	"ROCKS RD"	0	0	103928	905684
M_103938_905793	"ROCKS RD"	0	0	103938	905793
M_103953_906101	"ROCKS RD"	0	0	103953	906101
M_103967_904245	"OLD STAGE RD"	0	0	103967	904245
M_103983_903940	"OLD STAGE RD"	0	0	103983	903940
M_104003_906340	"ROCKS RD"	0	0	104003	906340
M_104027_904198	"OLD STAGE RD"	0	0	104027	904198
M_104064_906505	"ROCKS RD"	0	0	104064	906505
M_104080_904972	"OLD STAGE RD"	0	0	104080	904972
M_104081_903839	"OLD STAGE RD"	0	0	104081	903839
M_104093_904112	"OLD STAGE RD"	0	0	104093	904112
M_104106_904410	"OLD STAGE RD"	0	0	104106	904410
M_104126_903975	"OLD STAGE RD"	151	0	104126	903975
M_104129_905658	"ROCKS RD"	0	0	104129	905658
M_104161_906627	"CHESTNUT MOUNTAIN RD"	0	0	104161	906627
M_104179_903818	"OLD STAGE RD"	111	0	104179	903818
M_104180_906917	"CHESTNUT MOUNTAIN RD"	0	0	104180	906917
M_104182_904634	"OLD STAGE RD"	0	0	104182	904634
M_104184_903935	"OLD STAGE RD"	141	0	104184	903935
M_104187_903779	"OLD STAGE RD"	0	0	104187	903779
M_104213_907001	"CHESTNUT MOUNTAIN RD"	0	0	104213	907001
M_104249_906494	"CHESTNUT MOUNTAIN RD"	0	0	104249	906494
M_104251_906715	"CHESTNUT MOUNTAIN RD"	0	0	104251	906715
M_104274_905293	"ROCKS RD"	0	0	104274	905293
M_104278_906166	"ROCKS RD"	0	0	104278	906166
M_104279_906800	"CHESTNUT MOUNTAIN RD"	0	0	104279	906800
M_104280_903946	"OLD STAGE RD"	133	0	104280	903946
M_104282_903481	"OLD STAGE RD"	65	0	104282	903481
M_104285_905928	"ROCKS RD"	309	0	104285	905928
M_104301_904152	"OLD STAGE RD"	0	0	104301	904152
M_104326_907184	"CHESTNUT MOUNTAIN RD"	0	0	104326	907184
