LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_79060_924174	"STETSON ROAD"	0	0	79060	924174
M_79323_924179	"STETSON ROAD"	0	0	79323	924179
M_79683_927396	"WEST HILL ROAD"	0	0	79683	927396
M_79771_927344	"WEST HILL ROAD"	0	0	79771	927344
M_79809_927638	"WEST HILL ROAD"	0	0	79809	927638
M_79881_927969	"WEST HILL ROAD"	0	0	79881	927969
M_80044_927463	"WEST HILL ROAD"	120	0	80044	927463
M_80256_925688	"SAVOY ROAD"	36	0	80256	925688
M_80358_924900	"STETSON ROAD"	0	0	80358	924900
M_80392_927372	"WEST HILL ROAD"	86	0	80392	927372
M_80417_926593	"WEST HILL ROAD"	91	0	80417	926593
M_80465_928110	"WEST HILL ROAD"	64	0	80465	928110
M_80618_925118	"STETSON ROAD"	13	0	80618	925118
M_80662_924511	"STETSON ROAD"	9	0	80662	924511
M_80695_925760	"SAVOY ROAD"	0	0	80695	925760
M_80788_926144	"SAVOY ROAD"	22	0	80788	926144
M_80789_924983	"STETSON ROAD"	0	0	80789	924983
M_80805_924818	"STETSON ROAD"	7	0	80805	924818
M_80873_925435	"WEST HAWLEY ROAD"	0	0	80873	925435
M_80895_924834	"WEST HAWLEY ROAD"	390	0	80895	924834
M_80907_924624	"WEST HAWLEY ROAD"	0	0	80907	924624
M_80926_927019	"WEST HILL ROAD"	63	0	80926	927019
M_80931_924939	"STETSON ROAD"	2	0	80931	924939
M_80940_925289	"WEST HAWLEY ROAD"	380	0	80940	925289
M_80989_928513	"WEST HILL ROAD"	0	0	80989	928513
M_81005_926196	"SAVOY ROAD"	2	0	81005	926196
M_81012_925699	"WEST HAWLEY ROAD"	382	0	81012	925699
M_81075_926632	"WEST HAWLEY ROAD"	298	0	81075	926632
M_81100_926318	"WEST HAWLEY ROAD"	324	0	81100	926318
M_81103_926041	"WEST HAWLEY ROAD"	326	0	81103	926041
M_81206_925871	"WEST HAWLEY ROAD"	339	0	81206	925871
M_81252_925960	"WEST HAWLEY ROAD"	336	0	81252	925960
M_81252_926090	"WEST HAWLEY ROAD"	330	0	81252	926090
M_81257_925891	"WEST HAWLEY ROAD"	340	0	81257	925891
M_81266_926033	"WEST HAWLEY ROAD"	334	0	81266	926033
M_81266_926420	"WEST HAWLEY ROAD"	319	0	81266	926420
M_81272_926245	"WEST HAWLEY ROAD"	325	0	81272	926245
M_81300_927407	"WEST HILL ROAD"	43	0	81300	927407
M_81340_926046	"WEST HAWLEY ROAD"	335	0	81340	926046
M_81344_925963	"WEST HAWLEY ROAD"	337	0	81344	925963
M_81350_927196	"WEST HAWLEY ROAD"	0	0	81350	927196
M_81409_927553	"WEST HILL ROAD"	40	0	81409	927553
M_81486_927674	"WEST HILL ROAD"	28	0	81486	927674
M_81532_928174	"WEST HILL ROAD"	20	0	81532	928174
M_81627_927121	"WEST HAWLEY ROAD"	282	0	81627	927121
M_81747_927390	"WEST HAWLEY ROAD"	0	0	81747	927390
M_81902_927443	"WEST HAWLEY ROAD"	264	0	81902	927443
M_81925_927751	"WEST HILL ROAD"	0	0	81925	927751
M_82043_927656	"WEST HILL ROAD"	7	0	82043	927656
M_82115_927732	"WEST HAWLEY ROAD"	240	0	82115	927732
M_82149_927619	"WEST HAWLEY ROAD"	247	0	82149	927619
M_82158_928507	"WEST HAWLEY ROAD"	0	0	82158	928507
M_82174_928690	"WEST HAWLEY ROAD"	200	0	82174	928690
M_82215_928861	"WEST HAWLEY ROAD"	198	0	82215	928861
M_82247_928352	"WEST HAWLEY ROAD"	214	0	82247	928352
M_82270_928169	"WEST HAWLEY ROAD"	228	0	82270	928169
M_82418_927603	"WEST HAWLEY ROAD"	232	0	82418	927603
M_82446_928728	"WEST HAWLEY ROAD"	197	0	82446	928728
M_82491_928546	"WEST HAWLEY ROAD"	201	0	82491	928546
M_82499_928220	"FORGE HILL ROAD"	5	0	82499	928220
M_82532_928101	"FORGE HILL ROAD"	0	0	82532	928101
M_82536_928382	"WEST HAWLEY ROAD"	213	0	82536	928382
M_82568_930099	"WEST HAWLEY ROAD"	140	0	82568	930099
M_82573_928249	"FORGE HILL ROAD"	10	0	82573	928249
M_82582_929747	"WEST HAWLEY ROAD"	144	0	82582	929747
M_82697_928610	"FORGE HILL ROAD"	0	0	82697	928610
M_82860_929374	"PUDDING HOLLOW ROAD"	0	0	82860	929374
M_82907_928173	"FORGE HILL ROAD"	12	0	82907	928173
M_82910_929641	"WEST HAWLEY ROAD"	0	0	82910	929641
M_82983_927543	"FORGE HILL ROAD"	0	0	82983	927543
M_83029_929967	"WEST HAWLEY ROAD"	138	0	83029	929967
M_83062_929763	"WEST HAWLEY ROAD"	136	0	83062	929763
M_83217_929836	"WEST HAWLEY ROAD"	128	0	83217	929836
M_83355_929955	"WEST HAWLEY ROAD"	0	0	83355	929955
M_83369_929315	"WEST HAWLEY ROAD"	108	0	83369	929315
M_83376_928859	"PUDDING HOLLOW ROAD"	12	0	83376	928859
M_83406_928373	"PUDDING HOLLOW ROAD"	0	0	83406	928373
M_83410_930494	"SEARS ROAD"	0	0	83410	930494
M_83414_927356	"PUDDING HOLLOW ROAD"	0	0	83414	927356
M_83550_927932	"HOWES ROAD"	13	0	83550	927932
M_83707_929257	"WEST HAWLEY ROAD"	96	0	83707	929257
M_83724_929551	"WEST HAWLEY ROAD"	76	0	83724	929551
M_83728_930992	"WEST HAWLEY ROAD"	10	0	83728	930992
M_83768_927647	"PUDDING HOLLOW ROAD"	73	0	83768	927647
M_83775_929898	"WEST HAWLEY ROAD"	60	0	83775	929898
M_83778_927262	"PUDDING HOLLOW ROAD"	87	0	83778	927262
M_83799_929256	"WEST HAWLEY ROAD"	94	0	83799	929256
M_83810_929164	"WEST HAWLEY ROAD"	0	0	83810	929164
M_83827_927485	"PUDDING HOLLOW ROAD"	0	0	83827	927485
M_83870_927062	"PUDDING HOLLOW ROAD"	100	0	83870	927062
M_83884_930348	"SEARS ROAD"	21	0	83884	930348
M_83895_929267	"WEST HAWLEY ROAD"	90	0	83895	929267
M_83897_925572	"MIDDLE ROAD"	0	0	83897	925572
M_83907_928706	"PUDDING HOLLOW ROAD"	0	0	83907	928706
M_83947_928693	"MIDDLE ROAD"	0	0	83947	928693
M_83948_929131	"PUDDING HOLLOW ROAD"	4	0	83948	929131
M_83967_929614	"WEST HAWLEY ROAD"	70	0	83967	929614
M_83972_930084	"WEST HAWLEY ROAD"	48	0	83972	930084
M_83979_929419	"WEST HAWLEY ROAD"	74	0	83979	929419
M_83989_927525	"PUDDING HOLLOW ROAD"	87	0	83989	927525
M_83997_929453	"WEST HAWLEY ROAD"	0	0	83997	929453
M_84000_929038	"PUDDING HOLLOW ROAD"	8	0	84000	929038
M_84008_927862	"PUDDING HOLLOW ROAD"	61	0	84008	927862
M_84021_929286	"WEST HAWLEY ROAD"	76	0	84021	929286
M_84078_929944	"WEST HAWLEY ROAD"	54	0	84078	929944
M_84078_930011	"WEST HAWLEY ROAD"	50	0	84078	930011
M_84079_928338	"PUDDING HOLLOW ROAD"	45	0	84079	928338
M_84098_928946	"PUDDING HOLLOW RD"	7	0	84098	928946
M_84119_924731	"HALLOCKVILLE ROAD"	0	0	84119	924731
M_84146_922774	"SOUTH ROAD"	133	0	84146	922774
M_84147_930518	"WEST HAWLEY ROAD"	28	0	84147	930518
M_84167_927413	"MIDDLE ROAD"	96	0	84167	927413
M_84209_927506	"MIDDLE ROAD"	92	0	84209	927506
M_84229_927594	"MIDDLE ROAD"	84	0	84229	927594
