town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M130	130	heath	2011	88419	943065	M_88419_943065	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88496	943492	M_88496_943492	"NUMBER NINE RD"	273	0
M130	130	heath	2011	88525	943729	M_88525_943729	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88546	943243	M_88546_943243	"NUMBER NINE RD"	265	0
M130	130	heath	2011	88553	942742	M_88553_942742	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88557	943036	M_88557_943036	"STONE HILL RD"	11	0
M130	130	heath	2011	88558	943827	M_88558_943827	"NUMBER NINE RD"	295	0
M130	130	heath	2011	88606	941922	M_88606_941922	"GROLL RD"	0	0
M130	130	heath	2011	88616	943623	M_88616_943623	"NUMBER NINE RD"	283	0
M130	130	heath	2011	88634	941489	M_88634_941489	"GROLL RD"	25	0
M130	130	heath	2011	88655	942341	M_88655_942341	"NUMBER NINE RD"	211	0
M130	130	heath	2011	88689	941177	M_88689_941177	"GROLL RD"	0	0
M130	130	heath	2011	88710	942925	M_88710_942925	"NUMBER NINE RD"	239	0
M130	130	heath	2011	88719	942863	M_88719_942863	"NUMBER NINE RD"	237	0
M130	130	heath	2011	88721	943027	M_88721_943027	"STONE HILL RD"	3	0
M130	130	heath	2011	88723	942803	M_88723_942803	"NUMBER NINE RD"	235	0
M130	130	heath	2011	88725	942741	M_88725_942741	"NUMBER NINE RD"	229	0
M130	130	heath	2011	88732	940587	M_88732_940587	"ROWE RD"	0	0
M130	130	heath	2011	88737	941825	M_88737_941825	"GROLL RD"	10	0
M130	130	heath	2011	88739	942681	M_88739_942681	"NUMBER NINE RD"	223	0
M130	130	heath	2011	88740	940838	M_88740_940838	"KNOTT RD"	0	0
M130	130	heath	2011	88747	942604	M_88747_942604	"NUMBER NINE RD"	221	0
M130	130	heath	2011	88749	941516	M_88749_941516	"GROLL RD"	0	0
M130	130	heath	2011	88776	941976	M_88776_941976	"NUMBER NINE RD"	177	0
M130	130	heath	2011	88789	942126	M_88789_942126	"NUMBER NINE RD"	191	0
M130	130	heath	2011	88825	939582	M_88825_939582	"ROWE RD"	0	0
M130	130	heath	2011	88828	941647	M_88828_941647	"NUMBER NINE RD"	159	0
M130	130	heath	2011	88830	939959	M_88830_939959	"ROWE RD"	0	0
M130	130	heath	2011	88839	937486	M_88839_937486	"EIGHT A SOUTH"	0	0
M130	130	heath	2011	88842	941784	M_88842_941784	"NUMBER NINE RD"	167	0
M130	130	heath	2011	88851	942911	M_88851_942911	"NUMBER NINE RD"	240	0
M130	130	heath	2011	88853	941440	M_88853_941440	"NUMBER NINE RD"	151	0
M130	130	heath	2011	88868	942830	M_88868_942830	"NUMBER NINE RD"	234	0
M130	130	heath	2011	88875	936194	M_88875_936194	"JUDD RD"	76	0
M130	130	heath	2011	88880	939680	M_88880_939680	"ROWE RD"	0	0
M130	130	heath	2011	88881	942752	M_88881_942752	"NUMBER NINE RD"	230	0
M130	130	heath	2011	88886	942690	M_88886_942690	"NUMBER NINE RD"	228	0
M130	130	heath	2011	88899	943160	M_88899_943160	"NUMBER NINE RD"	273	0
M130	130	heath	2011	88902	943532	M_88902_943532	"NUMBER NINE RD"	284	0
M130	130	heath	2011	88910	939218	M_88910_939218	"ROWE RD"	0	0
M130	130	heath	2011	88921	935840	M_88921_935840	"JUDD RD"	58	0
M130	130	heath	2011	88923	936903	M_88923_936903	"VINCENT RD"	0	0
M130	130	heath	2011	88929	939414	M_88929_939414	"ROWE RD"	118	0
M130	130	heath	2011	88929	943725	M_88929_943725	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88939	941307	M_88939_941307	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88951	941418	M_88951_941418	"NUMBER NINE RD"	143	0
M130	130	heath	2011	88956	941774	M_88956_941774	"NUMBER NINE RD"	0	0
M130	130	heath	2011	88958	940566	M_88958_940566	"KNOTT RD"	0	0
M130	130	heath	2011	88961	935934	M_88961_935934	"JUDD RD"	70	0
M130	130	heath	2011	88969	943816	M_88969_943816	"NUMBER NINE RD"	302	0
M130	130	heath	2011	88984	941125	M_88984_941125	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89005	941592	M_89005_941592	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89009	942901	M_89009_942901	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89018	938915	M_89018_938915	"ROWE RD"	0	0
M130	130	heath	2011	89028	935728	M_89028_935728	"JUDD RD"	0	0
M130	130	heath	2011	89029	936513	M_89029_936513	"VINCENT RD"	0	0
M130	130	heath	2011	89058	939234	M_89058_939234	"ROWE RD"	0	0
M130	130	heath	2011	89069	936155	M_89069_936155	"JUDD RD"	0	0
M130	130	heath	2011	89077	935695	M_89077_935695	"JUDD RD"	53	0
M130	130	heath	2011	89087	939593	M_89087_939593	"KNOTT RD"	43	0
M130	130	heath	2011	89095	940971	M_89095_940971	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89110	938499	M_89110_938499	"ROWE RD"	0	0
M130	130	heath	2011	89116	937371	M_89116_937371	"SHERMAN DR"	37	0
M130	130	heath	2011	89140	941376	M_89140_941376	"NUMBER NINE RD"	136	0
M130	130	heath	2011	89141	937645	M_89141_937645	"SHERMAN DR"	37	0
M130	130	heath	2011	89156	935965	M_89156_935965	"JUDD RD"	35	0
M130	130	heath	2011	89157	937218	M_89157_937218	"SHERMAN DR"	0	0
M130	130	heath	2011	89191	937370	M_89191_937370	"SHERMAN DR"	43	0
M130	130	heath	2011	89198	936946	M_89198_936946	"VINCENT RD"	5	0
M130	130	heath	2011	89210	939162	M_89210_939162	"KNOTT RD"	0	0
M130	130	heath	2011	89219	939800	M_89219_939800	"KNOTT RD"	0	0
M130	130	heath	2011	89219	941577	M_89219_941577	"NUMBER NINE RD"	168	0
M130	130	heath	2011	89239	933909	M_89239_933909	"SOUTH RD"	0	0
M130	130	heath	2011	89262	934273	M_89262_934273	"SOUTH RD"	276	0
M130	130	heath	2011	89263	936292	M_89263_936292	"JUDD RD"	20	0
M130	130	heath	2011	89268	941217	M_89268_941217	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89275	937681	M_89275_937681	"SHERMAN DR"	27	0
M130	130	heath	2011	89277	936148	M_89277_936148	"JUDD RD"	29	0
M130	130	heath	2011	89291	942773	M_89291_942773	"NUMBER NINE RD"	220	0
M130	130	heath	2011	89301	939001	M_89301_939001	"ROWE RD"	68	0
M130	130	heath	2011	89308	936529	M_89308_936529	"VINCENT RD"	0	0
M130	130	heath	2011	89308	940828	M_89308_940828	"NUMBER NINE RD"	89	0
M130	130	heath	2011	89308	941087	M_89308_941087	"NUMBER NINE RD"	92	0
M130	130	heath	2011	89309	940613	M_89309_940613	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89310	938807	M_89310_938807	"ROWE RD"	73	0
M130	130	heath	2011	89311	938087	M_89311_938087	"ROWE RD"	0	0
M130	130	heath	2011	89318	943609	M_89318_943609	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89319	939230	M_89319_939230	"KNOTT RD"	23	0
M130	130	heath	2011	89350	941908	M_89350_941908	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89381	938471	M_89381_938471	"TEN ACRE LANE"	53	0
M130	130	heath	2011	89382	940756	M_89382_940756	"NUMBER NINE RD"	85	0
M130	130	heath	2011	89391	936654	M_89391_936654	"EIGHT A SOUTH"	220	0
M130	130	heath	2011	89392	936509	M_89392_936509	"JUDD RD"	10	0
M130	130	heath	2011	89404	939118	M_89404_939118	"KNOTT RD"	14	0
M130	130	heath	2011	89435	937494	M_89435_937494	"EIGHT A SOUTH"	142	0
M130	130	heath	2011	89456	939195	M_89456_939195	"KNOTT RD"	20	0
M130	130	heath	2011	89468	938974	M_89468_938974	"ROWE RD"	68	0
M130	130	heath	2011	89479	936031	M_89479_936031	"EIGHT A SOUTH"	229	0
M130	130	heath	2011	89485	940040	M_89485_940040	"NUMBER NINE RD"	37	0
M130	130	heath	2011	89488	936961	M_89488_936961	"EIGHT A SOUTH"	182	0
M130	130	heath	2011	89491	933880	M_89491_933880	"SOUTH RD"	267	0
M130	130	heath	2011	89497	940536	M_89497_940536	"NUMBER NINE RD"	59	0
M130	130	heath	2011	89515	936575	M_89515_936575	"EIGHT A SOUTH"	218	0
M130	130	heath	2011	89533	938639	M_89533_938639	"ROWE RD"	45	0
M130	130	heath	2011	89546	934250	M_89546_934250	"SOUTH RD"	0	0
M130	130	heath	2011	89551	936675	M_89551_936675	"EIGHT A SOUTH"	0	0
M130	130	heath	2011	89577	940733	M_89577_940733	"NUMBER NINE RD"	69	0
M130	130	heath	2011	89581	942336	M_89581_942336	"SUMNER-STETSON RD"	141	0
M130	130	heath	2011	89592	940979	M_89592_940979	"NUMBER NINE RD"	0	0
M130	130	heath	2011	89601	936350	M_89601_936350	"SAUNDERS RD"	7	0
M130	130	heath	2011	89601	938453	M_89601_938453	"TEN ACRE LANE"	16	0
M130	130	heath	2011	89631	935581	M_89631_935581	"ROYER RD"	0	0
M130	130	heath	2011	89645	937234	M_89645_937234	"EIGHT A SOUTH"	166	0
M130	130	heath	2011	89678	938681	M_89678_938681	"ROWE RD"	46	0
