LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_810711_2916698	"LINCOLN STREET"	457	0	247105	889011
F_810750_2915870	"LINCOLN STREET"	0	0	247117	888759
F_811188_2915389	"BEAL STREET"	0	0	247251	888612
F_811262_2915772	"LINCOLN STREET"	434	0	247273	888729
F_811369_2914677	"BEAL STREET"	0	0	247306	888395
F_811488_2915550	"BEAL STREET"	0	0	247342	888661
F_811529_2916092	"LINCOLN STREET"	425	0	247355	888827
F_811647_2915852	"LINCOLN STREET"	428	0	247391	888753
F_811658_2916529	"LINCOLN STREET"	433	0	247394	888960
F_811691_2916198	"LINCOLN STREET"	421	0	247404	888859
F_811743_2914906	"BEAL STREET"	230	0	247420	888465
F_811921_2916574	"SHIPYARD DRIVE"	24	0	247474	888974
F_811938_2916293	"LINCOLN STREET"	405	0	247479	888888
F_812113_2914140	"BEAL STREET"	0	0	247533	888232
F_812132_2912863	"FORT HILL STREET"	0	0	247538	887842
F_812164_2915809	"LINCOLN STREET"	400	0	247548	888740
F_812185_2915099	"BEAL STREET"	226	0	247554	888524
F_812215_2917064	"SHIPYARD DRIVE"	10	0	247564	889123
F_812251_2916726	"SHIPYARD DRIVE"	6	0	247575	889020
F_812260_2916410	"SHIPYARD DRIVE"	2	0	247577	888924
F_812335_2913832	"BEALS COVE ROAD"	1	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	10	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	11	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	12	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	13	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	14	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	15	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	16	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	17	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	18	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	19	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	2	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	20	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	21	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	22	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	3	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	4	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	5	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	6	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	7	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	8	0	247600	888138
F_812335_2913832	"BEALS COVE ROAD"	9	0	247600	888138
F_812353_2884960	"SHARP STREET"	0	0	247606	879338
F_812400_2917411	"SHIPYARD DRIVE"	18	0	247620	889229
F_812424_2914610	"BACKRIVER ROAD"	19	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	21	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	23	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	25	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	27	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	29	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	31	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	33	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	35	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	37	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	39	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	41	0	247627	888375
F_812424_2914610	"BACKRIVER ROAD"	43	0	247627	888375
F_812424_2914610	"HERON WAY"	1	0	247627	888375
F_812424_2914610	"HERON WAY"	10	0	247627	888375
F_812424_2914610	"HERON WAY"	11	0	247627	888375
F_812424_2914610	"HERON WAY"	12	0	247627	888375
F_812424_2914610	"HERON WAY"	14	0	247627	888375
F_812424_2914610	"HERON WAY"	2	0	247627	888375
F_812424_2914610	"HERON WAY"	3	0	247627	888375
F_812424_2914610	"HERON WAY"	4	0	247627	888375
F_812424_2914610	"HERON WAY"	5	0	247627	888375
F_812424_2914610	"HERON WAY"	6	0	247627	888375
F_812424_2914610	"HERON WAY"	7	0	247627	888375
F_812424_2914610	"HERON WAY"	8	0	247627	888375
F_812424_2914610	"HERON WAY"	9	0	247627	888375
F_812424_2914610	"OSPREY WAY"	5	0	247627	888375
F_812424_2914610	"OSPREY WAY"	7	0	247627	888375
F_812424_2914610	"OSPREY WAY"	9	0	247627	888375
F_812600_2915242	"BEAL STREET"	0	0	247681	888568
F_812612_2887406	"ABINGTON STREET"	80	0	247685	880083
F_812619_2887767	"ABINGTON STREET"	0	0	247687	880193
F_812671_2917028	"SHIPYARD DRIVE"	9	0	247703	889112
F_812684_2916547	"SHIPYARD DRIVE"	1	0	247707	888965
F_812775_2916288	"LINCOLN STREET"	360	0	247734	888886
F_812821_2886846	"ABINGTON STREET"	74	0	247748	879912
F_812827_2889823	"INDUSTRIAL PARK RD"	0	0	247750	880820
F_812844_2889944	"INDUSTRIAL PARK RD"	0	0	247755	880857
F_812856_2917447	"SHIPYARD DRIVE"	23	0	247759	889240
F_812859_2890091	"INDUSTRIAL PARK RD"	0	0	247760	880901
F_812867_2917609	"SHIPYARD DRIVE"	22	0	247762	889289
F_812871_2884086	"SHARP STREET"	67	0	247764	879071
F_812876_2890242	"INDUSTRIAL PARK RD"	0	0	247765	880948
F_812889_2890358	"INDUSTRIAL PARK RD"	0	0	247769	880983
F_812909_2885153	"SHARP STREET"	100	0	247775	879396
F_812915_2886241	"ABINGTON STREET"	0	0	247777	879728
F_812918_2913279	"TUCKERS LANE"	3201	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3202	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3203	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3204	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3205	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3206	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3207	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3301	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3302	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3303	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3304	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3305	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3306	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3307	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3401	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3402	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3403	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3404	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3405	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3406	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3407	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3501	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3502	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3503	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3504	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3505	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3506	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3507	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3508	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3509	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3510	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3601	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3602	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3603	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3604	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3605	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3606	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3607	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3608	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3609	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3610	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3701	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3702	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3703	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3704	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3705	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3706	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3707	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3801	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3802	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3803	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3804	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3805	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3806	0	247778	887969
F_812918_2913279	"TUCKERS LANE"	3807	0	247778	887969
F_812932_2888774	"POND PARK ROAD"	50	0	247782	880500
F_812937_2915245	"BEAL STREET"	225	0	247784	888568
F_812940_2887797	"RESEARCH ROAD"	105	0	247785	880202
F_812949_2889357	"POND PARK ROAD"	45	0	247787	880678
F_812968_2915566	"SGT WILLIAM TERRY DR"	0	0	247793	888666
F_812985_2915997	"LINCOLN STREET"	350	0	247798	888798
F_813004_2888295	"RESEARCH ROAD"	100	0	247804	880354
F_813011_2890389	"DERBY STREET"	0	0	247806	880992
F_813012_2891179	"OLD DERBY STREET"	236	0	247807	881233
F_813015_2916618	"ESSINGTON DRIVE"	11	0	247807	888987
F_813060_2891699	"OLD DERBY STREET"	227	0	247821	881392
F_813076_2885631	"SHARP STREET"	72	0	247826	879542
F_813077_2915013	"BEAL STREET"	197	0	247826	888498
F_813101_2889975	"POND PARK ROAD"	1	0	247834	880866
F_813124_2917506	"SHIPYARD DRIVE"	29	0	247841	889258
F_813161_2891673	"OLD DERBY STREET"	225	0	247852	881384
F_813184_2891487	"OLD DERBY STREET"	230	0	247859	881327
