town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M137	137	holyoke	2012	101735	885364	F_333777_2904733	"COUNTY RD"	10	0
M137	137	holyoke	2012	101745	885311	F_333808_2904557	"COUNTY RD"	12	0
M137	137	holyoke	2012	101755	885277	F_333840_2904446	"COUNTY RD"	14	0
M137	137	holyoke	2012	101757	885246	F_333849_2904344	"COUNTY RD"	16	0
M137	137	holyoke	2012	101761	885215	F_333861_2904243	"COUNTY RD"	18	0
M137	137	holyoke	2012	101764	885413	F_333870_2904893	"SOUTHAMPTON RD"	431	0
M137	137	holyoke	2012	101764	885185	F_333872_2904143	"COUNTY RD"	20	0
M137	137	holyoke	2012	101767	885155	F_333882_2904045	"COUNTY RD"	22	0
M137	137	holyoke	2012	101771	885125	F_333893_2903948	"COUNTY RD"	24	0
M137	137	holyoke	2012	101774	885097	F_333902_2903857	"COUNTY RD"	26	0
M137	137	holyoke	2012	101777	885069	F_333912_2903764	"COUNTY RD"	28	0
M137	137	holyoke	2012	101780	885037	F_333924_2903660	"COUNTY RD"	30	0
M137	137	holyoke	2012	101783	885007	F_333934_2903561	"COUNTY RD"	32	0
M137	137	holyoke	2012	101787	884976	F_333945_2903459	"COUNTY RD"	34	0
M137	137	holyoke	2012	101788	885326	F_333949_2904607	"SOUTHAMPTON RD"	424	0
M137	137	holyoke	2012	101790	884945	F_333956_2903356	"COUNTY RD"	36	0
M137	137	holyoke	2012	101794	884911	F_333968_2903244	"COUNTY RD"	38	0
M137	137	holyoke	2012	101796	885399	F_333975_2904845	"SOUTHAMPTON RD"	429	0
M137	137	holyoke	2012	101800	884866	F_333990_2903099	"COUNTY RD"	40	0
M137	137	holyoke	2012	101803	884834	F_334000_2902992	"COUNTY RD"	42	0
M137	137	holyoke	2012	101807	884709	F_334012_2902584	"COUNTY RD"	50	0
M137	137	holyoke	2012	101811	884676	F_334026_2902475	"COUNTY RD"	52	0
M137	137	holyoke	2012	101813	884747	F_334032_2902709	"COUNTY RD"	48	0
M137	137	holyoke	2012	101815	884643	F_334038_2902366	"COUNTY RD"	54	0
M137	137	holyoke	2012	101817	885285	F_334043_2904471	"SOUTHAMPTON RD"	422	0
M137	137	holyoke	2012	101819	884610	F_334051_2902259	"COUNTY RD"	56	0
M137	137	holyoke	2012	101820	885381	F_334053_2904786	"SOUTHAMPTON RD"	427	0
M137	137	holyoke	2012	101823	884579	F_334065_2902156	"BAYBERRY DR"	39	0
M137	137	holyoke	2012	101827	885155	F_334079_2904046	"CYPRESS RD"	15	0
M137	137	holyoke	2012	101828	884534	F_334082_2902008	"COUNTY RD"	60	0
M137	137	holyoke	2012	101828	885115	F_334082_2903914	"CYPRESS RD"	11	0
M137	137	holyoke	2012	101831	884507	F_334092_2901919	"COUNTY RD"	62	0
M137	137	holyoke	2012	101833	885205	F_334097_2904210	"CYPRESS RD"	17	0
M137	137	holyoke	2012	101834	885078	F_334100_2903795	"CYPRESS RD"	9	0
M137	137	holyoke	2012	101835	884480	F_334104_2901832	"COUNTY RD"	64	0
M137	137	holyoke	2012	101838	885039	F_334114_2903666	"CYPRESS RD"	7	0
M137	137	holyoke	2012	101839	884453	F_334117_2901742	"COUNTY RD"	66	0
M137	137	holyoke	2012	101842	885000	F_334128_2903539	"CYPRESS RD"	5	0
M137	137	holyoke	2012	101843	884423	F_334129_2901646	"COUNTY RD"	68	0
M137	137	holyoke	2012	101843	885362	F_334129_2904726	"SOUTHAMPTON RD"	425	0
M137	137	holyoke	2012	101846	885265	F_334140_2904406	"SOUTHAMPTON RD"	420	0
M137	137	holyoke	2012	101847	884395	F_334142_2901552	"COUNTY RD"	70	0
M137	137	holyoke	2012	101847	884963	F_334142_2903415	"CYPRESS RD"	3	0
M137	137	holyoke	2012	101847	885422	F_334142_2904921	"HEMLOCK DR"	2	0
M137	137	holyoke	2012	101848	884853	F_334146_2903056	"SEQUOIA DR"	2	0
M137	137	holyoke	2012	101850	884368	F_334154_2901465	"CRANBERRY DR"	21	0
M137	137	holyoke	2012	101851	884921	F_334155_2903279	"CYPRESS RD"	1	0
M137	137	holyoke	2012	101856	884669	F_334173_2902450	"BLACKBERRY CR"	7	0
M137	137	holyoke	2012	101856	884323	F_334174_2901317	"COUNTY RD"	74	0
M137	137	holyoke	2012	101856	884707	F_334174_2902576	"BLACKBERRY CR"	9	0
M137	137	holyoke	2012	101860	884293	F_334186_2901217	"COUNTY RD"	76	0
M137	137	holyoke	2012	101864	884262	F_334199_2901116	"COUNTY RD"	78	0
M137	137	holyoke	2012	101865	884638	F_334202_2902349	"BLACKBERRY CR"	5	0
