town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M139	139	hopkinton	2012	191733	885298	F_629044_2904515	"SPRING ST"	0	0
M139	139	hopkinton	2012	191801	885923	F_629268_2906567	"SPRING ST"	186	0
M139	139	hopkinton	2012	191806	885498	F_629283_2905170	"SPRING ST"	192	0
M139	139	hopkinton	2012	191835	885558	F_629380_2905368	"SPRING ST"	190	0
M139	139	hopkinton	2012	191837	885034	F_629385_2903650	"SPRING ST"	205	0
M139	139	hopkinton	2012	191838	885078	F_629388_2903794	"SNOWY OWL RD"	0	0
M139	139	hopkinton	2012	191852	884973	F_629434_2903450	"SNOWY OWL RD"	2	0
M139	139	hopkinton	2012	191858	885615	F_629454_2905555	"SPRING ST"	188	0
M139	139	hopkinton	2012	191891	884914	F_629564_2903254	"FALCON RIDGE DR"	4	0
M139	139	hopkinton	2012	191893	886218	F_629568_2907532	"SPRING ST"	0	0
M139	139	hopkinton	2012	191896	885118	F_629578_2903924	"SNOWY OWL RD"	1	0
M139	139	hopkinton	2012	191898	884872	F_629586_2903116	"FALCON RIDGE DR"	6	0
M139	139	hopkinton	2012	191908	885174	F_629619_2904107	"SPRING ST"	201	0
M139	139	hopkinton	2012	191909	885765	F_629621_2906046	"SPRING ST"	184	0
M139	139	hopkinton	2012	191926	885230	F_629678_2904291	"SPRING ST"	199	0
M139	139	hopkinton	2012	191931	884814	F_629693_2902927	"FALCON RIDGE DR"	8	0
M139	139	hopkinton	2012	191933	885307	F_629699_2904546	"SPRING ST"	0	0
M139	139	hopkinton	2012	191940	885819	F_629723_2906225	"SPRING ST"	182	0
M139	139	hopkinton	2012	191949	886056	F_629752_2907002	"SPRING ST"	176	0
M139	139	hopkinton	2012	191950	884996	F_629755_2903526	"FALCON RIDGE DR"	2	0
M139	139	hopkinton	2012	191964	885874	F_629802_2906404	"SPRING ST"	180	0
M139	139	hopkinton	2012	191970	885376	F_629820_2904771	"SPRING ST"	0	0
M139	139	hopkinton	2012	191974	885096	F_629835_2903854	"SNOWY OWL RD"	3	0
M139	139	hopkinton	2012	191988	885926	F_629879_2906575	"SPRING ST"	178	0
M139	139	hopkinton	2012	191999	885151	F_629917_2904032	"FALCON RIDGE DR"	38	0
M139	139	hopkinton	2012	192005	885221	F_629935_2904262	"FALCON RIDGE DR"	36	0
M139	139	hopkinton	2012	192012	886326	F_629959_2907887	"MCHUGH LN"	1	0
M139	139	hopkinton	2012	192019	885263	F_629982_2904400	"FALCON RIDGE DR"	34	0
M139	139	hopkinton	2012	192027	884860	F_630010_2903078	"FALCON RIDGE DR"	5	0
M139	139	hopkinton	2012	192028	884919	F_630012_2903271	"FALCON RIDGE DR"	3	0
M139	139	hopkinton	2012	192033	885507	F_630028_2905202	"SPRING ST"	0	0
M139	139	hopkinton	2012	192035	885642	F_630035_2905645	"SPRING ST"	189	0
M139	139	hopkinton	2012	192047	884781	F_630075_2902818	"FALCON RIDGE DR"	10	0
M139	139	hopkinton	2012	192051	886161	F_630086_2907345	"SPRING ST"	0	0
M139	139	hopkinton	2012	192053	884983	F_630093_2903482	"FALCON RIDGE DR"	1	0
M139	139	hopkinton	2012	192054	885304	F_630097_2904534	"FALCON RIDGE DR"	32	0
M139	139	hopkinton	2012	192057	886818	F_630106_2909502	"HILL ST"	15	0
M139	139	hopkinton	2012	192059	885429	F_630114_2904944	"SPRING ST"	0	0
M139	139	hopkinton	2012	192066	887002	F_630137_2910107	"LAKEVIEW PATH"	0	0
M139	139	hopkinton	2012	192069	886001	F_630148_2906820	"SPRING ST"	174	0
M139	139	hopkinton	2012	192080	886946	F_630181_2909923	"HILL ST"	0	0
M139	139	hopkinton	2012	192080	886061	F_630183_2907018	"SPRING ST"	172	0
M139	139	hopkinton	2012	192080	887148	F_630184_2910586	"LAKEVIEW PATH"	0	0
M139	139	hopkinton	2012	192082	885036	F_630190_2903656	"FALCON RIDGE DR"	23	0
M139	139	hopkinton	2012	192084	886574	F_630197_2908703	"SPRING ST"	136	0
M139	139	hopkinton	2012	192092	885101	F_630221_2903869	"FALCON RIDGE DR"	21	0
M139	139	hopkinton	2012	192096	885334	F_630235_2904634	"FALCON RIDGE DR"	30	0
M139	139	hopkinton	2012	192098	885192	F_630243_2904168	"FALCON RIDGE DR"	19	0
M139	139	hopkinton	2012	192100	885853	F_630248_2906337	"SPRING ST"	0	0
M139	139	hopkinton	2012	192103	884805	F_630258_2902897	"FALCON RIDGE DR"	12	0
M139	139	hopkinton	2012	192104	887076	F_630261_2910347	"LAKEVIEW PATH"	1	0
M139	139	hopkinton	2012	192109	884914	F_630277_2903255	"FALCON RIDGE DR"	7	0
M139	139	hopkinton	2012	192113	886237	F_630291_2907596	"MCHUGH LN"	2	0
M139	139	hopkinton	2012	192119	886888	F_630312_2909731	"HILL ST"	14	0
M139	139	hopkinton	2012	192126	886715	F_630334_2909163	"HILL ST"	11	0
M139	139	hopkinton	2012	192127	886421	F_630336_2908198	"SPRING ST"	148	0
M139	139	hopkinton	2012	192153	884960	F_630422_2903405	"FALCON RIDGE DR"	9	0
M139	139	hopkinton	2012	192153	885219	F_630422_2904255	"FALCON RIDGE DR"	17	0
M139	139	hopkinton	2012	192163	886840	F_630456_2909575	"HILL ST"	12	0
M139	139	hopkinton	2012	192164	885138	F_630457_2903989	"FALCON RIDGE DR"	15	0
M139	139	hopkinton	2012	192164	885899	F_630458_2906488	"SPRING ST"	175	0
M139	139	hopkinton	2012	192169	886960	F_630473_2909969	"LAKEVIEW PATH"	4	0
M139	139	hopkinton	2012	192170	885992	F_630478_2906793	"SPRING ST"	173	0
M139	139	hopkinton	2012	192175	885073	F_630494_2903776	"FALCON RIDGE DR"	13	0
M139	139	hopkinton	2012	192176	885612	F_630499_2905545	"SPRING ST"	0	0
M139	139	hopkinton	2012	192178	886301	F_630504_2907806	"SPRING ST"	150	0
M139	139	hopkinton	2012	192179	886229	F_630507_2907570	"SPRING ST"	152	0
M139	139	hopkinton	2012	192183	884849	F_630520_2903041	"FALCON RIDGE DR"	14	0
M139	139	hopkinton	2012	192187	885012	F_630535_2903577	"FALCON RIDGE DR"	11	0
M139	139	hopkinton	2012	192194	885337	F_630556_2904644	"FALCON RIDGE DR"	28	0
M139	139	hopkinton	2012	192194	887021	F_630557_2910168	"LAKEVIEW PATH"	3	0
M139	139	hopkinton	2012	192201	886045	F_630580_2906966	"SPRING ST"	171	0
M139	139	hopkinton	2012	192205	886658	F_630593_2908976	"HILL ST"	9	0
M139	139	hopkinton	2012	192211	886311	F_630613_2907838	"SPRING ST"	0	0
M139	139	hopkinton	2012	192214	886782	F_630622_2909384	"HILL ST"	10	0
M139	139	hopkinton	2012	192243	886120	F_630717_2907211	"SPRING ST"	151	0
M139	139	hopkinton	2012	192245	885225	F_630723_2904275	"FALCON RIDGE DR"	26	0
M139	139	hopkinton	2012	192248	887343	F_630735_2911223	"HILL ST"	0	0
M139	139	hopkinton	2012	192252	886382	F_630746_2908070	"SPRING ST"	146	0
M139	139	hopkinton	2012	192258	884892	F_630765_2903183	"FALCON RIDGE DR"	16	0
M139	139	hopkinton	2012	192260	887497	F_630774_2911730	"HILL ST"	0	0
M139	139	hopkinton	2012	192261	886748	F_630776_2909274	"HILL ST"	8	0
M139	139	hopkinton	2012	192262	886018	F_630779_2906877	"HEIDI CR"	4	0
M139	139	hopkinton	2012	192265	886669	F_630790_2909012	"HILL ST"	7	0
