town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M143	143	huntington	2012	83576	888603	M_83576_888603	"LAUREL RD"	80	0
M143	143	huntington	2012	83610	888590	M_83610_888590	"LAUREL RD"	78	0
M143	143	huntington	2012	83657	888573	M_83657_888573	"LAUREL RD"	76	0
M143	143	huntington	2012	83702	888558	M_83702_888558	"LAUREL RD"	76	0
M143	143	huntington	2012	83755	888722	M_83755_888722	"LAUREL RD"	0	0
M143	143	huntington	2012	83773	888533	M_83773_888533	"LAUREL RD"	72	0
M143	143	huntington	2012	83797	888879	M_83797_888879	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	83955	888374	M_83955_888374	"BLANDFORD HILL RD"	0	0
M143	143	huntington	2012	83973	889021	M_83973_889021	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	84022	888626	M_84022_888626	"RUSSELL RD"	0	0
M143	143	huntington	2012	84066	888834	M_84066_888834	"OLD CHESTER RD"	73	0
M143	143	huntington	2012	84110	888728	M_84110_888728	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	84129	889122	M_84129_889122	"COOK HILL RD"	0	0
M143	143	huntington	2012	84153	888927	M_84153_888927	"COOK HILL RD"	5	0
M143	143	huntington	2012	84155	889052	M_84155_889052	"COOK HILL RD"	11	0
M143	143	huntington	2012	84165	889008	M_84165_889008	"COOK HILL RD"	9	0
M143	143	huntington	2012	84170	888783	M_84170_888783	"OLD CHESTER RD"	69	0
M143	143	huntington	2012	84217	888687	M_84217_888687	"OLD CHESTER RD"	67	0
M143	143	huntington	2012	84285	888529	M_84285_888529	"OLD CHESTER RD"	66	0
M143	143	huntington	2012	84298	888931	M_84298_888931	"OLD CHESTER RD"	65	0
M143	143	huntington	2012	84328	889388	M_84328_889388	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	84418	888752	M_84418_888752	"OLD CHESTER RD"	63	0
M143	143	huntington	2012	84475	888607	M_84475_888607	"OLD CHESTER RD"	61	0
M143	143	huntington	2012	84490	887934	M_84490_887934	"RUSSELL RD"	0	0
M143	143	huntington	2012	84525	888809	M_84525_888809	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	84533	888595	M_84533_888595	"OLD CHESTER RD"	59	0
M143	143	huntington	2012	84591	888582	M_84591_888582	"OLD CHESTER RD"	57	0
M143	143	huntington	2012	84602	888113	M_84602_888113	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	84650	888567	M_84650_888567	"OLD CHESTER RD"	55	0
M143	143	huntington	2012	84708	888531	M_84708_888531	"OLD CHESTER RD"	53	0
M143	143	huntington	2012	84710	888314	M_84710_888314	"OLD CHESTER RD"	62	0
M143	143	huntington	2012	84721	888198	M_84721_888198	"E MAIN ST"	0	0
M143	143	huntington	2012	84762	888752	M_84762_888752	"OLD CHESTER RD"	51	0
M143	143	huntington	2012	84792	887859	M_84792_887859	"BLANDFORD HILL RD"	0	0
M143	143	huntington	2012	84866	888324	M_84866_888324	"OLD CHESTER RD"	45	0
M143	143	huntington	2012	84870	889544	M_84870_889544	"BROMLEY RD"	82	0
M143	143	huntington	2012	84922	888633	M_84922_888633	"OLD CHESTER RD"	49	0
M143	143	huntington	2012	84967	888592	M_84967_888592	"OLD CHESTER RD"	47	0
M143	143	huntington	2012	84993	888255	M_84993_888255	"OLD CHESTER RD"	43	0
M143	143	huntington	2012	85021	888214	M_85021_888214	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	85023	888412	M_85023_888412	"OLD CHESTER RD"	44A	0
M143	143	huntington	2012	85026	887411	M_85026_887411	"BLANDFORD HILL RD"	0	0
M143	143	huntington	2012	85037	888341	M_85037_888341	"OLD CHESTER RD"	41	0
M143	143	huntington	2012	85049	888556	M_85049_888556	"OLD CHESTER RD"	44B	0
M143	143	huntington	2012	85099	888308	M_85099_888308	"OLD CHESTER RD"	37	0
M143	143	huntington	2012	85118	890358	M_85118_890358	"BROMLEY RD"	0	0
M143	143	huntington	2012	85138	888367	M_85138_888367	"OLD CHESTER RD"	35	0
M143	143	huntington	2012	85145	889026	M_85145_889026	"OLD CHESTER RD"	13	0
M143	143	huntington	2012	85184	888633	M_85184_888633	"OLD CHESTER RD"	44A	0
M143	143	huntington	2012	85200	888352	M_85200_888352	"OLD CHESTER RD"	33	0
M143	143	huntington	2012	85213	890413	M_85213_890413	"BROMLEY RD"	0	0
M143	143	huntington	2012	85265	888346	M_85265_888346	"OLD CHESTER RD"	31	0
M143	143	huntington	2012	85273	888421	M_85273_888421	"OLD CHESTER RD"	29	0
M143	143	huntington	2012	85295	887398	M_85295_887398	"BLANDFORD HILL RD"	39	0
M143	143	huntington	2012	85308	888351	M_85308_888351	"OLD CHESTER RD"	27	0
M143	143	huntington	2012	85326	889662	M_85326_889662	"BROMLEY RD"	0	0
M143	143	huntington	2012	85334	888379	M_85334_888379	"OLD CHESTER RD"	25	0
M143	143	huntington	2012	85342	887847	M_85342_887847	"BLANDFORD HILL RD"	0	0
M143	143	huntington	2012	85365	888385	M_85365_888385	"OLD CHESTER RD"	23	0
M143	143	huntington	2012	85410	888167	M_85410_888167	"LAUREL RD"	0	0
M143	143	huntington	2012	85419	888419	M_85419_888419	"OLD CHESTER RD"	21	0
M143	143	huntington	2012	85442	888138	M_85442_888138	"LAUREL RD"	20	0
M143	143	huntington	2012	85443	888311	M_85443_888311	"UPPER RUSSELL RD"	23	0
M143	143	huntington	2012	85464	890386	M_85464_890386	"BROMLEY RD"	0	0
M143	143	huntington	2012	85488	888270	M_85488_888270	"UPPER RUSSELL RD"	24	0
M143	143	huntington	2012	85493	888388	M_85493_888388	"OLD CHESTER RD"	19	0
M143	143	huntington	2012	85494	888076	M_85494_888076	"BLANDFORD HILL RD"	0	0
M143	143	huntington	2012	85496	888482	M_85496_888482	"OLD CHESTER RD"	17	0
M143	143	huntington	2012	85506	888148	M_85506_888148	"LAUREL RD"	0	0
M143	143	huntington	2012	85520	888190	M_85520_888190	"LAUREL RD"	18	0
M143	143	huntington	2012	85523	887353	M_85523_887353	"BLANDFORD HILL RD"	40	0
M143	143	huntington	2012	85532	888403	M_85532_888403	"OLD CHESTER RD"	15	0
M143	143	huntington	2012	85536	888278	M_85536_888278	"UPPER RUSSELL RD"	22	0
M143	143	huntington	2012	85553	888347	M_85553_888347	"UPPER RUSSELL RD"	0	0
M143	143	huntington	2012	85585	888281	M_85585_888281	"UPPER RUSSELL RD"	20	0
M143	143	huntington	2012	85619	888213	M_85619_888213	"LAUREL RD"	14	0
M143	143	huntington	2012	85624	888286	M_85624_888286	"UPPER RUSSELL RD"	18	0
M143	143	huntington	2012	85626	887683	M_85626_887683	"BLANDFORD HILL RD"	30	0
M143	143	huntington	2012	85666	888214	M_85666_888214	"LAUREL RD"	0	0
M143	143	huntington	2012	85669	888286	M_85669_888286	"UPPER RUSSELL RD"	16	0
M143	143	huntington	2012	85709	888208	M_85709_888208	"LAUREL RD"	10	0
M143	143	huntington	2012	85709	888286	M_85709_888286	"UPPER RUSSELL RD"	14	0
M143	143	huntington	2012	85723	890222	M_85723_890222	"BROMLEY RD"	0	0
M143	143	huntington	2012	85728	888287	M_85728_888287	"UPPER RUSSELL RD"	12	0
M143	143	huntington	2012	85733	888372	M_85733_888372	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	85734	888206	M_85734_888206	"LAUREL RD"	8	0
M143	143	huntington	2012	85745	888263	M_85745_888263	"UPPER RUSSELL RD"	10	0
M143	143	huntington	2012	85750	888296	M_85750_888296	"UPPER RUSSELL RD"	8	0
M143	143	huntington	2012	85758	887097	M_85758_887097	"RUSSELL RD"	0	0
M143	143	huntington	2012	85760	888200	M_85760_888200	"LAUREL RD"	6	0
M143	143	huntington	2012	85768	888278	M_85768_888278	"UPPER RUSSELL RD"	6	0
M143	143	huntington	2012	85786	888288	M_85786_888288	"UPPER RUSSELL RD"	4	0
M143	143	huntington	2012	85787	889404	M_85787_889404	"BROMLEY RD"	46	0
M143	143	huntington	2012	85790	889031	M_85790_889031	"BASKET ST"	0	0
M143	143	huntington	2012	85793	888196	M_85793_888196	"LAUREL RD"	4	0
M143	143	huntington	2012	85809	890067	M_85809_890067	"BROMLEY RD"	69	0
M143	143	huntington	2012	85821	888258	M_85821_888258	"UPPER RUSSELL RD"	2	0
M143	143	huntington	2012	85836	887832	M_85836_887832	"BLANDFORD HILL RD"	24	0
M143	143	huntington	2012	85836	888118	M_85836_888118	"BLANDFORD HILL RD"	19	0
M143	143	huntington	2012	85836	888532	M_85836_888532	"OLD CHESTER RD"	0	0
M143	143	huntington	2012	85841	888191	M_85841_888191	"LAUREL RD"	3	0
M143	143	huntington	2012	85841	899344	M_85841_899344	"WORTHINGTON RD"	0	0
M143	143	huntington	2012	85842	888460	M_85842_888460	"OLD CHESTER RD"	9	0
M143	143	huntington	2012	85843	887564	M_85843_887564	"BLANDFORD HILL RD"	26	0
M143	143	huntington	2012	85849	888077	M_85849_888077	"BLANDFORD HILL RD"	17	0
M143	143	huntington	2012	85857	888807	M_85857_888807	"BASKET ST"	30	0
M143	143	huntington	2012	85864	887916	M_85864_887916	"BLANDFORD HILL RD"	22	0
M143	143	huntington	2012	85873	888037	M_85873_888037	"BLANDFORD HILL RD"	15	0
M143	143	huntington	2012	85878	888435	M_85878_888435	"OLD CHESTER RD"	7	0
M143	143	huntington	2012	85889	888183	M_85889_888183	"LAUREL RD"	2	0
M143	143	huntington	2012	85894	887974	M_85894_887974	"BLANDFORD HILL RD"	20	0
M143	143	huntington	2012	85894	888461	M_85894_888461	"OLD CHESTER RD"	5	0
M143	143	huntington	2012	85895	888102	M_85895_888102	"BLANDFORD HILL RD"	11	0
M143	143	huntington	2012	85905	898333	M_85905_898333	"GOSS HILL RD"	260	0
M143	143	huntington	2012	85912	888173	M_85912_888173	"LAUREL RD"	1	0
M143	143	huntington	2012	85922	888003	M_85922_888003	"BLANDFORD HILL RD"	18	0
M143	143	huntington	2012	85926	898447	M_85926_898447	"GOSS HILL RD"	263	0
M143	143	huntington	2012	85929	888293	M_85929_888293	"UPPER RUSSELL RD"	0	0
M143	143	huntington	2012	85932	888163	M_85932_888163	"RUSSELL RD"	5	0
M143	143	huntington	2012	85934	887791	M_85934_887791	"PROSPECT ST"	8	0
M143	143	huntington	2012	85936	888064	M_85936_888064	"BLANDFORD HILL RD"	9	0
M143	143	huntington	2012	85938	890836	M_85938_890836	"LITTLEVILLE RD"	64	0
M143	143	huntington	2012	85944	888505	M_85944_888505	"BASKET ST"	20	0
M143	143	huntington	2012	85944	888552	M_85944_888552	"BASKET ST"	22	0
M143	143	huntington	2012	85949	898106	M_85949_898106	"GOSS HILL RD"	250	0
