LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_800251_3071147	"HOOD FARM RD"	0	0	243917	936087
F_800284_3070454	"BOXFORD RD"	71	0	243927	935876
F_800380_3070220	"BOXFORD RD"	0	0	243956	935805
F_800434_3070659	"HOOD FARM RD"	12	0	243973	935939
F_800441_3071392	"HOOD FARM RD"	18	0	243975	936162
F_800528_3070763	"HOOD FARM RD"	16	0	244001	935970
F_800639_3070200	"BOXFORD RD"	75	0	244035	935799
F_800650_3070655	"HOOD FARM RD"	10	0	244039	935938
F_800656_3071087	"HOOD FARM RD"	14	0	244040	936069
F_800677_3071557	"HOOD FARM RD"	15	0	244047	936212
F_800732_3070466	"HOOD FARM RD"	6	0	244064	935880
F_800796_3071335	"HOOD FARM RD"	11	0	244083	936145
F_800849_3070672	"HOOD FARM RD"	8	0	244099	935943
F_800850_3071625	"ABBOTT LN"	2	0	244100	936233
F_800889_3070209	"BOXFORD RD"	73	0	244111	935802
F_800889_3071189	"HOOD FARM RD"	9	0	244111	936100
F_800921_3070443	"HOOD FARM RD"	4	0	244121	935873
F_800952_3071702	"ABBOTT LN"	4	0	244131	936257
F_800987_3071459	"ABBOTT LN"	1	0	244141	936183
F_800995_3071028	"HOOD FARM RD"	7	0	244144	936051
F_800996_3069967	"BOXFORD RD"	66	0	244144	935728
F_801049_3071772	"ABBOTT LN"	6	0	244160	936278
F_801071_3070853	"HOOD FARM RD"	5	0	244167	935998
F_801111_3071577	"ABBOTT LN"	5	0	244179	936219
F_801116_3070672	"HOOD FARM RD"	3	0	244181	935943
F_801128_3071809	"ABBOTT LN"	8	0	244184	936289
F_801129_3070252	"HOOD FARM RD"	2	0	244185	935815
F_801164_3070501	"HOOD FARM RD"	1	0	244195	935891
F_801215_3071854	"ABBOTT LN"	10	0	244211	936303
F_801238_3069958	"BOXFORD RD"	64	0	244218	935725
F_801242_3071658	"ABBOTT LN"	9	0	244219	936243
F_801374_3071687	"ABBOTT LN"	11	0	244259	936252
F_801397_3070556	"PARTRIDGEBERRY PL"	4	0	244266	935907
F_801400_3070644	"PARTRIDGEBERRY PL"	6	0	244267	935934
F_801424_3070467	"PARTRIDGEBERRY PL"	2	0	244275	935880
F_801436_3070736	"PARTRIDGEBERRY PL"	8	0	244278	935962
F_801469_3070058	"BOXFORD RD"	62	0	244288	935756
F_801478_3071991	"ABBOTT LN"	12	0	244291	936345
