town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M145	145	kingston	2011	258105	863196	M_258105_863196	"BEARES WAY"	51	0
M145	145	kingston	2011	258269	863590	M_258269_863590	"BEARSE'S WY"	63	0
M145	145	kingston	2011	258273	863056	M_258273_863056	"BARSES LN"	48	0
M145	145	kingston	2011	258290	863524	M_258290_863524	"BEARSE'S WY"	40	0
M145	145	kingston	2011	258311	863557	M_258311_863557	"BEARSE'S WY"	57	0
M145	145	kingston	2011	258317	863588	M_258317_863588	"BEARSE'S WY"	51	0
M145	145	kingston	2011	258326	863510	M_258326_863510	"BEARSE' S WY"	36	0
M145	145	kingston	2011	258345	863553	M_258345_863553	"BEARSE'S WY"	39	0
M145	145	kingston	2011	258348	863598	M_258348_863598	"BEARSE'S WY"	43	0
M145	145	kingston	2011	258361	861900	M_258361_861900	"GROVE ST"	283	0
M145	145	kingston	2011	258361	863513	M_258361_863513	"BEARSE'S WY"	32	0
M145	145	kingston	2011	258377	863564	M_258377_863564	"BEARSE'S WY"	33	0
M145	145	kingston	2011	258383	863597	M_258383_863597	"BEARSE'S WY"	27	0
M145	145	kingston	2011	258391	863511	M_258391_863511	"BEARSE'S WY"	28	0
M145	145	kingston	2011	258403	861818	M_258403_861818	"GROVE ST"	279	0
M145	145	kingston	2011	258408	861650	M_258408_861650	"WEST ST"	70	0
M145	145	kingston	2011	258410	863569	M_258410_863569	"BEARSE' WY"	21	0
M145	145	kingston	2011	258417	861911	M_258417_861911	"GROVE ST"	281	0
M145	145	kingston	2011	258417	863599	M_258417_863599	"BEARSE'S WY"	15	0
M145	145	kingston	2011	258425	863521	M_258425_863521	"BEARSE'S WY"	24	0
M145	145	kingston	2011	258436	861592	M_258436_861592	"WEST ST"	68	0
M145	145	kingston	2011	258449	863528	M_258449_863528	"BEARSE'S WY"	20	0
M145	145	kingston	2011	258453	863606	M_258453_863606	"BEARSE'S WY"	7	0
M145	145	kingston	2011	258458	861542	M_258458_861542	"WEST ST"	66	0
M145	145	kingston	2011	258458	861828	M_258458_861828	"GROVE ST"	277	0
