town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M148	148	lanesborough	2011	51217	918744	M_51217_918744	"BERRY POND ROAD"	0	0
M148	148	lanesborough	2011	52760	921909	M_52760_921909	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	52786	921803	M_52786_921803	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	52934	919764	M_52934_919764	"BALANCE ROCK RD"	0	0
M148	148	lanesborough	2011	53087	921660	M_53087_921660	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	53133	918560	M_53133_918560	"POTTER MOUNTAIN RD"	63	0
M148	148	lanesborough	2011	53246	918339	M_53246_918339	"CHURCHILL ST"	1311	0
M148	148	lanesborough	2011	53266	918801	M_53266_918801	"POTTER MOUNTAIN RD"	71	0
M148	148	lanesborough	2011	53270	918677	M_53270_918677	"POTTER MOUNTAIN RD"	67	0
M148	148	lanesborough	2011	53270	918910	M_53270_918910	"POTTER MOUNTAIN RD"	75	0
M148	148	lanesborough	2011	53422	922324	M_53422_922324	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53430	923012	M_53430_923012	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	53431	918598	M_53431_918598	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	53446	918882	M_53446_918882	"POTTER MOUNTAIN RD"	64	0
M148	148	lanesborough	2011	53488	918194	M_53488_918194	"CHURCHILL ST"	1305	0
M148	148	lanesborough	2011	53492	918498	M_53492_918498	"POTTER MOUNTAIN RD"	55	0
M148	148	lanesborough	2011	53512	918239	M_53512_918239	"CHURCHILL ST"	1309	0
M148	148	lanesborough	2011	53520	919094	M_53520_919094	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	53535	918825	M_53535_918825	"POTTER MOUNTAIN RD"	60	0
M148	148	lanesborough	2011	53540	920379	M_53540_920379	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53565	918361	M_53565_918361	"CHURCHILL ST"	1317	0
M148	148	lanesborough	2011	53569	921265	M_53569_921265	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53595	918414	M_53595_918414	"CHURCHILL ST"	1321	0
M148	148	lanesborough	2011	53609	923174	M_53609_923174	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53620	918655	M_53620_918655	"POTTER MOUNTAIN RD"	49	0
M148	148	lanesborough	2011	53625	918467	M_53625_918467	"CHURCHILL ST"	1325	0
M148	148	lanesborough	2011	53630	918535	M_53630_918535	"CHURCHILL ST"	1333	0
M148	148	lanesborough	2011	53672	918229	M_53672_918229	"CHURCHILL ST"	1310	0
M148	148	lanesborough	2011	53686	918573	M_53686_918573	"CHURCHILL ST"	1335	0
M148	148	lanesborough	2011	53691	918370	M_53691_918370	"CHURCHILL ST"	1320	0
M148	148	lanesborough	2011	53721	918424	M_53721_918424	"CHURCHILL ST"	0	0
M148	148	lanesborough	2011	53731	918643	M_53731_918643	"CHURCHILL ST"	0	0
M148	148	lanesborough	2011	53762	918491	M_53762_918491	"CHURCHILL ST"	0	0
M148	148	lanesborough	2011	53791	923558	M_53791_923558	"STOW RD"	0	0
M148	148	lanesborough	2011	53800	918984	M_53800_918984	"POTTER MOUNTAIN RD"	50	0
M148	148	lanesborough	2011	53802	918556	M_53802_918556	"CHURCHILL ST"	1340	0
M148	148	lanesborough	2011	53827	918590	M_53827_918590	"CHURCHILL ST"	0	0
M148	148	lanesborough	2011	53840	918617	M_53840_918617	"CHURCHILL ST"	1346	0
M148	148	lanesborough	2011	53858	918642	M_53858_918642	"POTTER MOUNTAIN RD"	39	0
M148	148	lanesborough	2011	53873	918164	M_53873_918164	"CHURCHILL ST"	1304	0
M148	148	lanesborough	2011	53897	920644	M_53897_920644	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53962	918823	M_53962_918823	"POTTER MOUNTAIN RD"	40	0
M148	148	lanesborough	2011	53982	920447	M_53982_920447	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	53992	918427	M_53992_918427	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	54000	918708	M_54000_918708	"POTTER MOUNTAIN RD"	34	0
M148	148	lanesborough	2011	54056	918726	M_54056_918726	"POTTER MOUNTAIN RD"	30	0
M148	148	lanesborough	2011	54084	918559	M_54084_918559	"POTTER MOUNTAIN RD"	29	0
M148	148	lanesborough	2011	54134	922251	M_54134_922251	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	54162	918699	M_54162_918699	"POTTER MOUNTAIN RD"	24	0
M148	148	lanesborough	2011	54181	918118	M_54181_918118	"BALANCE ROCK RD"	174	0
M148	148	lanesborough	2011	54195	921314	M_54195_921314	"SILVER ST"	0	0
M148	148	lanesborough	2011	54203	920230	M_54203_920230	"POTTER MOUNTAIN RD"	OFF	0
M148	148	lanesborough	2011	54258	923391	M_54258_923391	"STOW RD"	0	0
M148	148	lanesborough	2011	54277	918835	M_54277_918835	"POTTER MOUNTAIN RD"	0	0
M148	148	lanesborough	2011	54283	918648	M_54283_918648	"POTTER MOUNTAIN RD"	18	0
M148	148	lanesborough	2011	54284	921264	M_54284_921264	"SILVER ST"	0	0
M148	148	lanesborough	2011	54285	918328	M_54285_918328	"BALANCE ROCK RD"	150	0
M148	148	lanesborough	2011	54310	918111	M_54310_918111	"BALANCE ROCK RD"	0	0
M148	148	lanesborough	2011	54319	923754	M_54319_923754	"SILVER ST"	0	0
