LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_225325_939877	"FRANCELLA RD (METHUEN)"	16	0	225325	939877
M_225328_939852	"FRANCELLA RD (METHUEN)"	20	0	225328	939852
M_225330_939828	"ODILE ST"	18	0	225330	939828
M_225334_939779	"ODILE ST"	17	0	225334	939779
M_225340_939739	"WARWICK ST"	161-163	0	225340	939739
M_225343_939835	"ODILE ST"	20	0	225343	939835
M_225346_939711	"ODILE CT"	3-5	0	225346	939711
M_225351_939695	"WARWICK ST"	151-153	0	225351	939695
M_225352_939790	"ODILE ST"	19-21	0	225352	939790
M_225354_939755	"ODILE CT"	4	0	225354	939755
M_225355_939603	"WARWICK ST"	130-132	0	225355	939603
M_225360_939587	"WARWICK ST"	126	0	225360	939587
M_225360_939673	"WARWICK ST"	149	0	225360	939673
M_225364_939711	"ODILE CT"	7-9	0	225364	939711
M_225366_939507	"PLYMOUTH ST"	21-23	0	225366	939507
M_225367_939559	"WARWICK ST"	106-108	0	225367	939559
M_225370_939493	"PLYMOUTH ST"	17-19	0	225370	939493
M_225372_939544	"WARWICK ST"	96-98	0	225372	939544
M_225373_939763	"ODILE CT"	6-8	0	225373	939763
M_225374_939478	"PLYMOUTH ST"	15	0	225374	939478
M_225374_939641	"WARWICK ST"	139-141	0	225374	939641
M_225377_939530	"WARWICK ST"	86-88	0	225377	939530
M_225377_939716	"ODILE CT"	13-15	0	225377	939716
M_225380_939455	"PLYMOUTH ST"	7-9	0	225380	939455
M_225381_939627	"WARWICK ST"	135-137	0	225381	939627
M_225383_939516	"WARWICK ST"	76-78	0	225383	939516
M_225386_939434	"PLYMOUTH ST"	5	0	225386	939434
M_225386_939604	"DAWES ST"	186-188	0	225386	939604
M_225386_939685	"WARWICK CT"	10	0	225386	939685
M_225388_939410	"HAVERHILL ST"	725-727	0	225388	939410
M_225389_939502	"WARWICK ST"	66-68	0	225389	939502
M_225391_939363	"HAVERHILL ST"	700	0	225391	939363
M_225391_939723	"ODILE CT"	19	0	225391	939723
M_225395_939488	"WARWICK ST"	32	0	225395	939488
M_225396_939341	"PERRY AVE"	121	0	225396	939341
M_225397_939243	"PERRY AVE"	96-98	0	225397	939243
M_225401_939228	"PERRY AVE"	92-94	0	225401	939228
M_225401_939327	"PERRY AVE"	117-119	0	225401	939327
M_225402_939474	"WARWICK ST"	26-28	0	225402	939474
M_225403_939416	"HAVERHILL ST"	713-717	0	225403	939416
M_225403_939610	"DAWES ST"	182-184	0	225403	939610
M_225404_939693	"WARWICK CT"	20	0	225404	939693
M_225407_939203	"PERRY AVE"	86-88	0	225407	939203
M_225407_939312	"PERRY AVE"	113-115	0	225407	939312
M_225407_939647	"WARWICK CT"	7	0	225407	939647
M_225408_939460	"WARWICK ST"	16-18	0	225408	939460
M_225409_939371	"HAVERHILL ST"	696	0	225409	939371
M_225410_939557	"WARWICK ST"	95	0	225410	939557
M_225411_939189	"PERRY AVE"	84	0	225411	939189
M_225411_939575	"WARWICK ST"	105	0	225411	939575
M_225412_939298	"PERRY AVE"	109-111	0	225412	939298
M_225415_939173	"PERRY AVE"	76	0	225415	939173
M_225416_939615	"DAWES ST"	176-178	0	225416	939615
M_225418_939158	"PERRY AVE"	72	0	225418	939158
M_225418_939284	"PERRY AVE"	105-107	0	225418	939284
M_225421_939544	"WARWICK ST"	83	0	225421	939544
M_225422_939144	"PERRY AVE"	44-46	0	225422	939144
M_225423_939270	"PERRY AVE"	101-103	0	225423	939270
M_225423_939376	"HAVERHILL ST"	694	0	225423	939376
M_225424_939352	"COLUMBUS AVE"	88-90	0	225424	939352
M_225424_939425	"HAVERHILL ST"	703-705	0	225424	939425
M_225426_939132	"PERRY AVE"	40-42	0	225426	939132
M_225426_939530	"WARWICK ST"	67-69	0	225426	939530
M_225427_939060	"CYPRESS AVE"	54	0	225427	939060
M_225428_939256	"PERRY AVE"	99	0	225428	939256
M_225429_939239	"MEADOW ST"	7	0	225429	939239
M_225429_939621	"DAWES ST"	160-162	0	225429	939621
M_225430_939121	"PERRY AVE"	36-38	0	225430	939121
M_225430_939338	"COLUMBUS AVE"	86	0	225430	939338
M_225431_939041	"CYPRESS AVE"	279	0	225431	939041
M_225431_939516	"WARWICK ST"	63-65	0	225431	939516
M_225435_939026	"CYPRESS AVE"	275	0	225435	939026
M_225435_939108	"PERRY AVE"	32-34	0	225435	939108
M_225435_939323	"COLUMBUS AVE"	80-82	0	225435	939323
M_225436_938936	"CYPRESS AVE"	224	0	225436	938936
M_225437_939576	"DAWES ST"	161-163	0	225437	939576
M_225440_939006	"CYPRESS AVE"	271	0	225440	939006
M_225440_939495	"WARWICK ST"	53-55	0	225440	939495
M_225441_939094	"PERRY AVE"	28-30	0	225441	939094
M_225441_939309	"COLUMBUS AVE"	76-78	0	225441	939309
M_225442_938887	"BYRON AVE"	155	0	225442	938887
M_225443_939623	"DAWES ST"	150-152	0	225443	939623
M_225445_938903	"BYRON AVE"	151	0	225445	938903
M_225446_939079	"PERRY AVE"	22	0	225446	939079
M_225446_939295	"COLUMBUS AVE"	72-74	0	225446	939295
M_225447_939206	"PERRY AVE"	45	0	225447	939206
M_225448_938988	"CYPRESS AVE"	269	0	225448	938988
M_225448_939246	"MEADOW ST"	5	0	225448	939246
M_225448_939473	"WARWICK ST"	35-37	0	225448	939473
M_225449_938918	"CYPRESS AVE"	220	0	225449	938918
M_225451_939066	"PERRY AVE"	26	0	225451	939066
M_225451_939281	"COLUMBUS AVE"	70	0	225451	939281
M_225452_938973	"CYPRESS AVE"	265	0	225452	938973
M_225453_938829	"BYRON AVE"	160	0	225453	938829
M_225454_939460	"WARWICK ST"	31-33	0	225454	939460
M_225455_939588	"IRENE ST"	102	0	225455	939588
M_225456_939555	"IRENE ST"	82-84	0	225456	939555
M_225457_939052	"PERRY AVE"	10	0	225457	939052
M_225457_939267	"COLUMBUS AVE"	66	0	225457	939267
M_225457_939626	"DAWES ST"	142-144	0	225457	939626
M_225458_938772	"OLIVE AVE"	217	0	225458	938772
M_225458_939177	"PERRY AVE"	41	0	225458	939177
M_225458_939177	"PERRY AVE"	43	0	225458	939177
M_225458_939389	"HAVERHILL ST"	690-692	0	225458	939389
M_225458_939571	"IRENE ST"	92-94	0	225458	939571
M_225459_938851	"BYRON AVE"	152	0	225459	938851
M_225459_939541	"IRENE ST"	72-74	0	225459	939541
M_225462_939037	"PERRY AVE"	6-8	0	225462	939037
M_225463_938796	"OLIVE AVE"	211	0	225463	938796
M_225463_939526	"IRENE ST"	62-64	0	225463	939526
M_225464_938951	"BYRON AVE"	145	0	225464	938951
M_225464_939441	"HAVERHILL ST"	665	0	225464	939441
M_225466_939154	"PERRY AVE"	33-35	0	225466	939154
M_225466_939368	"COLUMBUS AVE"	95	0	225466	939368
M_225467_939254	"COLUMBUS AVE"	64	0	225467	939254
M_225467_939511	"IRENE ST"	52-54	0	225467	939511
M_225468_938736	"RIVERSIDE DR"	753	0	225468	938736
M_225469_939020	"PERRY AVE"	4	0	225469	939020
M_225469_939020	"PERRY AVE"	4A	0	225469	939020
M_225471_939354	"COLUMBUS AVE"	87-89	0	225471	939354
M_225471_939496	"IRENE ST"	42-44	0	225471	939496
M_225471_939630	"DAWES ST"	134-136	0	225471	939630
M_225472_939137	"PERRY AVE"	31	0	225472	939137
M_225473_938816	"OLIVE AVE"	209	0	225473	938816
M_225473_938874	"BYRON AVE"	144	0	225473	938874
M_225474_939223	"MEADOW ST"	2	0	225474	939223
M_225474_939223	"MEADOW ST"	4	0	225474	939223
M_225475_939481	"IRENE ST"	32-34	0	225475	939481
M_225478_938996	"PERRY AVE"	2	0	225478	938996
M_225478_939124	"PERRY AVE"	29	0	225478	939124
M_225478_939468	"IRENE ST"	22-24	0	225478	939468
M_225479_939205	"COLUMBUS AVE"	50	0	225479	939205
M_225479_939332	"COLUMBUS AVE"	85	0	225479	939332
M_225479_939396	"HAVERHILL ST"	686-688	0	225479	939396
M_225481_938829	"OLIVE AVE"	207	0	225481	938829
M_225482_938726	"RIVERSIDE DR"	749-751	0	225482	938726
M_225482_939109	"PERRY AVE"	23	0	225482	939109
M_225484_938894	"BYRON AVE"	140	0	225484	938894
M_225484_939192	"COLUMBUS AVE"	46-48	0	225484	939192
M_225486_938971	"BYRON AVE"	141	0	225486	938971
M_225486_939634	"DAWES ST"	130-132	0	225486	939634
M_225487_939095	"PERRY AVE"	21	0	225487	939095
M_225487_939180	"COLUMBUS AVE"	42-44	0	225487	939180
M_225487_939311	"COLUMBUS AVE"	73	0	225487	939311
M_225487_939448	"HAVERHILL ST"	651-655	0	225487	939448
M_225488_938842	"OLIVE AVE"	205	0	225488	938842
M_225491_938761	"OLIVE AVE"	216	0	225491	938761
M_225492_939296	"COLUMBUS AVE"	71	0	225492	939296
M_225492_939401	"HAVERHILL ST"	678-684	0	225492	939401
M_225493_939163	"COLUMBUS AVE"	38-40	0	225493	939163
M_225494_939600	"DAWES ST"	159	0	225494	939600
M_225495_939074	"PERRY AVE"	15	0	225495	939074
M_225495_939370	"FLORENCE AVE"	66-68	0	225495	939370
M_225496_938855	"OLIVE AVE"	201	0	225496	938855
M_225497_939281	"COLUMBUS AVE"	67	0	225497	939281
M_225498_939577	"IRENE ST"	81-83	0	225498	939577
M_225499_938920	"BYRON AVE"	134	0	225499	938920
M_225500_939142	"COLUMBUS AVE"	14-16	0	225500	939142
M_225500_939638	"DAWES ST"	116-118	0	225500	939638
M_225502_938716	"RIVERSIDE DR"	737	0	225502	938716
M_225502_939268	"COLUMBUS AVE"	61	0	225502	939268
M_225502_939349	"FLORENCE AVE"	62-64	0	225502	939349
M_225504_938784	"OLIVE AVE"	212	0	225504	938784
M_225504_938868	"OLIVE AVE"	197	0	225504	938868
M_225504_939547	"IRENE ST"	65-67	0	225504	939547
M_225507_938933	"BYRON AVE"	132	0	225507	938933
M_225507_939121	"COLUMBUS AVE"	10-12	0	225507	939121
M_225507_939334	"FLORENCE AVE"	58-60	0	225507	939334
M_225509_939042	"PERRY AVE"	1	0	225509	939042
M_225509_939042	"PERRY AVE"	1-7A	0	225509	939042
M_225509_939042	"PERRY AVE"	3	0	225509	939042
M_225509_939042	"PERRY AVE"	5	0	225509	939042
M_225509_939042	"PERRY AVE"	7	0	225509	939042
M_225509_939524	"IRENE ST"	49	0	225509	939524
M_225511_939237	"COLUMBUS AVE"	55	0	225511	939237
M_225511_939510	"IRENE ST"	45-47	0	225511	939510
M_225512_938881	"OLIVE AVE"	185	0	225512	938881
M_225514_939312	"FLORENCE AVE"	50	0	225514	939312
M_225514_939495	"IRENE ST"	35-37	0	225514	939495
M_225515_938742	"WACHUSETTS AVE"	6	0	225515	938742
M_225515_938947	"BYRON AVE"	130	0	225515	938947
M_225515_939017	"BYRON AVE"	135	0	225515	939017
M_225515_939017	"BYRON AVE"	137	0	225515	939017
M_225515_939455	"HAVERHILL ST"	641-643	0	225515	939455
M_225516_938804	"OLIVE AVE"	208	0	225516	938804
M_225517_939217	"COLUMBUS AVE"	39	0	225517	939217
M_225517_939480	"IRENE ST"	25-27	0	225517	939480
M_225518_939644	"DAWES ST"	102	0	225518	939644
M_225519_939082	"COLUMBUS AVE"	8	0	225519	939082
M_225520_939412	"HAVERHILL ST"	656-668	0	225520	939412
M_225522_939291	"FLORENCE AVE"	46	0	225522	939291
M_225523_939608	"JENNINGS ST"	114-116	0	225523	939608
M_225524_938963	"BYRON AVE"	122	0	225524	938963
M_225526_938905	"OLIVE AVE"	181	0	225526	938905
M_225527_938762	"WACHUSETTS AVE"	10	0	225527	938762
M_225527_939188	"NELSON ST"	50	0	225527	939188
M_225527_939393	"FLORENCE AVE"	71-77	0	225527	939393
M_225527_939586	"JENNINGS ST"	104	0	225527	939586
M_225528_939055	"COLUMBUS AVE"	2	0	225528	939055
M_225529_939269	"FLORENCE AVE"	38	0	225529	939269
M_225530_939457	"HAVERHILL ST"	639	0	225530	939457
M_225532_939377	"FLORENCE AVE"	63-69	0	225532	939377
M_225532_939564	"JENNINGS ST"	84-86	0	225532	939564
M_225533_938834	"OLIVE AVE"	196	0	225533	938834
M_225533_938918	"OLIVE AVE"	177	0	225533	938918
M_225534_938699	"WACHUSETTS AVE"	1	0	225534	938699
M_225534_939166	"COLUMBUS AVE"	29	0	225534	939166
M_225535_939545	"JENNINGS ST"	76-78	0	225535	939545
M_225536_938983	"BYRON AVE"	118	0	225536	938983
M_225538_939530	"JENNINGS ST"	64	0	225538	939530
M_225539_938782	"WACHUSETTS AVE"	14	0	225539	938782
M_225540_939236	"NELSON ST"	45	0	225540	939236
M_225541_938847	"OLIVE AVE"	192	0	225541	938847
M_225541_938931	"OLIVE AVE"	167-171	0	225541	938931
