town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M150	150	lee	2011	52455	892644	M_52455_892644	"WILLOW ST"	110	0
M150	150	lee	2011	52458	893393	M_52458_893393	"PLEASANT ST"	1710	0
M150	150	lee	2011	52474	893399	M_52474_893399	"PLEASANT ST"	1708	0
M150	150	lee	2011	52481	893266	M_52481_893266	"PLEASANT ST"	1705	0
M150	150	lee	2011	52521	894112	M_52521_894112	"STOCKBRIDGE RD"	1	0
M150	150	lee	2011	52525	894419	M_52525_894419	"STOCKBRIDGE RD"	885	0
M150	150	lee	2011	52528	893276	M_52528_893276	"PLEASANT ST"	1685	0
M150	150	lee	2011	52541	893408	M_52541_893408	"PLEASANT ST"	1670	0
M150	150	lee	2011	52548	893289	M_52548_893289	"PLEASANT ST"	1681	0
M150	150	lee	2011	52548	893732	M_52548_893732	"PLEASANT ST"	1712	0
M150	150	lee	2011	52565	896358	M_52565_896358	"MALLARD LANE"	750	0
M150	150	lee	2011	52566	894699	M_52566_894699	"STOCKBRIDGE RD"	865	0
M150	150	lee	2011	52567	896440	M_52567_896440	"MALLARD LANE"	650	0
M150	150	lee	2011	52581	896527	M_52581_896527	"MALLARD LANE"	550	0
M150	150	lee	2011	52582	893308	M_52582_893308	"PLEASANT ST"	1675	0
M150	150	lee	2011	52586	894026	M_52586_894026	"PLEASANT ST"	1630	0
M150	150	lee	2011	52599	895014	M_52599_895014	"STOCKBRIDGE RD"	900	0
M150	150	lee	2011	52608	896285	M_52608_896285	"MALLARD LANE"	850	0
M150	150	lee	2011	52620	893327	M_52620_893327	"PLEASANT ST"	1665	0
M150	150	lee	2011	52623	897817	M_52623_897817	"KEMBLE ST"	0	0
M150	150	lee	2011	52624	893405	M_52624_893405	"PLEASANT ST"	1650	0
M150	150	lee	2011	52630	897330	M_52630_897330	"KEMBLE ST"	0	0
M150	150	lee	2011	52635	896443	M_52635_896443	"MALLARD LANE"	575	0
M150	150	lee	2011	52642	896085	M_52642_896085	"DEVON RD"	715	0
M150	150	lee	2011	52643	896366	M_52643_896366	"MALLARD LANE"	825	0
M150	150	lee	2011	52655	893409	M_52655_893409	"PLEASANT ST"	1640	0
