town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M152	152	lenox	2011	49040	903315	M_49040_903315	"RICHMOND MT"	0	0
M152	152	lenox	2011	49173	902019	M_49173_902019	"RICHMOND MT RD"	201	0
M152	152	lenox	2011	49233	901907	M_49233_901907	"RICHMOND MT"	0	0
M152	152	lenox	2011	49263	902185	M_49263_902185	"RICHMOND RD"	0	0
M152	152	lenox	2011	49314	901875	M_49314_901875	"RICHMOND RD"	0	0
M152	152	lenox	2011	49351	903357	M_49351_903357	"RESERVOIR RD"	0	0
M152	152	lenox	2011	49378	901794	M_49378_901794	"RICHMOND RD"	0	0
M152	152	lenox	2011	49390	904368	M_49390_904368	"RICHMOND MT"	0	0
M152	152	lenox	2011	49401	904519	M_49401_904519	"RICHMOND MT"	0	0
M152	152	lenox	2011	49612	904552	M_49612_904552	"EAST RD (RICHMOND)"	751	0
M152	152	lenox	2011	49628	902173	M_49628_902173	"WEST ST"	0	0
M152	152	lenox	2011	49640	904059	M_49640_904059	"RESERVOIR RD"	0	0
M152	152	lenox	2011	49722	902917	M_49722_902917	"RICHMOND RD"	0	0
M152	152	lenox	2011	49787	904606	M_49787_904606	"RICHMOND MT"	0	0
M152	152	lenox	2011	49927	906099	M_49927_906099	"OSCEOLA NOTCH RD"	0	0
M152	152	lenox	2011	49953	906002	M_49953_906002	"OSCEOLA NOTCH RD"	248	0
M152	152	lenox	2011	49976	906160	M_49976_906160	"OSCEOLA NOTCH RD"	120	0
M152	152	lenox	2011	50005	905759	M_50005_905759	"OSCEOLA NOTCH RD"	0	0
M152	152	lenox	2011	50016	905423	M_50016_905423	"RICHMOND MT"	0	0
M152	152	lenox	2011	50018	905613	M_50018_905613	"RICHMOND TOWN LN"	0	0
M152	152	lenox	2011	50020	905259	M_50020_905259	"OSCEOLA NOTCH RD"	0	0
M152	152	lenox	2011	50024	902226	M_50024_902226	"RICHMOND MT RD"	30	0
M152	152	lenox	2011	50100	905772	M_50100_905772	"OSCEOLA NOTCH RD"	239	0
M152	152	lenox	2011	50100	905896	M_50100_905896	"OSCEOLA NOTCH RD"	0	0
M152	152	lenox	2011	50160	906065	M_50160_906065	"OSCEOLA NOTCH RD"	0	0
M152	152	lenox	2011	50180	906151	M_50180_906151	"OSCEOLA NOTCH RD"	0	0
