LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_114920_911220	"BULL HILL RD"	0	0	114920	911220
M_114930_911400	"BULL HILL RD"	0	0	114930	911400
M_114952_911657	"LONG PLAIN RD"	REAR	0	114952	911657
M_114964_911968	"LONG PLAIN RD"	REAR	0	114964	911968
M_114985_911396	"BULL HILL RD"	6	0	114985	911396
M_114996_910364	"OLD LONG PLAIN RD"	0	0	114996	910364
M_114998_911322	"BULL HILL RD"	5	0	114998	911322
M_115000_911000	"LONG PLAIN RD"	110	0	115000	911000
M_115009_910792	"OLD LONG PLAIN RD"	0	0	115009	910792
M_115019_911852	"LONG PLAIN RD"	156	0	115019	911852
M_115020_910616	"OLD LONG PLAIN RD"	26	0	115020	910616
M_115023_910077	"JUGGLER MEADOW RD"	0	0	115023	910077
M_115023_911293	"BULL HILL RD"	REAR	0	115023	911293
M_115034_911459	"BULL HILL RD"	10	0	115034	911459
M_115038_910504	"OLD LONG PLAIN RD"	20	0	115038	910504
M_115042_910556	"OLD LONG PLAIN RD"	24	0	115042	910556
M_115045_912652	"LONG PLAIN RD"	REAR	0	115045	912652
M_115054_910680	"OLD LONG PLAIN RD"	0	0	115054	910680
M_115069_909992	"LONG PLAIN RD"	48	0	115069	909992
M_115073_910151	"JUGGLER MEADOW RD"	8	0	115073	910151
M_115073_910324	"OLD LONG PLAIN RD"	10	0	115073	910324
M_115073_910429	"OLD LONG PLAIN RD"	16	0	115073	910429
M_115078_911210	"LONG PLAIN RD"	0	0	115078	911210
M_115090_911338	"BULL HILL RD"	11	0	115090	911338
M_115100_911832	"LONG PLAIN RD"	154	0	115100	911832
M_115112_910068	"JUGGLER MEADOW RD"	1	0	115112	910068
M_115116_909895	"LONG PLAIN RD"	42	0	115116	909895
M_115116_911599	"BULL HILL RD"	20	0	115116	911599
M_115122_911029	"LONG PLAIN RD"	118	0	115122	911029
M_115127_909806	"LONG PLAIN RD"	40	0	115127	909806
M_115127_911066	"LONG PLAIN RD"	0	0	115127	911066
M_115130_909721	"LONG PLAIN RD"	0	0	115130	909721
M_115134_910732	"OLD LONG PLAIN RD"	29	0	115134	910732
M_115137_909589	"LONG PLAIN RD"	0	0	115137	909589
M_115137_912173	"LONG PLAIN RD"	166	0	115137	912173
M_115151_909396	"LONG PLAIN RD"	14	0	115151	909396
M_115154_910250	"OLD LONG PLAIN RD"	7	0	115154	910250
M_115154_910343	"OLD LONG PLAIN RD"	13	0	115154	910343
M_115156_909999	"LONG PLAIN RD"	52	0	115156	909999
M_115158_910485	"OLD LONG PLAIN RD"	17	0	115158	910485
M_115165_911404	"BULL HILL RD"	15	0	115165	911404
M_115166_909309	"LONG PLAIN RD"	2	0	115166	909309
M_115171_910184	"OLD LONG PLAIN RD"	5	0	115171	910184
M_115183_909243	"LONG PLAIN RD"	0	0	115183	909243
M_115185_909738	"LONG PLAIN RD"	36	0	115185	909738
M_115185_911356	"LONG PLAIN RD"	0	0	115185	911356
M_115219_911472	"LONG PLAIN RD"	140	0	115219	911472
M_115225_911740	"LONG PLAIN RD"	154	0	115225	911740
M_115230_912584	"LONG PLAIN RD"	176	0	115230	912584
M_115233_911892	"LONG PLAIN RD"	160	0	115233	911892
M_115235_910621	"LONG PLAIN RD"	85	0	115235	910621
M_115235_910694	"LONG PLAIN RD"	89	0	115235	910694
M_115237_911098	"LONG PLAIN RD"	119	0	115237	911098
M_115239_910913	"LONG PLAIN RD"	99	0	115239	910913
M_115248_910989	"LONG PLAIN RD"	113	0	115248	910989
M_115249_910544	"LONG PLAIN RD"	83	0	115249	910544
M_115253_909393	"DRUMMER HILL RD"	9	0	115253	909393
M_115253_909578	"TWO MILE RD"	5	0	115253	909578
M_115253_910309	"LONG PLAIN RD"	69	0	115253	910309
M_115254_910147	"JUGGLER MEADOW RD"	16	0	115254	910147
M_115254_910233	"LONG PLAIN RD"	63	0	115254	910233
M_115255_909511	"DRUMMER HILL RD"	15	0	115255	909511
M_115266_910776	"LONG PLAIN RD"	95	0	115266	910776
M_115269_910366	"LONG PLAIN RD"	73	0	115269	910366
M_115273_910428	"LONG PLAIN RD"	79	0	115273	910428
M_115279_909884	"LONG PLAIN RD"	43	0	115279	909884
M_115284_909273	"LONG PLAIN RD"	1	0	115284	909273
M_115289_909460	"DRUMMER HILL RD"	11	0	115289	909460
M_115291_910636	"LONG PLAIN RD"	REAR	0	115291	910636
M_115292_910488	"LONG PLAIN RD"	81	0	115292	910488
M_115298_909739	"LONG PLAIN RD"	37	0	115298	909739
M_115300_909678	"LONG PLAIN RD"	33	0	115300	909678
M_115305_909810	"LONG PLAIN RD"	0	0	115305	909810
M_115306_909631	"TWO MILE RD"	0	0	115306	909631
M_115313_910022	"LONG PLAIN RD"	0	0	115313	910022
M_115317_909240	"LONG PLAIN RD"	REAR	0	115317	909240
M_115326_910156	"JUGGLER MEADOW RD"	20	0	115326	910156
M_115331_909365	"DRUMMER HILL RD"	7	0	115331	909365
M_115336_910243	"LONG PLAIN RD"	59	0	115336	910243
M_115350_910373	"LONG PLAIN RD"	65	0	115350	910373
M_115352_909540	"DRUMMER HILL RD"	19	0	115352	909540
M_115356_910654	"LONG PLAIN RD"	0	0	115356	910654
M_115394_911737	"LONG PLAIN RD"	159	0	115394	911737
M_115404_910219	"JUGGLER MEADOW RD"	24	0	115404	910219
M_115408_909382	"DRUMMER HILL RD"	REAR	0	115408	909382
M_115413_909988	"JUGGLER MEADOW RD"	27	0	115413	909988
M_115416_911731	"DEPOT RD"	1	0	115416	911731
M_115436_910128	"JUGGLER MEADOW RD"	0	0	115436	910128
M_115440_911283	"LONG PLAIN RD"	0	0	115440	911283
M_115442_909639	"LEAD MINE HILL RD"	10	0	115442	909639
M_115445_909744	"LEAD MINE HILL RD"	14	0	115445	909744
M_115455_911908	"LONG PLAIN RD"	172	0	115455	911908
M_115457_909839	"LEAD MINE HILL RD"	18	0	115457	909839
M_115477_910987	"LONG PLAIN RD"	125	0	115477	910987
M_115483_909526	"LEAD MINE HILL RD"	6	0	115483	909526
M_115494_910137	"JUGGLER MEADOW RD"	32	0	115494	910137
M_115499_909335	"TWO MILE RD"	15	0	115499	909335
M_115502_911837	"LONG PLAIN RD"	167	0	115502	911837
M_115503_910437	"JUGGLER MEADOW RD"	0	0	115503	910437
M_115513_911475	"LONG PLAIN RD"	147	0	115513	911475
M_115527_912041	"LONG PLAIN RD"	180	0	115527	912041
M_115531_911649	"LONG PLAIN RD"	153	0	115531	911649
M_115537_909925	"JUGGLER MEADOW RD"	31	0	115537	909925
M_115542_909648	"LEAD MINE HILL RD"	17	0	115542	909648
M_115548_911769	"DEPOT RD"	10	0	115548	911769
M_115565_912666	"LONG PLAIN RD"	0	0	115565	912666
M_115576_909449	"LEAD MINE HILL RD"	5	0	115576	909449
