town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M156	156	leyden	2013	103968	940574	F_341102_3085868	"RIVER RD"	0	0
M156	156	leyden	2013	104134	940156	F_341646_3084495	"RIVER RD"	0	0
M156	156	leyden	2013	104172	942184	F_341770_3091150	"RIVER RD"	0	0
M156	156	leyden	2013	104203	941728	F_341872_3089654	"RIVER RD"	0	0
M156	156	leyden	2013	104227	939861	F_341953_3083526	"GREEN RIVER"	0	0
M156	156	leyden	2013	104271	940498	F_342096_3085616	"RIVER RD"	150	0
M156	156	leyden	2013	104287	940756	F_342149_3086465	"RIVER RD"	0	0
M156	156	leyden	2013	104296	940975	F_342178_3087182	"RIVER RD"	0	0
M156	156	leyden	2013	104302	941537	F_342196_3089025	"RIVER RD"	0	0
M156	156	leyden	2013	104314	942822	F_342236_3093242	"RIVER RD"	0	0
M156	156	leyden	2013	104351	939762	F_342358_3083202	"RIVER RD"	28	0
M156	156	leyden	2013	104355	940252	F_342372_3084811	"RIVER RD"	116	0
M156	156	leyden	2013	104356	941763	F_342374_3089768	"RIVER RD"	298	0
M156	156	leyden	2013	104359	941737	F_342384_3089681	"RIVER RD"	292	0
M156	156	leyden	2013	104367	941247	F_342412_3088074	"RIVER RD"	232	0
M156	156	leyden	2013	104382	939878	F_342460_3083582	"RIVER RD"	46	0
M156	156	leyden	2013	104412	939741	F_342559_3083135	"RIVER RD"	0	0
M156	156	leyden	2013	104432	941870	F_342624_3090120	"RIVER RD"	0	0
M156	156	leyden	2013	104435	939973	F_342635_3083894	"RIVER RD"	66	0
M156	156	leyden	2013	104445	940940	F_342667_3087066	"RIVER RD"	188	0
M156	156	leyden	2013	104455	939584	F_342701_3082618	"WEST LEYDEN RD"	32	0
M156	156	leyden	2013	104456	942159	F_342703_3091066	"RIVER RD"	346	0
M156	156	leyden	2013	104460	941833	F_342716_3089996	"RIVER RD"	0	0
M156	156	leyden	2013	104468	939686	F_342741_3082954	"RIVER RD"	5	0
M156	156	leyden	2013	104479	941777	F_342777_3089812	"RIVER RD"	296	0
M156	156	leyden	2013	104479	941749	F_342779_3089722	"RIVER RD"	294	0
M156	156	leyden	2013	104548	939355	F_343005_3081867	"WEST LEYDEN RD"	581	0
M156	156	leyden	2013	104552	939683	F_343018_3082943	"RIVER RD"	15	0
M156	156	leyden	2013	104571	939567	F_343080_3082563	"RIVER RD"	0	0
M156	156	leyden	2013	104583	940061	F_343120_3084183	"RIVER RD"	73	0
M156	156	leyden	2013	104586	942217	F_343129_3091257	"RIVER RD"	349	0
M156	156	leyden	2013	104598	939472	F_343167_3082251	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	104620	939648	F_343240_3082829	"WEST LEYDEN RD"	555	0
M156	156	leyden	2013	104628	940409	F_343266_3085325	"RIVER RD"	115	0
M156	156	leyden	2013	104636	940852	F_343293_3086778	"RIVER RD"	0	0
M156	156	leyden	2013	104637	941498	F_343298_3088899	"RIVER RD"	265	0
M156	156	leyden	2013	104647	940152	F_343329_3084482	"RIVER RD"	83	0
M156	156	leyden	2013	104649	940271	F_343337_3084873	"RIVER RD"	97	0
M156	156	leyden	2013	104654	940786	F_343351_3086563	"RIVER RD"	0	0
M156	156	leyden	2013	104656	939457	F_343360_3082202	"WEST LEYDEN RD"	566	0
M156	156	leyden	2013	104656	941264	F_343360_3088129	"RIVER RD"	0	0
M156	156	leyden	2013	104662	940652	F_343380_3086121	"RIVER RD"	151	0
M156	156	leyden	2013	104664	940719	F_343384_3086343	"RIVER RD"	157	0
M156	156	leyden	2013	104705	941917	F_343519_3090272	"RIVER RD"	0	0
M156	156	leyden	2013	104708	939516	F_343528_3082394	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	104714	940567	F_343549_3085844	"RIVER RD"	135	0
M156	156	leyden	2013	104753	939638	F_343678_3082796	"WEST LEYDEN RD"	543	0
M156	156	leyden	2013	104787	939381	F_343789_3081953	"WEST LEYDEN RD"	580	0
M156	156	leyden	2013	104798	940866	F_343825_3086825	"BELL RD"	98	0
M156	156	leyden	2013	104830	939940	F_343931_3083788	"WEST LEYDEN RD"	483	0
M156	156	leyden	2013	104835	938649	F_343947_3079552	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	104842	940784	F_343969_3086554	"BELL RD"	0	0
M156	156	leyden	2013	104849	941143	F_343992_3087733	"HARRIS RD"	0	0
M156	156	leyden	2013	104863	940337	F_344038_3085088	"BELL RD"	0	0
M156	156	leyden	2013	104867	939585	F_344050_3082622	"WEST LEYDEN RD"	533	0
M156	156	leyden	2013	104880	940704	F_344093_3086294	"BELL RD"	76	0
M156	156	leyden	2013	104895	939663	F_344143_3082878	"WEST LEYDEN RD"	521	0
M156	156	leyden	2013	104897	939068	F_344151_3080925	"GEORGE LAMB RD"	69	0
M156	156	leyden	2013	104900	942582	F_344160_3092453	"RIVER RD"	0	0
M156	156	leyden	2013	104935	942931	F_344273_3093599	"RIVER RD"	0	0
M156	156	leyden	2013	104987	940539	F_344444_3085753	"BELL RD"	41	0
M156	156	leyden	2013	104989	939808	F_344453_3083352	"WEST LEYDEN RD"	487	0
M156	156	leyden	2013	104999	938569	F_344484_3079288	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105008	938732	F_344513_3079822	"GEORGE LAMB RD"	96	0
M156	156	leyden	2013	105023	940054	F_344562_3084159	"WEST LEYDEN RD"	443	0
M156	156	leyden	2013	105028	940125	F_344579_3084395	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	105038	939992	F_344612_3083957	"WEST LEYDEN RD"	455	0
M156	156	leyden	2013	105071	940740	F_344721_3086410	"BELL RD"	77	0
M156	156	leyden	2013	105073	938566	F_344727_3079277	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105078	940630	F_344744_3086050	"BELL RD"	41	0
M156	156	leyden	2013	105088	939454	F_344776_3082192	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	105121	938739	F_344883_3079845	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105176	938555	F_345065_3079243	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105198	940920	F_345138_3087002	"BELL RD"	87	0
M156	156	leyden	2013	105206	939884	F_345163_3083604	"WEST LEYDEN RD"	486	0
M156	156	leyden	2013	105211	942878	F_345180_3093425	"RIVER RD"	0	0
M156	156	leyden	2013	105224	941814	F_345223_3089935	"GATES RD"	135	0
M156	156	leyden	2013	105242	938515	F_345283_3079112	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105246	938770	F_345295_3079947	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105256	940365	F_345328_3085180	"WEST LEYDEN RD"	411	0
M156	156	leyden	2013	105277	940218	F_345396_3084700	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	105314	938455	F_345517_3078914	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105353	938609	F_345644_3079419	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105420	939612	F_345864_3082710	"WEST LEYDEN RD"	498	0
M156	156	leyden	2013	105427	939914	F_345887_3083702	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	105430	940177	F_345899_3084565	"WEST LEYDEN RD"	394	0
M156	156	leyden	2013	105442	938776	F_345938_3079968	"GEORGE LAMB RD"	135	0
M156	156	leyden	2013	105478	938522	F_346056_3079134	"GEORGE LAMB RD"	160	0
M156	156	leyden	2013	105487	937505	F_346085_3075797	"GREEN RIVER"	0	0
M156	156	leyden	2013	105506	938933	F_346146_3080484	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105509	942901	F_346157_3093501	"RIVER RD"	0	0
M156	156	leyden	2013	105514	940419	F_346173_3085357	"WEST LEYDEN RD"	395	0
M156	156	leyden	2013	105515	939192	F_346178_3081331	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105540	941734	F_346260_3089673	"ROLLING LANE"	0	0
M156	156	leyden	2013	105545	938152	F_346275_3077919	"GEORGE LAMB RD"	160	0
M156	156	leyden	2013	105600	937084	F_346455_3074418	"GREEN RIVER"	0	0
M156	156	leyden	2013	105609	940698	F_346486_3086274	"WEST LEYDEN RD"	407	0
M156	156	leyden	2013	105643	938815	F_346596_3080095	"GEORGE LAMB RD"	0	0
M156	156	leyden	2013	105698	941424	F_346777_3088654	"ROLLING LANE"	0	0
M156	156	leyden	2013	105705	941628	F_346801_3089323	"ROLLING LANE"	0	0
M156	156	leyden	2013	105723	938545	F_346860_3079211	"GEORGE LAMB RD"	120	0
M156	156	leyden	2013	105726	938940	F_346871_3080505	"GEORGE LAMB RD"	115	0
M156	156	leyden	2013	105749	941819	F_346945_3089950	"ROLLING LANE"	0	0
M156	156	leyden	2013	105757	942718	F_346970_3092899	"RIVER RD"	0	0
M156	156	leyden	2013	105796	939896	F_347099_3083641	"WEST LEYDEN RD"	0	0
M156	156	leyden	2013	105804	941328	F_347124_3088340	"ROLLING LANE"	0	0
M156	156	leyden	2013	105860	938936	F_347309_3080493	"GEORGE LAMB RD"	0	0
