town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M158	158	littleton	2013	196568	922196	M_196568_922196	"AYER RD"	0	0
M158	158	littleton	2013	196617	922156	M_196617_922156	"AYER RD"	0	0
M158	158	littleton	2013	196921	922335	M_196921_922335	"AYER RD"	0	0
M158	158	littleton	2013	196944	922272	M_196944_922272	"AYER RD"	260	0
M158	158	littleton	2013	196948	922342	M_196948_922342	"AYER RD"	192	0
M158	158	littleton	2013	196970	921808	M_196970_921808	"BRUCE ST"	0	0
M158	158	littleton	2013	196996	922355	M_196996_922355	"AYER RD"	0	0
M158	158	littleton	2013	197001	922256	M_197001_922256	"AYER RD"	256	0
M158	158	littleton	2013	197003	922138	M_197003_922138	"AYER RD"	264	0
M158	158	littleton	2013	197004	921315	M_197004_921315	"CHESTNUT LN"	19	0
M158	158	littleton	2013	197024	922313	M_197024_922313	"AYER RD"	254	0
M158	158	littleton	2013	197034	920526	M_197034_920526	"HARVARD RD"	0	0
M158	158	littleton	2013	197042	922375	M_197042_922375	"WILLOW RD"	64	0
M158	158	littleton	2013	197051	920869	M_197051_920869	"CHESTNUT LN"	11	0
M158	158	littleton	2013	197058	922279	M_197058_922279	"BRUCE ST"	5	0
M158	158	littleton	2013	197059	921033	M_197059_921033	"CHESTNUT LN"	15	0
M158	158	littleton	2013	197069	920586	M_197069_920586	"SHEEHAN RD"	0	0
M158	158	littleton	2013	197081	920675	M_197081_920675	"CHESTNUT LN"	4	0
M158	158	littleton	2013	197087	920424	M_197087_920424	"HARVARD RD"	203	0
M158	158	littleton	2013	197109	922281	M_197109_922281	"BRUCE ST"	7	0
M158	158	littleton	2013	197115	922381	M_197115_922381	"AYER RD"	245	0
M158	158	littleton	2013	197127	922243	M_197127_922243	"BRUCE ST"	11	0
M158	158	littleton	2013	197133	920588	M_197133_920588	"CHESTNUT LN"	0	0
M158	158	littleton	2013	197145	920607	M_197145_920607	"CHESTNUT LN"	2	0
M158	158	littleton	2013	197171	920475	M_197171_920475	"HARVARD RD"	0	0
M158	158	littleton	2013	197185	920662	M_197185_920662	"CHESTNUT LN"	3	0
M158	158	littleton	2013	197193	920558	M_197193_920558	"HARVARD RD"	195	0
M158	158	littleton	2013	197194	922220	M_197194_922220	"BRUCE ST"	13	0
M158	158	littleton	2013	197208	920439	M_197208_920439	"HARVARD RD"	0	0
M158	158	littleton	2013	197216	919811	M_197216_919811	"OAK HILL RD"	0	0
M158	158	littleton	2013	197219	919746	M_197219_919746	"OAK HILL RD"	0	0
M158	158	littleton	2013	197234	920638	M_197234_920638	"HARVARD RD"	185	0
M158	158	littleton	2013	197241	920582	M_197241_920582	"CHESTNUT LN"	0	0
M158	158	littleton	2013	197248	919911	M_197248_919911	"OAK RIDGE RD"	6	0
M158	158	littleton	2013	197252	922164	M_197252_922164	"BRUCE ST"	15	0
M158	158	littleton	2013	197259	920957	M_197259_920957	"CHESTNUT LN"	17	0
M158	158	littleton	2013	197270	920697	M_197270_920697	"HARVARD RD"	181	0
M158	158	littleton	2013	197274	920650	M_197274_920650	"HARVARD RD"	183	0
M158	158	littleton	2013	197275	919821	M_197275_919821	"OAK HILL RD"	63	0
M158	158	littleton	2013	197297	921770	M_197297_921770	"BRANDY HOLLOW"	12	0
M158	158	littleton	2013	197311	920548	M_197311_920548	"HARVARD RD"	0	0
M158	158	littleton	2013	197330	921635	M_197330_921635	"BRANDY HOLLOW"	10	0
M158	158	littleton	2013	197331	920825	M_197331_920825	"CHESTNUT LN"	5	0
M158	158	littleton	2013	197334	919857	M_197334_919857	"OAK RIDGE RD"	2	0
M158	158	littleton	2013	197351	919401	M_197351_919401	"MOORE LN"	38	0
M158	158	littleton	2013	197352	919950	M_197352_919950	"OAK RIDGE RD"	8	0
M158	158	littleton	2013	197357	920748	M_197357_920748	"HARVARD RD"	179	0
M158	158	littleton	2013	197359	919518	M_197359_919518	"MOORE LN"	39	0
M158	158	littleton	2013	197364	920031	M_197364_920031	"OAK RIDGE RD"	12	0
M158	158	littleton	2013	197373	922432	M_197373_922432	"AYER RD"	239	0
M158	158	littleton	2013	197376	920130	M_197376_920130	"OAK RIDGE RD"	16	0
M158	158	littleton	2013	197377	920647	M_197377_920647	"HARVARD RD"	188	0
M158	158	littleton	2013	197390	921907	M_197390_921907	"BRUCE ST"	37	0
M158	158	littleton	2013	197397	919595	M_197397_919595	"MOORE LN"	37	0
M158	158	littleton	2013	197411	919835	M_197411_919835	"OAK RIDGE RD"	1	0
M158	158	littleton	2013	197411	920684	M_197411_920684	"HARVARD RD"	184	0
M158	158	littleton	2013	197417	919262	M_197417_919262	"MOORE LN"	34	0
M158	158	littleton	2013	197417	919490	M_197417_919490	"MOORE LN"	36	0
M158	158	littleton	2013	197418	922185	M_197418_922185	"BRUCE ST"	2	0
M158	158	littleton	2013	197424	921700	M_197424_921700	"BRANDY HOLLOW"	8	0
M158	158	littleton	2013	197431	921971	M_197431_921971	"BRUCE ST"	39	0
M158	158	littleton	2013	197439	920722	M_197439_920722	"HARVARD RD"	180	0
M158	158	littleton	2013	197462	919895	M_197462_919895	"OAK RIDGE RD"	5	0
M158	158	littleton	2013	197463	918883	M_197463_918883	"WHITCOMB AV"	221	0
M158	158	littleton	2013	197465	918940	M_197465_918940	"WHITCOMB AV"	219	0
M158	158	littleton	2013	197467	920756	M_197467_920756	"HARVARD RD"	176	0
M158	158	littleton	2013	197468	921925	M_197468_921925	"BRUCE ST"	41	0
M158	158	littleton	2013	197479	919989	M_197479_919989	"OAK RIDGE RD"	7	0
M158	158	littleton	2013	197479	921676	M_197479_921676	"BRANDY HOLLOW"	6	0
M158	158	littleton	2013	197480	921801	M_197480_921801	"BRANDY HOLLOW"	3	0
M158	158	littleton	2013	197485	919427	M_197485_919427	"MOORE LN"	32	0
M158	158	littleton	2013	197492	921887	M_197492_921887	"BRUCE ST"	43	0
M158	158	littleton	2013	197493	920790	M_197493_920790	"HARVARD RD"	172	0
M158	158	littleton	2013	197512	920110	M_197512_920110	"OAK RIDGE RD"	15	0
M158	158	littleton	2013	197514	918969	M_197514_918969	"WHITCOMB AV"	215	0
M158	158	littleton	2013	197516	920824	M_197516_920824	"HARVARD RD"	168	0
M158	158	littleton	2013	197517	921297	M_197517_921297	"BRUCE ST"	91	0
M158	158	littleton	2013	197531	920980	M_197531_920980	"HARVARD RD"	161	0
M158	158	littleton	2013	197543	919595	M_197543_919595	"MOORE LN"	35	0
M158	158	littleton	2013	197544	920187	M_197544_920187	"OAK RIDGE RD"	19	0
M158	158	littleton	2013	197547	921679	M_197547_921679	"BRANDY HOLLOW"	4	0
M158	158	littleton	2013	197547	921850	M_197547_921850	"BRUCE ST"	47	0
M158	158	littleton	2013	197548	920851	M_197548_920851	"HARVARD RD"	166	0
M158	158	littleton	2013	197557	919943	M_197557_919943	"OAK RIDGE RD"	9	0
M158	158	littleton	2013	197557	922615	M_197557_922615	"SPECTACLE POND RD"	0	0
M158	158	littleton	2013	197559	919404	M_197559_919404	"MOORE LN"	28	0
M158	158	littleton	2013	197563	918999	M_197563_918999	"WHITCOMB AV"	211	0
M158	158	littleton	2013	197563	922505	M_197563_922505	"SPECTACLE POND RD"	2	0
M158	158	littleton	2013	197564	919095	M_197564_919095	"WHITCOMB AV"	199	0
M158	158	littleton	2013	197570	922219	M_197570_922219	"AYER RD"	196	0
M158	158	littleton	2013	197573	919254	M_197573_919254	"WHITCOMB AV"	189	0
M158	158	littleton	2013	197574	921801	M_197574_921801	"BRANDY HOLLOW"	1	0
M158	158	littleton	2013	197575	918869	M_197575_918869	"WHITCOMB AV"	210	0
M158	158	littleton	2013	197579	921748	M_197579_921748	"BRANDY HOLLOW"	2	0
M158	158	littleton	2013	197583	920883	M_197583_920883	"HARVARD RD"	164	0
M158	158	littleton	2013	197594	919389	M_197594_919389	"MOORE LN"	24	0
M158	158	littleton	2013	197600	921610	M_197600_921610	"BRUCE ST"	65	0
M158	158	littleton	2013	197606	922678	M_197606_922678	"SPECTACLE POND RD"	4	0
M158	158	littleton	2013	197609	919571	M_197609_919571	"MOORE LN"	25	0
M158	158	littleton	2013	197619	920917	M_197619_920917	"HARVARD RD"	160	0
M158	158	littleton	2013	197621	919988	M_197621_919988	"OAK RIDGE RD"	11	0
M158	158	littleton	2013	197627	919364	M_197627_919364	"MOORE LN"	20	0
M158	158	littleton	2013	197629	921900	M_197629_921900	"LAURY LN"	1	0
M158	158	littleton	2013	197649	921842	M_197649_921842	"BRUCE ST"	50	0
M158	158	littleton	2013	197656	920952	M_197656_920952	"HARVARD RD"	156	0
M158	158	littleton	2013	197660	922039	M_197660_922039	"BRUCE ST"	44	0
M158	158	littleton	2013	197666	919340	M_197666_919340	"MOORE LN"	16	0
M158	158	littleton	2013	197667	922577	M_197667_922577	"SPECTACLE POND RD"	6	0
M158	158	littleton	2013	197671	921766	M_197671_921766	"FOX LN"	2	0
M158	158	littleton	2013	197678	918816	M_197678_918816	"WHITCOMB AV"	0	0
M158	158	littleton	2013	197684	919590	M_197684_919590	"MOORE LN"	23	0
M158	158	littleton	2013	197695	921869	M_197695_921869	"FOX LN"	1	0
M158	158	littleton	2013	197697	920988	M_197697_920988	"HARVARD RD"	152	0
M158	158	littleton	2013	197699	921620	M_197699_921620	"BRUCE ST"	62	0
M158	158	littleton	2013	197699	921710	M_197699_921710	"BRUCE ST"	54	0
M158	158	littleton	2013	197706	919316	M_197706_919316	"MOORE LN"	12	0
M158	158	littleton	2013	197709	919449	M_197709_919449	"MOORE LN"	19	0
M158	158	littleton	2013	197726	921979	M_197726_921979	"LAURY LN"	2	0
M158	158	littleton	2013	197737	921795	M_197737_921795	"FOX LN"	4	0
M158	158	littleton	2013	197744	918892	M_197744_918892	"WHITCOMB AV"	200	0
M158	158	littleton	2013	197746	919292	M_197746_919292	"MOORE LN"	8	0
M158	158	littleton	2013	197752	922761	M_197752_922761	"SPECTACLE POND RD"	38	0
M158	158	littleton	2013	197756	919422	M_197756_919422	"MOORE LN"	15	0
M158	158	littleton	2013	197764	919531	M_197764_919531	"MOORE LN"	17	0
M158	158	littleton	2013	197765	921879	M_197765_921879	"FOX LN"	5	0
M158	158	littleton	2013	197784	918979	M_197784_918979	"WHITCOMB AV"	0	0
M158	158	littleton	2013	197785	919268	M_197785_919268	"WHITCOMB AV"	181	0
M158	158	littleton	2013	197789	921735	M_197789_921735	"BRUCE ST"	58	0
M158	158	littleton	2013	197793	922039	M_197793_922039	"LAURY LN"	5	0
M158	158	littleton	2013	197794	919401	M_197794_919401	"MOORE LN"	11	0
M158	158	littleton	2013	197798	919638	M_197798_919638	"MOORE LN"	21	0
M158	158	littleton	2013	197799	922415	M_197799_922415	"SPECTACLE POND RD"	1	0
M158	158	littleton	2013	197805	921978	M_197805_921978	"LAURY LN"	3	0
M158	158	littleton	2013	197819	919487	M_197819_919487	"WHITCOMB AV"	171	0
M158	158	littleton	2013	197824	921536	M_197824_921536	"BRUCE ST"	68	0
M158	158	littleton	2013	197827	919337	M_197827_919337	"WHITCOMB AV"	177	0
M158	158	littleton	2013	197828	921624	M_197828_921624	"BRUCE ST"	66	0
M158	158	littleton	2013	197830	919557	M_197830_919557	"NANCY`S WY"	8	0
M158	158	littleton	2013	197854	919374	M_197854_919374	"WHITCOMB AV"	175	0
M158	158	littleton	2013	197858	922871	M_197858_922871	"SPECTACLE POND RD"	0	0
M158	158	littleton	2013	197870	921879	M_197870_921879	"FOX LN"	9	0
M158	158	littleton	2013	197876	919406	M_197876_919406	"WHITCOMB AV"	173	0
M158	158	littleton	2013	197882	919640	M_197882_919640	"NANCY`S WY"	5	0
M158	158	littleton	2013	197884	921528	M_197884_921528	"BRUCE ST"	70	0
M158	158	littleton	2013	197892	921488	M_197892_921488	"BRUCE ST"	74	0
M158	158	littleton	2013	197895	919560	M_197895_919560	"NANCY`S WY"	6	0
M158	158	littleton	2013	197896	919286	M_197896_919286	"WHITCOMB AV"	170	0
M158	158	littleton	2013	197899	921968	M_197899_921968	"FOX LN"	3	0
M158	158	littleton	2013	197900	922945	M_197900_922945	"SPECTACLE POND RD"	42	0
M158	158	littleton	2013	197907	921436	M_197907_921436	"BRUCE ST"	78	0
M158	158	littleton	2013	197910	921379	M_197910_921379	"BRUCE ST"	0	0
M158	158	littleton	2013	197920	919087	M_197920_919087	"WHITCOMB AV"	0	0
M158	158	littleton	2013	197921	922116	M_197921_922116	"AYER RD"	194	0
