town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M164	164	lynnfield	2012	235223	920069	M_235223_920069	"PINE ST"	22	0
M164	164	lynnfield	2012	235243	920146	M_235243_920146	"SIGMUND ST"	2	0
M164	164	lynnfield	2012	235258	920187	M_235258_920187	"EDWARD AVE"	35	0
M164	164	lynnfield	2012	235266	920042	M_235266_920042	"PINE ST"	20	0
M164	164	lynnfield	2012	235272	919880	M_235272_919880	"BAY STATE RD"	63	0
M164	164	lynnfield	2012	235274	920223	M_235274_920223	"EDWARD AVE"	36	0
M164	164	lynnfield	2012	235277	920123	M_235277_920123	"PINE ST"	25	0
M164	164	lynnfield	2012	235286	920288	M_235286_920288	"EDWARD AVE"	38	0
M164	164	lynnfield	2012	235288	920168	M_235288_920168	"EDWARD AVE"	33	0
M164	164	lynnfield	2012	235288	920244	M_235288_920244	"EDWARD AVE"	37	0
M164	164	lynnfield	2012	235308	920202	M_235308_920202	"EDWARD AVE"	34	0
M164	164	lynnfield	2012	235314	920015	M_235314_920015	"PINE ST"	18	0
M164	164	lynnfield	2012	235316	920099	M_235316_920099	"PINE ST"	23	0
M164	164	lynnfield	2012	235317	920362	M_235317_920362	"OLDE TOWNE RD"	20	0
M164	164	lynnfield	2012	235318	920151	M_235318_920151	"EDWARD AVE"	31	0
M164	164	lynnfield	2012	235323	920226	M_235323_920226	"EDWARD AVE"	39	0
M164	164	lynnfield	2012	235329	920268	M_235329_920268	"EDWARD AVE"	40	0
M164	164	lynnfield	2012	235332	921755	M_235332_921755	"BAY STATE RD"	0	0
M164	164	lynnfield	2012	235336	920419	M_235336_920419	"OLDE TOWNE RD"	22	0
M164	164	lynnfield	2012	235338	920184	M_235338_920184	"EDWARD AVE"	32	0
M164	164	lynnfield	2012	235344	920307	M_235344_920307	"OLDE TOWNE RD"	18	0
M164	164	lynnfield	2012	235347	920133	M_235347_920133	"EDWARD AVE"	29	0
M164	164	lynnfield	2012	235351	920463	M_235351_920463	"OLDE TOWNE RD"	24	0
M164	164	lynnfield	2012	235352	920208	M_235352_920208	"EDWARD AVE"	41	0
M164	164	lynnfield	2012	235354	919987	M_235354_919987	"PINE ST"	16	0
M164	164	lynnfield	2012	235357	920075	M_235357_920075	"PINE ST"	21	0
M164	164	lynnfield	2012	235358	920251	M_235358_920251	"EDWARD AVE"	42	0
M164	164	lynnfield	2012	235365	920507	M_235365_920507	"OLDE TOWNE RD"	26	0
M164	164	lynnfield	2012	235367	920167	M_235367_920167	"EDWARD AVE"	30	0
M164	164	lynnfield	2012	235376	920115	M_235376_920115	"EDWARD AVE"	27	0
M164	164	lynnfield	2012	235379	920550	M_235379_920550	"OLDE TOWNE RD"	28	0
M164	164	lynnfield	2012	235381	920190	M_235381_920190	"EDWARD AVE"	43	0
M164	164	lynnfield	2012	235384	919733	M_235384_919733	"PINE ST"	2	0
M164	164	lynnfield	2012	235386	920235	M_235386_920235	"EDWARD AVE"	44	0
M164	164	lynnfield	2012	235389	919959	M_235389_919959	"PINE ST"	14	0
M164	164	lynnfield	2012	235391	920599	M_235391_920599	"OLDE TOWNE RD"	30	0
M164	164	lynnfield	2012	235395	920048	M_235395_920048	"PINE ST"	19	0
M164	164	lynnfield	2012	235396	920149	M_235396_920149	"EDWARD AVE"	28	0
M164	164	lynnfield	2012	235396	920360	M_235396_920360	"OLDE TOWNE RD"	17	0
M164	164	lynnfield	2012	235397	919784	M_235397_919784	"PINE ST"	4	0
M164	164	lynnfield	2012	235403	920277	M_235403_920277	"OLDE TOWNE RD"	16	0
M164	164	lynnfield	2012	235406	920406	M_235406_920406	"OLDE TOWNE RD"	19	0
M164	164	lynnfield	2012	235407	920096	M_235407_920096	"EDWARD AVE"	25	0
M164	164	lynnfield	2012	235410	920173	M_235410_920173	"EDWARD AVE"	45	0
M164	164	lynnfield	2012	235414	920219	M_235414_920219	"EDWARD AVE"	46	0
M164	164	lynnfield	2012	235420	920464	M_235420_920464	"NEW MEADOW RD"	16	0
M164	164	lynnfield	2012	235425	919931	M_235425_919931	"PINE ST"	12	0
M164	164	lynnfield	2012	235425	920132	M_235425_920132	"EDWARD AVE"	26	0
M164	164	lynnfield	2012	235428	919846	M_235428_919846	"PINE ST"	6	0
M164	164	lynnfield	2012	235431	920020	M_235431_920020	"PINE ST"	17	0
M164	164	lynnfield	2012	235434	920077	M_235434_920077	"EDWARD AVE"	23	0
M164	164	lynnfield	2012	235439	920155	M_235439_920155	"EDWARD AVE"	47	0
M164	164	lynnfield	2012	235441	920202	M_235441_920202	"EDWARD AVE"	48	0
M164	164	lynnfield	2012	235441	920343	M_235441_920343	"OLDE TOWNE RD"	15	0
M164	164	lynnfield	2012	235443	920254	M_235443_920254	"OLDE TOWNE RD"	14	0
M164	164	lynnfield	2012	235452	919722	M_235452_919722	"BAY STATE RD"	37	0
M164	164	lynnfield	2012	235454	920113	M_235454_920113	"EDWARD AVE"	24	0
M164	164	lynnfield	2012	235457	920434	M_235457_920434	"NEW MEADOW RD"	14	0
M164	164	lynnfield	2012	235458	920057	M_235458_920057	"EDWARD AVE"	21	0
M164	164	lynnfield	2012	235460	919902	M_235460_919902	"PINE ST"	8	0
M164	164	lynnfield	2012	235466	920542	M_235466_920542	"OLDE TOWNE RD"	23	0
M164	164	lynnfield	2012	235467	919992	M_235467_919992	"PINE ST"	15	0
M164	164	lynnfield	2012	235468	919766	M_235468_919766	"PINE ST"	3	0
M164	164	lynnfield	2012	235468	920137	M_235468_920137	"EDWARD AVE"	49	0
M164	164	lynnfield	2012	235468	920186	M_235468_920186	"EDWARD AVE"	50	0
M164	164	lynnfield	2012	235478	920317	M_235478_920317	"OLDE TOWNE RD"	11	0
M164	164	lynnfield	2012	235482	919810	M_235482_919810	"PINE ST"	5	0
M164	164	lynnfield	2012	235482	920093	M_235482_920093	"EDWARD AVE"	22	0
M164	164	lynnfield	2012	235482	920231	M_235482_920231	"OLDE TOWNE RD"	12	0
M164	164	lynnfield	2012	235483	920038	M_235483_920038	"EDWARD AVE"	19	0
M164	164	lynnfield	2012	235483	920397	M_235483_920397	"NEW MEADOW RD"	12	0
M164	164	lynnfield	2012	235489	920515	M_235489_920515	"NEW MEADOW RD"	19	0
M164	164	lynnfield	2012	235495	920171	M_235495_920171	"EDWARD AVE"	52	0
M164	164	lynnfield	2012	235495	920754	M_235495_920754	"TAPPAN COURT"	0	0
M164	164	lynnfield	2012	235497	920118	M_235497_920118	"EDWARD AVE"	51	0
M164	164	lynnfield	2012	235503	920619	M_235503_920619	"OLDE TOWNE RD"	32	0
M164	164	lynnfield	2012	235505	919850	M_235505_919850	"PINE ST"	7	0
M164	164	lynnfield	2012	235507	920019	M_235507_920019	"EDWARD AVE"	17	0
M164	164	lynnfield	2012	235508	920073	M_235508_920073	"EDWARD AVE"	20	0
M164	164	lynnfield	2012	235508	921062	M_235508_921062	"HART RD"	19	0
M164	164	lynnfield	2012	235509	919720	M_235509_919720	"BAY STATE RD"	33	0
M164	164	lynnfield	2012	235512	919960	M_235512_919960	"PINE ST"	11	0
M164	164	lynnfield	2012	235512	920363	M_235512_920363	"NEW MEADOW RD"	10	0
M164	164	lynnfield	2012	235519	920488	M_235519_920488	"NEW MEADOW RD"	17	0
M164	164	lynnfield	2012	235521	920155	M_235521_920155	"EDWARD AVE"	54	0
M164	164	lynnfield	2012	235521	920289	M_235521_920289	"OLDE TOWNE RD"	9	0
M164	164	lynnfield	2012	235522	920208	M_235522_920208	"OLDE TOWNE RD"	10	0
M164	164	lynnfield	2012	235524	920849	M_235524_920849	"HERITAGE LN"	30	0
M164	164	lynnfield	2012	235525	920101	M_235525_920101	"EDWARD AVE"	53	0
M164	164	lynnfield	2012	235526	921134	M_235526_921134	"HART RD"	18	0
M164	164	lynnfield	2012	235528	919790	M_235528_919790	"FREEMAN ST"	2	0
M164	164	lynnfield	2012	235529	920919	M_235529_920919	"HERITAGE LN"	32	0
M164	164	lynnfield	2012	235530	921199	M_235530_921199	"JUNIPER RD"	3	0
M164	164	lynnfield	2012	235531	920000	M_235531_920000	"EDWARD AVE"	15	0
M164	164	lynnfield	2012	235533	919521	M_235533_919521	"MAIN ST"	26	0
M164	164	lynnfield	2012	235533	920055	M_235533_920055	"EDWARD AVE"	18	0
M164	164	lynnfield	2012	235540	919906	M_235540_919906	"PINE ST"	9	0
M164	164	lynnfield	2012	235540	921265	M_235540_921265	"JUNIPER RD"	5	0
M164	164	lynnfield	2012	235545	923298	M_235545_923298	"REAR HILLTOP RD"	7	0
M164	164	lynnfield	2012	235546	920455	M_235546_920455	"NEW MEADOW RD"	15	0
M164	164	lynnfield	2012	235547	920139	M_235547_920139	"EDWARD AVE"	56	0
M164	164	lynnfield	2012	235547	920326	M_235547_920326	"NEW MEADOW RD"	8	0
M164	164	lynnfield	2012	235550	920084	M_235550_920084	"EDWARD AVE"	55	0
M164	164	lynnfield	2012	235551	921340	M_235551_921340	"JUNIPER RD"	7	0
M164	164	lynnfield	2012	235554	920992	M_235554_920992	"HERITAGE LN"	34	0
M164	164	lynnfield	2012	235555	919981	M_235555_919981	"EDWARD AVE"	13	0
M164	164	lynnfield	2012	235558	920036	M_235558_920036	"EDWARD AVE"	16	0
M164	164	lynnfield	2012	235561	920184	M_235561_920184	"OLDE TOWNE RD"	8	0
M164	164	lynnfield	2012	235561	921053	M_235561_921053	"HART RD"	17	0
M164	164	lynnfield	2012	235564	921580	M_235564_921580	"CANDLEWOOD RD"	19A	0
