town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M167	167	mansfield	2011	217928	862297	F_714987_2829054	"PLAIN ST"	311	0
M167	167	mansfield	2011	218049	861940	F_715383_2827881	"HIDDEN LN"	14	0
M167	167	mansfield	2011	218051	861840	F_715390_2827552	"PLAIN ST"	305	0
M167	167	mansfield	2011	218077	861980	F_715475_2828012	"HIDDEN LN"	15	0
M167	167	mansfield	2011	218078	861830	F_715476_2827519	"PLAIN ST"	301	0
M167	167	mansfield	2011	218096	861909	F_715535_2827779	"HIDDEN LN"	10	0
M167	167	mansfield	2011	218104	861813	F_715564_2827466	"PLAIN ST"	299	0
M167	167	mansfield	2011	218105	861682	F_715566_2827034	"OAKRIDGE AVE"	10	0
M167	167	mansfield	2011	218124	861995	F_715627_2828061	"HIDDEN LN"	11	0
M167	167	mansfield	2011	218133	861820	F_715658_2827488	"BROWN AVE"	38	0
M167	167	mansfield	2011	218139	861902	F_715677_2827757	"HIDDEN LN"	6	0
M167	167	mansfield	2011	218142	861690	F_715689_2827062	"PLAIN ST"	262	0
M167	167	mansfield	2011	218153	861737	F_715725_2827214	"PLAIN ST"	285	0
M167	167	mansfield	2011	218158	861828	F_715739_2827515	"BROWN AVE"	44	0
M167	167	mansfield	2011	218165	861987	F_715763_2828037	"HIDDEN LN"	7	0
M167	167	mansfield	2011	218167	861754	F_715770_2827270	"BROWN AVE"	43	0
M167	167	mansfield	2011	218177	861910	F_715802_2827782	"HIDDEN LN"	4	0
M167	167	mansfield	2011	218195	861771	F_715862_2827326	"BROWN AVE"	47	0
M167	167	mansfield	2011	218204	861831	F_715892_2827525	"BROWN AVE"	50	0
M167	167	mansfield	2011	218209	861620	F_715909_2826833	"PLAIN ST"	260	0
M167	167	mansfield	2011	218214	861970	F_715923_2827979	"HIDDEN LN"	3	0
M167	167	mansfield	2011	218218	861874	F_715938_2827664	"HIDDEN LN"	2	0
M167	167	mansfield	2011	218238	861793	F_716002_2827398	"BROWN AVE"	51	0
M167	167	mansfield	2011	218253	861922	F_716053_2827824	"HIDDEN LN"	1	0
M167	167	mansfield	2011	218279	861596	F_716137_2826753	"PLAIN ST"	252	0
M167	167	mansfield	2011	218287	861947	F_716162_2827904	"BROWN AVE"	106	0
M167	167	mansfield	2011	218299	861634	F_716204_2826878	"PLAIN ST"	245	0
M167	167	mansfield	2011	218310	861575	F_716240_2826685	"PLAIN ST"	240	0
M167	167	mansfield	2011	218319	861666	F_716267_2826983	"DARIO WAY"	2	0
M167	167	mansfield	2011	218321	861626	F_716274_2826852	"PLAIN ST"	243	0
M167	167	mansfield	2011	218330	861972	F_716305_2827986	"BROWN AVE"	112	0
M167	167	mansfield	2011	218334	861897	F_716318_2827741	"BROWN AVE"	115	0
M167	167	mansfield	2011	218339	861565	F_716335_2826651	"PLAIN ST"	230	0
M167	167	mansfield	2011	218352	861702	F_716377_2827102	"DARIO WAY"	6	0
M167	167	mansfield	2011	218355	861911	F_716385_2827785	"BROWN AVE"	121	0
M167	167	mansfield	2011	218356	861331	F_716391_2825882	"LAKEVIEW AVE"	45	0
M167	167	mansfield	2011	218362	861560	F_716408_2826636	"PLAIN ST"	220	0
M167	167	mansfield	2011	218368	861638	F_716428_2826891	"PLAIN ST"	211	0
M167	167	mansfield	2011	218377	861557	F_716458_2826624	"PLAIN ST"	202	0
M167	167	mansfield	2011	218386	861906	F_716487_2827769	"BROWN AVE"	149	0
M167	167	mansfield	2011	218394	861504	F_716513_2826450	"LAKEVIEW AVE"	19	0
M167	167	mansfield	2011	218398	861620	F_716528_2826830	"PLAIN ST"	205	0
M167	167	mansfield	2011	218399	861485	F_716532_2826389	"LAKEVIEW AVE"	23	0
M167	167	mansfield	2011	218405	861545	F_716551_2826584	"PLAIN ST"	198	0
M167	167	mansfield	2011	218408	861515	F_716560_2826486	"LAKEVIEW AVE"	15	0
M167	167	mansfield	2011	218408	861527	F_716561_2826525	"LAKEVIEW AVE"	5	0
M167	167	mansfield	2011	218409	861875	F_716562_2827668	"BROWN AVE"	153	0
M167	167	mansfield	2011	218423	861862	F_716608_2827624	"BROWN AVE"	161	0
M167	167	mansfield	2011	218424	861480	F_716612_2826373	"LAKEVIEW AVE"	27	0
M167	167	mansfield	2011	218431	861604	F_716635_2826778	"PLAIN ST"	199	0
M167	167	mansfield	2011	218439	861666	F_716663_2826982	"PLAIN ST"	145	0
M167	167	mansfield	2011	218445	861129	F_716680_2825221	"WEST ST"	1775	0
M167	167	mansfield	2011	218449	861478	F_716694_2826366	"LAKEVIEW AVE"	31	0
M167	167	mansfield	2011	218450	861851	F_716699_2827589	"BROWN AVE"	171	0
M167	167	mansfield	2011	218450	861936	F_716699_2827869	"BROWN AVE"	170	0
M167	167	mansfield	2011	218454	861098	F_716710_2825120	"WEST ST"	1777	0
M167	167	mansfield	2011	218464	861455	F_716745_2826289	"LAKEVIEW AVE"	37	0
M167	167	mansfield	2011	218465	861435	F_716747_2826224	"LAKEVIEW AVE"	41	0
M167	167	mansfield	2011	218468	861325	F_716757_2825863	"LAKEVIEW AVE"	59	0
M167	167	mansfield	2011	218469	861407	F_716762_2826134	"LAKEVIEW AVE"	43	0
M167	167	mansfield	2011	218470	861299	F_716765_2825780	"LAKEVIEW AVE"	63	0
M167	167	mansfield	2011	218470	861351	F_716765_2825948	"LAKEVIEW AVE"	51	0
M167	167	mansfield	2011	218470	861514	F_716765_2826484	"PLAIN ST"	120	0
M167	167	mansfield	2011	218471	861338	F_716767_2825906	"LAKEVIEW AVE"	55	0
M167	167	mansfield	2011	218471	861370	F_716767_2826013	"LAKEVIEW AVE"	47	0
M167	167	mansfield	2011	218472	862074	F_716769_2828322	"BROWN AVE"	130	0
M167	167	mansfield	2011	218472	861908	F_716770_2827775	"BROWN AVE"	190	0
M167	167	mansfield	2011	218473	861071	F_716775_2825032	"WEST ST"	1779	0
M167	167	mansfield	2011	218481	861266	F_716801_2825671	"WEST ST"	1769	0
M167	167	mansfield	2011	218482	861590	F_716804_2826733	"PLAIN ST"	123	0
M167	167	mansfield	2011	218484	861046	F_716810_2824947	"WEST ST"	1781	0
M167	167	mansfield	2011	218490	861826	F_716828_2827509	"BROWN AVE REAR"	171	0
M167	167	mansfield	2011	218497	862253	F_716852_2828910	"MAVERICK DR"	40	0
M167	167	mansfield	2011	218499	861683	F_716859_2827037	"PLAIN ST"	147	0
M167	167	mansfield	2011	218509	862193	F_716890_2828713	"MAVERICK DR"	36	0
M167	167	mansfield	2011	218511	861300	F_716897_2825782	"LAKEVIEW RD"	99	0
M167	167	mansfield	2011	218514	861582	F_716907_2826707	"PLAIN ST"	115	0
M167	167	mansfield	2011	218518	861430	F_716920_2826209	"LAKEVIEW AVE"	40	0
M167	167	mansfield	2011	218519	861008	F_716923_2824823	"WEST ST"	1785	0
M167	167	mansfield	2011	218526	861868	F_716947_2827644	"BROWN AVE"	195	0
M167	167	mansfield	2011	218526	861487	F_716948_2826395	"PLAIN ST"	104	0
M167	167	mansfield	2011	218527	861348	F_716950_2825938	"LAKEVIEW AVE"	100	0
M167	167	mansfield	2011	218533	861788	F_716969_2827384	"PLAIN ST"	233	0
M167	167	mansfield	2011	218543	861302	F_717002_2825789	"LAKEVIEW AVE"	97	0
M167	167	mansfield	2011	218545	860979	F_717009_2824729	"WEST ST"	1775-1787	0
M167	167	mansfield	2011	218545	860979	F_717009_2824729	"WEST ST"	1787	0
M167	167	mansfield	2011	218554	861388	F_717040_2826071	"LAKEVIEW RD"	92	0
M167	167	mansfield	2011	218566	862297	F_717080_2829054	"MAVERICK DR"	35	0
M167	167	mansfield	2011	218569	861425	F_717087_2826191	"LAKEVIEW RD"	86	0
M167	167	mansfield	2011	218573	862065	F_717101_2828291	"BROWN AVE"	140	0
M167	167	mansfield	2011	218584	861539	F_717137_2826567	"PLAIN ST"	101	0
M167	167	mansfield	2011	218591	861457	F_717161_2826298	"PLAIN ST"	98	0
M167	167	mansfield	2011	218592	861605	F_717164_2826781	"PLAIN ST"	111	0
M167	167	mansfield	2011	218609	861330	F_717221_2825881	"LAKEVIEW RD"	91	0
M167	167	mansfield	2011	218613	862227	F_717232_2828824	"MAVERICK DR"	32	0
M167	167	mansfield	2011	218614	862304	F_717235_2829077	"MAVERICK DR"	31	0
M167	167	mansfield	2011	218628	861157	F_717281_2825312	"WEST ST"	1783	0
M167	167	mansfield	2011	218631	861517	F_717291_2826493	"PLAIN ST"	97	0
M167	167	mansfield	2011	218647	861407	F_717345_2826134	"PLAIN ST"	80	0
M167	167	mansfield	2011	218651	860728	F_717357_2823906	"WEST ST"	1819	0
M167	167	mansfield	2011	218656	862232	F_717373_2828839	"MAVERICK DR"	28	0
M167	167	mansfield	2011	218656	862315	F_717374_2829111	"MAVERICK DR"	27	0
M167	167	mansfield	2011	218656	860655	F_717375_2823667	"WEST ST"	1824	0
M167	167	mansfield	2011	218660	862164	F_717388_2828618	"WESTVIEW DR"	23	0
M167	167	mansfield	2011	218662	862481	F_717394_2829656	"PINTO WAY"	18	0
M167	167	mansfield	2011	218662	861499	F_717395_2826433	"PLAIN ST"	95	0
M167	167	mansfield	2011	218664	860742	F_717399_2823950	"WEST ST"	1817	0
M167	167	mansfield	2011	218677	862437	F_717444_2829513	"PINTO WAY"	14	0
M167	167	mansfield	2011	218678	860676	F_717446_2823734	"WEST ST"	1820	0
M167	167	mansfield	2011	218679	862401	F_717448_2829395	"PINTO WAY"	10	0
M167	167	mansfield	2011	218679	860611	F_717449_2823521	"BLACK POND RD"	29	0
M167	167	mansfield	2011	218680	862365	F_717454_2829277	"PINTO WAY"	6	0
M167	167	mansfield	2011	218681	862114	F_717455_2828452	"WESTVIEW DR"	27	0
M167	167	mansfield	2011	218683	860761	F_717462_2824012	"WEST ST"	1815	0
M167	167	mansfield	2011	218684	862549	F_717466_2829880	"PINTO WAY"	22	0
M167	167	mansfield	2011	218695	861491	F_717502_2826408	"PLAIN ST"	93	0
M167	167	mansfield	2011	218696	862237	F_717505_2828856	"MAVERICK DR"	24	0
M167	167	mansfield	2011	218697	860784	F_717510_2824089	"WEST ST"	1811	0
M167	167	mansfield	2011	218697	861346	F_717510_2825933	"PLAIN ST"	66	0
M167	167	mansfield	2011	218699	860701	F_717515_2823817	"WEST ST"	1818	0
M167	167	mansfield	2011	218700	860630	F_717517_2823585	"BLACK POND RD"	23	0
M167	167	mansfield	2011	218700	862318	F_717518_2829120	"PINTO WAY"	2	0
M167	167	mansfield	2011	218700	862072	F_717519_2828316	"WESTVIEW DR"	22	0
M167	167	mansfield	2011	218706	860802	F_717539_2824148	"WEST ST"	1813	0
M167	167	mansfield	2011	218708	860566	F_717545_2823375	"BLACK POND RD"	28	0
M167	167	mansfield	2011	218719	860728	F_717582_2823905	"WEST ST"	1814	0
M167	167	mansfield	2011	218720	860651	F_717585_2823653	"BLACK POND RD"	17	0
M167	167	mansfield	2011	218720	860822	F_717585_2824213	"WEST ST"	1807	0
M167	167	mansfield	2011	218725	861473	F_717600_2826349	"PLAIN ST"	65	0
M167	167	mansfield	2011	218727	860542	F_717606_2823296	"SADDLE RIDGE RD"	7	0
M167	167	mansfield	2011	218735	862244	F_717634_2828880	"MAVERICK DR"	20	0
M167	167	mansfield	2011	218737	862545	F_717640_2829868	"PINTO WAY"	26	0
M167	167	mansfield	2011	218739	860675	F_717645_2823731	"BLACK POND RD"	11	0
M167	167	mansfield	2011	218739	861739	F_717647_2827221	"WEST ST"	1625	0
M167	167	mansfield	2011	218744	861340	F_717662_2825912	"PLAIN ST"	30	0
M167	167	mansfield	2011	218749	860509	F_717678_2823188	"SADDLE RIDGE RD"	13	0
M167	167	mansfield	2011	218750	860598	F_717681_2823478	"BLACK POND RD"	22	0
M167	167	mansfield	2011	218754	860779	F_717696_2824071	"WEST ST"	1810	0
M167	167	mansfield	2011	218756	860874	F_717703_2824383	"WEST ST"	1805	0
M167	167	mansfield	2011	218757	860700	F_717705_2823814	"BLACK POND RD"	5	0
M167	167	mansfield	2011	218757	861457	F_717706_2826297	"PLAIN ST"	55	0
M167	167	mansfield	2011	218758	861056	F_717707_2824981	"WEST ST"	1791	0
M167	167	mansfield	2011	218761	862326	F_717719_2829147	"PINTO WAY"	1	0
M167	167	mansfield	2011	218763	862514	F_717725_2829765	"MORGAN RD"	15	0
M167	167	mansfield	2011	218768	862379	F_717740_2829321	"PINTO WAY"	7	0
M167	167	mansfield	2011	218769	862183	F_717744_2828678	"WESTVIEW DR"	19	0
M167	167	mansfield	2011	218770	862422	F_717749_2829464	"MORGAN RD"	14	0
M167	167	mansfield	2011	218773	860624	F_717757_2823565	"BLACK POND RD"	16	0
M167	167	mansfield	2011	218773	862244	F_717758_2828880	"MAVERICK DR"	16	0
M167	167	mansfield	2011	218773	860475	F_717759_2823076	"SADDLE RIDGE RD"	19-23	0
M167	167	mansfield	2011	218782	860747	F_717788_2823968	"OLD FARM RD"	6	0
M167	167	mansfield	2011	218783	861029	F_717789_2824893	"WEST ST"	1795	0
M167	167	mansfield	2011	218783	860967	F_717792_2824688	"WEST ST"	1801	0
M167	167	mansfield	2011	218785	861329	F_717798_2825878	"PLAIN ST"	20	0
M167	167	mansfield	2011	218786	860941	F_717799_2824603	"WEST ST"	1803	0
M167	167	mansfield	2011	218787	861442	F_717803_2826249	"PLAIN ST"	35	0
M167	167	mansfield	2011	218787	860995	F_717805_2824781	"WEST ST"	1797	0
M167	167	mansfield	2011	218794	860797	F_717828_2824130	"BUNGAY ST"	1	0
M167	167	mansfield	2011	218796	860446	F_717832_2822979	"SADDLE RIDGE RD"	25-29	0
M167	167	mansfield	2011	218797	862525	F_717837_2829802	"MORGAN RD"	11	0
M167	167	mansfield	2011	218798	862072	F_717840_2828316	"WESTVIEW DR"	18	0
M167	167	mansfield	2011	218803	860575	F_717856_2823403	"SADDLE RIDGE RD"	10	0
M167	167	mansfield	2011	218803	860672	F_717857_2823723	"BLACK POND RD"	6	0
M167	167	mansfield	2011	218804	862333	F_717861_2829170	"MAVERICK DR"	11	0
M167	167	mansfield	2011	218810	860854	F_717880_2824320	"WEST ST"	1802	0
M167	167	mansfield	2011	218811	862246	F_717881_2828884	"MAVERICK DR"	12	0
M167	167	mansfield	2011	218814	861124	F_717892_2825203	"GILBERT ST"	1-1	0
M167	167	mansfield	2011	218814	861124	F_717892_2825203	"WEST ST"	1755	0
M167	167	mansfield	2011	218815	860751	F_717895_2823980	"OLD FARM RD"	12	0
M167	167	mansfield	2011	218816	860416	F_717899_2822883	"SADDLE RIDGE RD"	31-35	0
M167	167	mansfield	2011	218817	861427	F_717901_2826199	"PLAIN ST"	25	0
M167	167	mansfield	2011	218818	861155	F_717907_2825306	"WEST ST"	1745	0
M167	167	mansfield	2011	218820	861185	F_717913_2825405	"WEST ST"	1735	0
M167	167	mansfield	2011	218822	862407	F_717917_2829413	"MORGAN RD"	10	0
M167	167	mansfield	2011	218823	860695	F_717922_2823796	"OLD FARM RD"	11	0
M167	167	mansfield	2011	218823	861212	F_717923_2825494	"WEST ST"	1725	0
M167	167	mansfield	2011	218825	862170	F_717928_2828636	"WESTVIEW DR"	15	0
M167	167	mansfield	2011	218826	861239	F_717933_2825583	"WEST ST"	1715	0
M167	167	mansfield	2011	218827	860798	F_717934_2824135	"BUNGAY ST"	3	0
M167	167	mansfield	2011	218828	862659	F_717938_2830239	"INGRID DR"	2	0
M167	167	mansfield	2011	218829	861271	F_717943_2825686	"WEST ST"	1705	0
M167	167	mansfield	2011	218832	861339	F_717952_2825911	"PLAIN ST"	16	0
M167	167	mansfield	2011	218834	862507	F_717958_2829741	"MORGAN RD"	7	0
M167	167	mansfield	2011	218837	861306	F_717969_2825802	"WEST ST"	1689	0
M167	167	mansfield	2011	218842	862333	F_717985_2829170	"MAVERICK DR"	7	0
M167	167	mansfield	2011	218845	860899	F_717993_2824466	"WEST ST"	1798	0
M167	167	mansfield	2011	218845	860752	F_717994_2823985	"OLD FARM RD"	18	0
M167	167	mansfield	2011	218847	861412	F_718002_2826150	"PLAIN ST"	5	0
M167	167	mansfield	2011	218847	862246	F_718002_2828885	"MAVERICK DR"	8	0
M167	167	mansfield	2011	218848	862083	F_718003_2828351	"WESTVIEW DR"	14	0
M167	167	mansfield	2011	218853	860527	F_718020_2823246	"SADDLE RIDGE RD"	16	0
M167	167	mansfield	2011	218857	860996	F_718033_2824784	"GILBERT ST"	11	0
M167	167	mansfield	2011	218858	860693	F_718035_2823791	"OLD FARM RD"	17	0
M167	167	mansfield	2011	218858	860800	F_718036_2824141	"BUNGAY ST"	5	0
M167	167	mansfield	2011	218860	862407	F_718043_2829415	"MORGAN RD"	6	0
M167	167	mansfield	2011	218861	862164	F_718048_2828618	"WESTVIEW DR"	11	0
M167	167	mansfield	2011	218863	860938	F_718054_2824595	"WEST ST"	1794	0
M167	167	mansfield	2011	218868	860864	F_718070_2824352	"BUNGAY ST"	4	0
M167	167	mansfield	2011	218875	860754	F_718094_2823992	"OLD FARM RD"	24	0
M167	167	mansfield	2011	218876	862701	F_718097_2830378	"INGRID DR"	14	0
