town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M168	168	marblehead	2013	249496	915075	F_818554_3002207	"TEDESCO ST"	202-204	0
M168	168	marblehead	2013	249820	915225	F_819619_3002700	"TEDESCO ST"	151	0
M168	168	marblehead	2013	249830	915053	F_819652_3002138	"TEDESCO ST"	154	0
M168	168	marblehead	2013	249866	915257	F_819768_3002805	"TEDESCO ST"	145	0
M168	168	marblehead	2013	249871	915231	F_819784_3002721	"TEDESCO ST"	0	0
M168	168	marblehead	2013	249880	915233	F_819814_3002728	"TEDESCO ST"	149	0
M168	168	marblehead	2013	249894	915235	F_819862_3002732	"TEDESCO ST"	147	0
M168	168	marblehead	2013	249904	915311	F_819892_3002983	"TEDESCO ST"	0	0
M168	168	marblehead	2013	249926	915281	F_819965_3002886	"TEDESCO ST"	0	0
M168	168	marblehead	2013	249930	915251	F_819978_3002785	"TEDESCO ST"	143	0
M168	168	marblehead	2013	249942	915337	F_820017_3003068	"FLORENCE RD"	9	0
M168	168	marblehead	2013	249955	915253	F_820060_3002793	"TEDESCO ST"	141	0
M168	168	marblehead	2013	249959	915344	F_820075_3003091	"FLORENCE RD"	7	0
M168	168	marblehead	2013	249968	915289	F_820102_3002911	"FLORENCE RD"	8	0
M168	168	marblehead	2013	249973	915352	F_820120_3003117	"FLORENCE RD"	5	0
M168	168	marblehead	2013	249981	915258	F_820147_3002810	"TEDESCO ST"	137	0
M168	168	marblehead	2013	249991	914850	F_820179_3001472	"CONANT RD"	21	0
M168	168	marblehead	2013	249992	915378	F_820183_3003203	"MYSTIC RD"	16	0
M168	168	marblehead	2013	249994	915305	F_820189_3002964	"FLORENCE RD"	4	0
M168	168	marblehead	2013	249995	915358	F_820191_3003138	"MYSTIC RD"	14	0
M168	168	marblehead	2013	249997	915288	F_820198_3002906	"MYSTIC RD"	4	0
M168	168	marblehead	2013	249997	915339	F_820199_3003075	"MYSTIC RD"	12	0
M168	168	marblehead	2013	249998	914861	F_820202_3001508	"CONANT RD"	19	0
M168	168	marblehead	2013	249998	915404	F_820202_3003289	"MYSTIC RD"	0	0
M168	168	marblehead	2013	250007	915265	F_820231_3002833	"TEDESCO ST"	135	0
M168	168	marblehead	2013	250010	914882	F_820240_3001576	"CONANT RD"	17	0
M168	168	marblehead	2013	250014	915210	F_820253_3002652	"RUBY AV"	51	0
M168	168	marblehead	2013	250024	914909	F_820288_3001664	"CONANT RD"	15	0
M168	168	marblehead	2013	250030	915392	F_820307_3003247	"MYSTIC RD"	17	0
M168	168	marblehead	2013	250031	915228	F_820311_3002710	"TEDESCO ST"	132-134	0
M168	168	marblehead	2013	250033	915371	F_820317_3003181	"MYSTIC RD"	15	0
M168	168	marblehead	2013	250033	915165	F_820318_3002504	"WEST ST"	43	0
M168	168	marblehead	2013	250037	915351	F_820330_3003113	"MYSTIC RD"	13	0
M168	168	marblehead	2013	250038	914832	F_820333_3001412	"CONANT RD"	20	0
