town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M169	169	marion	2014	258130	827045	M_258130_827045	"TOWN LINE"	0	0
M169	169	marion	2014	258138	827016	M_258138_827016	"BULLIVANT FARM RD"	24	0
M169	169	marion	2014	258188	826523	M_258188_826523	"POINT RD"	28	0
M169	169	marion	2014	258215	826906	M_258215_826906	"TOWN LINE"	0	0
M169	169	marion	2014	258260	827381	M_258260_827381	"WIANNO RD"	6	0
M169	169	marion	2014	258341	827729	M_258341_827729	"ROUTE 195 {OFF}"	0	0
M169	169	marion	2014	258343	827276	M_258343_827276	"RR ROW {OFF}"	0	0
M169	169	marion	2014	258363	827957	M_258363_827957	"BEACH ST"	10	0
M169	169	marion	2014	258376	827142	M_258376_827142	"ROUTE 195"	0	0
M169	169	marion	2014	258438	827646	M_258438_827646	"FRONT ST"	68	0
M169	169	marion	2014	258445	826866	M_258445_826866	"EDGEWATER LN {OFF}"	0	0
M169	169	marion	2014	258477	827426	M_258477_827426	"HUCKLEBERRY WAY"	10	0
M169	169	marion	2014	258479	827401	M_258479_827401	"DEXTER RD"	23	0
M169	169	marion	2014	258484	826363	M_258484_826363	"COUNTY RD"	6	0
M169	169	marion	2014	258499	830117	M_258499_830117	"WATER ST"	60	0
M169	169	marion	2014	258552	827621	M_258552_827621	"STONEY RUN LN"	20	0
M169	169	marion	2014	258565	829313	M_258565_829313	"CONVERSE RD {REAR}"	0	0
M169	169	marion	2014	258576	827970	M_258576_827970	"ROUTE 195 {OFF}"	0	0
M169	169	marion	2014	258592	830234	M_258592_830234	"ALLENS POINT RD"	160	0
M169	169	marion	2014	258610	827509	M_258610_827509	"SPRING ST"	202	0
M169	169	marion	2014	258616	828939	M_258616_828939	"MARCONI LN"	13	0
M169	169	marion	2014	258633	826169	M_258633_826169	"RR ROW {OFF}"	0	0
M169	169	marion	2014	258654	829520	M_258654_829520	"JENNEY LN"	14	0
M169	169	marion	2014	258705	827746	M_258705_827746	"JENNA DR"	9	0
M169	169	marion	2014	258714	828393	M_258714_828393	"PUMPING STATION RD"	10	0
M169	169	marion	2014	258755	826466	M_258755_826466	"RIDGE HILL RD"	0	0
M169	169	marion	2014	258757	827272	M_258757_827272	"POINT RD"	931	0
M169	169	marion	2014	258776	829329	M_258776_829329	"ARROWHEAD LN"	7	0
M169	169	marion	2014	258780	829890	M_258780_829890	"WATER ST"	0	0
M169	169	marion	2014	258800	829175	M_258800_829175	"SHAWONDASSE RD"	0	0
M169	169	marion	2014	258801	825883	M_258801_825883	"RR ROW {OFF}"	0	0
