town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M174	174	maynard	2013	201837	909661	M_201837_909661	"STOW/MAYNARD LINE"	0	0
M174	174	maynard	2013	201851	909469	M_201851_909469	"SUMMER ST"	0	0
M174	174	maynard	2013	201865	909351	M_201865_909351	"OFF SUMMER ST"	0	0
M174	174	maynard	2013	201875	909204	M_201875_909204	"SUMMER ST"	220	0
M174	174	maynard	2013	201900	909229	M_201900_909229	"SUMMER ST"	218	0
M174	174	maynard	2013	201915	909515	M_201915_909515	"SUMMER ST"	201	0
M174	174	maynard	2013	201924	909255	M_201924_909255	"SUMMER ST"	216	0
M174	174	maynard	2013	201949	909281	M_201949_909281	"SUMMER ST"	214	0
M174	174	maynard	2013	201949	909804	M_201949_909804	"PATTI LN"	18	0
M174	174	maynard	2013	201960	908737	M_201960_908737	"GREAT RD"	1	0
M174	174	maynard	2013	201970	908802	M_201970_908802	"GREAT RD"	2	0
M174	174	maynard	2013	201973	908721	M_201973_908721	"GREAT RD"	0	0
M174	174	maynard	2013	201974	909296	M_201974_909296	"SUMMER ST"	212	0
M174	174	maynard	2013	201979	909777	M_201979_909777	"PATTI LN"	16	0
M174	174	maynard	2013	201981	908613	M_201981_908613	"ASSABET ST"	0	0
M174	174	maynard	2013	201987	908676	M_201987_908676	"GREAT RD"	1	0
M174	174	maynard	2013	201987	909846	M_201987_909846	"MICHAEL RD"	2	0
M174	174	maynard	2013	201991	909620	M_201991_909620	"SUMMER ST"	0	0
M174	174	maynard	2013	201996	909307	M_201996_909307	"SUMMER ST"	210	0
M174	174	maynard	2013	201997	908732	M_201997_908732	"GREAT RD"	3	0
M174	174	maynard	2013	201998	908555	M_201998_908555	"ELAINE AV"	5	0
M174	174	maynard	2013	202004	908493	M_202004_908493	"ELAINE AV"	10	0
M174	174	maynard	2013	202008	908598	M_202008_908598	"ASSABET ST"	2	0
M174	174	maynard	2013	202008	909750	M_202008_909750	"PATTI LN"	14	0
M174	174	maynard	2013	202010	908782	M_202010_908782	"GREAT RD"	6	0
M174	174	maynard	2013	202012	909878	M_202012_909878	"MICHAEL RD"	4	0
M174	174	maynard	2013	202015	908665	M_202015_908665	"ASSABET ST"	3	0
M174	174	maynard	2013	202017	908450	M_202017_908450	"RIVERVIEW AV"	8	0
M174	174	maynard	2013	202023	908505	M_202023_908505	"ELAINE AV"	8	0
M174	174	maynard	2013	202023	908811	M_202023_908811	"42ND ST"	0	0
M174	174	maynard	2013	202026	908393	M_202026_908393	"RIVERVIEW AV"	0	0
M174	174	maynard	2013	202027	908564	M_202027_908564	"ELAINE AV"	3	0
M174	174	maynard	2013	202028	908722	M_202028_908722	"GREAT RD"	7	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	1	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	10	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	11	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	12	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	13	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	14	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	15	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	2	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	3	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	4	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	5	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	6	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	7	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	8	0
M174	174	maynard	2013	202028	909140	M_202028_909140	"APPLE RIDGE RD"	9	0
M174	174	maynard	2013	202032	909806	M_202032_909806	"PATTI LN"	11	0
M174	174	maynard	2013	202037	908888	M_202037_908888	"42ND ST"	0	0
M174	174	maynard	2013	202037	909723	M_202037_909723	"PATTI LN"	12	0
M174	174	maynard	2013	202037	909909	M_202037_909909	"MICHAEL RD"	6	0
M174	174	maynard	2013	202043	908464	M_202043_908464	"RIVERVIEW AV"	6	0
M174	174	maynard	2013	202045	908285	M_202045_908285	"SHORE AV"	0	0
M174	174	maynard	2013	202045	908590	M_202045_908590	"ASSABET ST"	4	0
M174	174	maynard	2013	202049	908341	M_202049_908341	"HEIGHTS TER"	4	0
M174	174	maynard	2013	202050	908518	M_202050_908518	"ELAINE AV"	6	0
M174	174	maynard	2013	202051	908667	M_202051_908667	"ASSABET ST"	3	0
M174	174	maynard	2013	202056	909837	M_202056_909837	"MICHAEL RD"	1	0
M174	174	maynard	2013	202061	909941	M_202061_909941	"MICHAEL RD"	8	0
M174	174	maynard	2013	202062	908781	M_202062_908781	"GREAT RD"	10	0
M174	174	maynard	2013	202063	908390	M_202063_908390	"RIVERVIEW AV"	17	0
M174	174	maynard	2013	202066	909696	M_202066_909696	"PATTI LN"	10	0
M174	174	maynard	2013	202067	909774	M_202067_909774	"RICKEY DR"	2	0
M174	174	maynard	2013	202068	908476	M_202068_908476	"RIVERVIEW AV"	4	0
M174	174	maynard	2013	202069	908303	M_202069_908303	"SHORE AV"	2	0
M174	174	maynard	2013	202072	908715	M_202072_908715	"GREAT RD"	11	0
M174	174	maynard	2013	202073	908227	M_202073_908227	"SHORE AV"	3	0
M174	174	maynard	2013	202075	908856	M_202075_908856	"42ND ST"	0	0
M174	174	maynard	2013	202076	908583	M_202076_908583	"ASSABET ST"	6	0
M174	174	maynard	2013	202078	908531	M_202078_908531	"ELAINE AV"	4	0
M174	174	maynard	2013	202080	909869	M_202080_909869	"MICHAEL RD"	3	0
M174	174	maynard	2013	202086	909972	M_202086_909972	"MICHAEL RD"	10	0
M174	174	maynard	2013	202088	908829	M_202088_908829	"42ND ST"	0	0
M174	174	maynard	2013	202090	908415	M_202090_908415	"RIVERVIEW AV"	9	0
M174	174	maynard	2013	202091	909805	M_202091_909805	"RICKEY DR"	4	0
M174	174	maynard	2013	202093	908782	M_202093_908782	"GREAT RD"	12	0
M174	174	maynard	2013	202094	908335	M_202094_908335	"SHORE AV"	4	0
M174	174	maynard	2013	202094	908630	M_202094_908630	"ASSABET ST"	5	0
M174	174	maynard	2013	202095	909670	M_202095_909670	"PATTI LN"	8	0
M174	174	maynard	2013	202096	908489	M_202096_908489	"RIVERVIEW AV"	4	0
M174	174	maynard	2013	202104	908249	M_202104_908249	"SHORE AV"	5	0
M174	174	maynard	2013	202104	908687	M_202104_908687	"GREAT RD"	13	0
M174	174	maynard	2013	202105	909900	M_202105_909900	"MICHAEL RD"	5	0
M174	174	maynard	2013	202106	908544	M_202106_908544	"ELAINE AV"	2	0
M174	174	maynard	2013	202110	910003	M_202110_910003	"MICHAEL RD"	12	0
M174	174	maynard	2013	202112	908906	M_202112_908906	"42ND ST"	0	0
M174	174	maynard	2013	202115	909837	M_202115_909837	"RICKEY DR"	6	0
M174	174	maynard	2013	202119	909735	M_202119_909735	"RICKEY DR"	1	0
M174	174	maynard	2013	202123	908355	M_202123_908355	"SHORE AV"	0	0
M174	174	maynard	2013	202123	908433	M_202123_908433	"RIVERVIEW AV"	7	0
M174	174	maynard	2013	202125	908503	M_202125_908503	"RIVERVIEW AV"	2	0
M174	174	maynard	2013	202125	909644	M_202125_909644	"PATTI LN"	6	0
M174	174	maynard	2013	202129	909931	M_202129_909931	"MICHAEL RD"	7	0
M174	174	maynard	2013	202130	908707	M_202130_908707	"GREAT RD"	15	0
M174	174	maynard	2013	202132	909557	M_202132_909557	"SUMMER ST"	199	0
M174	174	maynard	2013	202133	908060	M_202133_908060	"RIVERSIDE PARK"	4	0
M174	174	maynard	2013	202134	908629	M_202134_908629	"ASSABET ST"	5	0
M174	174	maynard	2013	202135	910034	M_202135_910034	"MICHAEL RD"	14	0
M174	174	maynard	2013	202136	908270	M_202136_908270	"SHORE AV"	7	0
M174	174	maynard	2013	202137	908782	M_202137_908782	"GREAT RD"	14	0
M174	174	maynard	2013	202140	909868	M_202140_909868	"RICKEY DR"	8	0
M174	174	maynard	2013	202142	909470	M_202142_909470	"SUMMER ST"	202	0
M174	174	maynard	2013	202143	908558	M_202143_908558	"ASSABET ST"	8	0
M174	174	maynard	2013	202144	909758	M_202144_909758	"RICKEY DR"	3	0
M174	174	maynard	2013	202148	909707	M_202148_909707	"PATTI LN"	9	0
M174	174	maynard	2013	202151	908694	M_202151_908694	"GREAT RD"	17	0
M174	174	maynard	2013	202153	908516	M_202153_908516	"RIVERVIEW AV"	2	0
M174	174	maynard	2013	202153	909962	M_202153_909962	"MICHAEL RD"	9	0
M174	174	maynard	2013	202155	908611	M_202155_908611	"ASSABET ST"	7	0
M174	174	maynard	2013	202156	908452	M_202156_908452	"RIVERVIEW AV"	5	0
M174	174	maynard	2013	202159	909615	M_202159_909615	"PATTI LN"	4	0
M174	174	maynard	2013	202159	910065	M_202159_910065	"MICHAEL RD"	16	0
M174	174	maynard	2013	202164	909783	M_202164_909783	"RICKEY DR"	5	0
M174	174	maynard	2013	202164	909899	M_202164_909899	"RICKEY DR"	10	0
