LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_697394_2901790	"HOSPITAL RD"	0	0	212566	884467
F_697678_2902236	"HOSPITAL RD"	0	0	212653	884603
F_698334_2900771	"HOSPITAL RD"	0	0	212853	884157
F_698826_2902561	"HOSPITAL RD"	0	0	213003	884702
F_700609_2879791	"WHICHITA RD"	47	0	213546	877762
F_700850_2879603	"WHICHITA RD"	44	0	213620	877705
F_700912_2879954	"WHICHITA RD"	43	0	213638	877812
F_701047_2880119	"DELAWARE RD"	19	0	213680	877862
F_701077_2880270	"DELAWARE RD"	15	0	213689	877908
F_701121_2880434	"DELAWARE RD"	13	0	213702	877958
F_701148_2879621	"WHICHITA RD"	40	0	213710	877710
F_701148_2879907	"WHICHITA RD"	39	0	213710	877797
F_701174_2880610	"DELAWARE RD"	9	0	213718	878012
F_701190_2880788	"DELAWARE RD"	5	0	213723	878066
F_701194_2880960	"DELAWARE RD"	1	0	213724	878118
F_701345_2879623	"WHICHITA RD"	36	0	213770	877711
F_701438_2879907	"WHICHITA RD"	33	0	213799	877797
F_701453_2880131	"SHAWNEE RD"	18	0	213803	877866
F_701505_2880400	"SHAWNEE RD"	17	0	213819	877948
F_701538_2879622	"WHICHITA RD"	32	0	213829	877711
F_701539_2880615	"DELAWARE RD"	8	0	213830	878013
F_701554_2880886	"ALGONQUIN RD"	23	0	213834	878096
F_701632_2879909	"WHICHITA RD"	29	0	213858	877798
F_701636_2880136	"SHAWNEE RD"	14	0	213859	877867
F_701673_2903252	"EVERGREEN WAY"	34	0	213870	884913
F_701706_2894332	"WEST ST"	99	0	213880	882194
F_701706_2903061	"EVERGREEN WAY"	36	0	213880	884855
F_701727_2880396	"SHAWNEE RD"	11	0	213887	877946
F_701729_2880860	"ALGONQUIN RD"	19	0	213887	878088
F_701730_2902054	"LONGMEADOW RD"	35	0	213888	884548
F_701746_2893983	"BRIDGE ST"	100	0	213893	882088
F_701760_2902912	"EVERGREEN WAY"	38	0	213897	884809
F_701771_2902300	"LONGMEADOW RD"	36	0	213900	884623
F_701776_2880610	"ALGONQUIN RD"	18	0	213902	878012
F_701778_2903389	"EVERGREEN WAY"	32	0	213902	884955
F_701807_2902770	"EVERGREEN WAY"	40	0	213911	884766
F_701808_2879911	"WHICHITA RD"	27	0	213912	877799
F_701809_2879632	"WHICHITA RD"	28	0	213912	877714
F_701817_2899713	"HOSPITAL RD"	44	0	213914	883834
F_701833_2880140	"SHAWNEE RD"	10	0	213919	877868
F_701842_2893961	"BRIDGE ST"	96	0	213922	882081
F_701856_2902599	"EVERGREEN WAY"	42	0	213926	884714
F_701859_2881755	"ORCHARD ST"	15	0	213927	878361
F_701874_2902063	"LONGMEADOW RD"	33	0	213932	884551
F_701886_2881190	"ORCHARD ST"	25	0	213935	878188
F_701893_2902279	"LONGMEADOW RD"	34	0	213937	884616
F_701923_2880434	"SHAWNEE RD"	7	0	213947	877958
F_701927_2880861	"ALGONQUIN RD"	13	0	213948	878088
F_701932_2893936	"BRIDGE ST"	92	0	213949	882073
F_701940_2902477	"EVERGREEN WAY"	44	0	213952	884677
F_701951_2881483	"ORCHARD ST"	19	0	213955	878278
F_701962_2898645	"ICE HOUSE RD."	3	0	213958	883509
F_701982_2879913	"WHICHITA RD"	23	0	213965	877799
F_701983_2894578	"WEST ST"	97	0	213965	882269
F_701993_2902062	"LONGMEADOW RD"	31	0	213968	884550
F_702012_2902279	"LONGMEADOW RD"	32	0	213974	884616
F_702020_2903416	"EVERGREEN WAY"	30	0	213976	884963
F_702022_2893898	"BRIDGE ST"	88	0	213977	882062
F_702037_2879630	"WHICHITA RD"	22	0	213981	877713
F_702037_2880664	"PUEBLO RD"	1	0	213981	878028
F_702040_2882082	"ORCHARD ST"	11	0	213982	878460
F_702041_2880168	"SHAWNEE RD"	8	0	213983	877877
F_702044_2902752	"EVERGREEN WAY"	41	0	213983	884761
F_702057_2902998	"EVERGREEN WAY"	35	0	213987	884836
F_702064_2902886	"EVERGREEN WAY"	39	0	213990	884801
F_702073_2900348	"HOSPITAL RD"	40	0	213992	884028
F_702082_2903120	"EVERGREEN WAY"	31	0	213995	884873
F_702112_2902062	"LONGMEADOW RD"	29	0	214004	884550
F_702115_2893855	"BRIDGE ST"	84	0	214005	882049
F_702115_2902461	"EVERGREEN WAY"	46	0	214005	884672
F_702118_2880943	"ALGONQUIN RD"	9	0	214006	878113
F_702121_2880507	"SHAWNEE RD"	1	0	214007	877980
F_702131_2902278	"LONGMEADOW RD"	30	0	214010	884616
F_702141_2894211	"BRIDGE ST"	87	0	214013	882157
F_702149_2902695	"EVERGREEN WAY"	43	0	214015	884743
F_702155_2879915	"WHICHITA RD"	19	0	214017	877800
F_702186_2903414	"EVERGREEN WAY"	28	0	214027	884962
F_702198_2903157	"EVERGREEN WAY"	29	0	214030	884884
F_702200_2894784	"WEST ST"	93	0	214031	882332
F_702202_2893794	"BRIDGE ST"	82	0	214032	882030
F_702231_2902061	"LONGMEADOW RD"	27	0	214040	884550
F_702236_2880292	"PUEBLO RD"	11	0	214042	877915
F_702242_2879633	"WHICHITA RD"	18	0	214044	877714
F_702273_2902257	"LONGMEADOW RD"	26	0	214053	884610
F_702274_2902377	"SPRING VALLEY RD"	3	0	214054	884646
F_702275_2902501	"SPRING VALLEY RD"	5	0	214054	884684
F_702287_2902667	"SPRING VALLEY RD"	7	0	214058	884735
F_702291_2881022	"ALGONQUIN RD"	5	0	214059	878137
F_702295_2902798	"SPRING VALLEY RD"	9	0	214060	884775
F_702297_2880113	"PUEBLO RD"	15	0	214061	877860
F_702298_2894151	"BRIDGE ST"	81	0	214061	882139
F_702300_2880781	"PUEBLO RD"	2	0	214061	878064
