town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M179	179	mendon	2012	192351	874436	M_192351_874436	"NORTHBRIDGE STREET"	122	0
M179	179	mendon	2012	192353	873651	M_192353_873651	"WEST HILL ROAD"	46	0
M179	179	mendon	2012	192360	872475	M_192360_872475	"HARTFORD AVE WEST"	109	0
M179	179	mendon	2012	192361	873730	M_192361_873730	"WEST HILL ROAD"	40	0
M179	179	mendon	2012	192362	874540	M_192362_874540	"NORTHBRIDGE STREET"	103	0
M179	179	mendon	2012	192363	873111	M_192363_873111	"BRACCI LANE"	22	0
M179	179	mendon	2012	192363	873598	M_192363_873598	"STYMAST DRIVE"	1	0
M179	179	mendon	2012	192364	872368	M_192364_872368	"HARTFORD AVE WEST"	106	0
M179	179	mendon	2012	192370	874339	M_192370_874339	"NORTHBRIDGE STREET"	120	0
M179	179	mendon	2012	192374	871870	M_192374_871870	"UXBRIDGE ROAD"	155-4	0
M179	179	mendon	2012	192374	872314	M_192374_872314	"MOWRY STREET"	92	0
M179	179	mendon	2012	192374	873523	M_192374_873523	"STYMAST DRIVE"	3	0
M179	179	mendon	2012	192379	871408	M_192379_871408	"UXBRIDGE ROAD"	153	0
M179	179	mendon	2012	192382	872271	M_192382_872271	"MOWRY STREET"	90	0
M179	179	mendon	2012	192384	871304	M_192384_871304	"UXBRIDGE ROAD"	160	0
M179	179	mendon	2012	192384	871769	M_192384_871769	"UXBRIDGE ROAD"	155-3	0
M179	179	mendon	2012	192387	869662	M_192387_869662	"PARK STREET"	98	0
M179	179	mendon	2012	192388	872237	M_192388_872237	"MOWRY STREET"	88	0
M179	179	mendon	2012	192390	871703	M_192390_871703	"UXBRIDGE ROAD"	155-2	0
M179	179	mendon	2012	192393	873921	M_192393_873921	"WEST HILL ROAD"	35	0
M179	179	mendon	2012	192396	871647	M_192396_871647	"UXBRIDGE ROAD"	155-1	0
M179	179	mendon	2012	192396	872182	M_192396_872182	"MOWRY STREET"	86	0
M179	179	mendon	2012	192398	872450	M_192398_872450	"HARTFORD AVE WEST"	107	0
M179	179	mendon	2012	192398	873448	M_192398_873448	"WEST HILL ROAD"	17	0
M179	179	mendon	2012	192401	872504	M_192401_872504	"HARTFORD AVE WEST"	105	0
M179	179	mendon	2012	192403	871585	M_192403_871585	"UXBRIDGE ROAD"	155-0	0
M179	179	mendon	2012	192408	874267	M_192408_874267	"NORTHBRIDGE STREET"	118	0
M179	179	mendon	2012	192409	871321	M_192409_871321	"UXBRIDGE ROAD"	158	0
M179	179	mendon	2012	192412	872002	M_192412_872002	"ADARE ROAD"	2	0
M179	179	mendon	2012	192413	869922	M_192413_869922	"PARK STREET"	96	0
M179	179	mendon	2012	192414	868548	M_192414_868548	"SOUTHWICK STREET"	15	0
M179	179	mendon	2012	192414	870204	M_192414_870204	"PARK STREET"	93	0
M179	179	mendon	2012	192417	870049	M_192417_870049	"PARK STREET"	102	0
M179	179	mendon	2012	192420	873732	M_192420_873732	"WEST HILL ROAD"	36	0
M179	179	mendon	2012	192420	874527	M_192420_874527	"NORTHBRIDGE STREET"	101	0
M179	179	mendon	2012	192422	871467	M_192422_871467	"UXBRIDGE ROAD"	149	0
M179	179	mendon	2012	192423	872133	M_192423_872133	"MOWRY STREET"	84	0
M179	179	mendon	2012	192431	871869	M_192431_871869	"MOWRY STREET"	76	0
M179	179	mendon	2012	192433	873114	M_192433_873114	"BRACCI LANE"	20	0
M179	179	mendon	2012	192444	870775	M_192444_870775	"UXBRIDGE ROAD"	164-1	0
M179	179	mendon	2012	192446	871814	M_192446_871814	"MOWRY STREET"	74	0
M179	179	mendon	2012	192446	872334	M_192446_872334	"MOWRY STREET"	89	0
M179	179	mendon	2012	192452	871119	M_192452_871119	"UXBRIDGE ROAD"	162	0
M179	179	mendon	2012	192453	871349	M_192453_871349	"UXBRIDGE ROAD"	156	0
M179	179	mendon	2012	192460	872083	M_192460_872083	"MOWRY STREET"	80	0
M179	179	mendon	2012	192461	870469	M_192461_870469	"PARK STREET"	97	0
M179	179	mendon	2012	192469	873742	M_192469_873742	"WEST HILL ROAD"	32	0
M179	179	mendon	2012	192472	868557	M_192472_868557	"SOUTHWICK STREET"	13	0
M179	179	mendon	2012	192478	871684	M_192478_871684	"UXBRIDGE ROAD"	141	0
M179	179	mendon	2012	192482	873858	M_192482_873858	"WEST HILL ROAD"	29	0
M179	179	mendon	2012	192483	872759	M_192483_872759	"HARTFORD AVE WEST"	111	0
M179	179	mendon	2012	192483	874505	M_192483_874505	"NORTHBRIDGE STREET"	99	0
M179	179	mendon	2012	192485	874377	M_192485_874377	"NORTHBRIDGE STREET"	116	0
M179	179	mendon	2012	192487	871487	M_192487_871487	"UXBRIDGE ROAD"	147	0
M179	179	mendon	2012	192489	873268	M_192489_873268	"BRACCI LANE"	18	0
M179	179	mendon	2012	192491	869452	M_192491_869452	"ASYLUM STREET"	35	0
M179	179	mendon	2012	192493	873960	M_192493_873960	"WEST HILL ROAD"	31	0
M179	179	mendon	2012	192495	871976	M_192495_871976	"MOWRY STREET"	78	0
M179	179	mendon	2012	192495	874249	M_192495_874249	"NORTHBRIDGE STREET"	112	0
M179	179	mendon	2012	192499	872240	M_192499_872240	"MOWRY STREET"	85	0
M179	179	mendon	2012	192508	869161	M_192508_869161	"ASYLUM STREET"	45-1	0
M179	179	mendon	2012	192514	873609	M_192514_873609	"STYMAST DRIVE"	2	0
M179	179	mendon	2012	192514	873761	M_192514_873761	"WEST HILL ROAD"	30	0
M179	179	mendon	2012	192520	870180	M_192520_870180	"PARK STREET"	91	0
M179	179	mendon	2012	192528	872092	M_192528_872092	"MOWRY STREET"	79	0
M179	179	mendon	2012	192531	870076	M_192531_870076	"PARK STREET"	94	0
M179	179	mendon	2012	192531	871495	M_192531_871495	"UXBRIDGE ROAD"	145	0
M179	179	mendon	2012	192532	872182	M_192532_872182	"MOWRY STREET"	81	0
M179	179	mendon	2012	192532	872521	M_192532_872521	"HARTFORD AVE WEST"	101	0
M179	179	mendon	2012	192533	870243	M_192533_870243	"PARK STREET"	89	0
M179	179	mendon	2012	192536	870897	M_192536_870897	"LORI LANE"	5	0
M179	179	mendon	2012	192539	874222	M_192539_874222	"NORTHBRIDGE STREET"	110	0
M179	179	mendon	2012	192545	868831	M_192545_868831	"SOUTHWICK STREET"	16	0
M179	179	mendon	2012	192554	868546	M_192554_868546	"SOUTHWICK STREET"	11	0
M179	179	mendon	2012	192556	871327	M_192556_871327	"UXBRIDGE ROAD"	154	0
M179	179	mendon	2012	192562	871176	M_192562_871176	"SANDRA CIRCLE"	9	0
M179	179	mendon	2012	192562	872320	M_192562_872320	"HARTFORD AVE WEST"	104	0
M179	179	mendon	2012	192577	874196	M_192577_874196	"NORTHBRIDGE STREET"	108	0
M179	179	mendon	2012	192583	870983	M_192583_870983	"LORI LANE"	3	0
M179	179	mendon	2012	192589	871235	M_192589_871235	"SANDRA CIRCLE"	7	0
M179	179	mendon	2012	192591	871944	M_192591_871944	"MOWRY STREET"	75	0
M179	179	mendon	2012	192596	870055	M_192596_870055	"PARK STREET"	92	0
M179	179	mendon	2012	192601	871768	M_192601_871768	"MOWRY STREET"	70	0
M179	179	mendon	2012	192602	870873	M_192602_870873	"LORI LANE"	6	0
M179	179	mendon	2012	192606	872046	M_192606_872046	"MOWRY STREET"	77	0
M179	179	mendon	2012	192611	873983	M_192611_873983	"WEST HILL ROAD"	25	0
M179	179	mendon	2012	192615	871059	M_192615_871059	"SANDRA CIRCLE"	13	0
M179	179	mendon	2012	192616	872544	M_192616_872544	"HARTFORD AVE WEST"	97	0
M179	179	mendon	2012	192617	869475	M_192617_869475	"ASYLUM STREET"	33A	0
M179	179	mendon	2012	192617	872961	M_192617_872961	"HARTFORD AVE WEST"	89	0
M179	179	mendon	2012	192618	871110	M_192618_871110	"SANDRA CIRCLE"	11	0
M179	179	mendon	2012	192618	873302	M_192618_873302	"STYMAST DRIVE"	6	0
M179	179	mendon	2012	192623	871715	M_192623_871715	"MOWRY STREET"	68	0
M179	179	mendon	2012	192628	874437	M_192628_874437	"NORTHBRIDGE STREET"	97	0
M179	179	mendon	2012	192629	870716	M_192629_870716	"MOWRY STREET"	20	0
M179	179	mendon	2012	192633	870289	M_192633_870289	"PARK STREET"	87A	0
M179	179	mendon	2012	192633	871014	M_192633_871014	"LORI LANE"	1	0
