LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_722703_3090750	"DRACUT ST"	4	0	220280	942062
F_722840_3090238	"DRACUT ST"	8	0	220322	941906
F_722843_3089583	"DRACUT ST"	12	0	220323	941707
F_722877_3089381	"DRACUT ST"	16	0	220333	941645
F_722887_3089884	"EAST DRACUT RD"	4	0	220336	941799
F_722919_3090551	"DRACUT ST"	6	0	220346	942002
F_722994_3089069	"LINDSAY LN"	2	0	220369	941550
F_723016_3089511	"EAST DRACUT RD"	9	0	220376	941685
F_723027_3089937	"EAST DRACUT RD"	8	0	220379	941815
F_723093_3090206	"DRACUT ST"	10	0	220399	941897
F_723121_3094093	"HAMPSHIRE RD"	505	0	220408	943081
F_723162_3094482	"HAMPSHIRE RD"	510	0	220420	943200
F_723180_3089212	"LINDSAY LN"	4	0	220426	941594
F_723201_3088723	"LINDSAY LN"	1	0	220432	941445
F_723226_3089561	"EAST DRACUT RD"	7	0	220440	941700
F_723228_3090004	"EAST DRACUT RD"	12	0	220440	941835
F_723278_3087844	"WEST ST"	132	0	220456	941177
F_723285_3088433	"DRACUT ST"	30	0	220458	941356
F_723292_3093998	"HAMPSHIRE RD"	503	0	220460	943052
F_723359_3088154	"WEST ST"	125	0	220480	941271
F_723359_3090464	"BUMPY LN"	55	0	220480	941975
F_723389_3089139	"LINDSAY LN"	6	0	220489	941571
F_723389_3089643	"EAST DRACUT RD"	3	0	220489	941725
F_723394_3087601	"DRACUT ST"	74	0	220491	941103
F_723418_3087890	"WEST ST"	128	0	220498	941191
F_723430_3094625	"HAMPSHIRE RD"	508	0	220502	943244
F_723447_3087344	"DRACUT ST"	82	0	220507	941024
F_723451_3090155	"BUMPY LN"	53	0	220508	941881
F_723466_3093918	"HAMPSHIRE RD"	501	0	220513	943028
F_723474_3088902	"LINDSAY LN"	3	0	220515	941499
F_723497_3090696	"BUMPY LN"	66	0	220522	942046
F_723541_3086947	"DRACUT ST"	90	0	220536	940903
F_723570_3086600	"DRACUT ST"	100	0	220545	940798
F_723587_3090570	"BUMPY LN"	62	0	220550	942008
F_723601_3086393	"DRACUT ST"	110	0	220554	940734
F_723608_3085837	"DRACUT ST"	166	0	220556	940565
F_723614_3090460	"BUMPY LN"	60	0	220558	941974
F_723620_3087751	"WEST ST"	118	0	220560	941148
F_723621_3088479	"WEST ST"	121	0	220560	941370
F_723624_3089426	"BUMPY LN"	33	0	220561	941659
F_723632_3094575	"HAMPSHIRE RD"	506	0	220563	943228
F_723639_3086092	"DRACUT ST"	120	0	220566	940643
F_723653_3090327	"BUMPY LN"	52	0	220570	941934
F_723700_3089930	"BUMPY LN"	40	0	220584	941813
F_723714_3090048	"BUMPY LN"	42	0	220588	941849
F_723726_3090185	"BUMPY LN"	44	0	220592	941890
F_723732_3089280	"BUMPY LN"	29	0	220594	941614
F_723793_3094453	"HAMPSHIRE RD"	504	0	220613	943191
F_723800_3089764	"BUMPY LN"	38	0	220615	941762
F_723806_3088551	"WEST ST"	119	0	220617	941392
F_723813_3089042	"BUMPY LN"	27	0	220619	941542
F_723822_3088038	"WEST ST"	118	0	220621	941236
F_723849_3093861	"HAMPSHIRE RD"	401	0	220630	943011
F_723869_3089701	"BUMPY LN"	36	0	220636	941743
F_723919_3089638	"BUMPY LN"	34	0	220651	941724
F_723927_3089192	"BUMPY LN"	21	0	220653	941588
F_723937_3094305	"HAMPSHIRE RD"	502	0	220656	943146
F_723947_3085002	"DRACUT ST"	174	0	220659	940310
F_723952_3088118	"WEST ST"	116	0	220661	941260
