town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M182	182	middleborough	2011	241844	852737	F_793449_2797688	"TALL OAK DR"	98	0
M182	182	middleborough	2011	241881	852826	F_793571_2797980	"TALL OAK DR"	101	0
M182	182	middleborough	2011	241922	852671	F_793707_2797471	"TALL OAK DR"	92	0
M182	182	middleborough	2011	241944	852814	F_793779_2797941	"TALL OAK DR"	81	0
M182	182	middleborough	2011	241982	852657	F_793901_2797425	"TALL OAK DR"	72	0
M182	182	middleborough	2011	241988	853034	F_793923_2798662	"VERNON ST"	98	0
M182	182	middleborough	2011	241991	852821	F_793933_2797963	"TALL OAK DR"	61	0
M182	182	middleborough	2011	241999	853634	F_793958_2800632	"VERNON ST"	118	0
M182	182	middleborough	2011	242014	853166	F_794008_2799097	"VERNON ST"	100	0
M182	182	middleborough	2011	242014	853560	F_794009_2800388	"VERNON ST"	114	0
M182	182	middleborough	2011	242019	852159	F_794023_2795791	"VERNON ST"	52	0
M182	182	middleborough	2011	242039	852679	F_794088_2797498	"TALL OAK DR"	52	0
M182	182	middleborough	2011	242039	853454	F_794090_2800040	"VERNON ST"	110	0
M182	182	middleborough	2011	242044	852846	F_794106_2798044	"TALL OAK DR"	41	0
M182	182	middleborough	2011	242056	853387	F_794144_2799819	"VERNON ST"	108	0
M182	182	middleborough	2011	242086	852694	F_794245_2797546	"TALL OAK DR"	32	0
M182	182	middleborough	2011	242086	853001	F_794245_2798554	"VERNON ST"	90	0
M182	182	middleborough	2011	242090	852570	F_794257_2797141	"VERNON ST"	74	0
M182	182	middleborough	2011	242094	852938	F_794269_2798346	"VERNON ST"	86	0
M182	182	middleborough	2011	242099	852860	F_794285_2798090	"TALL OAK DR"	21	0
M182	182	middleborough	2011	242117	853468	F_794347_2800086	"VERNON ST"	111	0
M182	182	middleborough	2011	242129	852515	F_794385_2796960	"VERNON ST"	72	0
M182	182	middleborough	2011	242145	852771	F_794439_2797801	"VERNON ST"	80	0
M182	182	middleborough	2011	242147	852870	F_794445_2798125	"VERNON ST"	84	0
M182	182	middleborough	2011	242150	853355	F_794455_2799717	"VERNON ST"	105	0
M182	182	middleborough	2011	242154	852699	F_794467_2797564	"VERNON ST"	78	0
M182	182	middleborough	2011	242160	853322	F_794485_2799606	"VERNON ST"	103	0
M182	182	middleborough	2011	242167	852636	F_794511_2797357	"VERNON ST"	76	0
M182	182	middleborough	2011	242179	852427	F_794548_2796672	"VERNON ST"	66	0
M182	182	middleborough	2011	242183	852472	F_794563_2796819	"VERNON ST"	70	0
M182	182	middleborough	2011	242186	853236	F_794571_2799324	"VERNON ST"	97	0
M182	182	middleborough	2011	242222	853302	F_794689_2799542	"VERNON ST"	101	0
M182	182	middleborough	2011	242224	851916	F_794696_2794993	"VERNON ST"	48	0
M182	182	middleborough	2011	242225	852370	F_794701_2796484	"VERNON ST"	64	0
M182	182	middleborough	2011	242234	852834	F_794730_2798006	"VERNON ST"	81	0
M182	182	middleborough	2011	242245	851813	F_794766_2794658	"VERNON ST"	44	0
M182	182	middleborough	2011	242250	853042	F_794781_2798687	"VERNON ST"	89	0
M182	182	middleborough	2011	242251	852735	F_794785_2797682	"VERNON ST"	79	0
M182	182	middleborough	2011	242252	852999	F_794790_2798547	"VERNON ST"	87	0
M182	182	middleborough	2011	242268	851696	F_794840_2794271	"VERNON ST"	38	0
M182	182	middleborough	2011	242280	851608	F_794881_2793984	"VERNON ST"	34	0
M182	182	middleborough	2011	242287	852900	F_794904_2798224	"VERNON ST"	83	0
M182	182	middleborough	2011	242300	852951	F_794946_2798391	"VERNON ST"	85	0
M182	182	middleborough	2011	242313	851792	F_794988_2794587	"VERNON ST"	42	0
M182	182	middleborough	2011	242315	851375	F_794994_2793219	"VERNON ST"	30	0
M182	182	middleborough	2011	242318	853089	F_795005_2798842	"VERNON ST"	91	0
M182	182	middleborough	2011	242331	851087	F_795048_2792274	"VERNON ST"	16	0
M182	182	middleborough	2011	242337	852380	F_795066_2796517	"VERNON ST"	63	0
M182	182	middleborough	2011	242376	850932	F_795194_2791765	"VERNON ST"	8	0
M182	182	middleborough	2011	242376	850882	F_795195_2791602	"VERNON ST"	6	0
M182	182	middleborough	2011	242380	852253	F_795209_2796101	"VERNON ST"	61	0
M182	182	middleborough	2011	242413	852019	F_795318_2795331	"CAMPBELL ST"	2	0
M182	182	middleborough	2011	242415	852526	F_795322_2796997	"VERNON ST"	71	0
M182	182	middleborough	2011	242437	851947	F_795396_2795096	"CAMPBELL ST"	3	0
M182	182	middleborough	2011	242483	852164	F_795546_2795809	"OLD CENTER ST"	13	0
M182	182	middleborough	2011	242507	852306	F_795626_2796273	"OLD CENTER ST"	16	0
M182	182	middleborough	2011	242576	851002	F_795850_2791996	"VERNON ST"	9	0
M182	182	middleborough	2011	242582	850852	F_795872_2791504	"VERNON ST"	5	0
M182	182	middleborough	2011	242609	852055	F_795960_2795452	"OLD CENTER ST"	15	0
M182	182	middleborough	2011	242612	854055	F_795970_2802013	"PLYMOUTH ST"	7	0
M182	182	middleborough	2011	242633	852241	F_796040_2796061	"OLD CENTER ST"	30	0
M182	182	middleborough	2011	242647	854025	F_796084_2801913	"PLYMOUTH ST"	9	0
M182	182	middleborough	2011	242685	853994	F_796208_2801812	"PLYMOUTH ST"	11	0
M182	182	middleborough	2011	242718	851969	F_796316_2795167	"OLD CENTER ST"	29	0
M182	182	middleborough	2011	242750	852842	F_796421_2798034	"PLEASANT ST"	39	0
M182	182	middleborough	2011	242758	852779	F_796447_2797827	"PLEASANT ST"	43	0
M182	182	middleborough	2011	242765	852730	F_796472_2797666	"PLEASANT ST"	45	0
M182	182	middleborough	2011	242771	852095	F_796492_2795583	"OLD CENTER ST"	40	0
M182	182	middleborough	2011	242776	853868	F_796508_2801400	"PLYMOUTH ST"	21	0
