town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M184	184	middleton	2013	236287	928542	F_775219_3046391	"BETTENCOURT RD"	10	0
M184	184	middleton	2013	236288	928406	F_775222_3045945	"FOREST ST"	207	0
M184	184	middleton	2013	236295	928455	F_775244_3046105	"BETTENCOURT RD"	8	0
M184	184	middleton	2013	236322	928366	F_775334_3045815	"FOREST ST"	205	0
M184	184	middleton	2013	236337	929379	F_775381_3049139	"NO MAIN ST"	0	0
M184	184	middleton	2013	236338	928969	F_775385_3047793	"BETTENCOURT RD"	0	0
M184	184	middleton	2013	236341	928413	F_775394_3045967	"BETTENCOURT RD"	4	0
M184	184	middleton	2013	236361	928316	F_775462_3045651	"FOREST ST"	204	0
M184	184	middleton	2013	236366	928760	F_775476_3047106	"FOREST ST"	0	0
M184	184	middleton	2013	236389	928451	F_775553_3046093	"BETTENCOURT RD"	9	0
M184	184	middleton	2013	236406	929201	F_775608_3048552	"NO MAIN ST"	0	0
M184	184	middleton	2013	236406	928376	F_775609_3045847	"FOREST ST"	203	0
M184	184	middleton	2013	236415	929774	F_775637_3050432	"NO MAIN ST"	0	0
M184	184	middleton	2013	236416	928280	F_775640_3045531	"EDGEMERE RD"	2	0
M184	184	middleton	2013	236427	929479	F_775678_3049465	"NO MAIN ST"	0	0
M184	184	middleton	2013	236429	929067	F_775683_3048115	"FOREST ST"	0	0
M184	184	middleton	2013	236454	930326	F_775765_3052245	"NO MAIN ST"	0	0
M184	184	middleton	2013	236462	930175	F_775793_3051750	"NO MAIN ST"	336	0
M184	184	middleton	2013	236463	928325	F_775796_3045681	"FOREST ST"	0	0
M184	184	middleton	2013	236463	928464	F_775797_3046135	"FOREST ST"	201	0
M184	184	middleton	2013	236468	930402	F_775813_3052493	"NO MAIN ST"	0	0
M184	184	middleton	2013	236491	928188	F_775887_3045229	"EDGEMERE RD"	9	0
M184	184	middleton	2013	236505	928314	F_775933_3045643	"FOREST ST"	193	0
M184	184	middleton	2013	236509	930397	F_775947_3052479	"NO MAIN ST"	339	0
M184	184	middleton	2013	236512	928250	F_775957_3045432	"FOREST ST"	192	0
M184	184	middleton	2013	236526	929767	F_776002_3050411	"NO MAIN ST"	0	0
M184	184	middleton	2013	236542	928278	F_776055_3045524	"FOREST ST"	188	0
M184	184	middleton	2013	236546	930347	F_776068_3052313	"NO MAIN ST"	337	0
M184	184	middleton	2013	236550	928323	F_776080_3045673	"FOREST ST"	189	0
M184	184	middleton	2013	236551	928124	F_776083_3045020	"WOODLAND RD"	15	0
M184	184	middleton	2013	236556	928183	F_776102_3045215	"WOODLAND RD"	5	0
M184	184	middleton	2013	236559	930153	F_776111_3051677	"NO MAIN ST"	328	0
M184	184	middleton	2013	236565	928088	F_776130_3044902	"WOODLAND RD"	0	0
M184	184	middleton	2013	236572	928427	F_776153_3046015	"FOREST ST"	0	0
M184	184	middleton	2013	236574	928062	F_776160_3044818	"WOODLAND RD"	15	0
M184	184	middleton	2013	236578	929588	F_776172_3049823	"NO MAIN ST"	0	0
M184	184	middleton	2013	236578	930280	F_776174_3052093	"NO MAIN ST"	333	0
M184	184	middleton	2013	236580	930538	F_776178_3052941	"SHARPNERS POND RD"	15	0
M184	184	middleton	2013	236598	928284	F_776238_3045546	"FOREST ST"	186	0
M184	184	middleton	2013	236599	929366	F_776242_3049094	"NO MAIN ST"	0	0
M184	184	middleton	2013	236615	928099	F_776293_3044937	"WOODLAND RD"	0	0
M184	184	middleton	2013	236615	928214	F_776294_3045317	"WOODLAND RD"	6	0
M184	184	middleton	2013	236618	928154	F_776303_3045120	"WOODLAND RD"	0	0
M184	184	middleton	2013	236618	930073	F_776304_3051415	"NO MAIN ST"	326	0
M184	184	middleton	2013	236639	930234	F_776373_3051944	"NO MAIN ST"	329	0
M184	184	middleton	2013	236642	928283	F_776384_3045542	"FOREST ST"	182	0
M184	184	middleton	2013	236649	929954	F_776406_3051023	"NO MAIN ST"	0	0
M184	184	middleton	2013	236650	928218	F_776409_3045327	"GLENN RD"	0	0
M184	184	middleton	2013	236655	928412	F_776424_3045965	"FOREST ST"	179	0
M184	184	middleton	2013	236655	928175	F_776426_3045187	"GLENN RD"	0	0
M184	184	middleton	2013	236674	928105	F_776487_3044959	"GLENN RD"	0	0
M184	184	middleton	2013	236674	928026	F_776488_3044699	"WOODLAND RD"	0	0
M184	184	middleton	2013	236675	928310	F_776490_3045632	"FOREST ST"	174	0
M184	184	middleton	2013	236691	930165	F_776544_3051717	"NO MAIN ST"	323	0
M184	184	middleton	2013	236693	930208	F_776551_3051856	"NO MAIN ST"	325	0
M184	184	middleton	2013	236697	930255	F_776565_3052012	"SYLVAN ST"	15	0
M184	184	middleton	2013	236704	928195	F_776588_3045252	"GLENN RD"	7	0
M184	184	middleton	2013	236723	928105	F_776649_3044958	"EVANS RD"	0	0
M184	184	middleton	2013	236730	928256	F_776671_3045454	"EVANS RD"	0	0
M184	184	middleton	2013	236741	928176	F_776707_3045190	"GLENN RD"	0	0
M184	184	middleton	2013	236743	928072	F_776714_3044849	"GLENN RD"	0	0
M184	184	middleton	2013	236746	929716	F_776723_3050242	"NO MAIN ST"	272	0
M184	184	middleton	2013	236751	928390	F_776739_3045894	"FOREST ST"	175	0
M184	184	middleton	2013	236753	930203	F_776746_3051842	"ROCKAWAY RD"	6	0
M184	184	middleton	2013	236753	930265	F_776748_3052045	"ROCKAWAY RD"	8	0
M184	184	middleton	2013	236764	928158	F_776783_3045133	"EVANS RD"	7	0
M184	184	middleton	2013	236772	928223	F_776808_3045346	"EVANS RD"	0	0
M184	184	middleton	2013	236774	930551	F_776815_3052982	"NO MAIN ST"	0	0
M184	184	middleton	2013	236782	928115	F_776841_3044990	"EVANS RD"	9	0
M184	184	middleton	2013	236786	927953	F_776854_3044460	"GATES RD"	19	0
M184	184	middleton	2013	236788	930096	F_776862_3051490	"NO MAIN ST"	315	0
M184	184	middleton	2013	236792	928557	F_776876_3046442	"TAPLEY ST"	0	0
M184	184	middleton	2013	236794	928274	F_776882_3045513	"EVANS RD"	3	0
M184	184	middleton	2013	236796	930160	F_776888_3051700	"NO MAIN ST"	319	0
M184	184	middleton	2013	236807	930276	F_776924_3052079	"ROCKAWAY RD"	12	0
M184	184	middleton	2013	236817	930314	F_776957_3052206	"ROCKAWAY RD"	14	0
M184	184	middleton	2013	236821	928188	F_776971_3045229	"EVANS RD"	10	0
M184	184	middleton	2013	236826	928225	F_776987_3045353	"EVANS RD"	0	0
M184	184	middleton	2013	236837	930244	F_777023_3051977	"ROCKAWAY RD"	11	0
M184	184	middleton	2013	236838	930061	F_777025_3051374	"NO MAIN ST"	305	0
M184	184	middleton	2013	236840	928267	F_777034_3045489	"EVANS RD"	2	0
M184	184	middleton	2013	236841	930147	F_777037_3051658	"PIEDMONT ST"	8	0
M184	184	middleton	2013	236842	928864	F_777040_3047448	"FOREST ST"	0	0
M184	184	middleton	2013	236843	928387	F_777044_3045882	"FOREST ST"	173	0
M184	184	middleton	2013	236864	928104	F_777110_3044955	"GATES RD"	17	0
M184	184	middleton	2013	236864	930225	F_777112_3051914	"PIEDMONT ST"	0	0
M184	184	middleton	2013	236866	930003	F_777117_3051184	"NO MAIN ST"	303	0
M184	184	middleton	2013	236870	930256	F_777130_3052015	"KIMBER AVE"	0	0
M184	184	middleton	2013	236882	928171	F_777170_3045174	"GATES RD"	15	0
M184	184	middleton	2013	236883	930174	F_777175_3051746	"PIEDMONT ST"	0	0
M184	184	middleton	2013	236885	930086	F_777179_3051457	"PIEDMONT ST"	5	0
M184	184	middleton	2013	236885	930125	F_777179_3051585	"PIEDMONT ST"	7	0
M184	184	middleton	2013	236889	928379	F_777192_3045857	"FOREST ST"	0	0
M184	184	middleton	2013	236899	929992	F_777227_3051150	"NO MAIN ST"	301	0
M184	184	middleton	2013	236901	928263	F_777234_3045477	"FOREST ST"	172	0
M184	184	middleton	2013	236902	930295	F_777236_3052143	"KIMBER AVE"	6	0
M184	184	middleton	2013	236906	928311	F_777248_3045635	"FOREST ST"	170	0
M184	184	middleton	2013	236911	930060	F_777266_3051371	"PIEDMONT ST"	3	0
M184	184	middleton	2013	236914	928373	F_777275_3045837	"FOREST ST"	171	0
M184	184	middleton	2013	236916	930208	F_777282_3051858	"PIEDMONT ST"	9	0
M184	184	middleton	2013	236921	928134	F_777298_3045052	"EVANS RD"	0	0
M184	184	middleton	2013	236921	928321	F_777299_3045666	"FOREST ST"	168	0
M184	184	middleton	2013	236938	928080	F_777354_3044875	"GATES RD"	16	0
M184	184	middleton	2013	236944	927788	F_777374_3043917	"GATES RD"	21	0
M184	184	middleton	2013	236944	930173	F_777374_3051743	"KIMBER AVE"	0	0
M184	184	middleton	2013	236946	930440	F_777381_3052620	"ROCKAWAY RD"	0	0
M184	184	middleton	2013	236954	928327	F_777408_3045685	"FOREST ST"	166	0
M184	184	middleton	2013	236958	929803	F_777421_3050530	"NO MAIN ST"	0	0
M184	184	middleton	2013	236960	929973	F_777426_3051088	"NO MAIN ST"	295	0
M184	184	middleton	2013	236969	928250	F_777456_3045435	"GATES RD"	11	0
M184	184	middleton	2013	236972	928842	F_777465_3047377	"FOREST ST"	0	0
M184	184	middleton	2013	236973	928413	F_777469_3045969	"FOREST ST"	0	0
M184	184	middleton	2013	236982	930477	F_777498_3052741	"NO MAIN ST"	0	0
M184	184	middleton	2013	236987	928140	F_777515_3045072	"GATES RD"	14	0
M184	184	middleton	2013	236989	929674	F_777522_3050107	"NO MAIN ST"	274	0
M184	184	middleton	2013	236990	930420	F_777524_3052554	"ROCKAWAY RD"	0	0
M184	184	middleton	2013	236998	931086	F_777552_3054737	"SHARPNERS POND RD"	0	0
M184	184	middleton	2013	237001	928029	F_777562_3044710	"DONOVANS WAY"	19	0
M184	184	middleton	2013	237003	930315	F_777566_3052209	"ROCKAWAY RD"	0	0
M184	184	middleton	2013	237004	930365	F_777571_3052373	"MARTIN ST"	0	0
M184	184	middleton	2013	237005	927982	F_777573_3044554	"DONOVANS WAY"	21	0
M184	184	middleton	2013	237006	927883	F_777576_3044229	"GATES RD"	20	0
M184	184	middleton	2013	237019	930520	F_777619_3052880	"ROCKAWAY RD"	0	0
M184	184	middleton	2013	237023	928439	F_777632_3046054	"FOREST ST"	165	0
M184	184	middleton	2013	237025	928184	F_777639_3045217	"GATES RD"	10	0
M184	184	middleton	2013	237026	928334	F_777644_3045708	"FOREST ST"	162	0
M184	184	middleton	2013	237039	928077	F_777685_3044865	"DONOVANS WAY"	17	0
M184	184	middleton	2013	237040	930347	F_777690_3052315	"MARTIN ST"	0	0
M184	184	middleton	2013	237044	927932	F_777701_3044391	"DONOVANS WAY"	23	0
M184	184	middleton	2013	237044	929081	F_777701_3048159	"NO MAIN ST"	0	0
M184	184	middleton	2013	237052	927561	F_777729_3043172	"NO READING LINE"	0	0
M184	184	middleton	2013	237057	928242	F_777745_3045406	"GATES RD"	6	0
M184	184	middleton	2013	237059	928350	F_777752_3045761	"FOREST ST"	160	0
M184	184	middleton	2013	237062	928467	F_777761_3046146	"FOREST ST"	163	0
M184	184	middleton	2013	237081	928116	F_777824_3044993	"DONOVANS WAY"	15	0
M184	184	middleton	2013	237088	929691	F_777847_3050161	"NO MAIN ST"	0	0
M184	184	middleton	2013	237091	927895	F_777857_3044270	"DONOVANS WAY"	25	0
M184	184	middleton	2013	237091	928507	F_777857_3046278	"FOREST ST"	159	0
M184	184	middleton	2013	237097	928367	F_777877_3045818	"FOREST ST"	158	0
M184	184	middleton	2013	237108	928419	F_777912_3045989	"FOREST ST"	0	0
M184	184	middleton	2013	237122	928285	F_777958_3045548	"UPTON HILLS LN"	3	0
M184	184	middleton	2013	237122	929804	F_777958_3050531	"NO MAIN ST"	0	0
M184	184	middleton	2013	237125	928741	F_777968_3047044	"FOREST ST"	0	0
M184	184	middleton	2013	237126	929975	F_777970_3051093	"NO MAIN ST"	0	0
M184	184	middleton	2013	237129	929747	F_777982_3050345	"NO MAIN ST"	275	0
M184	184	middleton	2013	237130	928180	F_777983_3045203	"DONOVANS WAY"	9	0
M184	184	middleton	2013	237131	927992	F_777988_3044588	"DONOVANS WAY"	24	0
M184	184	middleton	2013	237137	928414	F_778007_3045972	"FOREST ST"	0	0
M184	184	middleton	2013	237137	927876	F_778008_3044207	"DONOVANS WAY"	27	0
M184	184	middleton	2013	237151	928357	F_778053_3045783	"UPTON HILLS LN"	1	0
M184	184	middleton	2013	237152	928470	F_778057_3046156	"TAPLEY ST"	0	0
M184	184	middleton	2013	237158	927641	F_778077_3043437	"FOREST ST"	0	0
M184	184	middleton	2013	237158	928065	F_778077_3044827	"DONOVANS WAY"	0	0
M184	184	middleton	2013	237161	929706	F_778085_3050209	"NO MAIN ST"	271	0
M184	184	middleton	2013	237169	927836	F_778112_3044074	"DONOVANS WAY"	31	0
M184	184	middleton	2013	237172	929593	F_778122_3049841	"NO MAIN ST"	0	0
M184	184	middleton	2013	237178	928434	F_778142_3046037	"FOREST ST"	157	0
M184	184	middleton	2013	237189	929557	F_778176_3049722	"NO MAIN ST"	0	0
M184	184	middleton	2013	237189	927987	F_778177_3044570	"DONOVANS WAY"	26	0
M184	184	middleton	2013	237209	928411	F_778243_3045961	"FOREST ST"	155	0
M184	184	middleton	2013	237219	930320	F_778277_3052226	"HALF MOON RD"	0	0
M184	184	middleton	2013	237223	929529	F_778289_3049629	"NO MAIN ST"	262	0
M184	184	middleton	2013	237223	927945	F_778290_3044433	"DONOVANS WAY"	30	0
M184	184	middleton	2013	237226	929771	F_778298_3050425	"LOOKOUT LN"	6	0
M184	184	middleton	2013	237227	927815	F_778301_3044006	"DONOVANS WAY"	33	0
M184	184	middleton	2013	237230	928131	F_778311_3045042	"UPTON HILLS LN"	11	0
M184	184	middleton	2013	237234	927764	F_778324_3043838	"UPTON HILLS LN"	31	0
M184	184	middleton	2013	237237	928407	F_778336_3045947	"FOREST ST"	0	0
M184	184	middleton	2013	237242	931253	F_778351_3055286	"SHARPNERS POND RD"	337	0
M184	184	middleton	2013	237244	928252	F_778357_3045441	"FOREST ST"	142	0
M184	184	middleton	2013	237253	928087	F_778386_3044899	"UPTON HILLS LN"	15	0
M184	184	middleton	2013	237256	928395	F_778396_3045910	"FOREST ST"	0	0
M184	184	middleton	2013	237265	927893	F_778428_3044262	"DONOVANS WAY"	34	0
M184	184	middleton	2013	237266	927705	F_778429_3043645	"UPTON HILLS LN"	33	0
M184	184	middleton	2013	237269	928332	F_778440_3045704	"FOREST ST"	146	0
M184	184	middleton	2013	237273	928039	F_778453_3044741	"UPTON HILLS LN"	17	0
M184	184	middleton	2013	237284	928166	F_778489_3045159	"UPTON HILLS LN"	14	0
M184	184	middleton	2013	237286	928353	F_778497_3045771	"FOREST ST"	148	0
M184	184	middleton	2013	237288	927951	F_778501_3044453	"UPTON HILLS LN"	23	0
M184	184	middleton	2013	237291	931262	F_778513_3055314	"SHARPNERS POND RD"	355	0
M184	184	middleton	2013	237294	929599	F_778521_3049859	"NO MAIN ST"	263	0
M184	184	middleton	2013	237296	928001	F_778528_3044618	"UPTON HILLS LN"	21	0
M184	184	middleton	2013	237311	931212	F_778579_3055150	"SHARPNERS POND RD"	371	0
M184	184	middleton	2013	237315	928293	F_778592_3045576	"FOREST ST"	144	0
M184	184	middleton	2013	237323	928434	F_778616_3046038	"FOREST ST"	151	0
M184	184	middleton	2013	237325	929703	F_778625_3050201	"LOOKOUT LN"	4	0
M184	184	middleton	2013	237325	930528	F_778625_3052907	"ESSEX ST"	210	0
M184	184	middleton	2013	237338	928087	F_778667_3044898	"UPTON HILLS LN"	18	0
M184	184	middleton	2013	237341	928036	F_778676_3044730	"UPTON HILLS LN"	20	0
M184	184	middleton	2013	237342	931029	F_778681_3054551	"HALF MOON RD"	0	0
M184	184	middleton	2013	237345	927817	F_778689_3044012	"UPTON HILLS LN"	30	0
M184	184	middleton	2013	237348	927860	F_778700_3044155	"UPTON HILLS LN"	28	0
M184	184	middleton	2013	237362	928403	F_778744_3045936	"FOREST ST"	149	0
M184	184	middleton	2013	237363	927670	F_778748_3043532	"UPTON HILLS LN"	36	0
M184	184	middleton	2013	237370	929520	F_778770_3049600	"LOOKOUT LN"	2	0
M184	184	middleton	2013	237384	928181	F_778816_3045208	"FOREST ST"	140	0
M184	184	middleton	2013	237406	928443	F_778889_3046066	"FOREST ST"	0	0
M184	184	middleton	2013	237411	927989	F_778906_3044578	"UPTON HILLS LN"	22	0
M184	184	middleton	2013	237419	928357	F_778931_3045783	"FOREST ST"	147	0
M184	184	middleton	2013	237424	931355	F_778948_3055619	"ESSEX ST"	0	0
M184	184	middleton	2013	237424	927923	F_778949_3044362	"UPTON HILLS LN"	24	0
M184	184	middleton	2013	237431	929406	F_778972_3049226	"NO MAIN ST"	0	0
M184	184	middleton	2013	237436	930110	F_778988_3051535	"BISHOP LN"	8	0
M184	184	middleton	2013	237438	931286	F_778993_3055393	"ESSEX ST"	252	0
M184	184	middleton	2013	237452	929483	F_779040_3049480	"NO MAIN ST"	0	0
M184	184	middleton	2013	237456	927847	F_779053_3044113	"UPTON HILLS LN"	26	0
M184	184	middleton	2013	237457	927726	F_779058_3043715	"UPTON HILLS LN"	34	0
M184	184	middleton	2013	237470	931208	F_779099_3055138	"ESSEX ST"	248	0
M184	184	middleton	2013	237476	928080	F_779120_3044875	"CURRIER RD"	7	0
M184	184	middleton	2013	237482	928315	F_779139_3045648	"FOREST ST"	137	0
M184	184	middleton	2013	237484	928205	F_779144_3045285	"FOREST ST"	134	0
M184	184	middleton	2013	237486	929930	F_779153_3050946	"EDDINGTON ST"	17	0
M184	184	middleton	2013	237498	928024	F_779191_3044693	"CURRIER RD"	9	0
M184	184	middleton	2013	237499	928250	F_779193_3045434	"FOREST ST"	136	0
M184	184	middleton	2013	237506	928136	F_779219_3045058	"CURRIER RD"	5	0
M184	184	middleton	2013	237508	927635	F_779225_3043416	"UPTON HILLS LN"	0	0
M184	184	middleton	2013	237509	927314	F_779227_3042364	"NO READING LINE"	0	0
M184	184	middleton	2013	237525	929336	F_779280_3048995	"NO MAIN ST"	0	0
M184	184	middleton	2013	237525	929720	F_779280_3050255	"NO MAIN ST"	0	0
M184	184	middleton	2013	237526	927967	F_779283_3044505	"CURRIER RD"	11	0
M184	184	middleton	2013	237530	930312	F_779295_3052197	"MEADOWLARK FARM LN"	11	0
M184	184	middleton	2013	237544	930361	F_779341_3052360	"MEADOWLARK FARM LN"	9	0
M184	184	middleton	2013	237545	931281	F_779345_3055379	"ESSEX ST"	0	0
M184	184	middleton	2013	237546	928175	F_779349_3045187	"CURRIER RD"	3	0
M184	184	middleton	2013	237546	931099	F_779349_3054780	"ESSEX ST"	236	0
M184	184	middleton	2013	237546	931148	F_779349_3054940	"ESSEX ST"	238	0
M184	184	middleton	2013	237550	930245	F_779361_3051980	"MEADOWLARK FARM LN"	13	0
M184	184	middleton	2013	237556	931451	F_779381_3055934	"WATKINS WAY"	36	0
M184	184	middleton	2013	237564	928223	F_779407_3045344	"FOREST ST"	132	0
M184	184	middleton	2013	237566	931366	F_779416_3055658	"WATKINS WAY"	34	0
M184	184	middleton	2013	237578	927891	F_779454_3044257	"CURRIER RD"	13	0
M184	184	middleton	2013	237587	930451	F_779484_3052654	"MEADOWLARK FARM LN"	5	0
M184	184	middleton	2013	237588	929483	F_779485_3049480	"NO MAIN ST"	0	0
M184	184	middleton	2013	237593	931061	F_779503_3054657	"ESSEX ST"	234	0
M184	184	middleton	2013	237596	928351	F_779512_3045766	"FOREST ST"	135	0
M184	184	middleton	2013	237600	930398	F_779527_3052481	"MEADOWLARK FARM LN"	7	0
M184	184	middleton	2013	237604	930043	F_779540_3051316	"BISHOP LN"	6	0
M184	184	middleton	2013	237611	930224	F_779561_3051911	"MEADOWLARK FARM LN"	12	0
M184	184	middleton	2013	237611	928291	F_779562_3045569	"FOREST ST"	133	0
M184	184	middleton	2013	237612	929959	F_779567_3051040	"EDDINGTON ST"	13	0
M184	184	middleton	2013	237615	928033	F_779576_3044720	"CURRIER RD"	8	0
M184	184	middleton	2013	237622	928083	F_779598_3044886	"CURRIER RD"	6	0
M184	184	middleton	2013	237623	927912	F_779602_3044326	"CURRIER RD"	12	0
M184	184	middleton	2013	237623	931018	F_779602_3054515	"ESSEX ST"	0	0
M184	184	middleton	2013	237628	927975	F_779617_3044532	"CURRIER RD"	10	0
M184	184	middleton	2013	237634	931387	F_779637_3055726	"WATKINS WAY"	32	0
M184	184	middleton	2013	237637	930489	F_779648_3052778	"MEADOWLARK FARM LN"	3	0
M184	184	middleton	2013	237638	929785	F_779650_3050470	"EDDINGTON ST"	21	0
M184	184	middleton	2013	237640	929234	F_779658_3048662	"NO MAIN ST"	234	0
M184	184	middleton	2013	237646	928133	F_779676_3045049	"CURRIER RD"	4	0
M184	184	middleton	2013	237646	930272	F_779677_3052066	"MEADOWLARK FARM LN"	10	0
M184	184	middleton	2013	237649	930968	F_779687_3054350	"ESSEX ST"	228	0
M184	184	middleton	2013	237650	931314	F_779691_3055485	"WATKINS WAY"	30	0
M184	184	middleton	2013	237653	931523	F_779699_3056173	"WATKINS WAY"	35	0
M184	184	middleton	2013	237663	928200	F_779732_3045268	"FOREST ST"	126	0
M184	184	middleton	2013	237681	928313	F_779791_3045640	"FOREST ST"	131	0
M184	184	middleton	2013	237682	930379	F_779796_3052419	"MEADOWLARK FARM LN"	6	0
M184	184	middleton	2013	237683	931266	F_779797_3055327	"WATKINS WAY"	28	0
