town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M185	185	milford	2011	194839	878071	F_639234_2880804	"WEST ST"	0	0
M185	185	milford	2011	194861	880157	F_639308_2887650	"MILL POND CR"	8	0
M185	185	milford	2011	194863	880212	F_639314_2887830	"MILL POND CR"	10	0
M185	185	milford	2011	194864	879522	F_639317_2885564	"FISKE MILL RD"	0	0
M185	185	milford	2011	194889	880258	F_639398_2887981	"MILL POND CR"	12	0
M185	185	milford	2011	194889	879062	F_639399_2884055	"FISKE MILL RD"	0	0
M185	185	milford	2011	194893	880298	F_639413_2888110	"MILL POND CR"	14	0
M185	185	milford	2011	194898	880118	F_639428_2887519	"MILL POND CR"	6	0
M185	185	milford	2011	194900	880337	F_639436_2888238	"MILL POND CR"	16	0
M185	185	milford	2011	194904	880621	F_639449_2889172	"CAMP ST"	0	0
M185	185	milford	2011	194909	880382	F_639465_2888386	"MILL POND CR"	18	0
M185	185	milford	2011	194912	878268	F_639475_2881451	"WEST ST"	0	0
M185	185	milford	2011	194921	878029	F_639502_2880666	"WEST ST"	296	0
M185	185	milford	2011	194924	880083	F_639513_2887407	"MILL POND CR"	4	0
M185	185	milford	2011	194928	880426	F_639526_2888530	"MILL POND CR"	20	0
M185	185	milford	2011	194946	880539	F_639585_2888901	"LEAH LN"	6	0
M185	185	milford	2011	194950	880050	F_639600_2887299	"MILL POND CR"	2	0
M185	185	milford	2011	194952	880672	F_639604_2889337	"CAMP ST"	0	0
M185	185	milford	2011	194955	880497	F_639614_2888763	"LEAH LN"	4	0
M185	185	milford	2011	194957	880599	F_639620_2889097	"LEAH LN"	8	0
M185	185	milford	2011	194960	880460	F_639632_2888643	"LEAH LN"	2	0
M185	185	milford	2011	194963	878220	F_639641_2881292	"WEST ST"	333	0
M185	185	milford	2011	194969	878134	F_639660_2881012	"WEST ST"	331	0
M185	185	milford	2011	194971	879996	F_639666_2887120	"WHITEWOOD RD"	65	0
M185	185	milford	2011	194977	880935	F_639687_2890200	"CAMP ST"	0	0
M185	185	milford	2011	194979	878010	F_639694_2880605	"WEST ST"	294	0
M185	185	milford	2011	194990	877941	F_639730_2880379	"WEST ST"	0	0
M185	185	milford	2011	194992	879890	F_639735_2886771	"WHITEWOOD RD"	70	0
M185	185	milford	2011	194993	880798	F_639740_2889750	"CAMP ST"	0	0
M185	185	milford	2011	194996	880250	F_639750_2887955	"MILL POND CR"	7	0
