town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M186	186	millbury	2013	172464	878492	F_565824_2882185	"FEDERAL HILL RD"	217	0
M186	186	millbury	2013	172581	878530	F_566211_2882310	"FEDERAL HILL RD"	215	0
M186	186	millbury	2013	172616	878463	F_566325_2882090	"FEDERAL HILL RD"	213	0
M186	186	millbury	2013	172855	879772	F_567108_2886386	"ELIZABETH DR"	19	0
M186	186	millbury	2013	172878	879818	F_567183_2886535	"ELIZABETH DR"	17	0
M186	186	millbury	2013	172944	879923	F_567402_2886881	"ELIZABETH DR"	11	0
M186	186	millbury	2013	172987	879982	F_567541_2887074	"ELIZABETH DR"	9	0
M186	186	millbury	2013	173017	880028	F_567640_2887225	"ELIZABETH DR"	7	0
M186	186	millbury	2013	173028	879826	F_567675_2886562	"ELIZABETH DR"	21	0
M186	186	millbury	2013	173088	880131	F_567874_2887563	"GILBERT WAY"	6	0
M186	186	millbury	2013	173095	880178	F_567897_2887717	"GILBERT WAY"	4	0
M186	186	millbury	2013	173102	880085	F_567918_2887411	"GILBERT WAY"	8	0
M186	186	millbury	2013	173117	880039	F_567967_2887261	"GILBERT WAY"	10	0
M186	186	millbury	2013	173122	878904	F_567984_2883537	"SO OXFORD RD"	100	0
M186	186	millbury	2013	173136	879992	F_568029_2887106	"GILBERT WAY"	12	0
M186	186	millbury	2013	173152	880212	F_568082_2887828	"GILBERT WAY"	3	0
M186	186	millbury	2013	173159	879947	F_568106_2886958	"GILBERT WAY"	14	0
M186	186	millbury	2013	173160	878924	F_568108_2883603	"SO OXFORD RD"	98	0
M186	186	millbury	2013	173164	880285	F_568122_2888068	"WEST MAIN ST"	407	0
M186	186	millbury	2013	173169	880161	F_568139_2887662	"GILBERT WAY"	5	0
M186	186	millbury	2013	173186	880113	F_568194_2887504	"GILBERT WAY"	7	0
M186	186	millbury	2013	173186	879903	F_568195_2886815	"GILBERT WAY"	16	0
M186	186	millbury	2013	173201	880321	F_568242_2888186	"WEST MAIN ST"	405	0
M186	186	millbury	2013	173201	880067	F_568245_2887354	"GILBERT WAY"	9	0
M186	186	millbury	2013	173207	878877	F_568262_2883450	"SO OXFORD RD"	96	0
M186	186	millbury	2013	173219	880023	F_568304_2887208	"GILBERT WAY"	11	0
M186	186	millbury	2013	173227	879850	F_568329_2886642	"GILBERT WAY"	18	0
M186	186	millbury	2013	173233	880339	F_568348_2888245	"WEST MAIN ST"	403	0
M186	186	millbury	2013	173242	879978	F_568377_2887060	"GILBERT WAY"	13	0
M186	186	millbury	2013	173246	880418	F_568391_2888504	"WEST MAIN ST"	402	0
M186	186	millbury	2013	173260	878866	F_568436_2883414	"SO OXFORD RD"	94	0
M186	186	millbury	2013	173265	879932	F_568452_2886909	"GILBERT WAY"	15	0
M186	186	millbury	2013	173280	880458	F_568503_2888636	"WEST MAIN ST"	400	0
M186	186	millbury	2013	173290	878622	F_568534_2882612	"SO OXFORD RD"	95	0
M186	186	millbury	2013	173291	879876	F_568538_2886726	"GILBERT WAY"	17	0
M186	186	millbury	2013	173323	880341	F_568643_2888252	"WEST MAIN ST"	397	0
M186	186	millbury	2013	173325	878863	F_568652_2883402	"SO OXFORD RD"	92	0
M186	186	millbury	2013	173328	880481	F_568661_2888712	"WEST MAIN ST"	396	0
M186	186	millbury	2013	173350	878666	F_568733_2882756	"SO OXFORD RD"	93	0
M186	186	millbury	2013	173359	879749	F_568761_2886310	"GILBERT WAY"	19	0
M186	186	millbury	2013	173372	880360	F_568806_2888315	"WEST MAIN ST"	395	0
M186	186	millbury	2013	173411	878701	F_568931_2882873	"SO OXFORD RD"	91	0
M186	186	millbury	2013	173411	878470	F_568933_2882115	"SO OXFORD RD"	89	0
M186	186	millbury	2013	173415	880375	F_568946_2888364	"WEST MAIN ST"	393	0
M186	186	millbury	2013	173421	880574	F_568966_2889016	"WEST MAIN ST"	392	0
M186	186	millbury	2013	173471	880436	F_569130_2888565	"WEST MAIN ST"	391	0
M186	186	millbury	2013	173483	878936	F_569168_2883644	"SO OXFORD RD"	85	0
M186	186	millbury	2013	173498	879039	F_569219_2883980	"SO OXFORD RD"	84	0
M186	186	millbury	2013	173507	878972	F_569246_2883761	"SO OXFORD RD"	83	0
M186	186	millbury	2013	173530	878794	F_569322_2883177	"SO OXFORD RD"	87	0
M186	186	millbury	2013	173533	880399	F_569332_2888443	"WEST MAIN ST"	389	0
M186	186	millbury	2013	173538	878985	F_569348_2883804	"SO OXFORD RD"	81	0
M186	186	millbury	2013	173543	879054	F_569367_2884030	"SO OXFORD RD"	82	0
M186	186	millbury	2013	173553	880539	F_569397_2888901	"WEST MAIN ST"	388	0
M186	186	millbury	2013	173576	878905	F_569474_2883541	"WEDGEWOOD LN"	17	0
M186	186	millbury	2013	173581	878997	F_569490_2883842	"SO OXFORD RD"	79	0
M186	186	millbury	2013	173586	880773	F_569506_2889669	"WEST MAIN ST"	384	0
M186	186	millbury	2013	173587	879078	F_569509_2884109	"SO OXFORD RD"	78	0
M186	186	millbury	2013	173598	880545	F_569546_2888921	"WEST MAIN ST"	386	0
M186	186	millbury	2013	173616	878962	F_569606_2883727	"WEDGEWOOD LN"	14	0
M186	186	millbury	2013	173620	879014	F_569618_2883900	"SO OXFORD RD"	77	0
M186	186	millbury	2013	173632	880425	F_569657_2888529	"WEST MAIN ST"	387	0
M186	186	millbury	2013	173636	879090	F_569670_2884147	"SO OXFORD RD"	78	0
M186	186	millbury	2013	173653	879032	F_569728_2883956	"SO OXFORD RD"	75	0
M186	186	millbury	2013	173658	880553	F_569743_2888948	"WEST MAIN ST"	382	0
M186	186	millbury	2013	173660	878891	F_569748_2883495	"WEDGEWOOD LN"	15	0
M186	186	millbury	2013	173670	879142	F_569783_2884319	"SO OXFORD RD"	74	0
M186	186	millbury	2013	173682	880428	F_569822_2888536	"WEST MAIN ST"	385	0
M186	186	millbury	2013	173685	879053	F_569832_2884025	"SO OXFORD RD"	73	0
M186	186	millbury	2013	173698	879002	F_569874_2883860	"WEDGEWOOD LN"	12	0
M186	186	millbury	2013	173710	878922	F_569914_2883598	"WEDGEWOOD LN"	13	0
M186	186	millbury	2013	173715	880763	F_569930_2889638	"WEST MAIN ST"	378	0
M186	186	millbury	2013	173716	879076	F_569932_2884103	"SO OXFORD RD"	71	0
M186	186	millbury	2013	173731	879192	F_569984_2884481	"SO OXFORD RD"	72	0
M186	186	millbury	2013	173734	881166	F_569992_2890960	"STONE RD"	27	0
M186	186	millbury	2013	173745	879101	F_570028_2884183	"SO OXFORD RD"	69	0
M186	186	millbury	2013	173745	881249	F_570028_2891231	"STONE RD"	29	0
M186	186	millbury	2013	173750	881112	F_570044_2890782	"STONE RD"	25	0
M186	186	millbury	2013	173753	879033	F_570056_2883962	"WEDGEWOOD LN"	10	0
M186	186	millbury	2013	173754	878942	F_570058_2883662	"WEDGEWOOD LN"	11	0
M186	186	millbury	2013	173762	879373	F_570085_2885077	"SO OXFORD RD"	64	0
M186	186	millbury	2013	173763	879216	F_570086_2884560	"SO OXFORD RD"	70	0
M186	186	millbury	2013	173775	879124	F_570126_2884260	"SO OXFORD RD"	67	0
M186	186	millbury	2013	173775	881073	F_570126_2890653	"STONE RD"	23	0
M186	186	millbury	2013	173785	879252	F_570158_2884678	"SO OXFORD RD"	68	0
M186	186	millbury	2013	173803	878954	F_570220_2883702	"WEDGEWOOD LN"	9	0
M186	186	millbury	2013	173804	879147	F_570221_2884335	"SO OXFORD RD"	65	0
M186	186	millbury	2013	173808	879091	F_570234_2884152	"WEDGEWOOD LN"	4	0
M186	186	millbury	2013	173809	879037	F_570237_2883973	"WEDGEWOOD LN"	6	0
M186	186	millbury	2013	173812	880642	F_570248_2889239	"WEST MAIN ST"	376	0
M186	186	millbury	2013	173819	880304	F_570272_2888131	"BACKSTRAD RD"	3	0
M186	186	millbury	2013	173824	881399	F_570286_2891724	"STONE RD"	36	0
M186	186	millbury	2013	173826	879305	F_570293_2884853	"SO OXFORD RD"	62	0
M186	186	millbury	2013	173827	879355	F_570297_2885017	"SO OXFORD RD"	60	0
M186	186	millbury	2013	173828	880922	F_570302_2890159	"STONE RD"	13	0
M186	186	millbury	2013	173830	879460	F_570307_2885362	"S BACKSTRAD RD"	1	0
M186	186	millbury	2013	173831	879400	F_570310_2885166	"SO OXFORD RD"	58	0
M186	186	millbury	2013	173842	879180	F_570346_2884443	"SO OXFORD RD"	63	0
M186	186	millbury	2013	173846	881355	F_570359_2891580	"STONE RD"	34	0
M186	186	millbury	2013	173863	881074	F_570414_2890657	"STONE RD"	21	0
M186	186	millbury	2013	173864	878978	F_570419_2883781	"WEDGEWOOD LN"	7	0
M186	186	millbury	2013	173864	881296	F_570420_2891384	"STONE RD"	32	0
M186	186	millbury	2013	173868	879209	F_570433_2884537	"SO OXFORD RD"	61	0
M186	186	millbury	2013	173869	879128	F_570435_2884273	"WEDGEWOOD LN"	3	0
M186	186	millbury	2013	173878	879046	F_570465_2884005	"WEDGEWOOD LN"	5	0
M186	186	millbury	2013	173880	881033	F_570471_2890524	"STONE RD"	19	0
M186	186	millbury	2013	173885	880595	F_570487_2889086	"WEST MAIN ST"	374	0
M186	186	millbury	2013	173886	879419	F_570492_2885227	"SO OXFORD RD"	54	0
M186	186	millbury	2013	173898	881223	F_570529_2891146	"STONE RD"	28	0
M186	186	millbury	2013	173900	880696	F_570536_2889416	"WEST MAIN ST"	372	0
M186	186	millbury	2013	173903	879282	F_570548_2884778	"SO OXFORD RD"	59	0
M186	186	millbury	2013	173904	880993	F_570551_2890392	"STONE RD"	17	0
M186	186	millbury	2013	173911	878191	F_570574_2881199	"DAVIS RD"	60	0
M186	186	millbury	2013	173914	880788	F_570583_2889720	"STONE RD"	11	0
M186	186	millbury	2013	173915	878088	F_570587_2880859	"DAVIS RD"	62	0
M186	186	millbury	2013	173923	881178	F_570611_2890998	"STONE RD"	26	0
M186	186	millbury	2013	173927	880937	F_570624_2890207	"STONE RD"	15	0
M186	186	millbury	2013	173935	879309	F_570651_2884866	"SO OXFORD RD"	57	0
M186	186	millbury	2013	173938	879434	F_570662_2885277	"SO OXFORD RD"	52	0
M186	186	millbury	2013	173945	881136	F_570683_2890861	"STONE RD"	24	0
M186	186	millbury	2013	173946	881378	F_570688_2891655	"STONE RD"	30	0
M186	186	millbury	2013	173973	880615	F_570776_2889152	"WEST MAIN ST"	370	0
M186	186	millbury	2013	173975	879475	F_570782_2885410	"SO OXFORD RD"	50	0
M186	186	millbury	2013	173982	879337	F_570806_2884957	"SO OXFORD RD"	53	0
M186	186	millbury	2013	174010	880653	F_570899_2889276	"WEST MAIN ST"	368	0
M186	186	millbury	2013	174015	878304	F_570914_2881568	"DAVIS RD"	58	0
M186	186	millbury	2013	174017	880377	F_570920_2888371	"BACKSTRAD RD"	1	0
M186	186	millbury	2013	174018	881578	F_570924_2892311	"STOWE RD"	61	0
M186	186	millbury	2013	174024	881774	F_570944_2892954	"STOWE RD"	58	0
M186	186	millbury	2013	174025	879510	F_570946_2885527	"SO OXFORD RD"	48	0
M186	186	millbury	2013	174039	881754	F_570992_2892887	"STOWE RD"	56	0
M186	186	millbury	2013	174043	880929	F_571006_2890181	"STONE RD"	14	0
M186	186	millbury	2013	174047	880538	F_571019_2888899	"WEST MAIN ST"	365	0
