town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M188	188	millville	2011	192427	867699	M_192427_867699	"FISHER ST"	152	0
M188	188	millville	2011	192433	864810	M_192433_864810	"CORK CR"	24	0
M188	188	millville	2011	192437	864260	M_192437_864260	"IRONSTONE ST"	101	0
M188	188	millville	2011	192439	864794	M_192439_864794	"CORK CR"	24	0
M188	188	millville	2011	192442	864691	M_192442_864691	"MAIN ST"	326	0
M188	188	millville	2011	192444	866375	M_192444_866375	"KEMPTON RD"	123	0
M188	188	millville	2011	192449	864754	M_192449_864754	"CORK CR"	28	0
M188	188	millville	2011	192452	863583	M_192452_863583	"RONDEN RD"	0	0
M188	188	millville	2011	192452	865135	M_192452_865135	"ALBEE RD"	41	0
M188	188	millville	2011	192454	864335	M_192454_864335	"IRONSTONE ST"	100	0
M188	188	millville	2011	192456	863304	M_192456_863304	"QUAKER ST"	92	0
M188	188	millville	2011	192461	864408	M_192461_864408	"IRONSTONE ST"	100	0
M188	188	millville	2011	192464	864211	M_192464_864211	"IRONSTONE ST"	93	0
M188	188	millville	2011	192464	864657	M_192464_864657	"CORK CR"	34	0
M188	188	millville	2011	192464	866460	M_192464_866460	"KEMPTON RD"	130	0
M188	188	millville	2011	192467	864857	M_192467_864857	"CORK CR"	20	0
M188	188	millville	2011	192468	864945	M_192468_864945	"CHESTNUT HILL RD"	131	0
M188	188	millville	2011	192470	863377	M_192470_863377	"QUAKER ST"	76	0
M188	188	millville	2011	192473	863733	M_192473_863733	"RONDEN RD"	0	0
M188	188	millville	2011	192473	863770	M_192473_863770	"ALBERT DR"	44	0
M188	188	millville	2011	192473	863830	M_192473_863830	"ALBERT DR"	40	0
M188	188	millville	2011	192474	863630	M_192474_863630	"RONDEN RD"	8	0
M188	188	millville	2011	192474	863694	M_192474_863694	"RONDEN RD"	4	0
M188	188	millville	2011	192474	865307	M_192474_865307	"ALBEE RD"	40	0
M188	188	millville	2011	192476	867429	M_192476_867429	"FISHER ST"	151	0
M188	188	millville	2011	192478	864701	M_192478_864701	"CORK CR"	32	0
M188	188	millville	2011	192480	863899	M_192480_863899	"ALBERT DR"	36	0
M188	188	millville	2011	192483	863181	M_192483_863181	"PROVIDENCE ST"	172	0
M188	188	millville	2011	192486	863062	M_192486_863062	"PROVIDENCE ST"	163	0
M188	188	millville	2011	192489	865085	M_192489_865085	"ALBEE RD"	35	0
M188	188	millville	2011	192490	863459	M_192490_863459	"QUAKER ST"	70	0
M188	188	millville	2011	192497	867694	M_192497_867694	"FISHER ST"	144	0
M188	188	millville	2011	192500	866292	M_192500_866292	"KEMPTON RD"	119	0
M188	188	millville	2011	192505	864307	M_192505_864307	"IRONSTONE ST"	96	0
M188	188	millville	2011	192506	863546	M_192506_863546	"RONDEN RD"	12	0
M188	188	millville	2011	192512	864786	M_192512_864786	"CORK CR"	17	0
M188	188	millville	2011	192512	864786	M_192512_864786	"CORK CR"	29	0
M188	188	millville	2011	192514	863245	M_192514_863245	"QUAKER ST"	91	0
M188	188	millville	2011	192521	864631	M_192521_864631	"MAIN ST"	316	0
M188	188	millville	2011	192521	865998	M_192521_865998	"KEMPTON RD"	49	0
M188	188	millville	2011	192522	867049	M_192522_867049	"FISHER ST"	83	0
M188	188	millville	2011	192523	863731	M_192523_863731	"HURTEAU RD"	ROADWAY	0
M188	188	millville	2011	192528	863963	M_192528_863963	"ALBERT DR"	32	0
M188	188	millville	2011	192532	862641	M_192532_862641	"ROUTE 146"	1	0
M188	188	millville	2011	192539	863675	M_192539_863675	"HURTEAU RD"	9	0
M188	188	millville	2011	192541	864154	M_192541_864154	"WEST ST"	75	0
M188	188	millville	2011	192541	864262	M_192541_864262	"IRONSTONE ST"	90	0
M188	188	millville	2011	192542	863797	M_192542_863797	"ALBERT DR"	41	0
M188	188	millville	2011	192542	866667	M_192542_866667	"KEMPTON RD"	120	0
M188	188	millville	2011	192543	864888	M_192543_864888	"CORK CR"	16	0
M188	188	millville	2011	192545	864674	M_192545_864674	"CORK CR"	36	0
M188	188	millville	2011	192547	863115	M_192547_863115	"PROVIDENCE ST"	162	0
M188	188	millville	2011	192551	863452	M_192551_863452	"QUAKER ST"	66	0
M188	188	millville	2011	192552	863594	M_192552_863594	"HURTEAU RD"	5	0
M188	188	millville	2011	192555	865090	M_192555_865090	"ALBEE RD"	27	0
M188	188	millville	2011	192558	863022	M_192558_863022	"PROVIDENCE ST"	153	0
M188	188	millville	2011	192560	866359	M_192560_866359	"KEMPTON RD"	115	0
M188	188	millville	2011	192565	864241	M_192565_864241	"IRONSTONE ST"	86	0
M188	188	millville	2011	192567	864778	M_192567_864778	"CORK CR"	39	0
M188	188	millville	2011	192567	866434	M_192567_866434	"KEMPTON RD"	118	0
M188	188	millville	2011	192569	867677	M_192569_867677	"FISHER ST"	128	0
M188	188	millville	2011	192571	864935	M_192571_864935	"CORK CR"	12	0
