town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M190	190	monroe	2011	75294	941538	M_75294_941538	"FLORIDA LINE-WEST"	0	0
M190	190	monroe	2011	75319	942106	M_75319_942106	"MAIN ROAD"	2	0
M190	190	monroe	2011	75349	943164	M_75349_943164	"N.W. CORNER OF TOWN"	0	0
M190	190	monroe	2011	75369	941092	M_75369_941092	"FLORIDA LINE-WEST"	0	0
M190	190	monroe	2011	75378	940495	M_75378_940495	"SOUTHWEST CORNER"	0	0
M190	190	monroe	2011	75612	943314	M_75612_943314	"TURNER HILL"	0	0
M190	190	monroe	2011	75626	941518	M_75626_941518	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	75648	942840	M_75648_942840	"MAIN ROAD"	9	0
M190	190	monroe	2011	75650	942009	M_75650_942009	"MAIN ROAD"	0	0
M190	190	monroe	2011	75668	941060	M_75668_941060	"FLORIDA LINE-WEST"	0	0
M190	190	monroe	2011	75672	940238	M_75672_940238	"SOUTHWEST CORNER"	0	0
M190	190	monroe	2011	75688	942552	M_75688_942552	"MAIN ROAD"	0	0
M190	190	monroe	2011	75710	940421	M_75710_940421	"MOORES ROAD"	0	0
M190	190	monroe	2011	75714	944114	M_75714_944114	"TURNER HILL ROAD"	41	0
M190	190	monroe	2011	75754	943580	M_75754_943580	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	75816	940620	M_75816_940620	"MOORES ROAD"	0	0
M190	190	monroe	2011	75949	942987	M_75949_942987	"MAIN ROAD"	0	0
M190	190	monroe	2011	75951	943384	M_75951_943384	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	75954	942744	M_75954_942744	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	75962	943610	M_75962_943610	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	75974	943298	M_75974_943298	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	75989	942613	M_75989_942613	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	75993	940211	M_75993_940211	"MOORES ROAD"	90	0
M190	190	monroe	2011	76007	943212	M_76007_943212	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	76036	940323	M_76036_940323	"MOORES ROAD"	0	0
M190	190	monroe	2011	76043	942469	M_76043_942469	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76060	943098	M_76060_943098	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	76102	942360	M_76102_942360	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76112	942991	M_76112_942991	"MAIN ROAD"	0	0
M190	190	monroe	2011	76119	940515	M_76119_940515	"MOORES ROAD"	0	0
M190	190	monroe	2011	76138	942135	M_76138_942135	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76148	941602	M_76148_941602	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76151	942276	M_76151_942276	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76168	942845	M_76168_942845	"MAIN ROAD"	12	0
M190	190	monroe	2011	76193	942692	M_76193_942692	"MANLEY PHELPS ROAD"	0	0
M190	190	monroe	2011	76205	943480	M_76205_943480	"TURNER HILL ROAD"	0	0
M190	190	monroe	2011	76213	943617	M_76213_943617	"TURNER HILL ROAD"	0	0
