town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M194	194	montgomery	2012	87151	886992	M_87151_886992	"THOMAS RD"	83	0
M194	194	montgomery	2012	87237	887332	M_87237_887332	"THOMAS RD"	0	0
M194	194	montgomery	2012	87250	886949	M_87250_886949	"THOMAS RD"	77	0
M194	194	montgomery	2012	87276	886800	M_87276_886800	"THOMAS RD"	0	0
M194	194	montgomery	2012	87331	887073	M_87331_887073	"THOMAS RD"	74	0
M194	194	montgomery	2012	87334	886940	M_87334_886940	"THOMAS RD"	73	0
M194	194	montgomery	2012	87410	886934	M_87410_886934	"THOMAS RD"	63	0
M194	194	montgomery	2012	87424	887073	M_87424_887073	"THOMAS RD"	62	0
M194	194	montgomery	2012	87490	886947	M_87490_886947	"THOMAS RD"	59	0
M194	194	montgomery	2012	87515	887071	M_87515_887071	"THOMAS RD"	38	0
M194	194	montgomery	2012	87606	887073	M_87606_887073	"THOMAS RD"	34	0
M194	194	montgomery	2012	87630	886740	M_87630_886740	"WESTFIELD RIVERFRONT"	0	0
M194	194	montgomery	2012	87660	887661	M_87660_887661	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	87696	887069	M_87696_887069	"THOMAS RD"	28	0
M194	194	montgomery	2012	87852	887156	M_87852_887156	"CARRINGTON RD"	86	0
M194	194	montgomery	2012	87853	886546	M_87853_886546	"WESTFIELD RIVER"	0	0
M194	194	montgomery	2012	87920	888139	M_87920_888139	"CARRINGTON RD"	34	0
M194	194	montgomery	2012	87920	888314	M_87920_888314	"CARRINGTON RD"	20	0
M194	194	montgomery	2012	87951	887262	M_87951_887262	"CARRINGTON RD"	85	0
M194	194	montgomery	2012	87963	886738	M_87963_886738	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	87981	887785	M_87981_887785	"CARRINGTON RD"	61	0
M194	194	montgomery	2012	87981	888660	M_87981_888660	"MAIN RD"	0	0
M194	194	montgomery	2012	87984	887136	M_87984_887136	"CARRINGTON RD"	93	0
M194	194	montgomery	2012	87990	886657	M_87990_886657	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	87992	887989	M_87992_887989	"CARRINGTON RD"	39	0
M194	194	montgomery	2012	88006	888392	M_88006_888392	"CARRINGTON RD"	14	0
M194	194	montgomery	2012	88017	888081	M_88017_888081	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88030	886859	M_88030_886859	"CARRINGTON RD"	110	0
M194	194	montgomery	2012	88038	886961	M_88038_886961	"CARRINGTON RD"	102	0
M194	194	montgomery	2012	88039	886305	M_88039_886305	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88050	888191	M_88050_888191	"CARRINGTON RD"	27	0
M194	194	montgomery	2012	88054	886553	M_88054_886553	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88058	888588	M_88058_888588	"MAIN RD"	511	0
M194	194	montgomery	2012	88059	886158	M_88059_886158	"CARRINGTON RD"	160	0
M194	194	montgomery	2012	88068	885967	M_88068_885967	"CARRINGTON RD"	184	0
M194	194	montgomery	2012	88072	888550	M_88072_888550	"MAIN RD"	509	0
M194	194	montgomery	2012	88091	886827	M_88091_886827	"CARRINGTON RD"	114	0
M194	194	montgomery	2012	88116	888228	M_88116_888228	"CARRINGTON RD"	11	0
M194	194	montgomery	2012	88117	888306	M_88117_888306	"CARRINGTON RD"	9	0
M194	194	montgomery	2012	88119	888629	M_88119_888629	"MAIN RD"	510	0
M194	194	montgomery	2012	88128	888444	M_88128_888444	"CARRINGTON RD"	7	0
M194	194	montgomery	2012	88131	886985	M_88131_886985	"POMEROY RD"	104	0
M194	194	montgomery	2012	88133	886634	M_88133_886634	"CARRINGTON RD"	122	0
M194	194	montgomery	2012	88153	886416	M_88153_886416	"CARRINGTON RD"	140	0
M194	194	montgomery	2012	88153	886914	M_88153_886914	"CARRINGTON RD"	115	0
M194	194	montgomery	2012	88164	888502	M_88164_888502	"MAIN RD"	506	0
M194	194	montgomery	2012	88166	886505	M_88166_886505	"CARRINGTON RD"	132	0
M194	194	montgomery	2012	88183	887423	M_88183_887423	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88186	886827	M_88186_886827	"CARRINGTON RD"	119	0
M194	194	montgomery	2012	88209	885779	M_88209_885779	"CARRINGTON RD"	190	0
M194	194	montgomery	2012	88209	886740	M_88209_886740	"CARRINGTON RD"	123	0
M194	194	montgomery	2012	88229	888444	M_88229_888444	"MAIN RD"	494	0
M194	194	montgomery	2012	88242	886661	M_88242_886661	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88249	888619	M_88249_888619	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88250	888194	M_88250_888194	"MAIN RD"	477	0
M194	194	montgomery	2012	88259	884580	M_88259_884580	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88269	886563	M_88269_886563	"CARRINGTON RD"	131	0
M194	194	montgomery	2012	88277	888495	M_88277_888495	"LAMBSON HILL RD"	23	0
M194	194	montgomery	2012	88294	888252	M_88294_888252	"MAIN RD"	475	0
M194	194	montgomery	2012	88300	888381	M_88300_888381	"MAIN RD"	0	0
M194	194	montgomery	2012	88326	886783	M_88326_886783	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88376	885418	M_88376_885418	"CARRINGTON RD"	218	0
M194	194	montgomery	2012	88378	886107	M_88378_886107	"CARRINGTON RD"	177	0
M194	194	montgomery	2012	88407	887310	M_88407_887310	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88426	888352	M_88426_888352	"LAMBSON HILL RD"	24	0
M194	194	montgomery	2012	88435	888576	M_88435_888576	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88440	887627	M_88440_887627	"MAIN RD"	0	0
M194	194	montgomery	2012	88449	884958	M_88449_884958	"CHAMBERLAIN RD"	20	0
M194	194	montgomery	2012	88451	885923	M_88451_885923	"CARRINGTON RD"	185	0
M194	194	montgomery	2012	88451	886484	M_88451_886484	"CARRINGTON RD"	137	0
M194	194	montgomery	2012	88462	887410	M_88462_887410	"MAIN RD"	0	0
M194	194	montgomery	2012	88482	888426	M_88482_888426	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88484	885712	M_88484_885712	"CARRINGTON RD"	192	0
M194	194	montgomery	2012	88489	888705	M_88489_888705	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88512	885859	M_88512_885859	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88576	888711	M_88576_888711	"LAMBSON HILL RD"	75	0
M194	194	montgomery	2012	88594	888520	M_88594_888520	"LAMBSON HILL RD"	66	0
M194	194	montgomery	2012	88602	887944	M_88602_887944	"MAIN RD"	0	0
M194	194	montgomery	2012	88627	886617	M_88627_886617	"POMEROY RD"	171	0
M194	194	montgomery	2012	88666	885764	M_88666_885764	"CARRINGTON RD"	0	0
M194	194	montgomery	2012	88669	888649	M_88669_888649	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88695	886093	M_88695_886093	"CARRINGTON RD"	197	0
M194	194	montgomery	2012	88732	886586	M_88732_886586	"POMEROY RD"	141	0
M194	194	montgomery	2012	88759	887470	M_88759_887470	"POMEROY RD"	0	0
M194	194	montgomery	2012	88769	888719	M_88769_888719	"LAMBSON HILL RD"	0	0
M194	194	montgomery	2012	88782	884567	M_88782_884567	"CHAMBERLAIN RD"	13	0
