LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_52781_881313	"DOWNS RD"	24	1	52781	881313
M_52910_881372	"MILL RIVER GT BARRINGTON RD"	0	1	52910	881372
M_52917_881373	"DOWNS RD"	28	1	52917	881373
M_52937_881367	"DOWNS RD"	34	1	52937	881367
M_52958_881350	"DOWNS RD"	44	1	52958	881350
M_52977_881331	"DOWNS RD"	50	1	52977	881331
M_52997_881314	"DOWNS RD"	0	1	52997	881314
M_53023_881301	"DOWNS RD"	58	1	53023	881301
M_53059_881286	"DOWNS RD"	72	1	53059	881286
M_53091_881274	"MILL RIVER GT BARRINGTON RD"	0	1	53091	881274
M_53105_881309	"DOWNS RD"	86	1	53105	881309
M_53108_881239	"DOWNS RD"	95	1	53108	881239
M_53127_881295	"DOWNS RD"	94	1	53127	881295
M_53092_881243	"LAWRENCE AV"	60	1	53092	881243
M_53075_881242	"LAWRENCE AV"	58	1	53075	881242
M_53060_881245	"DOWNS RD"	77	1	53060	881245
M_53046_881250	"MILL RIVER GT BARRINGTON RD"	0	1	53046	881250
M_53014_881263	"MILL RIVER GT BARRINGTON RD"	0	1	53014	881263
M_52971_881291	"DOWNS RD"	51	1	52971	881291
M_52938_881316	"LAWRENCE AV"	7	1	52938	881316
M_52925_881349	"DOWNS RD"	35	1	52925	881349
M_52902_881337	"LAWRENCE AV"	2	1	52902	881337
M_52886_881266	"MILL RIVER GT BARRINGTON RD"	0	1	52886	881266
M_52253_881174	"MILL RIVER GT BARRINGTON RD"	17151717	1	52253	881174
M_52354_881370	"MILL RIVER GT BARRINGTON RD"	0	1	52354	881370
M_52344_881607	"MILL RIVER GT BARRINGTON RD"	0	1	52344	881607
M_52402_881593	"DEERWOOD PARK"	170	1	52402	881593
M_52511_881465	"MILL RIVER GT BARRINGTON RD"	0	1	52511	881465
M_52565_881464	"DEERWOOD PARK"	228	1	52565	881464
M_52579_881458	"DEERWOOD PARK"	232	1	52579	881458
M_52600_881449	"DEERWOOD PARK"	240	1	52600	881449
M_52680_881420	"LAKE RD"	222224	1	52680	881420
M_52704_881414	"LAKE RD"	226	1	52704	881414
M_52726_881402	"LAKE RD"	212	1	52726	881402
M_52746_881392	"LAKE RD"	200	1	52746	881392
M_52767_881385	"LAKE RD"	129	1	52767	881385
M_52795_881385	"LAKE RD"	196	1	52795	881385
M_52862_881300	"MILL RIVER GT BARRINGTON RD"	0	1	52862	881300
M_52865_881248	"LAKE RD"	160	1	52865	881248
M_52876_881230	"LAKE RD"	0	1	52876	881230
M_52891_881213	"MILL RIVER GT BARRINGTON RD"	152	1	52891	881213
M_52917_881182	"PINE ST"	2	1	52917	881182
M_52928_881224	"MILL RIVER GT BARRINGTON RD"	0	1	52928	881224
M_52910_881289	"LAWRENCE AV"	14	1	52910	881289
M_52933_881268	"LAWRENCE AV"	17	1	52933	881268
M_52955_881252	"MILL RIVER GT BARRINGTON RD"	0	1	52955	881252
M_52969_881241	"LAWRENCE AV"	29	1	52969	881241
M_52990_881231	"LAWRENCE AV"	33	1	52990	881231
M_53004_881225	"PINE ST"	26	1	53004	881225
M_53029_881216	"LAWRENCE AV"	47	1	53029	881216
M_53050_881208	"MILL RIVER GT BARRINGTON RD"	0	1	53050	881208
M_53062_881204	"LAWRENCE AV"	53	1	53062	881204
M_53080_881206	"MILL RIVER GT BARRINGTON RD"	0	1	53080	881206
M_53093_881202	"LAWRENCE AV"	65	1	53093	881202
M_53107_881197	"MILL RIVER GT BARRINGTON RD"	0	1	53107	881197
M_53129_881188	"LAWRENCE AV"	71	1	53129	881188
M_53121_881166	"PINE ST"	0	1	53121	881166
M_53091_881179	"MILL RIVER GT BARRINGTON RD"	0	1	53091	881179
M_53042_881180	"MILL RIVER GT BARRINGTON RD"	0	1	53042	881180
M_53021_881184	"MILL RIVER GT BARRINGTON RD"	0	1	53021	881184
M_53007_881190	"MILL RIVER GT BARRINGTON RD"	0	1	53007	881190
M_52992_881195	"MILL RIVER GT BARRINGTON RD"	0	1	52992	881195
M_52978_881200	"MILL RIVER GT BARRINGTON RD"	0	1	52978	881200
M_52950_881169	"PINE ST"	25	1	52950	881169
M_52972_881161	"MILL RIVER GT BARRINGTON RD"	0	1	52972	881161
M_52993_881153	"PINE ST"	37	1	52993	881153
M_53008_881148	"MILL RIVER GT BARRINGTON RD"	0	1	53008	881148
M_53089_881157	"PINE ST"	57	1	53089	881157
M_53076_881126	"PINE ST"	41	1	53076	881126
M_53041_881144	"PINE ST"	43	1	53041	881144
M_53063_881097	"MILL RIVER GT BARRINGTON RD"	0	1	53063	881097
M_53021_881086	"PINE ST"	39	1	53021	881086
M_52964_881118	"PINE ST"	13	1	52964	881118
M_52897_881164	"PINE ST"	5	1	52897	881164
M_52848_881209	"LAKE RD"	147	1	52848	881209
M_52840_881247	"MILL RIVER GT BARRINGTON RD"	0	1	52840	881247
M_52911_881167	"MILL RIVER GT BARRINGTON RD"	0	1	52911	881167
M_53160_880815	"PETER MENAKER RD"	234	1	53160	880815
M_53126_880912	"MILL RIVER GT BARRINGTON RD"	0	1	53126	880912
M_53063_881039	"MILL RIVER GT BARRINGTON RD"	0	1	53063	881039
M_53178_881051	"MILL RIVER GT BARRINGTON RD"	0	1	53178	881051
M_53163_881193	"MILL RIVER GT BARRINGTON RD"	0	1	53163	881193
M_53153_881225	"MILL RIVER GT BARRINGTON RD"	0	1	53153	881225
M_53132_881232	"DOWNS RD"	99	1	53132	881232
M_53145_881255	"MILL RIVER GT BARRINGTON RD"	0	1	53145	881255
M_53144_881295	"DOWNS RD"	104	1	53144	881295
M_53158_881290	"DOWNS RD"	106	1	53158	881290
M_53187_881271	"DOWNS RD"	114	1	53187	881271
M_53227_881257	"DOWNS RD"	120	1	53227	881257
M_53254_881238	"WOODLEIGH AV"	138	1	53254	881238
M_53289_881225	"WOODLEIGH AV"	146	1	53289	881225
M_53323_881203	"WOODLEIGH AV"	156	1	53323	881203
M_53343_881173	"WOODLEIGH AV"	164	1	53343	881173
M_53209_881206	"DOWNS RD"	124	1	53209	881206
