town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M209	209	northadams	2012	62626	938869	M_62626_938869	"PATTISON RD"	821	0
M209	209	northadams	2012	62671	940092	M_62671_940092	"STATE RD"	0	0
M209	209	northadams	2012	62679	940277	M_62679_940277	"STATE RD"	1156	0
M209	209	northadams	2012	62692	939468	M_62692_939468	"STATE RD"	0	0
M209	209	northadams	2012	62697	940370	M_62697_940370	"GALVIN RD"	133	0
M209	209	northadams	2012	62703	940275	M_62703_940275	"CHENAILLE TR"	7	0
M209	209	northadams	2012	62710	940237	M_62710_940237	"CHENAILLE TR"	19	0
M209	209	northadams	2012	62712	940191	M_62712_940191	"CHENAILLE TR"	35	0
M209	209	northadams	2012	62713	940135	M_62713_940135	"CHENAILLE TR"	55	0
M209	209	northadams	2012	62713	940330	M_62713_940330	"STATE RD"	1143	0
M209	209	northadams	2012	62714	940033	M_62714_940033	"CHENAILLE TR"	87	0
M209	209	northadams	2012	62714	940101	M_62714_940101	"CHENAILLE TR"	65	0
M209	209	northadams	2012	62715	940067	M_62715_940067	"CHENAILLE TR"	75	0
M209	209	northadams	2012	62718	939989	M_62718_939989	"CHENAILLE TR"	101	0
M209	209	northadams	2012	62731	940804	M_62731_940804	"MASSACHUSETTS AV"	0	0
M209	209	northadams	2012	62733	940647	M_62733_940647	"MASSACHUSETTS AV"	0	0
M209	209	northadams	2012	62742	940751	M_62742_940751	"MASSACHUSETTS AV"	1729	0
M209	209	northadams	2012	62754	938857	M_62754_938857	"PATTISON RD"	0	0
M209	209	northadams	2012	62763	940550	M_62763_940550	"GALVIN RD"	OFF	0
M209	209	northadams	2012	62766	940269	M_62766_940269	"STATE RD"	1130	0
M209	209	northadams	2012	62769	940740	M_62769_940740	"MASSACHUSETTS AV"	1701	0
M209	209	northadams	2012	62777	940328	M_62777_940328	"STATE RD"	1125	0
M209	209	northadams	2012	62782	939132	M_62782_939132	"STATE RD"	0	0
M209	209	northadams	2012	62783	940231	M_62783_940231	"CHENAILLE TR"	20	0
M209	209	northadams	2012	62785	939974	M_62785_939974	"CHENAILLE TR"	104	0
M209	209	northadams	2012	62785	940359	M_62785_940359	"GALVIN RD"	100	0
M209	209	northadams	2012	62787	940266	M_62787_940266	"STATE RD"	1128	0
M209	209	northadams	2012	62788	940061	M_62788_940061	"CHENAILLE TR"	74	0
M209	209	northadams	2012	62789	940028	M_62789_940028	"CHENAILLE TR"	88	0
M209	209	northadams	2012	62790	940099	M_62790_940099	"CHENAILLE TR"	66	0
M209	209	northadams	2012	62790	940133	M_62790_940133	"CHENAILLE TR"	50	0
M209	209	northadams	2012	62791	940184	M_62791_940184	"CHENAILLE TR"	0	0
M209	209	northadams	2012	62792	940468	M_62792_940468	"GALVIN RD"	0	0
M209	209	northadams	2012	62793	940005	M_62793_940005	"CHENAILLE TR"	0	0
M209	209	northadams	2012	62805	940265	M_62805_940265	"STATE RD"	1116	0
M209	209	northadams	2012	62806	940325	M_62806_940325	"STATE RD"	1115	0
M209	209	northadams	2012	62819	940382	M_62819_940382	"GALVIN RD"	92	0
M209	209	northadams	2012	62819	940748	M_62819_940748	"MASSACHUSETTS AV"	0	0
M209	209	northadams	2012	62824	940251	M_62824_940251	"STATE RD"	1108	0
M209	209	northadams	2012	62831	941399	M_62831_941399	"MASSACHUSETTS AV"	REAR	0
M209	209	northadams	2012	62833	940323	M_62833_940323	"STATE RD"	1103	0
M209	209	northadams	2012	62836	940391	M_62836_940391	"GALVIN RD"	82	0
