town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M215	215	northborough	2011	184363	896502	M_184363_896502	"WEST STREET"	0	0
M215	215	northborough	2011	184375	896480	M_184375_896480	"WEST STREET"	0	0
M215	215	northborough	2011	184395	896447	M_184395_896447	"WEST STREET"	0	0
M215	215	northborough	2011	184403	896513	M_184403_896513	"GALAHAD ROAD"	4	0
M215	215	northborough	2011	184414	896413	M_184414_896413	"WEST STREET"	0	0
M215	215	northborough	2011	184424	896645	M_184424_896645	"GALAHAD ROAD"	3	0
M215	215	northborough	2011	184434	896379	M_184434_896379	"WEST STREET"	0	0
M215	215	northborough	2011	184454	896345	M_184454_896345	"WEST STREET"	0	0
M215	215	northborough	2011	184464	896507	M_184464_896507	"GALAHAD ROAD"	6	0
M215	215	northborough	2011	184475	896309	M_184475_896309	"WEST STREET"	0	0
M215	215	northborough	2011	184498	896268	M_184498_896268	"WEST STREET"	0	0
M215	215	northborough	2011	184502	896650	M_184502_896650	"GALAHAD ROAD"	5	0
M215	215	northborough	2011	184516	896819	M_184516_896819	"WEST STREET"	260	0
M215	215	northborough	2011	184524	896223	M_184524_896223	"WEST STREET"	0	0
M215	215	northborough	2011	184525	896986	M_184525_896986	"CASTLE ROAD"	35	0
M215	215	northborough	2011	184533	897190	M_184533_897190	"CASTLE ROAD"	30	0
M215	215	northborough	2011	184558	896574	M_184558_896574	"GALAHAD ROAD"	8	0
M215	215	northborough	2011	184558	897072	M_184558_897072	"CASTLE ROAD"	31	0
M215	215	northborough	2011	184566	897295	M_184566_897295	"CASTLE ROAD"	26	0
M215	215	northborough	2011	184586	896664	M_184586_896664	"GALAHAD ROAD"	7	0
M215	215	northborough	2011	184592	897378	M_184592_897378	"CASTLE ROAD"	22	0
M215	215	northborough	2011	184613	897165	M_184613_897165	"CASTLE ROAD"	27	0
M215	215	northborough	2011	184613	897449	M_184613_897449	"CASTLE ROAD"	18	0
M215	215	northborough	2011	184614	896116	M_184614_896116	"WEST STREET"	300	0
M215	215	northborough	2011	184633	897513	M_184633_897513	"CASTLE ROAD"	14	0
M215	215	northborough	2011	184651	897573	M_184651_897573	"CASTLE ROAD"	10	0
M215	215	northborough	2011	184665	897799	M_184665_897799	"RESERVOIR STREET"	90	0
M215	215	northborough	2011	184668	897692	M_184668_897692	"CASTLE ROAD"	2	0
M215	215	northborough	2011	184669	897103	M_184669_897103	"CASTLE ROAD"	25-A	0
M215	215	northborough	2011	184671	897626	M_184671_897626	"CASTLE ROAD"	6	0
M215	215	northborough	2011	184673	895996	M_184673_895996	"WEST STREET"	301	0
M215	215	northborough	2011	184686	897345	M_184686_897345	"CASTLE ROAD"	19	0
M215	215	northborough	2011	184699	895891	M_184699_895891	"SETTLERS ROAD"	1	0
M215	215	northborough	2011	184717	896033	M_184717_896033	"WEST STREET"	301	0
M215	215	northborough	2011	184719	897428	M_184719_897428	"CASTLE ROAD"	15	0
M215	215	northborough	2011	184722	897832	M_184722_897832	"RESERVOIR STREET"	82	0
M215	215	northborough	2011	184732	895881	M_184732_895881	"SETTLERS ROAD"	3	0
M215	215	northborough	2011	184737	897473	M_184737_897473	"CASTLE ROAD"	0	0
M215	215	northborough	2011	184758	897527	M_184758_897527	"CASTLE ROAD"	9	0
