town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M217	217	northfield	2013	116920	942433	M_116920_942433	"BERN + VERMONT LINE"	0	0
M217	217	northfield	2013	117398	940588	M_117398_940588	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117523	941068	M_117523_941068	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117560	940759	M_117560_940759	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117561	940440	M_117561_940440	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117648	940267	M_117648_940267	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117722	941518	M_117722_941518	"OLD VERNON RD"	0	0
M217	217	northfield	2013	117813	940414	M_117813_940414	"OLD VERNON RD"	0	0
M217	217	northfield	2013	117972	938971	M_117972_938971	"OLD VERNON RD"	0	0
M217	217	northfield	2013	117979	940393	M_117979_940393	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	117996	939479	M_117996_939479	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118012	939155	M_118012_939155	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118013	941286	M_118013_941286	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	118015	938823	M_118015_938823	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118097	941949	M_118097_941949	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118105	938036	M_118105_938036	"MT HERMON STATION RD"	REAR	0
M217	217	northfield	2013	118106	942371	M_118106_942371	"VT STATE LINE"	0	0
M217	217	northfield	2013	118126	938527	M_118126_938527	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118143	938702	M_118143_938702	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118153	938332	M_118153_938332	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118184	938605	M_118184_938605	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118202	940457	M_118202_940457	"OLD VERNON RD"	354	0
M217	217	northfield	2013	118240	938356	M_118240_938356	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118300	937880	M_118300_937880	"MT HERMON STATION RD"	REAR	0
M217	217	northfield	2013	118330	938381	M_118330_938381	"OLD VERNON RD"	REAR	0
M217	217	northfield	2013	118350	939876	M_118350_939876	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118367	938937	M_118367_938937	"OLD VERNON RD"	130	0
M217	217	northfield	2013	118393	937032	M_118393_937032	"MT HERMON STATION RD"	0	0
M217	217	northfield	2013	118395	938043	M_118395_938043	"MT HERMON STATION RD"	REAR	0
M217	217	northfield	2013	118442	937139	M_118442_937139	"MT HERMON STATION RD"	0	0
M217	217	northfield	2013	118463	937677	M_118463_937677	"MT HERMON STATION RD"	REAR	0
M217	217	northfield	2013	118469	937475	M_118469_937475	"MT HERMON STATION RD"	74	0
M217	217	northfield	2013	118478	938371	M_118478_938371	"OLD VERNON RD"	0	0
M217	217	northfield	2013	118478	939254	M_118478_939254	"OLD VERNON RD"	142	0
M217	217	northfield	2013	118483	937170	M_118483_937170	"MT HERMON STATION RD"	0	0
M217	217	northfield	2013	118494	940473	M_118494_940473	"OLD VERNON RD"	0	0
