town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M213	213	northreading	2013	229899	922968	M_229899_922968	"RIVERPARK DR"	700R	0
M213	213	northreading	2013	229923	923177	M_229923_923177	"CONCORD ST"	103	0
M213	213	northreading	2013	229924	922663	M_229924_922663	"RIVERPARK DR"	500	0
M213	213	northreading	2013	229966	927659	M_229966_927659	"RTE 125"	0	0
M213	213	northreading	2013	229967	922983	M_229967_922983	"RIVERPARK DR"	700	0
M213	213	northreading	2013	229983	922804	M_229983_922804	"RIVERPARK DR"	0	0
M213	213	northreading	2013	229992	923488	M_229992_923488	"FORDHAM RD"	3	0
M213	213	northreading	2013	230005	927590	M_230005_927590	"RAHNDEN TER"	10	0
M213	213	northreading	2013	230006	923276	M_230006_923276	"CONCORD ST"	99	0
M213	213	northreading	2013	230029	927297	M_230029_927297	"WOLF RD"	7	0
M213	213	northreading	2013	230040	923976	M_230040_923976	"WILMINGTON LINE"	0	0
M213	213	northreading	2013	230044	927537	M_230044_927537	"RAHNDEN TER"	8	0
M213	213	northreading	2013	230048	927184	M_230048_927184	"OLD ANDOVER RD"	54	0
M213	213	northreading	2013	230055	923797	M_230055_923797	"WILMINGTON LINE"	0	0
M213	213	northreading	2013	230065	927647	M_230065_927647	"RAHNDEN TER"	11	0
M213	213	northreading	2013	230066	927466	M_230066_927466	"OLD ANDOVER RD"	82	0
M213	213	northreading	2013	230068	927445	M_230068_927445	"OLD ANDOVER RD"	80	0
M213	213	northreading	2013	230072	922711	M_230072_922711	"RIVERPARK DR"	400	0
M213	213	northreading	2013	230073	924007	M_230073_924007	"KRISTYN LN"	2	0
M213	213	northreading	2013	230074	927277	M_230074_927277	"WOLF RD"	5	0
M213	213	northreading	2013	230077	927369	M_230077_927369	"OLD ANDOVER RD"	70	0
M213	213	northreading	2013	230079	927631	M_230079_927631	"RAHNDEN TER EXT"	0	0
M213	213	northreading	2013	230082	927208	M_230082_927208	"OLD ANDOVER RD"	56	0
M213	213	northreading	2013	230087	927329	M_230087_927329	"OLD ANDOVER RD"	66	0
M213	213	northreading	2013	230088	927028	M_230088_927028	"OLD ANDOVER RD"	23	0
M213	213	northreading	2013	230089	927417	M_230089_927417	"OLD ANDOVER RD"	76	0
M213	213	northreading	2013	230095	923092	M_230095_923092	"RIVERPARK DR"	100	0
M213	213	northreading	2013	230096	924166	M_230096_924166	"KRISTYN LN"	19	0
M213	213	northreading	2013	230098	927664	M_230098_927664	"OLD ANDOVER RD"	98	0
M213	213	northreading	2013	230104	924115	M_230104_924115	"KRISTYN LN"	17	0
M213	213	northreading	2013	230111	924197	M_230111_924197	"KRISTYN LN"	21	0
M213	213	northreading	2013	230111	927622	M_230111_927622	"RAHNDEN TER EXT"	1	0
M213	213	northreading	2013	230112	927582	M_230112_927582	"RAHNDEN TER"	7	0
M213	213	northreading	2013	230118	926994	M_230118_926994	"BRENTWOOD RD"	4	0
M213	213	northreading	2013	230122	926858	M_230122_926858	"OLD ANDOVER RD"	26	0
M213	213	northreading	2013	230123	927259	M_230123_927259	"OLD ANDOVER RD"	60	0
M213	213	northreading	2013	230125	924092	M_230125_924092	"KRISTYN LN"	15	0
M213	213	northreading	2013	230129	927498	M_230129_927498	"RAHNDEN TER"	2	0
M213	213	northreading	2013	230130	923344	M_230130_923344	"CONCORD ST"	95	0
M213	213	northreading	2013	230131	927649	M_230131_927649	"PHILLIS TER"	3	0
M213	213	northreading	2013	230132	926938	M_230132_926938	"LAURELTON RD"	17	0
M213	213	northreading	2013	230134	924478	M_230134_924478	"PARK ST"	0	0
M213	213	northreading	2013	230138	927380	M_230138_927380	"OLD ANDOVER RD"	74	0
M213	213	northreading	2013	230140	924196	M_230140_924196	"KRISTYN LN"	18	0
M213	213	northreading	2013	230142	927116	M_230142_927116	"OLD ANDOVER RD"	53	0
M213	213	northreading	2013	230145	927009	M_230145_927009	"BRENTWOOD RD"	9	0
M213	213	northreading	2013	230149	926868	M_230149_926868	"OLD ANDOVER RD"	18	0
M213	213	northreading	2013	230150	924560	M_230150_924560	"PARK ST"	500	0
M213	213	northreading	2013	230152	926775	M_230152_926775	"HAWTHORNE TER"	17	0
M213	213	northreading	2013	230153	927520	M_230153_927520	"OLD ANDOVER RD"	86	0
M213	213	northreading	2013	230154	927272	M_230154_927272	"OLD ANDOVER RD"	64	0
M213	213	northreading	2013	230157	924084	M_230157_924084	"KRISTYN LN"	13	0
M213	213	northreading	2013	230158	926962	M_230158_926962	"LAURELTON RD"	15	0
M213	213	northreading	2013	230159	922990	M_230159_922990	"RIVERPARK DR"	200	0
M213	213	northreading	2013	230160	927219	M_230160_927219	"BEAR RD"	1	0
M213	213	northreading	2013	230161	927565	M_230161_927565	"OLD ANDOVER RD"	90	0
M213	213	northreading	2013	230162	923776	M_230162_923776	"REDMOND AVE"	0	0
M213	213	northreading	2013	230164	927233	M_230164_927233	"OLD ANDOVER RD"	57	0
M213	213	northreading	2013	230165	927603	M_230165_927603	"OLD ANDOVER RD"	94	0
M213	213	northreading	2013	230169	924526	M_230169_924526	"PARK ST"	498	0
M213	213	northreading	2013	230170	924192	M_230170_924192	"KRISTYN LN"	16	0
M213	213	northreading	2013	230170	926820	M_230170_926820	"HAWTHORNE TER"	15	0
M213	213	northreading	2013	230170	926890	M_230170_926890	"OLD ANDOVER RD"	19	0
M213	213	northreading	2013	230174	924620	M_230174_924620	"PARK ST"	501	0
