LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_722397_2815416	"RICHARDSON AV"	0	0	220187	858141
F_722554_2814341	"RICHARDSON AV"	0	0	220235	857813
F_722782_2815124	"RICHARDSON AV"	77	0	220304	858052
F_722804_2814322	"RICHARDSON AV"	101	0	220311	857807
F_722858_2814544	"RICHARDSON AV"	0	0	220328	857875
F_722962_2813944	"RICHARDSON AV"	100	0	220359	857692
F_723045_2815078	"RICHARDSON AV"	75	0	220385	858037
F_723065_2814187	"RICHARDSON AV"	98	0	220391	857766
F_723228_2814740	"RICHARDSON AV"	87	0	220440	857934
F_723238_2813553	"RICHARDSON AV"	0	0	220443	857573
F_723386_2814952	"RICHARDSON AV"	81	0	220488	857999
F_723397_2815226	"RICHARDSON AV"	79	0	220492	858083
F_723416_2814511	"RICHARDSON AV"	84	0	220498	857865
F_723584_2812421	"HOLLY ST"	0	0	220549	857228
F_723626_2815342	"RICHARDSON AV"	73	0	220562	858118
F_723666_2814423	"LAURA LN"	5	0	220574	857838
F_723681_2816228	"RICHARDSON AV"	59	0	220578	858388
F_723683_2813845	"LAURA LN"	39	0	220579	857662
F_723708_2814321	"LAURA LN"	9	0	220587	857807
F_723731_2815468	"RICHARDSON AV"	71	0	220594	858156
F_723738_2813207	"ANTONE DR"	43	0	220596	857467
F_723743_2813987	"LAURA LN"	35	0	220597	857705
F_723755_2813371	"ANTONE DR"	39	0	220601	857517
F_723767_2813727	"LAURA LN"	42	0	220605	857626
F_723768_2812370	"HOLLY ST"	0	0	220605	857212
F_723769_2814235	"LAURA LN"	13	0	220605	857781
F_723819_2814693	"LAURA LN"	2	0	220620	857920
F_723835_2814167	"LAURA LN"	17	0	220625	857760
F_723851_2813122	"ANTONE DR"	44	0	220630	857441
F_723866_2814013	"LAURA LN"	31	0	220635	857713
F_723888_2814560	"LAURA LN"	6	0	220642	857880
F_723916_2815585	"RICHARDSON AV"	61	0	220650	858192
F_723928_2814460	"LAURA LN"	10	0	220654	857849
F_723930_2814091	"LAURA LN"	25	0	220654	857737
F_723935_2813738	"LAURA LN"	38	0	220656	857629
F_723958_2811974	"SANLIN ST"	0	0	220663	857091
F_723982_2813489	"ANTONE DR"	35	0	220670	857553
F_723987_2815090	"RICHARDSON AV"	74	0	220672	858041
F_723994_2814385	"LAURA LN"	14	0	220674	857826
F_723996_2813157	"ANTONE DR"	40	0	220674	857452
F_724013_2813812	"LAURA LN"	34	0	220680	857652
F_724054_2814304	"LAURA LN"	18	0	220692	857802
F_724074_2814734	"RICHARDSON AV"	76	0	220698	857933
F_724090_2813915	"LAURA LN"	30	0	220703	857683
F_724119_2813231	"ANTONE DR"	36	0	220712	857475
F_724119_2814227	"LAURA LN"	22	0	220712	857778
F_724119_2815645	"RICHARDSON AV"	59	0	220712	858210
F_724137_2812752	"HOLLY ST"	6	0	220717	857329
F_724138_2813554	"ANTONE DR"	27	0	220718	857573
F_724157_2813788	"ANTONE DR"	7	0	220723	857644
F_724159_2814137	"LAURA LN"	26	0	220724	857751
F_724160_2815310	"RICHARDSON AV"	68	0	220724	858108
F_724167_2815166	"SPRUCE TREE LN"	43	0	220727	858064
F_724167_2815166	"SPRUCE TREE LN"	44	0	220727	858064
F_724213_2813299	"ANTONE DR"	32	0	220741	857495
F_724218_2813697	"ANTONE DR"	11	0	220742	857617
F_724236_2813598	"ANTONE DR"	19	0	220748	857586
F_724246_2814734	"SPRUCE TREE LN"	1	0	220751	857933
F_724247_2814080	"ANTONE DR"	8	0	220751	857733
F_724248_2812298	"HOLLY ST"	0	0	220751	857190
F_724249_2816986	"N WORCESTER ST"	244	0	220752	858619
F_724268_2816757	"N WORCESTER ST"	242	0	220757	858549
F_724273_2815030	"SPRUCE TREE LN"	4	0	220759	858023
F_724289_2815854	"RICHARDSON AV"	57	0	220764	858274
F_724293_2812964	"HOLLY ST"	8	0	220765	857393
F_724297_2813354	"ANTONE DR"	28	0	220766	857512
F_724301_2813992	"ROBSAN PL"	1	0	220767	857706
F_724361_2811640	"EDWARD ST"	0	0	220786	856990
F_724393_2815957	"RICHARDSON AV"	55	0	220795	858305
F_724397_2813794	"ROBSAN PL"	2	0	220797	857646
F_724401_2813400	"ANTONE DR"	24	0	220798	857526
F_724413_2813102	"BERRY ST"	21	0	220802	857435
F_724422_2814116	"ROBSAN PL"	3	0	220804	857744
F_724423_2817151	"N WORCESTER ST"	0	0	220805	858669
F_724436_2814673	"SPRUCE TREE LN"	3	0	220809	857914
F_724446_2816508	"N WORCESTER ST"	238	0	220812	858473
F_724459_2816097	"RICHARDSON AV"	53	0	220816	858348
F_724483_2813477	"ANTONE DR"	20	0	220823	857550
F_724488_2815641	"RICHARDSON AV"	58	0	220824	858209
F_724509_2813631	"ANTONE DR"	16	0	220831	857596
F_724531_2813867	"ROBSAN PL"	4	0	220837	857668
F_724532_2814022	"ROBSAN PL"	6	0	220838	857716
F_724534_2812663	"HOLLY ST"	4	0	220838	857301
F_724543_2812992	"BERRY ST"	14	0	220841	857402
F_724546_2813188	"BERRY ST"	19	0	220842	857461
F_724559_2811287	"EISENHOWER DR"	0	0	220846	856882
F_724571_2815132	"SPRUCE TREE LN"	6	0	220850	858054
F_724602_2812555	"HOLLY ST"	2	0	220859	857268
F_724603_2816164	"RICHARDSON AV"	47	0	220859	858369
F_724608_2812892	"WALTER ST"	15	0	220861	857371
F_724636_2814736	"SPRUCE TREE LN"	5	0	220869	857933
F_724652_2816393	"N WORCESTER ST"	236	0	220874	858438
F_724660_2815497	"RICHARDSON AV"	56	0	220877	858165
F_724672_2813269	"BERRY ST"	17	0	220880	857486
F_724675_2815807	"RICHARDSON AV"	54	0	220881	858260
