town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M220	220	norwood	2013	221900	881550	M_221900_881550	"NICHOLS STREET"	650	0
M220	220	norwood	2013	221913	881756	M_221913_881756	"ALBEMARLE ROAD"	5	0
M220	220	norwood	2013	221941	881791	M_221941_881791	"ALBEMARLE ROAD"	15	0
M220	220	norwood	2013	221954	881707	M_221954_881707	"ALBEMARLE ROAD"	2	0
M220	220	norwood	2013	221965	881821	M_221965_881821	"ALBEMARLE ROAD"	25	0
M220	220	norwood	2013	221969	881658	M_221969_881658	"BROOK STREET"	12	0
M220	220	norwood	2013	221983	881758	M_221983_881758	"ALBEMARLE ROAD"	16	0
M220	220	norwood	2013	221988	881851	M_221988_881851	"ALBEMARLE ROAD"	35	0
M220	220	norwood	2013	221989	881623	M_221989_881623	"BROOK STREET"	20	0
M220	220	norwood	2013	221995	881696	M_221995_881696	"CROYDON ROAD"	86	0
M220	220	norwood	2013	222010	881792	M_222010_881792	"ALBEMARLE ROAD"	26	0
M220	220	norwood	2013	222011	881742	M_222011_881742	"CROYDON ROAD"	92	0
M220	220	norwood	2013	222012	881881	M_222012_881881	"ALBEMARLE ROAD"	45	0
M220	220	norwood	2013	222026	881651	M_222026_881651	"CROYDON ROAD"	80	0
M220	220	norwood	2013	222033	881564	M_222033_881564	"BROOK STREET"	24	0
M220	220	norwood	2013	222035	881911	M_222035_881911	"ALBEMARLE ROAD"	55	0
M220	220	norwood	2013	222036	881825	M_222036_881825	"ALBEMARLE ROAD"	36	0
M220	220	norwood	2013	222038	881776	M_222038_881776	"CROYDON ROAD"	98	0
M220	220	norwood	2013	222046	881707	M_222046_881707	"CROYDON ROAD"	83	0
M220	220	norwood	2013	222051	881445	M_222051_881445	"NICHOLS STREET"	608	0
M220	220	norwood	2013	222058	881941	M_222058_881941	"ALBEMARLE ROAD"	65	0
M220	220	norwood	2013	222062	881859	M_222062_881859	"ALBEMARLE ROAD"	44	0
M220	220	norwood	2013	222064	881808	M_222064_881808	"CROYDON ROAD"	104	0
M220	220	norwood	2013	222069	881570	M_222069_881570	"MINIHAN LANE"	4	0
M220	220	norwood	2013	222072	881742	M_222072_881742	"CROYDON ROAD"	95	0
M220	220	norwood	2013	222073	881688	M_222073_881688	"CROYDON ROAD"	77	0
M220	220	norwood	2013	222082	881971	M_222082_881971	"ALBEMARLE ROAD"	75	0
M220	220	norwood	2013	222083	881632	M_222083_881632	"CROYDON ROAD"	72	0
