LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_277165_802259	"EAST CHOP DR"	349	1	277165	802259
M_277546_802608	"EAST CHOP DR"	283	1	277546	802608
M_277614_802649	"EAST CHOP DR"	273	1	277614	802649
M_277672_802680	"EAST CHOP DR"	267	1	277672	802680
M_277745_802729	"EAST CHOP DR"	255	1	277745	802729
M_277787_802720	"EAST CHOP DR"	251	1	277787	802720
M_277805_802652	"EAST CHOP DR"	252	1	277805	802652
M_277776_802621	"EAST CHOP DR"	260	1	277776	802621
M_277769_802652	"EAST CHOP DR"	256	1	277769	802652
M_277722_802642	"EAST CHOP DR"	262	1	277722	802642
M_277717_802613	"EAST CHOP DR"	268	1	277717	802613
M_277789_802582	"NAMAS AV"	40	1	277789	802582
M_277692_802575	"NAMAS AV"	10	1	277692	802575
M_277749_802546	"NAMAS AV"	30	1	277749	802546
M_277777_802437	"WINEMACK ST"	116	1	277777	802437
M_277781_802374	"WINEMACK ST"	109	1	277781	802374
M_277758_802343	"WINEMACK ST"	103	1	277758	802343
M_277733_802310	"WINEMACK ST"	97	1	277733	802310
M_277229_802342	"EAST CHOP DR"	335	1	277229	802342
M_277702_802267	"WINEMACK ST"	91	1	277702	802267
M_277641_802257	"WINEMACK ST"	86	1	277641	802257
M_277602_802257	"PARK ST"	87	1	277602	802257
M_277611_802269	"PARK ST"	91	1	277611	802269
M_277625_802287	"PARK ST"	93	1	277625	802287
M_277659_802281	"WINEMACK ST"	90	1	277659	802281
M_277665_802314	"WINEMACK ST"	96	1	277665	802314
M_277638_802306	"PARK ST"	97	1	277638	802306
M_277687_802345	"WINEMACK ST"	102	1	277687	802345
M_277719_802382	"WINEMACK ST"	104	1	277719	802382
M_277693_802379	"PARK ST"	101	1	277693	802379
M_277738_802413	"WINEMACK ST"	110	1	277738	802413
M_277266_802378	"EAST CHOP DR"	331	1	277266	802378
M_277745_802446	"GREEN AV"	66	1	277745	802446
M_277688_802440	"PARK ST"	112	1	277688	802440
M_277700_802468	"PALL MALL"	4	1	277700	802468
M_277668_802480	"PALL MALL"	8	1	277668	802480
M_277658_802449	"BRIDGE AV"	7	1	277658	802449
M_277656_802490	"PALL MALL"	12	1	277656	802490
M_277628_802478	"PALL MALL"	26	1	277628	802478
M_277622_802465	"BRIDGE AV"	11	1	277622	802465
M_277592_802442	"BRIDGE AV"	12	1	277592	802442
M_277632_802413	"BRIDGE AV"	6	1	277632	802413
M_277659_802395	"BRIDGE AV"	2	1	277659	802395
M_277295_802409	"EAST CHOP DR"	325	1	277295	802409
M_277626_802384	"PARK ST"	102	1	277626	802384
M_277644_802372	"MONOHANSETT AV"	4	1	277644	802372
M_277597_802404	"MONOHANSETT AV"	8	1	277597	802404
M_277570_802424	"MONOHANSETT AV"	14	1	277570	802424
M_277568_802369	"EDDY AV"	15	1	277568	802369
M_277613_802337	"PARK ST"	98	1	277613	802337
M_277554_802280	"PARK ST"	90	1	277554	802280
M_277380_802271	"CRYSTAL LAKE RD"	24	1	277380	802271
M_277391_802453	"EAST CHOP DR"	312	1	277391	802453
M_277329_802453	"EAST CHOP DR"	317	1	277329	802453
M_277456_802512	"EAST CHOP DR"	300	1	277456	802512
M_277364_802483	"EAST CHOP DR"	311	1	277364	802483
M_277393_802512	"EAST CHOP DR"	307	1	277393	802512
M_277487_802575	"EAST CHOP DR"	293	1	277487	802575
M_277428_802544	"EAST CHOP DR"	301	1	277428	802544
M_278836_800908	"OCEAN AV"	77	1	278836	800908
M_278844_800699	"PENNACOOK AV"	31	1	278844	800699
M_278821_800708	"PEQUOT AV"	28	1	278821	800708
M_278760_800772	"MASSASOIT AV"	11	1	278760	800772
M_278741_800738	"MASSASOIT AV"	8	1	278741	800738
M_278771_800720	"MASSASOIT AV"	4	1	278771	800720
M_278785_800708	"MASSASOIT AV"	2	1	278785	800708
M_278758_800704	"PENNACOOK AV"	45	1	278758	800704
M_278772_800670	"NAUMKEAG AV"	32	1	278772	800670
